,0,1,2,3,4,5,6,7
Period,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,0.0,1044.0,5434.0,8465.0,7959.0,10239.0,9889.0,11399.0
Techniczny koszt wytworzenia produkcji sprzedanej,10.0,157.0,1470.0,3121.0,4778.0,7245.0,7313.0,9991.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-10.0,887.0,3964.0,5344.0,3181.0,2994.0,2576.0,1408.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,113.0,-52.0,240.0,30.0,110.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,189.0,729.0,1358.0,572.0,268.0
Zysk operacyjny (EBIT),-10.0,887.0,3964.0,5268.0,2400.0,1876.0,2034.0,1250.0
Przychody finansowe,0.0,0.0,169.0,52.0,73.0,756.0,1655.0,319.0
Koszty finansowe,0.0,4.0,4.0,49.0,108.0,34.0,45.0,973.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0
Zysk z działalności gospodarczej,-10.0,883.0,4129.0,5271.0,2365.0,2598.0,3644.0,592.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,-10.0,883.0,4129.0,5271.0,2365.0,2598.0,3644.0,592.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,-10.0,749.0,3512.0,4231.0,1894.0,2468.0,3341.0,751.0
Zysk netto akcjonariuszy jednostki dominującej,-10.0,749.0,3512.0,4231.0,1894.0,2468.0,3341.0,751.0
Aktywa trwałe,0.0,302.0,151.0,688.0,677.0,1066.0,1645.0,5782.0
Wartości niematerialne i prawne,0.0,302.0,151.0,550.0,416.0,183.0,189.0,3969.0
Rzeczowe składniki majątku trwałego,0.0,0.0,0.0,138.0,120.0,717.0,465.0,327.0
Należności długoterminowe,0.0,0.0,0.0,0.0,92.0,91.0,99.0,116.0
Inwestycje długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,610.0,640.0
Pozostałe aktywa trwałe,0.0,0.0,0.0,0.0,49.0,75.0,282.0,730.0
Aktywa obrotowe,2.0,1125.0,4669.0,10175.0,17620.0,19428.0,21194.0,17701.0
Zapasy,0.0,117.0,1296.0,4235.0,3609.0,2306.0,5677.0,8310.0
Należności krótkoterminowe,2.0,678.0,278.0,1233.0,1770.0,3116.0,2355.0,2066.0
Inwestycje krótkoterminowe,0.0,330.0,3003.0,4685.0,12233.0,13995.0,13162.0,7325.0
Środki pieniężne i inne aktywa pieniężne,0.0,330.0,3003.0,2737.0,12233.0,13995.0,9124.0,7325.0
Pozostałe aktywa obrotowe,0.0,0.0,92.0,22.0,8.0,11.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,2.0,1427.0,4820.0,10863.0,18297.0,20494.0,22839.0,23483.0
Kapitał własny akcjonariuszy jednostki dominującej,-5.0,1239.0,4751.0,10692.0,17682.0,19045.0,20008.0,17460.0
Kapitał (fundusz) podstawowy,5.0,500.0,500.0,510.0,535.0,542.0,550.0,550.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,0.0,749.0,5962.0,15263.0,15314.0,5071.0,5071.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,0.0,0.0,0.0,173.0,614.0,597.0,500.0
Z tytułu dostaw i usług,0.0,0.0,9.0,42.0,99.0,329.0,2080.0,5336.0
Kredyty i pożyczki,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,154.0,187.0
Inne zobowiązania długoterminowe,0.0,0.0,0.0,0.0,173.0,151.0,323.0,381.0
Zobowiązania krótkoterminowe,7.0,188.0,69.0,171.0,442.0,835.0,2234.0,5523.0
Inne zobowiązania krótkoterminowe,3.0,188.0,60.0,129.0,343.0,506.0,0.0,0.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,2.0,1427.0,4820.0,10863.0,18297.0,20494.0,22839.0,23483.0
Przepływy pieniężne z działalności operacyjnej,-9.0,175.0,2674.0,2379.0,2686.0,3553.0,2333.0,1373.0
Amortyzacja,0.0,35.0,151.0,200.0,363.0,450.0,217.0,268.0
Przepływy pieniężne z działalności inwestycyjnej,0.0,-337.0,0.0,-2394.0,1714.0,46.0,-4645.0,344.0
CAPEX (niematerialne i rzeczowe),0.0,337.0,0.0,639.0,211.0,47.0,4645.0,3801.0
Przepływy pieniężne z działalności finansowej,9.0,491.0,0.0,-250.0,5096.0,-1836.0,-2560.0,-3515.0
Emisja akcji,5.0,495.0,0.0,0.0,5500.0,0.0,0.0,0.0
Dywidenda,0.0,0.0,0.0,0.0,0.0,1843.0,2385.0,3300.0
Przepływy pieniężne razem,0.0,329.0,2674.0,-265.0,9496.0,1763.0,-4872.0,-1798.0
