,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,19.87,13.56,5.11,14.28,7.88,21.32,42.65,14.31,2.37,-2.37,131.13,-6.82,-37.59
Techniczny koszt wytworzenia produkcji sprzedanej,,20.16,13.71,5.94,12.5,7.2,18.17,44.27,13.63,2.94,-2.0,92.16,9.31,-36.97
Koszty sprzedaży,,,,,,,,,,,,,12.06,-5.74
Koszty ogólnego zarządu,,,,,,,,,,,,,-42.66,-6.09
Zysk ze sprzedaży,,14.3,10.58,-12.25,59.0,19.97,71.25,24.98,22.89,-4.29,-6.9,449.79,-80.58,-107.0
Pozostałe przychody operacyjne,,-42.67,-3.49,605.42,17.34,-10.41,14.7,8.57,-6.2,22.04,-12.19,22.26,28.24,16.51
Pozostałe koszty operacyjne,,278.52,-43.09,-30.11,33.57,-52.0,91.91,-53.63,-6.57,-49.19,127.13,99.77,-25.56,-17.95
Zysk operacyjny (EBIT),,-9.18,27.57,5.3,54.68,22.21,65.47,26.92,21.74,-2.73,-7.92,433.48,-79.63,-99.87
Przychody finansowe,,16.22,-3.49,48.19,-89.43,46.15,73.68,-74.24,5947.06,-99.81,146650.0,-100.0,,-100.0
Koszty finansowe,,120.61,-43.09,-16.31,-10.47,61.29,-36.75,244.01,-51.13,77.9,-54.23,145.72,69.45,203.24
Pozostałe przychody (koszty),,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,-27.94,58.62,10.04,57.5,19.48,75.33,19.09,32.91,-8.59,4.67,395.25,-81.53,-143.13
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,-27.94,58.62,10.04,57.5,19.48,75.33,19.09,32.91,-8.59,4.67,395.25,-81.53,-143.13
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,
Zysk netto,,7.21,16.56,20.44,40.79,20.94,75.17,16.68,34.69,-8.93,6.07,393.32,-81.47,-159.99
Zysk netto akcjonariuszy jednostki dominującej,,7.21,16.56,20.44,40.79,20.94,75.17,16.68,34.69,-8.93,6.07,393.32,-81.47,-159.99
Aktywa trwałe,,14.79,36.87,3.46,57.24,14.52,21.65,26.72,33.53,9.55,9.97,5.41,22.44,0.95
Wartości niematerialne i prawne,,57.14,-40.91,-46.15,457.14,48.72,31.03,-10.53,48.53,28036.63,-2.54,-0.95,69.42,-3.84
Rzeczowe składniki majątku trwałego,,14.7,36.98,3.44,57.23,14.5,7.0,19.6,27.05,10.07,0.2,20.45,14.02,3.38
Należności długoterminowe,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,44.68,23.53,20.24,32.67,16.42,6054.49,78.02,64.7,-92.94,754.83,-86.43,-29.4,-98.52
Aktywa obrotowe,,48.0,28.78,4.24,4.82,23.8,41.35,41.88,19.42,12.09,7.63,156.43,-34.46,13.54
Zapasy,,23.86,55.92,-2.72,-9.1,45.2,23.99,27.55,56.92,4.1,20.06,185.69,-57.38,-10.1
Należności krótkoterminowe,,75.17,-0.81,-8.67,9.47,38.37,0.27,48.53,17.27,24.11,-28.09,176.05,-29.24,-7.62
Inwestycje krótkoterminowe,,99.7,186.92,188.26,44.64,-55.16,424.39,59.69,-31.7,15.6,40.43,7.51,139.11,58.56
Środki pieniężne i inne aktywa pieniężne,,99.7,186.92,188.26,44.64,-55.16,406.73,65.26,-31.7,15.6,40.43,7.51,139.11,58.56
Pozostałe aktywa obrotowe,,-10.34,42.31,-27.03,-48.15,50.0,9.52,56.52,-52.78,288.24,789.39,3250.6,-95.05,-3.49
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,
Aktywa razem,,30.72,32.48,3.87,29.46,18.5,30.48,34.08,26.28,10.78,8.82,78.85,-17.23,7.9
Kapitał własny akcjonariuszy jednostki dominującej,,24.84,20.97,66.11,17.61,23.46,25.98,42.6,22.0,14.03,16.85,68.76,-0.54,-4.71
Kapitał (fundusz) podstawowy,,3.84,0.0,22.0,0.0,0.0,0.0,8.28,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,36.87,28.89,86.4,16.66,13.88,18.45,56.53,19.05,21.61,20.32,13.48,62.57,8.85
Udziały niekontrolujące,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,-15.03,110.51,9.06,20.45,59.01,30.65,57.8,17.32,-1.07,10.57,7.98,10.79,32.66
Z tytułu dostaw i usług,,70.09,35.12,-31.99,-28.14,21.28,69.49,-45.58,60.98,1.81,20.61,253.81,-77.14,121.2
Kredyty i pożyczki,,1.18,29.08,-85.55,1112.88,23.05,-2.56,53.56,38.04,-0.57,24.61,17.83,-19.69,23.28
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,-23.28,-36.07,106.57,9.61,-8.97,-0.22,842.24,23.14,42.3,-80.5,328.43,28.21,-8.54
Inne zobowiązania długoterminowe,,21.34,20.33,-2.53,13.56,382.85,20.92,44.28,38.09,3.65,28.89,6.5,-0.09,0.21
Zobowiązania krótkoterminowe,,44.97,31.73,-39.17,54.38,0.85,38.16,11.37,39.88,10.64,-6.43,136.64,-50.4,36.1
Inne zobowiązania krótkoterminowe,,25.49,94.53,32.93,2141.69,-77.36,107.68,7.88,13.79,34.16,-19.18,136.78,-29.54,-59.14
Rozliczenia międzyokresowe,,,,,,,,,,,,,,
Pasywa razem,,30.72,32.48,3.87,29.46,18.5,30.48,34.08,26.28,10.78,8.82,78.85,-17.23,7.9
Przepływy pieniężne z działalności operacyjnej,,166.45,30.75,-106.98,1182.42,-76.06,1981.69,-90.79,414.72,51.06,76.55,-56.34,569.31,-58.28
Amortyzacja,,17.58,15.21,29.23,4.02,55.42,15.61,6.92,20.85,38.81,30.3,7.56,25.53,27.83
Przepływy pieniężne z działalności inwestycyjnej,,-40.26,-326.18,124.67,-995.77,81.43,-302.73,-42.78,-49.31,57.95,-37.65,-24.01,33.68,47.42
CAPEX (niematerialne i rzeczowe),,39.36,328.34,-78.22,916.71,-82.49,324.18,43.98,49.89,-58.44,38.88,25.57,-18.34,-33.32
Przepływy pieniężne z działalności finansowej,,-650.0,190.02,-38.18,844.64,-112.42,191.56,1473.36,-69.87,-136.13,-151.59,230.45,-465.74,140.5
Emisja akcji,,,,,-100.0,,,,-100.0,,,,,
Dywidenda,,,,,,,-100.0,,17.67,33.32,-100.0,,300.03,-100.0
Przepływy pieniężne razem,,81.42,274.4,188.98,-31.68,-286.96,429.97,-23.52,-185.62,133.34,162.3,-62.13,1407.74,5.35
