,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,1658.33,32.89,-57.13,86.02,56.26,0.0,-0.92,102.89,347.67,95.78,8.35,-22.75
Techniczny koszt wytworzenia produkcji sprzedanej,,112.99,274.18,32.83,122.4,19.61,15.47,18.89,14.36,52.12,67.91,321.23,-75.96
Koszty sprzedaży,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,
Zysk ze sprzedaży,,229.15,-453.14,-134.87,-129.93,-13.47,-19.04,-22.73,-0.51,41.22,-0.87,-1781.71,90.26
Pozostałe przychody operacyjne,,,4800.0,193.88,-56.25,-23.81,114.58,211.65,691.28,-84.02,129.31,-117.62,825.61
Pozostałe koszty operacyjne,,316.67,196.0,133.78,-49.71,367.82,-67.08,2227.61,-20.78,-96.11,-97.92,262350.0,76.66
Zysk operacyjny (EBIT),,217.69,-486.81,-132.51,-128.48,-18.42,-14.04,-53.23,20.28,43.66,9.03,-2185.84,84.43
Przychody finansowe,,,200.0,0.0,2333.33,150.0,-50.41,-2.21,-49.72,-44.94,946.94,159.06,-6.55
Koszty finansowe,,,500.0,616.67,-62.79,-68.75,4580.0,-91.45,220.0,53.12,-43.88,32.73,200.0
Pozostałe przychody (koszty),,,,,,,,,,,,,
Zysk z działalności gospodarczej,,218.05,-485.63,-135.45,-121.25,-15.28,-20.16,-50.62,19.55,43.09,17.03,-2362.78,85.07
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,218.05,-485.63,-135.45,-121.25,-15.28,-20.16,-50.62,19.55,43.09,17.03,-2362.78,85.07
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,
Zysk netto,,218.48,-482.26,-136.56,-122.59,-15.36,-20.35,-50.47,19.68,15.58,82.32,-6983.98,75.89
Zysk netto akcjonariuszy jednostki dominującej,,218.48,-482.26,-136.56,-122.59,-15.36,-20.35,-50.47,19.68,42.75,73.94,-6983.98,75.89
Aktywa trwałe,,14.96,50.27,-12.22,16.35,149.59,32.67,44.27,60.42,71.32,110.88,57.32,-29.8
Wartości niematerialne i prawne,,2.46,58.32,-30.38,21.82,125.97,70.74,47.58,53.68,66.52,62.72,22.94,-2.15
Rzeczowe składniki majątku trwałego,,,-32.79,295.12,3.09,-0.6,15.06,-36.13,459.84,113.76,-19.86,33.42,-44.97
Należności długoterminowe,,,,,,,,143.66,-76.3,0.0,-100.0,,0.0
Inwestycje długoterminowe,,,,,,,-100.0,,,,,,
Pozostałe aktywa trwałe,,0.0,1100.0,133.33,-14.29,16.67,-85.71,-25.0,266.67,263.64,16855.0,139.72,-61.84
Aktywa obrotowe,,464.94,-3.1,275.21,648.4,-36.22,18.11,-70.78,231.22,363.13,-18.42,12.05,-64.52
Zapasy,,,,,,,,-100.0,,,,,
Należności krótkoterminowe,,356.93,-1.92,28.99,85.86,42.12,-3.59,22.66,57.64,39.67,93.7,15.26,-2.39
Inwestycje krótkoterminowe,,1200.0,-5.43,1012.92,853.22,-42.03,17.34,-85.14,486.17,461.78,-30.01,11.52,-78.64
Środki pieniężne i inne aktywa pieniężne,,1200.0,-5.43,1012.92,458.3,-59.83,-54.75,-5.04,307.18,708.71,-30.01,11.52,-78.8
Pozostałe aktywa obrotowe,,,-13.04,125.0,-37.78,442.86,-7.89,254.29,-54.84,210.27,333.53,10.02,-47.06
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,
Aktywa razem,,122.9,17.82,131.49,528.57,-29.7,19.92,-54.92,155.88,282.43,-2.4,24.17,-52.74
Kapitał własny akcjonariuszy jednostki dominującej,,337.64,20.24,141.55,610.44,-31.84,16.75,-57.61,161.72,280.58,-1.67,-62.53,-57.78
Kapitał (fundusz) podstawowy,,17.6,10.2,10.49,68.16,0.0,22.26,0.0,21.47,0.0,9.4,4.91,0.0
Udziały (akcje) własne,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,140.48,147.7,29.77,928.3,0.0,35.86,22.23,43.74,69.99,0.0,28.47,0.0
