,0,1,2,3,4,5,6,7
Period,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,57.51,-8.83,57.58,11.08,45.81,22.06,16.87
Techniczny koszt wytworzenia produkcji sprzedanej,,43.01,-1.39,54.85,8.37,39.46,28.81,18.02
Koszty sprzedaży,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,
Zysk ze sprzedaży,,1154.26,-73.04,143.63,65.38,129.16,-31.89,-0.55
Pozostałe przychody operacyjne,,178.21,16.59,76.28,165.7,232.66,-57.61,-53.26
Pozostałe koszty operacyjne,,1430.43,-47.73,52.17,159.29,211.43,-78.02,39.03
Zysk operacyjny (EBIT),,857.55,-69.08,143.38,74.59,147.15,-31.55,-18.76
Przychody finansowe,,500.0,-77.08,354.55,-72.0,82.14,52.94,-79.49
Koszty finansowe,,71.65,-41.28,148.44,61.32,-58.87,-3.32,328.92
Pozostałe przychody (koszty),,,,,-10.14,0.0,39.91,85.4
Zysk z działalności gospodarczej,,1420.96,-71.77,120.08,76.43,196.52,-31.52,-30.53
Wynik zdarzeń nadzwyczajnych,,,,,,,,
Zysk przed opodatkowaniem,,1420.96,-71.77,120.08,76.43,196.52,-31.52,-30.53
Zysk (strata) netto z działalności zaniechanej,,,,,,,,
Zysk netto,,1578.23,-79.29,85.38,171.34,217.67,-29.53,-49.08
Zysk netto akcjonariuszy jednostki dominującej,,1578.23,-87.41,200.0,150.89,209.84,-29.25,-62.48
Aktywa trwałe,,-13.9,123.28,-6.02,216.43,-5.72,57.76,6.69
Wartości niematerialne i prawne,,-36.4,287.99,10.69,286.54,-24.41,55.49,-1.8
Rzeczowe składniki majątku trwałego,,-38.74,141.5,-9.11,43.51,40.63,22.4,26.23
Należności długoterminowe,,,-100.0,,,,,129.81
Inwestycje długoterminowe,,-100.0,,-72.49,7.94,-92.65,-20.0,-100.0
Pozostałe aktywa trwałe,,127.46,-52.39,-84.21,351.52,751.68,94.01,9.38
Aktywa obrotowe,,163.69,-5.78,164.93,-45.04,123.92,33.79,-5.51
Zapasy,,-91.03,28.87,-55.2,3032.14,-90.82,-9.94,1322.76
Należności krótkoterminowe,,232.57,-24.84,59.0,-26.92,181.8,-56.9,116.55
Inwestycje krótkoterminowe,,113.92,18.16,498.65,-66.69,96.52,214.54,-47.35
Środki pieniężne i inne aktywa pieniężne,,113.92,15.52,512.33,-66.69,96.52,214.54,-47.49
Pozostałe aktywa obrotowe,,4261.54,123.37,167.51,-54.78,117.95,114.42,-21.47
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,
Aktywa razem,,118.73,7.08,129.4,-22.78,78.69,38.2,-2.95
Kapitał własny akcjonariuszy jednostki dominującej,,82.6,-1.0,9.33,23.2,59.98,14.99,8.85
Kapitał (fundusz) podstawowy,,0.0,51.18,0.0,0.0,0.0,6.77,0.0
Udziały (akcje) własne,,,,,,,,
Kapitał (fundusz) zapasowy,,3.23,76.97,1.11,8.92,15.24,-66.67,0.0
Udziały niekontrolujące,,,,135.69,205.41,229.2,31.9,57.68
Zobowiązania długoterminowe,,,,,,-60.84,379.66,-24.15
Z tytułu dostaw i usług,,164.3,-44.32,306.14,-25.96,90.68,36.91,-11.57
Kredyty i pożyczki,,,,185.62,-80.21,-100.0,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,-33.27,-88.8,144.25,86.23,8.56
Inne zobowiązania długoterminowe,,,,,,,,-89.51
Zobowiązania krótkoterminowe,,201.77,10.31,188.52,-48.08,94.55,103.04,-8.43
Inne zobowiązania krótkoterminowe,,533.7,-50.96,105.13,-48.52,505.53,352.67,-5.22
Rozliczenia międzyokresowe,,-74.41,683.51,500.26,22.01,76.5,-100.0,
Pasywa razem,,118.73,7.08,129.4,-22.78,78.69,38.2,-2.95
Przepływy pieniężne z działalności operacyjnej,,-1773.33,-6.23,769.1,-78.12,360.87,250.11,-133.15
Amortyzacja,,1.23,-15.42,34.02,215.29,55.38,-9.18,83.64
Przepływy pieniężne z działalności inwestycyjnej,,90.1,-7126.32,89.44,-2260.69,69.85,-404.94,2.15
CAPEX (niematerialne i rzeczowe),,-76.25,5863.16,-91.17,3323.0,-67.75,-610.42,191.62
Przepływy pieniężne z działalności finansowej,,700.35,25.68,77.47,-268.42,76.78,42.17,35.82
Emisja akcji,,182.5,-97.88,-100.0,,,,
Dywidenda,,,,-54.5,0.0,39.58,-100.0,
Przepływy pieniężne razem,,3062.16,-70.94,3724.41,-179.7,148.3,336.02,-169.63
