,0,1,2,3,4,5,6,7,8,9,10,11,12
Period,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,-9.13,19.34,29.09,23.64,-16.66,123.8,44.57,-7.76,36.63,19.03,10.44,13.12
Techniczny koszt wytworzenia produkcji sprzedanej,,-7.66,6.13,33.15,26.1,-22.43,130.09,51.38,-7.38,33.22,18.8,8.45,13.6
Koszty sprzedaży,,409.42,27.33,76.85,134.47,100.24,48.95,5.67,-18.4,53.49,-2.91,33.49,12.87
Koszty ogólnego zarządu,,8.02,-3.9,-15.78,54.4,-12.05,78.79,74.97,-9.51,22.41,48.46,24.43,20.49
Zysk ze sprzedaży,,-80.48,1691.47,6.16,-20.9,10.23,135.81,-8.02,-6.6,87.71,23.47,19.89,6.12
Pozostałe przychody operacyjne,,1007.4,-66.63,-22.41,1.44,461.24,-75.68,639.78,39.88,-45.98,48.6,-35.27,2.18
Pozostałe koszty operacyjne,,127.13,-38.88,-2.56,113.49,82.57,24.41,201.38,-52.09,104.37,-14.2,12.52,59.93
Zysk operacyjny (EBIT),,39.92,176.82,2.8,-26.16,61.95,53.07,10.98,35.8,14.21,39.42,6.25,-3.48
Przychody finansowe,,322.81,-63.49,48.86,33.59,-36.0,99.11,28.7,-45.3,1062.42,38.74,437.01,159.51
Koszty finansowe,,64.7,-32.39,-5.02,12.43,47.37,8.77,21.44,14.54,88.32,63.85,38.17,-4.18
Pozostałe przychody (koszty),,,,,,,,,,,,,
Zysk z działalności gospodarczej,,21.35,430.52,4.27,-31.55,64.4,62.97,9.55,38.73,6.93,33.64,9.2,19.42
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,21.35,430.52,4.27,-31.55,64.4,62.97,9.55,38.73,6.93,33.64,9.2,19.42
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,
Zysk netto,,29.68,435.62,1.2,-31.09,84.63,43.98,2.89,49.68,3.9,43.56,4.16,14.52
Zysk netto akcjonariuszy jednostki dominującej,,29.68,435.62,1.2,-31.09,84.63,43.98,2.89,49.68,3.9,43.64,3.95,13.38
Aktywa trwałe,,-5.79,31.1,-42.74,218.61,37.25,40.06,27.74,15.13,5.59,10.68,0.98,4.19
Wartości niematerialne i prawne,,-26.09,67.79,-38.9,-39.34,-18.02,7.14,57.44,39.41,-49.53,2562.04,17.3,5.59
Rzeczowe składniki majątku trwałego,,-9.47,-34.02,134.54,227.84,-54.9,47.91,49.56,2.42,-0.11,49.62,21.54,-0.23
Należności długoterminowe,,84.48,254.53,-80.19,565.21,39.83,-3.1,-84.69,30.55,122.12,652.96,34.44,-61.12
Inwestycje długoterminowe,,-11.3,101.73,-98.25,3.66,13740.89,34.56,16.64,26.78,3.05,-30.21,-20.14,13.45
Pozostałe aktywa trwałe,,44.44,-10.62,-77.2,3.41,58.92,275.08,105.56,-20.89,103.49,96.82,-24.13,46.02
Aktywa obrotowe,,21.76,28.64,51.18,27.85,44.14,10.71,78.52,3.28,-2.08,53.74,2.5,13.05
Zapasy,,-2.89,36.58,65.6,6.1,83.54,13.84,40.55,8.54,-38.11,15.04,50.65,-0.71
Należności krótkoterminowe,,67.04,9.4,22.22,115.82,-16.25,18.44,147.21,-20.63,38.98,99.71,-25.88,17.08
Inwestycje krótkoterminowe,,53.24,76.12,-65.36,120.64,222.16,-22.15,121.79,76.27,35.46,21.04,29.89,27.6
Środki pieniężne i inne aktywa pieniężne,,53.24,76.12,-65.36,120.64,222.16,-22.15,39.84,111.8,57.22,25.11,25.1,13.84
Pozostałe aktywa obrotowe,,-13.14,-11.76,2846.17,-97.89,600.21,-35.82,114.95,32.46,-40.02,-26.75,-100.0,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,
Aktywa razem,,12.98,29.3,25.89,51.21,42.36,18.01,63.52,6.01,-0.16,42.33,2.18,11.25
Kapitał własny akcjonariuszy jednostki dominującej,,9.76,44.78,28.92,56.47,19.74,20.54,14.38,26.52,20.29,26.46,24.27,21.8
Kapitał (fundusz) podstawowy,,3.39,0.0,0.0,30.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,9.34,11.07,53.39,86.71,70.74,2.74,6.41,20.59,18.6,-89.67,0.0,0.0
Udziały niekontrolujące,,,,,,,,0.0,100.0,100000.0,833.02,1.31,5.46
Zobowiązania długoterminowe,,92.61,-24.51,45.83,151.1,7.13,-11.69,138.76,-23.76,-34.59,118.94,-4.61,8.76
Z tytułu dostaw i usług,,-35.24,78.75,80.05,-3.12,190.74,10.61,93.68,-5.89,-15.42,70.4,-13.04,-10.11
