,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Period,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Przychody ze sprzedaży,,28.74,3.13,2.56,0.13,1.72,6.49,-2.74,17.12,0.04,17.43,31.47,16.47,11.71,36.53,4.92
Techniczny koszt wytworzenia produkcji sprzedanej,,29.47,3.32,-0.84,-0.68,6.02,7.0,-5.62,20.04,-1.67,19.28,30.86,14.61,8.65,41.24,4.09
Koszty sprzedaży,,30.06,1.6,60.64,19.5,-9.33,2.65,2.61,1.89,-7.94,32.81,13.79,4.72,23.53,35.6,8.89
Koszty ogólnego zarządu,,24.72,31.91,-7.74,-0.13,5.43,-0.33,2.4,17.61,0.61,-7.34,36.25,14.33,10.65,24.58,13.26
Zysk ze sprzedaży,,26.13,-11.32,9.6,-6.24,-20.34,11.15,13.13,7.46,18.3,13.3,44.07,34.8,23.7,19.68,4.43
Pozostałe przychody operacyjne,,75.56,40.17,-57.51,168.12,-12.56,-6.97,53.9,-28.79,-39.49,17.01,177.07,-29.08,1.68,4.76,18.53
Pozostałe koszty operacyjne,,93.15,-42.71,-12.38,25.93,-22.27,26.12,13.04,-34.92,23.98,25.87,-1.18,46.33,-45.45,68.08,2.91
Zysk operacyjny (EBIT),,24.95,-8.39,7.51,-4.2,-19.92,9.78,14.85,6.94,16.0,13.08,47.96,32.17,24.58,19.02,4.65
Przychody finansowe,,58.81,18.14,154.35,-47.46,-50.21,28.36,30.17,100.0,-22.98,-5.36,-0.1,43.04,184.7,79.84,28.37
Koszty finansowe,,-72.04,-7.98,-23.95,28.73,-58.26,160.98,11.82,14.6,17.89,-49.07,132.2,120.85,-4.97,82.77,24.55
Pozostałe przychody (koszty),,0.0,100.0,,,,,,,,,,100.0,,94.15,100.0
Zysk z działalności gospodarczej,,59.23,-6.9,19.89,-12.01,-20.62,6.57,16.11,13.61,10.58,15.79,41.47,28.28,36.74,22.98,7.23
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,59.23,-6.9,19.89,-12.01,-20.62,6.57,16.11,13.61,10.58,15.79,41.47,28.28,36.74,22.98,7.23
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,
Zysk netto,,51.2,-7.98,25.35,-9.27,-27.47,8.54,11.43,18.5,6.71,18.46,40.14,29.4,31.36,26.26,6.3
Zysk netto akcjonariuszy jednostki dominującej,,136.43,14.03,25.47,-9.38,-27.56,8.58,11.64,18.1,6.18,18.42,39.05,29.49,29.09,25.15,6.43
Aktywa trwałe,,-3.9,8.18,10.97,-3.52,4.3,8.61,0.32,4.56,-1.93,-0.47,24.53,5.07,14.37,12.5,10.32
