,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,21821.0,66385.0,19042.0,33708.0,27721.0,64869.0,32339.0,33901.0,62429.0,156027.0,70634.0,61992.0,114606.0,84845.0,36636.0,127390.0,121006.0,129452.0,51599.0,141196.0,122907.0,156837.0,99418.0,156649.0,100666.0,109832.0,99788.0,185937.0,145928.0,95086.0,69014.0,157428.0,105005.0,121126.0,67028.0,188978.0,188568.0,174930.0,91076.0,193029.0,209652.0,116468.0,131522.0,178697.0,232390.0,99686.0,102408.0,289324.0,158718.0,29387.0,85737.0,229770.0,180151.0,123165.0,117248.0,160033.0
Techniczny koszt wytworzenia produkcji sprzedanej,22160.0,28851.0,8076.0,28159.0,24348.0,12366.0,16199.0,25337.0,56175.0,60014.0,62429.0,56149.0,127362.0,70066.0,58969.0,112001.0,123005.0,83560.0,41058.0,173333.0,73642.0,81065.0,96080.0,150099.0,89539.0,96662.0,117791.0,214607.0,145506.0,92614.0,76683.0,195719.0,115950.0,118793.0,67297.0,206223.0,174308.0,168113.0,80596.0,229066.0,188409.0,106784.0,132840.0,197481.0,203498.0,76325.0,103873.0,351296.0,157005.0,32911.0,71749.0,212506.0,151042.0,112303.0,130532.0,158624.0
Koszty sprzedaży,1143.0,567.0,456.0,685.0,421.0,969.0,222.0,550.0,1163.0,2341.0,1338.0,1602.0,4618.0,816.0,2123.0,6147.0,11637.0,7271.0,1078.0,-4766.0,11441.0,9972.0,-8234.0,5243.0,4631.0,5736.0,6555.0,8977.0,12681.0,3080.0,8589.0,11168.0,10040.0,11603.0,10721.0,11170.0,11272.0,11037.0,15664.0,13049.0,29126.0,14672.0,8315.0,11193.0,24282.0,-3765.0,12976.0,11989.0,11119.0,10144.0,10139.0,43613.0,9098.0,11002.0,10138.0,10026.0
Koszty ogólnego zarządu,1203.0,1517.0,1670.0,1983.0,1733.0,2201.0,2766.0,2686.0,3303.0,3883.0,3839.0,4060.0,5156.0,5600.0,5433.0,4991.0,5605.0,3559.0,3709.0,16112.0,3527.0,4770.0,16521.0,7420.0,7108.0,6297.0,3428.0,8279.0,7650.0,11752.0,6365.0,7102.0,10791.0,10251.0,6579.0,15434.0,24139.0,21640.0,11764.0,23614.0,12386.0,10640.0,11686.0,9678.0,10213.0,19592.0,9814.0,25140.0,19220.0,4317.0,12453.0,47337.0,40336.0,15802.0,14210.0,29509.0
Zysk ze sprzedaży,-2685.0,35450.0,8839.0,2881.0,1219.0,49332.0,13153.0,5328.0,1787.0,89788.0,3029.0,180.0,-22529.0,8363.0,-29890.0,4250.0,-19241.0,35062.0,5754.0,-43482.0,34297.0,61030.0,-4950.0,-6113.0,-613.0,1138.0,-27985.0,-45926.0,-19909.0,-12360.0,-22624.0,-56561.0,-31777.0,-19521.0,-17568.0,-43849.0,-21151.0,-25859.0,-16948.0,-72699.0,-20269.0,-15628.0,-21320.0,-39655.0,-5602.0,7535.0,-24254.0,-99101.0,-28625.0,-17984.0,-8604.0,-73686.0,-20325.0,-15942.0,-37632.0,-38126.0
Pozostałe przychody operacyjne,1603.0,1117.0,1881.0,7455.0,1056.0,297.0,1225.0,1056.0,1429.0,4693.0,-772.0,3791.0,40017.0,144062.0,23423.0,-4021.0,42767.0,111534.0,-17416.0,45969.0,5650.0,125531.0,664.0,48619.0,14690.0,165839.0,44959.0,49721.0,11087.0,156164.0,26451.0,37814.0,9975.0,155174.0,67885.0,39789.0,3537.0,173919.0,-20564.0,48812.0,1024.0,185245.0,70261.0,46326.0,20850.0,287526.0,54418.0,92954.0,7850.0,129854.0,60871.0,17713.0,8518.0,89167.0,3098.0,-29729.0
Pozostałe koszty operacyjne,425.0,1273.0,1164.0,1894.0,613.0,1037.0,2547.0,10840.0,571.0,9078.0,4462.0,5849.0,10165.0,8062.0,2673.0,15846.0,6214.0,5464.0,5774.0,5797.0,9867.0,10910.0,4844.0,17442.0,3928.0,6946.0,4122.0,4835.0,3468.0,4555.0,2743.0,1960.0,3492.0,6911.0,5204.0,8151.0,6791.0,3028.0,1200.0,4918.0,2160.0,1747.0,2146.0,2033.0,2631.0,2522.0,2112.0,187.0,2939.0,5742.0,-3116.0,-933.0,438.0,25995.0,-2880.0,-9641.0
Zysk operacyjny (EBIT),-1508.0,35294.0,9556.0,8442.0,1663.0,48592.0,11831.0,-4456.0,2645.0,85404.0,-2206.0,-1878.0,7323.0,144364.0,-9140.0,-15617.0,17311.0,141133.0,-17436.0,-3311.0,30081.0,175652.0,-9129.0,25065.0,10149.0,160032.0,12851.0,-1041.0,-12290.0,139249.0,1085.0,-20707.0,-25294.0,128741.0,45112.0,-12212.0,-24404.0,145032.0,-38712.0,-28806.0,-21405.0,167870.0,46796.0,4638.0,12617.0,292539.0,28051.0,-6334.0,-23714.0,106128.0,55383.0,-55040.0,-12245.0,47230.0,-31654.0,-58214.0
Przychody finansowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
