,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Period,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,30.6,26.52,32.02,58.5,251.74,363.82,129.22,298.2,25.45,27.85,87.14,25.22,82.65,91.47,57.0,102.51,-1.33,54.31,34.27,-15.38,92.29,31.45,23.45,37.94,22.02,-14.04,22.8,5.09,-16.18,22.92
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,158.84,93.6,51.45,66.83,160.46,201.02,75.29,94.39,18.0,-13.27,71.84,12.02,36.94,161.21,21.15,50.03,101.89,49.03,28.84,49.01,62.78,-30.52,36.65,38.18,-17.4,93.45,51.7,17.84,22.5,28.37
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,-18.94,-28.84,10.43,46.48,364.36,729.4,211.39,632.89,30.6,61.36,100.26,30.97,111.23,60.93,83.38,122.06,-43.16,58.07,36.91,-31.58,134.78,72.98,17.41,37.81,61.37,-42.98,7.42,-1.92,-35.95,17.95
Pozostałe przychody operacyjne,,,,,-100.0,147.06,1300.0,,,-90.48,-71.43,100.0,-93.48,6050.0,2750.0,,-3400.0,-45.12,42.11,-58.59,125.25,17.78,-87.65,2502.44,2292.0,-71.07,405.0,-95.13,-79.93,545.65,-100.0,2017.31,-626.67,751.52
Pozostałe koszty operacyjne,,,,,34.88,417.46,212.07,-18.53,574.14,94.17,601.1,-339.68,64.45,-78.52,-54.22,266.23,-62.52,1342.65,-20.48,19.26,704.56,234.35,678.57,385.97,95.2,-66.68,-96.58,-97.5,50.75,-6.4,-100.0,874.31,-3.31,151.03
Zysk operacyjny (EBIT),,,,,-20.19,-46.4,4.69,55.98,360.57,954.5,172.11,716.46,28.54,75.27,140.29,24.31,119.79,46.79,87.87,124.61,-49.79,41.18,23.32,-36.76,144.8,103.39,31.95,51.36,59.99,-43.87,7.48,-1.73,-40.98,16.32
Przychody finansowe,,,,,,-32.1,-95.12,155.42,,458.18,13050.0,774.06,50.22,163.19,445.63,-91.47,111.82,-92.57,122.44,373.42,505.71,2030.0,44.55,-214.97,-55.08,-33.49,-53.88,822.56,203.1,-745.65,462.17,-72.8,-50.03,138.43
Koszty finansowe,,,,,2300.0,,-87.1,13325.0,104.17,1934.15,10500.0,-156.14,-120.41,-102.93,-86.32,115.15,20.0,640.91,-67.24,102.22,12062.5,-224.37,136.84,653.85,-136.47,1243.92,2026.67,172.59,107.16,1635.32,1248.8,105.35,-8332.0,-11.31
Pozostałe przychody (koszty),,,,,,,,,-4250.0,-1771.43,50100.0,6220.0,-419.54,73.5,-86.25,-171.57,1907.52,47035.48,-96.16,49029.22,-90.8,135.03,3714.86,-100.05,335.11,-109.31,83.17,-17720.75,60.73,23.56,-75.56,66.02,-107.64,33.81
Zysk z działalności gospodarczej,,,,,-21.2,-42.46,2.47,26.62,371.47,765.06,917.73,974.06,26.21,98.98,-17.34,9.41,197.61,135.73,69.04,590.39,-50.44,84.14,36.08,-80.33,117.17,-14.27,22.51,42.85,66.12,-106.75,-7.2,-2.5,-44.16,457.95
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-21.2,-42.46,2.47,26.62,371.47,765.06,917.73,974.06,26.21,98.98,-17.34,9.41,197.61,135.73,69.04,590.39,-50.44,84.14,36.08,-80.33,117.17,-14.27,22.51,42.85,66.12,-106.75,-7.2,-2.5,-44.16,457.95
