,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Period,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,48.16,5.97,13.25,-21.5,-5.77,43.47,64.2,81.26,51.67,20.38,17.23,14.4,18.21,59.04,56.66,34.19,10.25,-25.72,-29.71,1.26,37.19,36.3,15.31,9.99,-0.76,70.72,100.07,69.15,67.55,8.16,1.19,-6.68,-6.15,-9.47,-1.59,-9.32
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,49.57,8.55,16.15,-28.9,-4.31,45.65,64.59,86.64,51.39,17.25,14.62,8.1,12.17,55.4,51.78,46.97,17.26,-22.96,-26.66,1.94,39.57,33.75,10.53,4.67,-5.79,84.92,122.08,80.07,76.91,3.79,-5.63,-14.95,-11.01,-10.71,-0.32,-4.66
Koszty sprzedaży,,,,,72.97,10.17,1.23,8.12,-19.66,60.97,130.52,90.52,210.26,38.56,27.76,52.33,10.02,19.85,28.39,-21.12,-5.16,-34.13,-34.18,-4.38,1.61,54.45,34.94,34.92,29.48,45.16,42.24,40.29,49.84,24.64,26.17,32.14,-9.19,-27.78,2.65,-43.89
Koszty ogólnego zarządu,,,,,6.51,17.92,-1.24,122.8,52.96,4.52,47.51,2.86,-0.62,46.9,-11.43,33.95,35.23,8.17,70.78,-1.82,8.38,-1.69,-18.2,9.94,10.62,15.33,34.95,12.1,25.95,42.23,52.83,34.06,25.39,12.67,15.09,62.76,2.96,3.21,0.47,-25.75
Zysk ze sprzedaży,,,,,47.99,-33.6,-0.69,38.03,-35.82,28.35,15.22,89.28,-2.63,19.64,80.68,49.41,145.52,279.83,146.7,-13.61,-40.43,-50.11,-54.92,-11.66,75.44,65.32,46.95,94.54,29.95,-32.63,-38.19,-17.56,8.19,90.83,171.34,89.92,77.49,23.09,-22.01,-14.21
Pozostałe przychody operacyjne,,,,,-41.61,420.61,164.84,35.04,1545.87,-62.15,-68.04,849.43,-96.94,-15.33,-391.61,-70.87,144.16,-40.39,-124.78,-48.79,35.79,66.69,226.28,62.18,71.74,223.55,-14.89,-117.48,-50.53,-96.19,-11.81,706.37,-48.04,265.2,49.12,-13.56,285.13,426.78,7.8,-103.06
Pozostałe koszty operacyjne,,,,,-64.1,-94.94,55.56,74.71,-36.5,2991.49,-83.07,554.19,-15.33,-78.05,910.94,-43.91,266.52,1615.67,477.74,-157.33,-27.28,-1.39,-6.63,37.61,-32.09,16.69,-69.11,165.01,-52.25,-89.74,-89.89,272.96,51.31,389.47,2237.61,-75.27,338.41,-74.79,66.01,447.03
Zysk operacyjny (EBIT),,,,,53.33,71.1,26.21,31.75,74.46,-42.51,14.59,184.26,-64.44,27.67,59.14,-7.01,140.67,136.59,124.82,17.39,-36.85,-56.05,-55.22,-6.84,82.41,139.39,81.61,29.06,22.72,-37.44,-33.24,-12.54,5.13,79.1,141.24,103.17,78.53,55.2,-28.61,-32.22
Przychody finansowe,,,,,108.86,-40.74,79.25,-1.88,-60.61,128.57,-48.42,580.27,429.23,-100.0,-581.63,-76.84,-95.35,,183.9,-148.35,5775.0,-136.8,515.66,-59.35,112.45,602.02,63.0,531.83,-88.28,-76.41,-97.53,-108.57,-67.95,189.54,8285.71,-1054.27,306.67,-55.55,-3.65,195.14
