,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Period,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,28829.0,50439.0,52337.0,68965.0,67499.0,77775.0,78246.0,102063.0,88449.0,100768.0,102972.0,122955.0,103544.0,110884.0,113617.0,137568.0,117810.0,131666.0,144377.0,173463.0,156995.0,178513.0,183533.0,189659.0,149808.0,111019.0,152998.0,218461.0,178930.0,218183.0,225104.0,250022.0,213153.0,266611.0,270903.0,327053.0,310455.0,359561.0,405295.0,361492.0
Techniczny koszt wytworzenia produkcji sprzedanej,30135.0,39384.0,46635.0,56204.0,55616.0,60486.0,62956.0,75838.0,73065.0,76236.0,84584.0,94288.0,92135.0,87089.0,90447.0,106268.0,96945.0,101489.0,112755.0,138830.0,130747.0,143478.0,148403.0,142454.0,129201.0,98355.0,116403.0,157338.0,140866.0,163447.0,174381.0,174359.0,163283.0,201231.0,209800.0,272378.0,269215.0,297760.0,293141.0,279623.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-1306.0,11055.0,5702.0,12761.0,11883.0,17289.0,15290.0,26225.0,15384.0,24532.0,18388.0,28667.0,11409.0,23795.0,23170.0,31300.0,20865.0,30177.0,31622.0,34633.0,26248.0,35035.0,35130.0,47205.0,20607.0,12664.0,36595.0,61123.0,38064.0,54736.0,50723.0,75663.0,49870.0,65380.0,61103.0,54675.0,41240.0,61801.0,112154.0,81869.0
Pozostałe przychody operacyjne,33.0,156.0,415.0,-25.0,675.0,-90.0,81.0,144.0,358.0,270.0,561.0,796.0,200.0,238.0,396.0,154.0,183.0,395.0,499.0,323.0,225.0,97.0,623.0,795.0,774.0,2623.0,1302.0,2848.0,1937.0,4039.0,16100.0,835.0,-1186.0,4635.0,-3356.0,8472.0,2477.0,3099.0,3660.0,4321.0
Pozostałe koszty operacyjne,625.0,1702.0,168.0,2442.0,1835.0,851.0,1433.0,3427.0,1190.0,2529.0,1751.0,2623.0,2887.0,2115.0,1888.0,5143.0,2559.0,2581.0,3212.0,3074.0,2756.0,3174.0,4849.0,4634.0,3028.0,2707.0,1877.0,9213.0,2642.0,2880.0,3498.0,5490.0,3185.0,5478.0,-8663.0,0.0,5087.0,6265.0,6212.0,11864.0
Zysk operacyjny (EBIT),-1898.0,9509.0,5949.0,10294.0,10723.0,16348.0,13938.0,22942.0,14552.0,22273.0,17198.0,26840.0,8722.0,21918.0,21678.0,26311.0,18489.0,27991.0,28909.0,31882.0,23717.0,31958.0,30904.0,43366.0,18353.0,12580.0,36020.0,54758.0,37359.0,55895.0,63325.0,71008.0,45499.0,64537.0,66410.0,63147.0,38630.0,58635.0,109602.0,74326.0
Przychody finansowe,71.0,54.0,21.0,148.0,102.0,247.0,329.0,282.0,186.0,171.0,-26.0,318.0,87.0,97.0,64.0,372.0,609.0,1364.0,37.0,349.0,1207.0,611.0,481.0,528.0,179.0,765.0,213.0,179.0,1187.0,965.0,-310.0,10707.0,12465.0,2835.0,5414.0,6222.0,3410.0,4432.0,1818.0,-2468.0
