,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Period,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,4255.0,28894.0,12187.0,29094.0,45148.0,36858.0,15632.0,26436.0,23856.0,27454.0,19685.0,37698.0,31144.0,38747.0,26276.0,46133.0,49029.0,67367.0,54931.0,50332.0,63693.0,112708.0,46090.0,48419.0,39722.0,59034.0
Techniczny koszt wytworzenia produkcji sprzedanej,2627.0,23832.0,9491.0,26236.0,39487.0,32134.0,12129.0,22708.0,22077.0,24521.0,13696.0,27399.0,25836.0,29654.0,22069.0,38606.0,43309.0,58237.0,50591.0,43067.0,50330.0,100651.0,41843.0,44343.0,29710.0,45460.0
Koszty sprzedaży,11.0,178.0,32.0,19.0,14.0,37.0,111.0,50.0,173.0,286.0,462.0,512.0,615.0,400.0,1307.0,1244.0,1577.0,1817.0,1984.0,2179.0,2791.0,1908.0,2211.0,1645.0,1779.0,2272.0
Koszty ogólnego zarządu,1052.0,769.0,1862.0,2493.0,3020.0,3360.0,3063.0,3203.0,3788.0,4692.0,4774.0,4455.0,4554.0,7202.0,4488.0,5650.0,6302.0,7581.0,4951.0,4880.0,6289.0,5620.0,5129.0,6868.0,7021.0,8146.0
Zysk ze sprzedaży,565.0,4115.0,802.0,346.0,2627.0,1327.0,329.0,475.0,-2182.0,-2045.0,753.0,5332.0,139.0,1491.0,-1588.0,633.0,-2159.0,-268.0,-2595.0,206.0,4283.0,4529.0,-3093.0,-4437.0,1212.0,3156.0
Pozostałe przychody operacyjne,1507.0,2998.0,2104.0,2124.0,2084.0,2275.0,1793.0,1461.0,8749.0,7703.0,2410.0,2920.0,2148.0,1662.0,2294.0,5438.0,4744.0,7640.0,5742.0,6545.0,5692.0,12331.0,8622.0,4002.0,1741.0,5671.0
Pozostałe koszty operacyjne,1233.0,2725.0,1380.0,1768.0,1427.0,1913.0,798.0,462.0,4513.0,5394.0,1504.0,1285.0,1146.0,1378.0,1064.0,2003.0,3775.0,5480.0,4848.0,6351.0,9258.0,9183.0,5391.0,6001.0,1111.0,1295.0
Zysk operacyjny (EBIT),839.0,4388.0,1526.0,702.0,3284.0,1689.0,1324.0,1474.0,2054.0,264.0,1659.0,6967.0,1141.0,1775.0,-358.0,4068.0,-1190.0,1892.0,-1701.0,400.0,717.0,7677.0,138.0,-6436.0,1842.0,7532.0
Przychody finansowe,3.0,36.0,3.0,137.0,-113.0,8.0,9.0,30.0,13.0,-32.0,57.0,41.0,53.0,-41.0,206.0,-74.0,94.0,-57.0,203.0,41.0,403.0,-311.0,123.0,592.0,328.0,732.0
