,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-53.8,651.06,151.9,19.79,726.03,48.16,249.75,-16.72,-47.43,135.95,30.17,15.35,384.54,-9.48,181.02,11.87,-27.02,114.15,-11.7,439.43,166.99,73.79,107.38,-30.04,12.13,24.83,-9.07,-61.5,38.41,43.77,41.87,310.77,25.96,-33.85,53.14,36.26,47.12,142.72,35.73,89.69,44.27,37.06,23.69,9.55,44.85,6.68,57.3,35.2,52.34,32.5,9.49,-32.84
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,6.29,113.06,26.03,5.31,435.5,48.63,11.0,1.89,-64.31,68.28,58.61,76.35,157.28,2.62,69.41,-7.01,52.83,83.2,11.52,66.07,106.14,-9.22,35.64,56.75,4.62,120.01,22.29,20.31,34.54,45.43,65.05,51.46,23.72,-6.32,41.95,76.93,41.61,46.81,87.17,62.18,67.83,17.74,11.63,1.24,25.38,50.36,26.42,73.39,64.82,41.94,49.06,-60.91
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,-9500.0,31.43,3.92,55.28,-214.58,-50.0,137.93,-47.64,98.01,128.33,-104.96,-182.0,11850.0,-290.2,16783.33,119.51,-121.13,273.2,-47.55,12818.75,351.68,1172.62,342.86,-67.03,64.53,-65.06,-40.6,-227.29,55.59,33.87,-6.08,185.88,34.58,-211.7,93.83,-101.14,66.56,376.9,-101.27,14323.53,-26.39,92.56,4696.88,59.18,178.03,-70.03,350.99,-109.85,13.85,-50.7,-96.02,-3969.66
Pozostałe przychody operacyjne,,,,,,,,-96.81,,,,-93.75,,,1500.0,6200.0,0.0,-100.0,-87.5,377.78,3200.0,,350.0,-88.04,-96.97,-96.0,922.22,-155.56,0.0,-100.0,-94.57,370.0,-66.67,,15720.0,77.78,0.0,,6.32,1247.92,37300.0,-76.26,-8.68,7.96,978.07,627.61,251.3,63.21,-67.61,-62.38,-47.48,9.87,66.77,95.69,147.49,204.11
Pozostałe koszty operacyjne,,,,,,,,700.0,,,,-29.17,,,-50.0,6070.59,,550.0,2200.0,118.02,,-100.0,-65.22,-79.27,-100.0,,-100.0,-92.41,,,,9705.56,0.0,,-50.0,-73.88,700.0,,11500.0,30.15,25.0,-120.0,-118.1,-7.75,-100.0,150.0,314.29,8.4,,2300.0,-66.67,-92.25,-36.84,791.67,293.33,481.72
Zysk operacyjny (EBIT),,,,,-3200.0,-2016.67,-509.62,29.21,-224.73,-41.73,137.85,-51.06,99.01,129.44,-92.5,-725.0,23700.0,-307.55,10788.89,-69.91,-107.2,320.91,-46.33,289.15,841.18,781.07,359.51,-64.64,63.23,-65.11,-42.74,-498.7,55.27,33.87,50.79,112.74,32.46,-87.6,55.2,-88.4,96.69,2635.48,-76.63,3416.88,125.0,139.27,444.78,82.02,1.34,-68.28,94.86,-58.75,26.16,-12.32,-53.81,-510.58
Przychody finansowe,,,,,,,,5750.0,,,,-100.0,,-100.0,,,,,,,,,,-71.83,1733.33,5097.06,-72.73,2230.0,-81.82,-100.68,-50.0,-99.79,-25.0,708.33,2400.0,9000.0,353.33,-106.85,-122.67,-143.96,-30.88,58980.0,105.88,110.0,695.74,-91.58,-5200.0,26725.0,28.34,402.82,6878.43,-344.45,70.0,-126.38,-91.76,122.19
