,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2004/Q1,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,11.5,,,,30.31,-12.19,69.36,-6.32,1.99,90.37,15.06,-6.82,12.15,-4.73,-18.0,83.06,44.74,-0.08,51.14,-25.58,-8.75,6.46,1.87,13.84,1.2,-12.86,14.6,6.83,12.07,24.81,-18.09,28.56,13.84,7.35,40.28,-13.45,10.93,8.55,4.83,15.97,18.02,17.26,-8.72,10.66,-1.29,5.47,0.25,-7.52,-0.38,-8.94,16.31,-5.77,12.28,33.43,32.55,19.76,24.52,-1.27,2.65,-0.91,11.55,0.97,-0.23,13.81,1.63,1.93,9.11,9.69,8.43,26.37,22.09,4.81,2.7,-7.36,-3.75,-0.93
Techniczny koszt wytworzenia produkcji sprzedanej,,22.86,,,,13.14,-19.72,89.15,-12.44,6.91,113.53,14.09,-10.21,19.84,-10.58,-12.47,91.18,61.73,13.58,43.7,-30.16,-12.07,-6.54,0.01,12.29,1.98,2.71,6.52,-3.14,9.22,1.55,-6.51,49.13,10.87,12.49,42.99,-18.69,10.06,5.13,-16.83,5.31,10.35,6.04,1.28,13.3,-0.41,3.88,6.14,-16.3,10.03,8.6,14.86,3.52,7.53,22.85,25.3,27.53,19.83,-4.18,-15.63,5.44,4.15,4.34,17.22,3.01,1.85,3.52,1.52,14.79,9.77,29.02,26.11,14.82,12.87,-3.26,-0.76,-1.88
Koszty sprzedaży,,-6.04,,,,32.2,0.66,7.64,26.23,2.61,8.74,12.41,24.88,4.94,38.37,-15.19,15.37,77.39,58.37,81.46,-2.87,-7.65,0.56,27.51,60.55,10.47,21.33,-37.43,-2.79,-0.23,-13.66,41.26,5.31,21.25,13.6,27.12,7.34,-1.82,7.72,8.58,29.66,10.37,26.46,30.42,4.86,8.25,12.91,-7.29,-5.09,19.58,-13.7,-4.16,10.34,-14.07,9.34,10.31,8.26,3.87,7.72,9.02,-0.59,4.16,-13.73,-8.0,8.81,5.42,5.17,17.81,1.38,18.72,39.71,11.95,33.15,9.3,1.6,9.89,1.41
Koszty ogólnego zarządu,,-5.89,,,,26.07,10.63,36.89,26.2,1.21,3.9,6.16,25.08,15.63,123.24,2.89,-3.64,8.99,-36.31,37.81,56.86,-8.66,24.54,-21.8,9.08,48.46,-13.88,127.49,32.71,12.45,48.32,-23.45,-10.4,-8.61,5.1,6.5,-7.43,13.19,-18.88,6.11,17.2,25.34,49.41,30.48,4.45,12.17,-7.08,-8.89,34.89,-0.51,17.81,3.66,-20.94,8.85,-12.49,26.65,10.56,20.23,47.12,17.49,7.12,6.52,-5.83,-9.88,6.07,4.72,-16.05,3.14,13.88,7.68,11.62,42.29,-11.19,-2.96,9.25,-20.26,15.91
Zysk ze sprzedaży,,-57.48,,,,575.7,66.79,24.27,17.4,-23.93,60.01,35.77,-20.47,-39.98,-47.08,-84.61,161.35,-212.96,-280.11,360.95,-34.62,75.65,144.85,19.36,-4.02,-407.27,-531.99,119.56,70.81,59.72,143.58,-120.31,-18.55,163.72,-73.84,44.86,6.05,199.86,411.61,1643.13,68.18,232.6,103.95,-92.38,7.27,-32.12,17.0,-178.9,7.18,-172.75,-121.07,456.43,-35.4,169.72,553.49,296.2,-1.79,258.81,-21.21,124.28,-48.78,99.63,-0.78,-42.75,181.38,-3.42,3.28,51.94,-11.27,-5.06,-4.29,2.13,-71.98,-63.85,-100.87,-15.49,-28.09
Pozostałe przychody operacyjne,,-80.8,,,,326.87,-96.44,-78.82,245.5,-1.75,2505.56,252.86,37.28,53.38,-88.7,-49.39,99.87,254.06,3816.98,838.0,47.39,-50.52,-45.52,-70.19,-9.48,39.6,681.26,1.43,509.17,238.24,-55.32,485.19,-63.26,-26.82,28.19,-77.05,-33.41,19.97,-87.12,13.55,26.65,-41.79,-142.48,334.6,273.46,178.76,1302.17,477.46,-75.87,-71.88,339.52,-94.71,-95.04,-1.33,-4.86,91.42,1089.71,606.88,-28.5,53.26,389.82,-36.08,-17.11,391.42,61.57,-41.09,-13.09,-86.07,-53.26,44.37,87.58,78.75,-7.69,27.87,3.55,-66.36,181.66
Pozostałe koszty operacyjne,,29.1,,,,732.13,-223.84,-64.73,138.61,-68.47,250.67,1087.76,-62.89,-38.67,-25.52,-51.26,663.35,31.74,38.89,88.92,-203.87,160.29,202.34,-49.42,-7.46,-83.18,-63.44,-212.2,323.43,1071.32,68.32,435.42,-51.3,-28.48,14.9,-74.36,-27.63,-50.68,-82.67,463.0,287.3,126.2,68.71,-54.94,-20.88,90.21,591.69,345.47,-80.4,-63.97,-93.06,-81.48,302.74,221.74,1074.77,234.03,65.24,83.26,-12.44,39.81,-89.68,-14.07,-39.54,38.57,4018.14,-45.2,146.76,-49.52,-98.06,37.45,-33.58,26.01,298.99,-51.51,3.41,-89.96,120.63
Zysk operacyjny (EBIT),,-65.6,,,,522.21,162.99,23.11,16.87,-7.04,4.85,11.07,-13.33,-37.18,-54.95,-92.38,131.48,-206.29,-378.36,1017.6,-1.28,46.86,81.92,15.58,-2.26,-136.44,-658.26,155.94,17.66,43.07,149.25,-121.69,-20.12,134.17,-82.79,47.09,8.2,437.16,780.71,1261.02,30.01,143.87,94.56,-86.48,43.76,-35.2,-9.71,134.85,10.86,-192.0,-69.56,-31.77,-53.76,105.03,393.07,278.17,-22.58,3587.32,-26.77,144.69,21.7,114.45,6.57,-30.35,-133.49,2.93,-30.7,27.77,711.0,-7.38,52.16,2.37,-74.55,-54.98,-84.0,-6.38,-1.0
Przychody finansowe,,-56.52,,,,1301.04,64.56,118.47,73.09,-93.03,-19.64,-268.29,-430.13,39307.47,472.31,890.34,362.19,-100.52,-5.52,-31.39,-62.93,219.0,-80.48,-46.99,-318.22,36.12,173.91,-327.23,138.33,408.78,-241.71,201.44,-125.63,-109.98,-38.89,50.86,581.82,94.68,107.89,-186.61,-223.71,9162.79,-2365.34,73.13,60.41,-58.94,-41.38,1066.25,-1420.44,1205.56,171.88,-150.2,227.76,-112.75,-550.44,375.14,-150.77,40.29,108.42,-195.49,292.14,-1405.35,489.13,75.12,-175.65,71.76,98.2,-394.79,-5.18,107.99,-177.31,-22.96,518.48,1897.78,318.59,17.56,-19.62
