,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Period,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,167.02,65.17,71.43,112.8,86.6,76.58,132.16,18.5,94.3,104.03,81.64,73.69,43.17,47.4,64.15,-48.23,67.92,66.7,-16.41,38.79,-32.78,-26.89,-19.2,-1.14,-24.67,-11.17,12.32,24.94,23.61,-5.85,2.2,32.92,53.47,140.65,54.93,-1.64,-10.34,-49.87,-9.86,26.93,37.63,94.63,97.8,-14.95,-14.89,-26.38,-59.71,-20.25
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,51.76,66.89,118.22,183.22,63.82,79.49,71.22,37.44,82.33,70.28,56.02,47.32,11.55,30.83,37.63,28.6,134.78,123.27,40.52,2.41,-20.36,-23.27,-17.62,2.57,-1.66,9.57,24.01,26.49,0.82,-25.77,-26.89,-13.16,11.09,112.1,51.61,33.96,19.0,-25.1,10.39,24.44,28.7,51.06,50.31,4.01,-15.16,-30.98,-43.76,-34.22
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,94.22,28.57,-1226.32,42.25,1269.23,-3.7,195.33,-19.27,194.08,1842.31,328.92,163.21,206.71,122.18,157.26,-194.23,-57.84,-83.69,-123.32,55.56,-162.8,-158.47,1.33,-21.01,-280.99,-979.44,-122.78,-32.8,54.52,102.42,150.78,189.41,268.68,4378.57,80.03,-168.43,-157.21,-223.92,-138.96,-4.06,55.35,90.48,760.34,-192.95,22.88,336.49,-125.35,74.63
Pozostałe przychody operacyjne,,,,,,,,,,,,,-94.03,,1013.64,-11.11,1475.0,-12.33,-86.57,-12.5,119.05,4025.0,414.81,4996.43,55.07,-57.05,380.58,-34.97,-33.18,-80.6,-68.56,-77.8,47.55,-78.18,-0.48,11.17,-36.02,175.0,289.0,-98.69,163.7,208.33,-57.69,11500.0,-2.81,-14.25,3.78,1.44,-19.08,-15.47,-4.48,466.01
Pozostałe koszty operacyjne,,,,,,,,-86.27,,,,2457.14,,,675.86,110.61,-80.56,-55.17,326.22,755.44,1585.71,-38.46,-97.81,-92.47,867.8,-12975.0,-204.76,-46.91,-99.56,108.83,790.91,-86.05,-40.0,-93.41,-88.16,-44.44,3533.33,3183.33,8605.56,-11860.0,-96.33,-56.85,-100.19,1169.13,75.0,-90.59,1033.33,-98.26,0.0,-37.5,-71.43,1694.52
Zysk operacyjny (EBIT),,,,,95.15,28.57,-2477.78,40.65,1784.62,-3.7,171.5,-35.14,89.5,2011.54,456.21,168.81,243.86,113.66,54.99,-427.79,-58.09,139.98,-130.86,108.25,-315.89,-26.93,142.26,-134.31,3.56,-149.88,-737.21,-656.43,66.18,106.82,170.89,225.97,358.19,1598.57,-61.26,-68.82,-123.46,-203.62,-121.26,-3229.57,126.67,115.67,4854.69,83.16,-5.88,231.61,-111.67,-15.05
Przychody finansowe,,,,,,,,-88.89,,,-200.0,-100.0,,-110.53,147.06,,1550.0,750.0,262.5,158.7,154.55,53.85,-106.9,-68.07,-88.1,-100.0,550.0,2.63,40.0,,-555.56,348.72,-64.29,-101.45,102.44,-98.29,4040.0,-1900.0,-2100.0,-1900.0,-40.58,-207.5,100.0,164.81,-69.92,108.13,,34.29,-86.49,-70.0,215.79,-140.43
