,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Period,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,19.79,16.51,10.74,17.32,7.25,11.08,15.93,4.97,22.3,19.88,26.83,26.45,7.02,4.51,-0.7,5.05,-10.03,-6.76,-8.88,-11.45,-0.28,11.34,8.91,11.21,3.06,-12.19,6.33,2.66,22.84,19.78,6.56,18.95,-7.55,12.49,-0.1,1.67,9.98,6.59,19.11,8.54,31.22,28.91,28.93,19.51,14.53,8.47,8.74,11.58,10.2,9.33,21.33,25.35,43.19,56.96,46.53,24.76,72.93,53.93,48.13,66.27
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,10.71,5.1,16.54,17.65,8.13,13.49,3.89,3.13,21.93,23.67,28.99,30.41,10.86,-2.65,1.67,-0.77,-16.69,-1.64,-14.11,-10.31,4.4,-0.96,12.45,11.47,-0.27,-2.84,-7.69,57.46,24.34,21.19,20.12,-23.54,-10.59,6.38,-0.22,-1.76,16.71,10.36,25.74,21.23,31.36,27.58,20.9,14.55,10.82,11.96,15.71,10.93,12.42,12.67,12.98,26.68,46.15,58.35,68.63,42.48,82.19,61.23,40.28,58.73
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,202.62,527.55,-86.56,11.69,0.77,-7.0,1768.12,37.64,25.23,-14.87,9.31,-26.35,-22.56,99.72,-23.29,142.64,63.29,-39.97,57.25,-22.5,-26.57,141.95,-15.53,8.35,29.66,-52.85,135.32,-628.11,13.64,7.07,-42.39,126.86,12.88,74.48,0.74,35.25,-25.9,-16.71,-30.33,-81.54,30.05,39.87,137.1,250.53,45.92,-17.6,-39.08,21.54,-4.06,-24.58,130.04,6.97,20.81,35.85,-94.95,-266.96,-11.6,-75.16,1724.0,39.67
Pozostałe przychody operacyjne,,,,,-28.79,46.89,195.62,-48.23,-45.59,-26.93,3.87,113.61,123.07,155.74,427.91,6.73,18.28,-15.22,-89.06,-1.43,90.0,-15.52,25.86,-26.71,-51.46,152.77,-8.21,-47.36,-19.52,-83.33,-9.67,263.61,35.01,184.55,172.82,-12.85,-46.17,62.41,-57.83,42.76,260.07,-27.16,187.05,61.29,5.74,73.06,-8.41,50.69,-14.01,-894.96,120.39,-1944.01,-56.33,114.71,-42.54,102.89,113.55,23.6,59.12,-107.82,107.48,-61.54,24.45,351.9
Pozostałe koszty operacyjne,,,,,11.69,-45.25,-37.98,95.77,-47.73,87.32,-9.68,42.35,127.67,8.1,50.48,-5.79,-18.11,21.1,-55.82,114.57,112.81,-17.97,45.28,0.36,-46.72,-27.07,3.38,-80.37,49.22,19.79,135.11,414.82,-18.29,25.23,-52.36,14.16,138.81,34.35,138.01,-71.17,-38.1,50.4,-128.41,24.16,-3.25,-43.1,614.67,-115.7,218.43,-190.47,-58.4,556.29,-51.33,116.48,141.8,-141.85,26.16,1358.86,18.02,-116.77,45.58,-81.53,12.75,461.39
Zysk operacyjny (EBIT),,,,,167.29,1543.67,-73.88,-31.29,1.32,-16.66,1306.4,52.88,24.83,-6.9,55.02,-29.85,-19.3,94.29,-46.94,93.84,62.04,-40.88,55.48,-48.48,-27.87,175.69,-16.25,174.74,22.71,-60.0,124.72,-720.29,18.73,12.72,-35.23,114.07,-1.56,79.8,-14.87,145.56,-11.45,-26.3,-0.3,-72.04,30.27,64.76,74.95,266.21,20.51,-100.6,-21.56,-714.56,3.03,12136.15,84.26,116.79,24.08,9.46,-93.65,-220.56,-10.07,-70.83,1422.42,11.6
Przychody finansowe,,,,,133.72,78.28,153.13,18.96,10.76,-23.73,-26.22,-31.24,-27.37,52.9,74.34,51.01,33.14,-43.7,-37.23,-6.76,-51.06,-48.25,-53.28,-9.73,-14.58,54.51,64.42,-68.04,-2.25,-59.84,-47.27,285.07,-24.28,219.75,-63.83,-31.58,370.58,-112.98,-127.04,176.57,-72.95,2000.41,-2450.33,-62.05,0.23,-86.75,267.64,-193.29,631.45,-1270.31,-87.63,182.52,-82.87,112.25,52.71,235.59,-29.9,441.21,468.95,-17.09,124.52,-41.96,2.83,15.69
Koszty finansowe,,,,,427.17,-54.71,-97.37,-66.84,-66.71,128.36,1616.55,108.58,10.45,-91.77,354.23,1.78,45.97,2503.17,-51.1,106.19,-27.77,-56.13,-72.27,-37.1,137.27,52.37,265.46,253.01,-4.46,-25.37,38.57,-53.87,114.73,111.0,131.3,-24.42,28.6,22.26,-39.54,147.79,35.74,243.88,231.11,-29.44,27.4,2.2,-44.99,313.06,36.36,-48.34,127.67,-56.41,-45.75,-11.05,-43.27,-43.31,17.55,26.51,63.47,10.26,99.33,75.75,38.5,101.3
Pozostałe przychody (koszty),,,,,1647.0,637.97,89.15,-332.71,-4.43,-105.88,44.68,-1052.27,-60.38,3356.89,-268.69,121.52,-128.21,-59.18,110.41,-606.27,252.46,35.07,-91.23,21.64,-25.59,-13.96,325.0,27.25,-100.0,-47.27,-100.0,-7489.25,,-91.93,,100.0,,4262.84,,,,75.87,1649.76,227.02,-155.71,-76.38,-81.8,-9987.0,104.64,-14613.39,-4696.63,99.82,-2088.04,130.27,100.55,6118.11,597.41,-88.38,706.64,-569.4,-553.56,-3831.92,2388.49,-157.27
Zysk z działalności gospodarczej,,,,,155.88,976.13,-5.67,-7.71,7.91,-22.76,288.4,9.64,14.66,13.41,48.65,-9.92,-15.67,44.67,-44.36,40.72,46.59,-39.4,41.58,-41.82,-30.24,170.39,-14.1,58.86,22.43,-61.2,108.14,-1275.64,11.45,14.09,-40.82,111.77,9.77,65.64,-13.68,151.46,-23.81,-31.3,-23.13,-75.63,21.46,47.2,159.99,-486.8,48.91,-252.83,-81.15,-563.8,-8.99,175.01,585.94,119.83,30.42,-6.6,-93.45,-254.39,-44.92,-222.8,1887.44,-55.61
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,155.88,976.13,-5.67,-7.71,7.91,-22.76,288.4,9.64,14.66,13.41,48.65,-9.92,-15.67,44.67,-44.36,40.72,46.59,-39.4,41.58,-41.82,-30.24,170.39,-14.1,58.86,22.43,-61.2,108.14,-1275.64,11.45,14.09,-40.82,111.77,9.77,65.64,-13.68,151.46,-23.81,-31.3,-23.13,-75.63,21.46,47.2,159.99,-486.8,48.91,-252.83,-81.15,-563.8,-8.99,175.01,585.94,119.83,30.42,-6.6,-93.45,-254.39,-44.92,-222.8,1887.44,-55.61
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,168.41,1244.89,16.71,-15.17,8.55,-23.45,235.29,37.2,12.75,14.76,68.19,-22.31,-17.81,51.76,-49.99,41.98,51.81,-43.31,40.04,-52.38,-32.18,189.72,-1.57,50.04,26.75,-63.2,98.49,-1798.62,9.45,18.23,-40.55,110.37,10.6,177.98,-94.34,154.91,-20.9,-58.63,1020.97,-69.73,10.13,44.08,159.36,-553.93,64.06,-280.45,-90.76,-387.66,-11.47,160.96,1471.78,120.73,34.81,-4.91,-92.38,-273.49,-54.14,-226.74,1677.63,-40.24
Zysk netto akcjonariuszy jednostki dominującej,,,,,167.28,1223.91,-17.82,-15.25,8.36,-29.9,395.73,36.68,12.97,14.85,67.61,-21.69,-17.63,51.75,-49.8,46.92,51.63,-43.39,39.4,-54.08,-32.37,189.14,-1.58,48.96,26.21,-63.11,98.46,-1858.04,3.89,10.66,-44.52,108.54,8.17,68.35,-12.32,162.33,-18.45,-33.4,-25.17,-63.95,2.24,36.34,152.24,-556.37,80.62,-309.45,-90.46,-371.03,-13.28,157.71,1449.18,118.54,28.38,-22.22,-91.28,-281.76,-59.15,-241.95,1312.95,-69.84
Aktywa trwałe,,,,,,,4.44,2.08,1.97,2.05,2.75,4.34,4.97,8.33,10.97,12.51,13.67,10.63,8.57,12.01,12.04,13.81,16.0,12.33,12.04,15.47,18.69,15.96,18.44,14.82,12.68,26.91,22.52,23.15,21.05,7.05,14.54,13.07,12.74,13.31,6.85,5.89,5.79,4.33,6.11,6.46,5.42,3.28,2.53,0.01,-0.65,-8.51,-9.45,-7.76,-6.63,2.62,5.78,6.17,10.09,3.69,0.47,0.67,-0.47,-6.58
Wartości niematerialne i prawne,,,,,,,7.86,46.5,39.86,32.59,28.14,129.18,152.86,274.25,443.53,-1.46,68.17,46.77,-5.92,58.16,-14.54,-32.73,-25.42,1.21,6.18,10.58,12.4,39.35,61.03,61.86,65.53,-9.64,-22.85,-15.25,-15.3,28.67,30.65,25.79,21.77,17.57,12.4,2.08,0.91,3.25,-15.87,-13.59,-12.67,-29.92,-14.74,-16.43,-19.24,-5.19,-94.37,-6.73,-6.15,-2.55,1532.17,-2.39,0.91,0.5,1.95,1.41,30.57,-4.05
Rzeczowe składniki majątku trwałego,,,,,,,1.59,1.46,1.33,2.01,2.75,3.08,3.54,7.82,9.38,9.25,8.89,9.38,8.96,15.23,17.55,14.5,16.34,12.93,12.33,14.37,17.84,16.0,17.62,14.96,12.76,24.62,22.37,22.81,20.27,7.66,13.26,10.4,10.14,11.07,4.57,5.26,3.89,2.99,5.26,5.3,5.0,5.53,4.51,2.65,2.73,-11.52,-12.25,-11.01,-11.31,1.86,2.8,3.62,4.96,4.91,4.54,1.11,2.18,-8.96
Należności długoterminowe,,,,,,,1179.82,-42.57,-3.23,-86.31,-87.74,-87.37,-88.16,-7.89,46.2,41.07,39.1,2264.0,1547.2,58.65,60.37,-57.72,-90.02,946.01,745.69,9565.52,40543.55,427.31,1929.36,-77.1,-73.48,36.57,-1.54,137.55,97.77,8.36,-12.71,-47.37,-29.14,0.13,-8.26,103.39,253.14,-24.32,-84.7,51.73,8.76,-10.3,2920.3,-13.11,-25.18,249.41,-34.02,201.99,140.33,2.91,114.16,-1.23,106.64,-82.16,-95.67,-87.36,-98.87,-43.01
Inwestycje długoterminowe,,,,,,,853.25,15.43,16.5,-3.08,-2.38,7.65,7.92,-57.22,-61.59,128.41,125.33,18.48,26.48,-51.87,-83.33,-22.96,-19.17,-66.34,9.57,13.0,-3.9,-24.67,-42.55,30.08,-11.13,91.84,-22.86,-48.6,-15.91,64.89,478.6,809.52,637.08,116.26,139.74,9.65,68.0,68.26,67.69,46.74,20.29,-40.67,-60.53,-44.82,-65.68,-47.86,-49.17,-60.22,29.67,98.09,112.62,152.66,18.15,-2.03,2.15,-35.63,-21.07,-36.32
Pozostałe aktywa trwałe,,,,,,,,,,,,,,,,,,,,,,,,,2.0,-4.28,-2.22,-9.47,9.72,4.66,10.79,269.39,180.39,194.19,188.79,-34.71,5.12,-0.68,21.54,54.68,17.48,20.27,-4.39,0.75,-7.46,10.55,13.39,14.0,29.19,-4.92,9.27,102.24,154.88,111.65,82.8,-2.54,-1.47,24.89,54.55,-6.23,-29.52,28.56,15.53,41.83
Aktywa obrotowe,,,,,,,86.84,1.93,5.54,-0.97,3.47,6.32,1.39,2.44,-2.11,5.68,-8.67,-5.12,-7.21,-14.6,-3.53,-6.72,4.55,6.86,5.09,7.24,-1.31,-4.77,19.81,13.15,50.44,27.14,3.61,9.82,-19.86,5.52,-9.12,-11.95,-6.05,23.41,38.05,45.56,59.83,11.17,12.32,36.48,20.52,30.65,18.28,-9.91,0.39,-10.27,17.29,21.66,36.08,51.32,45.43,38.34,8.33,16.14,-8.76,0.38,13.09,22.42
Zapasy,,,,,,,49.78,11.4,-19.29,-30.61,-30.08,-19.54,-5.2,32.3,40.29,99.55,51.15,10.82,-7.13,4.06,-10.44,5.81,35.22,3.75,49.36,78.27,58.2,37.47,69.2,24.27,1.78,33.5,11.2,-11.65,8.06,-9.51,8.81,4.71,10.38,66.48,15.65,22.09,38.43,28.4,65.03,50.69,28.73,48.64,21.9,9.52,-1.58,32.99,41.3,36.14,63.39,8.66,31.33,-22.43,-33.62,52.74,-36.66,57.01,24.22,-6.38
Należności krótkoterminowe,,,,,,,33.84,19.44,4.86,0.76,-7.0,-1.5,-4.02,2.16,8.5,19.72,28.42,23.2,26.36,32.43,28.71,24.01,13.78,-7.36,-9.03,2.56,5.69,29.96,21.24,5.87,19.34,0.03,1.03,7.51,-7.67,3.93,11.11,8.31,10.56,11.96,5.71,3.99,27.14,-4.15,-4.08,27.48,5.6,28.41,63.29,-4.43,-4.93,-1.89,-14.87,22.49,24.34,50.88,60.74,67.0,75.19,66.05,59.32,46.82,30.03,38.72
Inwestycje krótkoterminowe,,,,,,,127.74,-4.23,9.0,2.19,11.83,12.32,4.01,-0.04,-8.93,-7.23,-27.15,-17.35,-20.32,-36.87,-21.26,-24.01,-5.0,19.96,9.83,-3.88,-18.95,-38.39,4.99,14.04,98.78,61.07,2.34,21.92,-32.51,14.72,-35.72,-31.11,-23.22,16.69,108.34,104.16,105.46,13.6,1.35,37.7,27.7,21.36,-18.86,-18.87,3.96,-47.43,39.79,15.09,33.31,130.54,47.09,49.01,-6.69,-56.52,-50.2,-49.26,-4.89,59.47
Środki pieniężne i inne aktywa pieniężne,,,,,,,-9.69,-65.56,68.75,38.95,16.16,-0.32,1.7,-5.05,-9.03,35.43,-5.06,48.8,67.07,-10.08,-2.69,-15.07,-1.48,43.61,52.86,6.73,-28.4,-56.31,9.4,2.69,169.28,165.1,20.88,60.81,-35.13,28.44,-27.58,-24.57,-15.32,14.82,103.48,91.59,97.29,-1.35,-15.45,35.1,32.32,41.92,-4.88,-11.23,4.5,-48.39,44.35,15.09,31.75,113.93,25.98,29.64,-16.29,-62.35,-52.23,-48.0,3.2,93.52
Pozostałe aktywa obrotowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,-100.0,,,,,,,,-37.03,-32.5,-35.32,-36.83,-0.4,-0.04,0.34,0.07,0.2,0.0,160.62,77.02,42.37,40.48,-43.49,-16.5,-77.49,-90.53,-95.39,-100.0,-100.0,-89.79,-100.0,,,-100.0,,,,,,,,,,,,,,,,,,,
