,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Period,2006/Q1,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,1552.69,,,,30.72,43.23,2.12,-5.68,-10.57,-47.79,-3.38,-18.33,1.19,18.17,2.86,16.47,-6.6,-5.67,15.83,58.32,28.98,0.45,17.77,-16.25,-6.28,35.85,5.53,-1.27,18.95,1.24,-0.34,-0.29,-0.38,-1.63,-1.56,5.27,-26.15,-9.98,-19.43,-18.47,-1.79,-40.92,-21.32,-21.19,-46.09,-15.85,-0.21,-5.05,46.2,85.5,21.67,26.19,25.93,21.45,65.12,64.56,93.07,34.76,32.56,41.63,27.89,30.19,7.88,-15.28,6.97,21.61,50.22,50.36
Techniczny koszt wytworzenia produkcji sprzedanej,,1444.1,,,,31.09,38.76,5.37,-11.16,-11.97,-44.36,-11.92,-13.99,4.26,19.29,10.44,21.69,-7.4,-5.68,14.62,55.96,28.89,-1.31,20.6,-17.56,-6.8,39.19,5.52,0.59,20.28,1.75,-1.02,-1.42,1.69,-0.23,-4.86,6.91,-26.16,-11.87,-15.59,-17.28,-0.63,-40.66,-22.78,-22.43,-47.97,-16.85,-0.19,-6.79,47.0,86.27,21.24,27.88,25.02,22.45,64.47,66.92,88.21,35.04,34.98,41.74,28.95,31.15,5.87,-15.08,8.71,20.35,51.59,47.08
Koszty sprzedaży,,28257.14,,,,26.57,117.91,24.17,20.18,-7.62,-27.65,5.55,-28.62,4.41,-36.96,-35.64,-7.44,-35.79,-27.46,-1.94,2.46,35.11,12.45,4.11,-12.73,-15.44,-22.66,-19.2,-7.38,-1.54,14.38,8.9,-9.59,-23.12,-20.84,-11.71,-7.35,-2.4,2.5,-16.64,-18.13,-16.57,-16.9,-12.96,8.44,-0.67,-10.21,20.78,-24.8,-41.1,81.61,4.97,45.36,141.55,-35.79,92.93,31.32,177.95,1.55,-30.81,46.77,-11.19,-6.34,72.91,-32.05,-24.93,230.75,16.51,165.74
Koszty ogólnego zarządu,,,,,,44.0,44.32,-19.23,-26.2,-18.22,-3.67,14.45,-0.31,5.06,-5.6,-34.4,-40.72,-26.47,-7.33,4.69,47.21,3.99,3.38,2.29,-3.06,11.5,-0.17,4.0,4.55,1.23,-1.21,2.06,-13.24,3.22,2.7,-4.82,5.12,-9.7,27.93,-3.5,2.24,4.86,-28.87,0.1,9.63,-4.99,41.79,1.91,13.48,16.79,-15.53,12.36,11.19,1.77,21.42,19.0,2.34,21.31,20.27,7.07,20.61,7.03,15.04,46.96,-15.3,16.29,-14.23,-8.5,72.71
Zysk ze sprzedaży,,6825.0,,,,-66.17,39.74,-322.4,3400.55,1886.81,-212.17,138.82,-98.7,-209.07,69.17,-126.16,-3983.13,176.12,86.91,383.31,243.28,33.18,448.79,-122.22,42.25,51.13,84.03,401.95,-50.92,2.81,-77.14,47.86,101.33,-70.48,-279.25,321.74,-30.06,-151.36,275.53,-99.44,-80.4,-187.26,-167.47,3004.65,-9.21,68.37,15.89,-62.32,424.26,577.34,64.2,276.14,-42.78,-27.21,856.83,66.75,39.11,263.89,90.83,74.39,27.22,84.96,23.89,20.99,20.35,-6.45,-58.53,66.43,45.4
Pozostałe przychody operacyjne,,,,,,-24.72,305.67,96.1,160.98,125.54,27.67,-146.8,-83.78,-3.33,-3.11,192.53,143.01,-49.21,-86.33,-67.6,-84.13,-1.55,51.7,54.77,1140.09,208.76,-35.64,212.92,-35.56,119.8,-123.75,78.21,5.1,-83.97,2936.94,-25.1,-49.45,233.21,1.53,-46.93,67.75,-45.27,-19.13,33.54,-38.65,16.28,66.07,-68.7,231.49,-88.78,4.89,-18.67,-151.89,426.62,-71.71,255.67,165.93,-12.13,-52.55,-31.45,122.59,-15.61,-4.8,374.68,-112.72,103.02,52.58,25.81,-113.64
Pozostałe koszty operacyjne,,,,,,447.97,239.29,-460.85,-24.74,-20.62,-14.74,148.22,-83.39,262.24,10.92,299.39,-176.94,-0.93,-95.52,-43.73,256.93,71.15,286.83,-95.72,740.31,10.8,-44.57,5442.55,-41.73,126.81,-142.8,30.29,20.52,-63.18,837.67,92.63,-65.65,-40.68,74.41,-80.24,-44.41,3.77,-30.81,45.67,87.73,-29.75,1.51,-103.61,357.8,-78.02,124.76,1533.82,-121.08,-10.73,-88.94,-59.28,196.66,55.43,-15.57,18.89,17.36,45.64,4.73,-43.64,-16.78,159.59,35.44,144.36,120.47
Zysk operacyjny (EBIT),,34700.0,,,,-74.78,20.4,-398.23,307.47,867.05,-249.05,129.78,-95.53,-155.64,61.41,-273.67,-35.85,132.64,105.41,167.12,1589.08,-144.21,655.17,-95.82,-17.44,1028.78,82.19,366.67,-49.68,-30.75,-75.44,493.33,143.77,-158.46,318.16,165.01,5.94,238.08,45.78,-104.06,-33.27,-186.0,-74.15,802.99,-81.1,149.59,327.59,10.08,6.07,236.17,-52.44,24.98,110.4,29.6,113.5,216.82,189.62,138.22,29.65,45.01,92.66,67.83,20.11,81.0,-62.62,-4.98,-49.18,47.97,-30.92
Przychody finansowe,,-5921.43,,,,221.84,84.0,-351.79,-95.56,-91.54,-66.64,89.3,-96.92,225.0,-94.31,261.72,-1460.0,68.5,1403.45,-418.84,102.94,154.78,-264.45,150.45,11850.0,-76.88,124.97,-121.32,-97.07,-22.51,-39.11,333.8,2992.86,1600.95,-1555.05,-680.12,-21.71,-87.51,84.36,129.8,-190.86,387.67,123.39,-204.18,144.16,-90.94,941.38,31.44,741.91,-94.42,0.0,151.22,-93.89,-63.64,-75.83,-99.05,-180.0,200.0,617.12,-53400.0,680.36,1308.33,-8.12,100.75,-96.0,43.79,645.63,-134250.0,81738.46
