,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-56.27,-27.32,-5.39,90.73,43.99,43.11,-12.81,23.27,103.8,34.1,53.55,-28.44,-24.0,-5.86,-7.56,-20.46,-21.77,77.43,109.75,42.57,29.89,-17.99,-29.65,11.28,7.12,-4.98,-20.62,5.95,8.53,55.96,48.17,18.57,-42.17,-5.23,8.01,29.17,178.23,-2.27,9.15,42.49,-34.92,16.01,53.46,-35.77,14.89,-22.38,-23.6,48.59,-10.91,115.38,-30.22,-42.32
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-55.16,-23.49,-21.29,109.01,34.18,33.8,9.39,30.83,101.36,53.02,58.56,-26.29,-16.55,-11.39,-12.96,-24.7,-27.3,64.8,99.55,41.16,30.65,-17.6,-32.86,-2.0,-5.73,-20.37,-21.42,8.09,8.35,85.59,44.78,18.5,-41.58,-4.7,8.42,23.97,212.2,3.18,23.18,40.93,-46.26,8.79,47.39,-30.72,15.81,-36.08,-31.75,40.63,-9.34,135.64,-28.51,-38.03
Koszty sprzedaży,,,,,7.68,-13.66,17.34,-5.88,60.06,17.07,44.32,137.32,18.91,52.09,-8.44,39.06,-15.74,-39.28,17.18,-36.5,11.86,12.51,-19.26,37.52,24.38,-3.76,28.34,-18.57,36.86,132.09,127.11,90.32,30.15,2.53,-12.05,6.39,3.71,0.45,3.63,-10.12,-15.84,-41.69,-33.48,8.86,6.94,19.9,58.7,13.62,30.37,67.71,-4.84,23.71,19.2,25.28,14.02,-36.84
Koszty ogólnego zarządu,,,,,40.96,27.64,31.36,55.78,19.08,43.68,-20.3,-5.45,11.34,-20.07,105.49,10.78,31.01,37.1,9.93,3.32,7.31,22.83,13.07,26.9,12.72,0.04,12.66,1.29,3.58,39.47,-16.88,-6.17,5.96,-9.42,16.52,-14.26,-3.64,-10.04,-9.05,48.82,-1.96,-6.37,16.73,20.14,19.5,24.81,-3.17,46.1,9.49,37.78,14.25,-13.36,7.33,-0.07,9.96,2.04
Zysk ze sprzedaży,,,,,-89.46,-105.35,40.46,60.88,308.21,1041.8,-70.13,0.49,232.3,-76.94,-11.16,-53.63,-72.08,258.87,10.19,0.24,-7.46,648.37,599.74,59.57,53.02,-34.12,-42.41,80.6,106.09,12.22,-48.66,-2.78,5.5,34.53,165.02,28.56,-81.56,-6.55,18.52,43.91,660.74,-16.36,-27.86,52.21,-8.04,61.5,128.73,-59.44,11.69,-13.45,-11.03,109.07,-32.78,203.84,-59.12,-61.38
Pozostałe przychody operacyjne,,,,,53.03,-39.53,-75.08,31.2,-17.82,-30.77,2.63,-64.17,21.69,-34.57,69.23,40.91,113.86,179.25,218.18,193.55,62.96,92.23,-58.1,-14.51,-40.62,34.45,50.57,-108.74,167.94,-80.65,-53.96,1082.35,-71.79,48.65,322.95,430.54,-15.82,95.0,-41.47,-53.44,-92.48,-36.13,-50.0,-32.24,-20.0,92.7,193.38,-37.03,4700.0,-39.2,177.2,80.68,-14.32,6.54,-52.93,25.16
Pozostałe koszty operacyjne,,,,,-35.65,50.0,35.37,-7.0,-74.32,-16.67,-20.72,-44.35,547.37,-115.38,5.68,-23.31,56.1,4980.0,61.29,847.06,-53.12,0.0,-53.33,-87.27,17.78,-76.84,10.0,115.45,-57.55,91.15,-32.47,117.74,322.22,-45.37,-55.77,227.56,-61.05,-33.9,552.17,41.01,16.22,10.26,-9.33,-83.23,11.63,36.05,430.15,-101.57,-33.33,12.82,-71.71,11142.86,167.19,43.18,277.94,-50.97
Zysk operacyjny (EBIT),,,,,-88.98,-98.7,31.67,61.88,302.01,3564.71,-70.12,-0.05,224.47,-69.42,-8.09,-53.26,-71.77,99.21,26.05,-6.87,1.27,848.35,500.94,74.21,42.31,-25.8,-41.24,74.54,113.74,-2.75,-49.07,-2.57,-1.3,38.26,174.49,29.45,-80.78,-2.99,13.67,38.01,628.04,-17.87,-28.79,59.66,-8.19,63.38,124.4,-58.94,15.59,-15.23,-3.17,105.6,-33.24,198.52,-63.02,-60.49
Przychody finansowe,,,,,2100.0,2291.67,358.46,433.33,94.63,-58.54,-53.36,-76.22,-81.32,-66.39,-77.34,-19.87,-73.86,-32.5,-223.81,203.2,334.78,-9.88,239.74,-62.27,-4.0,27.4,-48.62,-12.59,-57.29,-54.84,-66.07,-29.6,46.34,471.43,-921.05,-69.32,-71.67,-89.58,128.21,288.89,558.82,216.0,70.45,-60.0,-70.54,-37.97,-34.67,407.14,78.79,238.78,428.57,-17.84,264.41,180.12,-26.25,269.14
Koszty finansowe,,,,,202.21,144.4,37.99,-36.58,-53.41,-57.4,-73.28,-81.08,-46.48,7.17,127.27,595.14,360.98,20.74,4.22,8.39,-37.35,-99.45,11.3,-41.66,-31.93,20950.0,-27.01,-22.27,-12.9,1.19,-5.77,53.46,5.41,31.69,93.59,36.69,132.43,82.71,22.88,-6.78,-27.44,-0.88,-18.27,14.66,81.89,-29.82,65.62,-11.6,75.07,165.5,163.75,212.0,31.4,64.66,-41.92,-109.76
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-97.45,-89.93,42.67,79.29,1759.64,451.67,-67.69,0.65,211.44,-84.74,-36.2,-58.45,-81.02,137.13,20.38,-5.32,25.48,1417.54,729.41,85.28,59.48,-31.04,-42.03,78.48,123.22,-4.05,-51.96,-3.97,-1.35,42.62,177.32,28.78,-90.52,-13.03,15.62,39.95,1366.27,-19.81,-29.29,60.46,-13.85,81.5,128.82,-59.47,8.79,-28.64,-14.57,100.37,-43.83,238.93,-67.28,-56.33
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
