,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2004/Q1,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,-22.91,,,,28.39,-10.48,51.6,22.5,123.64,97.85,101.36,86.14,-2.66,21.54,7.52,19.69,-6.87,-29.9,-8.0,0.31,-10.71,-1.69,0.52,-3.84,-7.75,3.12,-33.6,-50.82,-52.2,4.28,-22.46,4.47,22.05,-23.25,3.76,47.89,35.6,-14.76,-5.66,-11.6,-12.69,54.81,60.7,-7.92,16.81,-13.86,-6.7,21.04,1.3,8.88,13.32,-22.42,-5.97,24.12,-1.59,-14.81,5.44,-32.18,-24.54,9.42,-15.39,14.67,28.91,2.18,44.74,32.7,49.37,-0.18,5.96,8.9,12.39,22.95,131.23,136.72,28.03,17.78
Techniczny koszt wytworzenia produkcji sprzedanej,,-33.42,,,,82.82,2.87,64.46,47.67,117.68,123.26,56.01,61.29,-9.68,-12.31,18.68,-14.65,-30.01,-23.92,-6.04,56.32,59.59,4.44,-6.85,-32.44,-26.22,1.79,-28.68,-44.52,-52.12,-14.33,-9.05,-64.71,14.52,-4.4,-35.69,322.25,8.74,-29.12,51.43,-16.46,9.66,53.51,30.36,-1.34,15.41,-3.09,8.49,20.82,-0.63,12.87,12.07,-19.05,-0.61,7.7,-7.5,-12.66,-4.91,-23.35,-14.62,-12.99,-31.66,-11.62,2.57,12.21,52.86,38.73,35.88,6.38,3.26,1.89,13.12,21.09,121.11,133.96,26.82,14.5
Koszty sprzedaży,,-16.52,,,,3.21,-3.14,275.52,719.34,555.96,421.86,97.02,69.39,6.87,41.82,36.11,40.64,2.22,8.59,35.07,11.18,3.33,-5.99,-28.17,-29.51,-6.44,-9.38,-13.67,-55.29,-68.14,-22.71,-56.38,25.36,119.01,-49.2,24.9,96.2,43.3,147.44,72.6,6.8,-20.04,-6.15,3.0,7.6,3.84,-12.0,-0.17,-13.09,32.7,29.62,21.36,-8.32,-21.93,33.88,-4.66,-11.19,13.65,-22.59,1.93,-9.01,5.81,-5.81,14.55,23.66,29.65,15.2,39.75,-17.01,8.76,23.15,1.09,20.5,53.59,50.53,-0.58,12.74
Koszty ogólnego zarządu,,4.7,,,,76.69,58.93,-1.76,-29.52,1.49,5.65,57.01,17.54,-0.52,6.64,19.84,-3.29,4.56,23.57,-85.93,64.39,-7.91,-5.04,283.24,-46.59,-15.93,-23.62,14.66,-26.62,-11.91,-26.05,-4.08,117.34,10.06,14.31,100.56,-104.0,-45.46,-38.5,-72.41,766.42,2.44,-9.5,25.35,7.89,-9.86,-11.46,-18.11,44.77,6.01,2.42,-6.88,-8.63,-8.5,11.33,8.31,-27.55,4.96,1.48,4.99,8.69,20.43,-18.08,-10.79,46.98,14.9,214.8,107.67,-12.86,12.2,-40.52,-11.96,60.73,23.95,13.08,23.26,-12.17
Zysk ze sprzedaży,,-56.21,,,,-1932.43,-539.33,-21.55,-227.61,16.37,-73.52,176.36,184.86,30.07,104.67,-196.23,366.35,139.85,-2661.18,247.84,-141.96,-1045.89,-2.66,-6.83,332.08,54.97,41.16,-202.1,-71.65,16.72,142.97,-19.94,119.25,-26.58,-195.58,-48.29,29.21,106.13,-8.15,34.38,-43.89,-829.89,236.47,163.44,-58.39,51.02,-77.04,-109.11,131.37,-102.25,-204.37,247.83,-65.69,14.63,337.7,338.24,-24.54,50.28,-248.24,-362.42,326.28,16.1,235.66,158.18,-60.62,95.54,-112.92,90.77,35.14,-230.0,1061.86,81.68,-5.0,9915.15,493.13,76.92,105.09
Pozostałe przychody operacyjne,,-43.36,,,,1401.56,586.16,448.57,43.51,371.7,-25.94,-4.69,-73.41,-74.78,-26.98,8.47,-41.43,-59.14,-4.24,112.09,572.73,168.52,195.75,-42.64,-75.81,-6.06,-78.93,-23.81,-55.31,-65.62,3.98,14.13,115.55,0.74,5.19,-18.33,-46.39,-18.14,-11.69,41.98,237.99,-68.56,12.65,-79.26,-77.21,24.76,-83.29,10.89,-30.48,154.96,20.31,-51.79,100.0,-72.16,-42.86,-7.41,-24.14,60.22,-165.91,182.0,416.23,-70.47,2527.59,-4.96,-84.21,518.18,76.99,8.21,250.2,-92.65,-95.51,-28.97,76.91,65.0,10.71,-32.04,12.28
Pozostałe koszty operacyjne,,-58.23,,,,425.0,1652.17,157.45,370.73,83.52,85.11,275.21,-91.41,-79.04,-91.69,-84.14,177.59,112.86,340.32,2856.94,-177.87,-52.35,-84.62,-56.46,235.39,188.73,609.52,24.49,-76.44,-45.04,4.03,-71.49,441.25,1.18,16.13,22.19,-70.27,21.93,74.72,19.65,-86.02,-51.08,-65.34,-51.98,311.11,-19.12,-29.36,-59.31,87.5,46.06,-22.08,-101.06,-65.23,103.32,50.0,11600.0,484.97,-84.49,-86.67,34.78,22.05,352.63,1187.5,-7.74,26.56,-57.27,-32.36,-173.43,-90.94,19.73,14.35,263.81,-1.27,-25.0,-34.73,-26.74,156.41
Zysk operacyjny (EBIT),,3.03,,,,-2867.65,-196.53,23.65,-850.5,354.73,-386.19,204.79,136.01,-94.16,134.83,-138.46,197.77,140.0,-407.5,-256.25,-49.79,-679.76,67.85,139.3,103.44,59.8,-108.09,-755.36,-67.12,-34.61,149.25,50.48,41.62,-28.37,-182.93,-74.97,91.69,100.3,-69.51,37.89,-8.64,-18450.0,210.19,147.47,-73.61,53.0,-90.33,-107.47,92.38,-55.36,-351.61,539.29,-45.95,-74.25,235.9,89.43,-131.95,79.23,-328.3,-441.63,944.86,-170.1,280.17,156.03,-124.52,121.95,-29.74,150.67,417.52,-264.35,3.59,34.88,32.17,1761.38,597.27,81.3,45.1
Przychody finansowe,,-99.74,,,,-421.43,2440.0,-54.84,11088.24,163.33,-92.72,203.57,-89.96,240.35,-8.11,-170.59,-173.3,-99.48,151.47,-176.67,154.29,7800.0,-146.2,142.17,-88.16,-75.95,144.3,-150.0,-88.89,626.32,-277.14,262.86,1000.0,-97.83,124.19,-89.47,45.45,100.0,-80.0,0.0,-75.0,-33.33,66.67,-33.33,-25.0,-25.0,-40.0,-50.0,5466.67,1300.0,33.33,-350.0,-84.43,-88.1,150.0,720.0,-123.08,200.0,70.0,-38.71,466.67,-26.67,147.06,-5.26,-218.18,145.45,83.33,1288.89,230.77,-96.3,-89.61,-95.6,8.82,4900.0,537.5,427.27,475.68
