,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,59.13,12.08,-16.88,54.29,43.41,40.21,36.96,-32.77,-40.43,15.11,-2.81,12.78,15.85,19.06,27.7,14.17,3.46,-22.86,-9.61,12.8,-10.86,-1.45,1.61,6.87,16.2,19.36,34.71,-32.14,-6.17,-2.5,-46.31,-15.69,-10.57,-0.15,74.61,76.36,37.78,53.9,50.07,23.72,18.89,-12.44,-18.75,-74.54,4.66,27.81,18.39,359.02,-22.26,-58.29,-40.52,-45.66,-11.94,82.78,11.33,29.19,35.1,-22.2,-16.27,18.89,95.81,174.05,97.28,-15.36
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,77.13,8.87,-13.29,55.03,62.74,34.54,31.1,-35.68,-53.38,70.22,-3.5,-17.07,44.23,4.36,25.46,37.23,7.38,-19.78,-14.5,8.57,-21.23,-13.23,3.31,7.99,6.45,26.77,31.45,-35.0,-0.37,-4.62,-58.47,-21.89,-22.86,-7.58,103.07,94.34,59.83,59.91,63.31,13.3,8.33,-8.72,-21.52,-71.06,11.27,27.32,20.31,393.51,-23.64,-55.44,-47.21,-50.25,-11.46,72.42,8.04,29.25,40.74,-23.72,-7.67,3.05,85.85,214.1,97.27,-1.32
Koszty sprzedaży,,,,,51.85,-2.38,5.71,-5.69,0.0,17.07,-2.7,16.38,17.07,-8.33,32.41,25.93,10.42,43.94,26.57,65.88,8.18,-13.16,-7.73,-30.14,1.74,4.85,8.98,-6.6,8.0,27.17,9.34,9.24,4.76,5.45,4.02,1.0,4.55,5.17,10.63,14.29,23.67,17.62,2.18,34.91,-14.84,-16.03,9.83,-15.65,-33.94,-33.61,-35.02,-34.47,-5.56,-35.62,-25.75,-26.01,3.68,43.69,0.81,5.47,-0.71,4.05,40.8,35.56,27.86,24.03,-2.27,13.11
Koszty ogólnego zarządu,,,,,-13.73,130.34,11.24,143.91,14.51,-18.1,8.12,-47.32,3.82,12.73,61.27,60.25,-10.15,1.61,-25.16,-50.83,11.13,47.13,-34.02,-8.5,3.98,-36.1,62.47,70.21,12.61,15.71,10.97,4.89,10.19,-3.37,13.6,11.05,11.87,22.3,-3.48,31.51,4.69,55.18,43.8,187.24,62.57,-23.81,38.72,-52.74,-3.54,43.37,7.34,31.69,5.72,-16.47,-30.91,-24.48,-10.88,2.95,16.27,8.63,0.26,19.61,17.76,32.17,37.63,10.51,8.69,22.16
Zysk ze sprzedaży,,,,,25.56,12.47,-90.63,-41.25,-16.11,59.45,1130.99,395.61,35.14,-82.18,-15.1,523.07,-43.27,273.23,106.33,-35.09,-19.02,-45.04,54.47,36.57,61.58,89.49,-16.05,-0.11,51.26,-3.93,67.01,-23.32,-22.06,6.25,22.36,3.65,25.76,25.23,23.71,33.57,-1.83,38.0,4.47,47.31,48.9,-22.99,-11.34,-90.69,-9.14,29.24,12.6,439.64,-21.84,-74.42,-7.3,-11.66,-13.65,184.12,20.64,33.81,25.38,-22.78,-44.75,91.12,136.04,57.88,126.23,-55.99
Pozostałe przychody operacyjne,,,,,747.37,483.72,25.0,160.56,-50.93,29.88,-76.92,-76.76,-49.37,-66.87,415.56,278.29,1925.0,-40.74,2296.98,-31.97,-86.79,84.38,-98.15,-11.45,230.84,15.25,-10.68,6.12,48.87,339.71,1091.3,576.6,-48.39,53.18,-84.22,-36.95,293.38,468.89,90.75,-43.28,-65.98,-91.04,128.48,-128.21,1135.16,-4.71,-39.92,1591.08,-87.92,367.87,-10.82,-77.83,-38.49,-77.52,-31.19,98.86,88.02,198.93,134.17,-105.07,-35.83,-18.16,-50.08,607.04,149.63,-65.59,-38.77,157.5
Pozostałe koszty operacyjne,,,,,135.29,94.74,219.15,394.96,145.0,-37.84,-58.67,-62.21,-75.0,246.09,-30.65,247.31,314.29,14.07,641.86,2.55,791.63,20.93,55.8,9.83,-83.43,37.89,-35.41,39.33,16.33,-3.43,42.37,31.26,42.69,-35.16,7.88,-58.01,89.56,63.5,-5.27,69.53,-45.87,-45.16,29.34,776.66,977.5,137.65,22.35,-70.32,-89.3,88.02,-129.36,-10.86,-33.62,-76.78,276.5,-55.29,22.51,213.83,111.23,48.51,18.16,-24.28,-28.06,-28.1,19.43,-47.9,106.53,5.87
Zysk operacyjny (EBIT),,,,,27.09,14.39,-88.49,-63.01,-18.34,60.88,825.67,571.67,37.34,-84.93,-3.35,542.98,-36.7,311.74,396.35,-37.6,-56.25,-47.97,-47.78,37.66,170.38,94.57,-13.7,-3.55,52.65,2.25,94.31,-13.09,-25.49,13.86,7.21,6.75,30.93,69.72,27.03,20.48,-4.44,-3.05,7.43,-44.2,40.93,-27.15,-15.28,-78.29,-2.9,37.97,23.07,376.69,-22.0,-74.56,-13.43,18.9,-11.77,182.43,20.32,7.77,21.64,-21.96,-46.22,124.07,142.33,54.11,119.44,-56.68
Przychody finansowe,,,,,453.1,642.0,79.75,-38.95,-22.24,-60.11,-54.8,-72.52,-59.26,-63.51,-70.77,55.65,135.86,256.48,376.84,85.2,1148.82,109.61,-10.82,-77.53,-98.23,-79.8,-86.39,91.28,-38.83,60.12,18.18,33.68,280.95,-57.85,35.38,-30.45,-15.42,311.82,263.64,-15.85,-6.4,-48.12,-18.75,551.12,83.16,15.74,-36.54,-83.54,14.66,85.29,2840.61,5285.77,194.24,-222.22,-101.32,-95.49,-87.65,143.02,182.81,38.38,-10.34,226.79,1922.64,-82.21,1346.15,173.9,-74.25,167.83
Koszty finansowe,,,,,60.0,31.91,33.33,282.54,118.75,-1.61,450.0,-18.26,128.57,131.15,48.99,548.22,460.42,600.0,337.63,26.7,12.42,48.13,24.71,49.32,33.66,64.64,56.02,28.48,11.78,8.02,3.54,5.09,14.87,5.65,32.06,22.75,22.5,65.09,3.29,-10.69,-1.1,-41.37,-23.17,-4.84,-16.13,22.38,14.09,36.59,26.81,17.24,25.79,14.11,-14.77,-37.61,-53.5,19.0,-16.28,44.08,25.01,-15.59,31.6,32.58,113.41,40.02,85.41,66.01,-8.43,-13.77
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,34.21,23.87,-56.46,-57.72,-19.36,50.27,113.56,128.57,29.45,-85.49,-20.72,487.74,-45.89,285.33,406.86,-40.77,37.51,-52.99,-58.08,24.31,-26.73,64.25,-58.95,-10.68,67.12,1.41,268.48,-18.53,-34.0,14.35,-6.06,-3.54,32.86,76.19,50.04,39.0,-5.93,11.24,22.45,-45.13,67.81,-37.34,-25.75,-162.28,-9.08,48.72,98.29,590.66,-16.16,-93.92,-35.85,-82.69,-20.33,966.12,20.9,73.59,17.64,-38.75,-73.94,188.8,182.44,65.36,289.23,-79.58
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,34.21,23.87,-56.46,-57.72,-19.36,50.27,113.56,128.57,29.45,-85.49,-20.72,487.74,-45.89,285.33,406.86,-40.77,37.51,-52.99,-58.08,24.31,-26.73,64.25,-58.95,-10.68,67.12,1.41,268.48,-18.53,-34.0,14.35,-6.06,-3.54,32.86,76.19,50.04,39.0,-5.93,11.24,22.45,-45.13,67.81,-37.34,-25.75,-162.28,-9.08,48.72,98.29,590.66,-16.16,-93.92,-35.85,-82.69,-20.33,966.12,20.9,73.59,17.64,-38.75,-73.94,188.8,182.44,65.36,289.23,-79.58
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,35.34,25.16,-71.39,-57.74,-19.15,48.44,242.54,64.65,29.18,-85.83,-22.6,563.16,-42.07,290.36,387.18,-44.97,17.34,-49.79,-57.56,32.31,-20.12,55.6,-59.12,-15.64,66.77,2.16,276.81,-14.68,-33.25,13.53,-6.54,-7.76,35.05,76.51,52.63,35.27,-3.53,7.78,69.89,-92.28,84.26,-30.63,-54.22,-869.02,-20.94,41.74,103.32,366.37,-22.95,-97.45,-26.77,-76.42,-7.87,2178.11,34.13,38.53,-9.35,5.84,-89.15,209.0,249.96,3.99,656.8,-77.54
Zysk netto akcjonariuszy jednostki dominującej,,,,,35.34,25.16,-71.39,-57.74,-19.15,48.44,242.54,64.65,29.18,-85.83,-22.6,563.16,-42.07,290.36,387.18,-44.97,17.34,-49.79,-57.56,32.31,-20.12,55.6,-59.12,-15.64,66.77,2.16,276.81,-14.68,-33.25,13.53,-6.54,-7.76,35.05,76.51,52.63,35.27,-3.53,7.78,69.89,-92.28,84.26,-30.63,-54.22,-869.02,-20.89,36.36,79.94,380.11,-22.82,-94.84,-11.98,-78.39,-9.51,1068.65,31.35,36.82,-7.4,5.25,-89.24,244.89,248.93,6.23,646.55,-78.73
Aktywa trwałe,,,,,374.38,607.53,596.31,191.09,111.04,48.1,46.57,42.73,46.28,62.25,84.76,86.65,70.22,48.47,27.93,21.46,23.86,37.84,43.3,37.33,31.93,15.54,9.07,7.65,8.34,7.46,7.96,7.3,9.89,20.25,25.26,31.95,27.3,14.16,7.63,2.28,1.67,5.97,5.58,4.85,6.28,0.28,-4.78,-6.64,-3.5,-1.71,3.23,3.92,-0.38,0.16,-0.35,-4.41,-5.1,-4.38,-4.03,0.02,2.97,7.81,14.24,5.16,12.17,-9.88,-11.86,-3.89
Wartości niematerialne i prawne,,,,,21.3,2625.0,1346.67,1411.54,1684.73,31.86,31.67,32.87,33.53,-1.64,1.24,1.92,2.53,2.32,-0.41,-0.85,-0.75,0.25,1.99,1.39,0.25,-0.56,-2.57,-2.59,-1.48,-1.17,-0.73,1.85,1.12,0.67,68.46,9.17,8.26,6.34,-37.26,-6.56,-6.87,-6.14,-3.0,-0.52,5.35,5.65,13.95,13.21,5.7,4.12,-7.67,-10.08,-9.97,-9.12,-8.3,-6.08,-3.77,-2.03,-0.26,0.74,0.75,0.62,0.52,-0.55,-0.55,-0.52,-0.55,-0.13
Rzeczowe składniki majątku trwałego,,,,,179.26,680.73,579.97,387.66,560.47,131.49,136.3,119.63,59.59,99.06,111.03,-61.46,-66.43,-74.48,-52.94,225.05,358.68,492.89,5.94,-30.27,-49.91,-58.33,18.71,28.21,35.99,2.5,-11.78,-30.81,-10.73,55.65,86.18,-65.1,-74.82,-82.27,-84.29,-1.84,-1.73,0.86,1.59,-24.45,-35.96,-29.79,-19.56,70.6,30.64,36.32,3.97,-49.0,-22.61,-35.11,-29.73,-10.64,-9.64,-4.84,-4.46,33.52,113.18,-10.68,-0.87,-6.12,-50.83,13.18,173.1,147.01
Należności długoterminowe,,,,,43.91,23.63,2.12,-49.3,-37.13,-35.0,-51.13,-41.6,-48.86,-53.84,25.83,-60.99,-60.99,-56.57,307.94,1314.72,-67.3,-62.94,-97.66,-97.62,4.23,4.2,144.87,113.06,111.07,447.99,133.54,-7.71,261.54,25.87,25.33,293.93,58.46,152.1,215.54,244.36,118.19,50.64,17.01,-2.64,-2.66,-2.67,0.0,-91.95,-91.95,-91.95,-91.95,55.0,0.0,0.0,-73.21,-31.57,5.0,543.21,2240.0,874.41,823.3,17.43,139.43,-100.0,-100.0,-100.0,-100.0,
