,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Period,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,58.49,-32.12,67.99,8.12,-45.49,-0.78,5.69,30.92,35.63,-3.82,-20.08,-24.28,-23.2,13.9,61.7,26.91,44.04,53.69,47.57,34.93,36.12,-11.58,-8.4,9.6,3.54,4.66,30.53,8.44,0.17
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-161.88,-1.21,-17.95,-3.88,59.51,-18.81,-112.3,122.85,43.64,-25.62,479.66,-73.35,815.96,9.15,36.05,-0.76,90.58,348.62,738.4,458.66,102.39,12.95,10.12,19.07,4.94,8.87,3.25,3.6,6.23
Koszty sprzedaży,,,,,-100.0,,,,,,,,,,-51.33,23.36,166.34,9.83,-15.29,14.69,-5.12,-100.0,-100.0,-100.0,-100.0,,,,,,,,
Koszty ogólnego zarządu,,,,,195.91,26.42,109.6,-3.75,-25.48,-0.64,35.12,-269.34,64.23,-3.16,11.89,203.36,-83.06,0.33,4.46,35.36,-89.4,-100.0,-100.0,-100.0,-100.0,,,,,,,,
Zysk ze sprzedaży,,,,,206.11,-77.87,676.66,346.27,-74.63,66.39,18.24,102.28,64.56,-19.92,-125.32,-97.23,-118.21,43.77,647.85,1041.88,230.01,-94.78,-80.8,-396.88,-284.64,-2724.0,-496.49,-79.17,-20.71,-24.71,169.16,15.2,-64.89
Pozostałe przychody operacyjne,,,,,-339.17,1206.06,-93.03,-88.17,113.79,44.78,29.0,30.57,-37.56,-15.06,34.14,14.72,-5.41,40.94,-29.97,-64.24,617.73,-99.46,-94.92,-71.37,-100.49,4812.5,349.21,65.75,485.45,-17.81,40.99,2.89,68.4
Pozostałe koszty operacyjne,,,,,-64.86,-66.67,-98.81,1036.36,-55.58,1128.57,228.57,-48.0,924.64,-81.78,-34.78,-98.46,-64.4,-95.74,160.0,78200.0,1696.56,2450.0,1548.72,-94.64,-90.79,564.71,-51.94,376.19,-32.11,-92.92,148.22,-10.0,-64.39
Zysk operacyjny (EBIT),,,,,134.78,-73.5,-40.39,-51.83,46.69,58.35,19.48,90.62,14.57,-17.19,-102.68,-80.01,-111.23,44.3,5031.58,18.07,113.03,-96.04,-87.46,-433.91,-4094.67,-3005.24,-648.69,-81.43,-5.06,-22.63,164.55,15.49,-47.36
Przychody finansowe,,,,,318.73,19420.0,41480.0,1757.81,95.21,1.23,-52.68,18.5,-95.18,-28.34,-53.42,-68.13,305.45,-84.18,-93.42,-100.0,-100.0,-91.07,-100.0,,,2740.0,,,2898.72,953.52,364.07,306.31,-4.79
Koszty finansowe,,,,,1190.62,6.48,-82.91,814.29,-88.62,-69.57,1470.21,778.12,-914.89,307.14,-81.71,-70.37,144.91,-61.4,379.26,-18.02,434.88,1823.64,-149.77,533.33,30.33,-59.45,309.01,-70.68,-26.02,11.66,13.82,98.62,-59.3
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,135.15,-69.28,-23.09,-40.12,60.12,53.84,-2.87,57.85,6.46,-20.94,-99.22,-79.3,-110.29,35.74,15527.03,-5.6,30.0,-117.88,-84.0,-595.41,-823.77,-577.03,-561.14,-40.74,31.91,0.83,183.07,29.21,-53.0
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,135.15,-69.28,-23.09,-40.12,60.12,53.84,-2.87,57.85,6.46,-20.94,-99.22,-79.3,-110.29,35.74,15527.03,-5.6,30.0,-117.88,-84.0,-595.41,-823.77,-577.03,-561.14,-40.74,31.91,0.83,183.07,29.21,-53.0
