,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Period,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,5171.0,5055.0,6795.0,10011.0,14400.0,23871.0,35436.0,41551.0,45304.0,49877.0,67651.0,78301.0,95017.0,169623.0,179259.0,134296.0,174114.0,164885.0,147951.0,147095.0,150335.0,124142.0,132914.0,131167.0,117450.0,104932.0,105572.0,108122.0
Techniczny koszt wytworzenia produkcji sprzedanej,1398.0,1321.0,1471.0,1653.0,1641.0,1837.0,1994.0,1910.0,1919.0,2723.0,2930.0,3782.0,4756.0,5606.0,6837.0,8239.0,10567.0,11452.0,15249.0,16663.0,15855.0,17621.0,17200.0,19419.0,19328.0,18900.0,17809.0,16680.0
Koszty sprzedaży,1301.0,1325.0,2001.0,3250.0,5644.0,12086.0,19599.0,21306.0,29689.0,29479.0,41041.0,36945.0,48544.0,124796.0,95253.0,74976.0,95935.0,95800.0,82618.0,72896.0,79871.0,67589.0,78367.0,79304.0,69004.0,59815.0,56408.0,54347.0
Koszty ogólnego zarządu,409.0,497.0,647.0,891.0,850.0,1205.0,1028.0,1163.0,1429.0,1549.0,1898.0,2209.0,3404.0,9722.0,10693.0,12870.0,11758.0,15060.0,18025.0,17865.0,24096.0,12528.0,15232.0,13695.0,16771.0,8082.0,6567.0,7193.0
Zysk ze sprzedaży,2063.0,1912.0,2676.0,4217.0,6265.0,8743.0,12815.0,17172.0,12267.0,16126.0,21782.0,35365.0,38313.0,29499.0,66476.0,38211.0,55854.0,42573.0,32059.0,39671.0,30513.0,26404.0,22115.0,18749.0,12347.0,18135.0,24788.0,29902.0
Pozostałe przychody operacyjne,0.0,2.0,0.0,0.0,18.0,0.0,0.0,18.0,40.0,6.0,3.0,0.0,5.0,1.0,54.0,141.0,382.0,1.0,8.0,48.0,83.0,567.0,268.0,437.0,135.0,162.0,280.0,759.0
Pozostałe koszty operacyjne,0.0,0.0,1.0,7.0,17.0,0.0,1.0,698.0,11.0,3.0,8.0,990.0,762.0,79.0,54.0,30.0,316.0,3880.0,873.0,-693.0,1204.0,9526.0,749.0,14965.0,26895.0,8658.0,36.0,47401.0
Zysk operacyjny (EBIT),2063.0,1914.0,2675.0,4210.0,6266.0,8743.0,12814.0,16492.0,12296.0,16129.0,21777.0,34375.0,37556.0,29421.0,66476.0,38322.0,55920.0,38694.0,31194.0,40412.0,29392.0,17445.0,21634.0,4221.0,-14413.0,9639.0,25032.0,-16740.0
Przychody finansowe,2.0,3.0,0.0,3.0,6.0,537.0,-201.0,210.0,380.0,-186.0,541.0,-516.0,1692.0,-554.0,-569.0,-486.0,2579.0,-1599.0,178.0,-1113.0,3585.0,3090.0,1843.0,-174.0,1040.0,2610.0,428.0,19764.0
Koszty finansowe,123.0,274.0,-17.0,257.0,42.0,-22.0,-19.0,0.0,1.0,0.0,1.0,168.0,55.0,54.0,58.0,745.0,66.0,63.0,79.0,4076.0,1509.0,1565.0,1907.0,9870.0,1711.0,1309.0,1560.0,-46.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-492.0,-681.0,-711.0,-862.0,-937.0,-891.0,-696.0,-3255.0
Zysk z działalności gospodarczej,1942.0,1643.0,2692.0,3956.0,6230.0,9302.0,12632.0,16685.0,12675.0,15943.0,22317.0,33691.0,39193.0,28813.0,65849.0,37091.0,58433.0,37032.0,31293.0,35223.0,30976.0,18289.0,20859.0,-6685.0,-16021.0,10049.0,23204.0,-185.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,1942.0,1643.0,2692.0,3956.0,6230.0,9302.0,12632.0,16685.0,12675.0,15943.0,22317.0,33691.0,39193.0,28813.0,65849.0,37091.0,58433.0,37032.0,31293.0,35223.0,30976.0,18289.0,20859.0,-6685.0,-16021.0,10049.0,23204.0,-185.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,1570.0,1405.0,2202.0,3235.0,4999.0,7528.0,10229.0,13713.0,10356.0,13054.0,18149.0,34826.0,35341.0,25622.0,58771.0,31865.0,52682.0,33396.0,24795.0,30392.0,25585.0,14950.0,19063.0,-7263.0,-12845.0,7564.0,22150.0,-1662.0
Zysk netto akcjonariuszy jednostki dominującej,1570.0,1405.0,2202.0,3235.0,4997.0,7527.0,10232.0,13712.0,10356.0,13054.0,18149.0,34826.0,35341.0,25622.0,58771.0,31865.0,52682.0,33396.0,24795.0,30392.0,25585.0,14950.0,19063.0,-7263.0,-12845.0,7564.0,22150.0,-1662.0
Aktywa trwałe,1775.0,1671.0,1761.0,2161.0,2444.0,2761.0,2963.0,2701.0,3733.0,4433.0,5176.0,4936.0,11215.0,11604.0,14395.0,16101.0,19091.0,23994.0,291171.0,298866.0,320497.0,326192.0,340728.0,314138.0,297613.0,279861.0,285980.0,215779.0
Wartości niematerialne i prawne,1612.0,1474.0,1546.0,1647.0,1874.0,2210.0,2397.0,2187.0,2981.0,3544.0,4213.0,3398.0,3636.0,4025.0,4291.0,4702.0,7556.0,8391.0,272492.0,267496.0,275876.0,276510.0,289915.0,266820.0,241372.0,226997.0,233726.0,175544.0
Rzeczowe składniki majątku trwałego,33.0,32.0,46.0,71.0,121.0,180.0,227.0,247.0,357.0,446.0,506.0,569.0,6539.0,6351.0,8733.0,8556.0,8212.0,8020.0,10044.0,15210.0,15451.0,22100.0,22315.0,21409.0,19270.0,16881.0,14907.0,12653.0
Należności długoterminowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inwestycje długoterminowe,127.0,127.0,164.0,164.0,198.0,202.0,201.0,0.0,195.0,195.0,195.0,591.0,673.0,687.0,858.0,858.0,858.0,5466.0,5649.0,9576.0,23620.0,23484.0,23620.0,21766.0,32478.0,31710.0,32689.0,23117.0
Pozostałe aktywa trwałe,3.0,38.0,5.0,279.0,251.0,169.0,138.0,267.0,200.0,248.0,262.0,378.0,367.0,541.0,513.0,1985.0,2465.0,2117.0,2986.0,6584.0,5550.0,4098.0,4878.0,4143.0,4493.0,4273.0,4658.0,4465.0
Aktywa obrotowe,6686.0,6843.0,8119.0,12412.0,17678.0,22552.0,35813.0,51766.0,70399.0,47861.0,71021.0,101109.0,144958.0,158751.0,227103.0,307583.0,367559.0,398669.0,171878.0,221414.0,224197.0,157695.0,184415.0,206570.0,225594.0,180653.0,215517.0,242325.0
Zapasy,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Należności krótkoterminowe,3220.0,3230.0,4501.0,5509.0,7599.0,9424.0,12982.0,11212.0,18660.0,18157.0,27156.0,24237.0,38332.0,58724.0,68853.0,70080.0,68550.0,66058.0,63830.0,81278.0,74584.0,66585.0,71148.0,77774.0,85345.0,75274.0,81097.0,78560.0
Inwestycje krótkoterminowe,3421.0,3536.0,3513.0,6573.0,9815.0,12731.0,22335.0,39751.0,50890.0,28745.0,42456.0,75311.0,105104.0,97780.0,154801.0,237503.0,299009.0,332611.0,108048.0,140136.0,149613.0,91110.0,113267.0,128796.0,140249.0,105379.0,134420.0,163765.0
Środki pieniężne i inne aktywa pieniężne,3421.0,3536.0,3813.0,6573.0,9815.0,12731.0,22335.0,39751.0,50890.0,28745.0,42376.0,75230.0,105044.0,89527.0,153912.0,236608.0,284687.0,332611.0,107632.0,139553.0,149281.0,90931.0,113267.0,126595.0,140249.0,105379.0,133820.0,162826.0
Pozostałe aktywa obrotowe,44.0,76.0,104.0,330.0,264.0,397.0,496.0,803.0,849.0,959.0,1409.0,1561.0,1522.0,2247.0,3449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa razem,8461.0,8514.0,9880.0,14573.0,20122.0,25313.0,38776.0,54467.0,74132.0,52294.0,76197.0,106045.0,156173.0,170355.0,241498.0,323684.0,386650.0,422663.0,463049.0,520280.0,544694.0,483887.0,525143.0,520708.0,523207.0,460514.0,501497.0,458104.0
Kapitał własny akcjonariuszy jednostki dominującej,7027.0,5581.0,7828.0,11689.0,10437.0,18023.0,28314.0,42084.0,52538.0,38584.0,57037.0,92145.0,128394.0,133578.0,199277.0,238051.0,302419.0,274431.0,321211.0,351051.0,372813.0,318796.0,354371.0,342465.0,334923.0,277992.0,310545.0,291011.0
Kapitał (fundusz) podstawowy,29.0,29.0,29.0,728.0,728.0,728.0,728.0,728.0,723.0,723.0,724.0,724.0,724.0,724.0,727.0,727.0,727.0,727.0,730.0,730.0,730.0,730.0,733.0,733.0,733.0,733.0,733.0,733.0
Udziały (akcje) własne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18636.0,-18636.0,-18636.0,-18636.0,-18636.0,-18636.0,-18636.0,-18636.0
Kapitał (fundusz) zapasowy,545.0,545.0,545.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,496.0,490.0
Udziały niekontrolujące,0.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,318.0,270.0,272.0,286.0,394.0,507.0,425.0,359.0,500.0,588.0,751.0,537.0,6323.0,5867.0,8141.0,7437.0,7366.0,6531.0,54400.0,64993.0,63456.0,58245.0,60584.0,68221.0,47986.0,46659.0,48866.0,29465.0
Z tytułu dostaw i usług,480.0,497.0,723.0,964.0,1506.0,2701.0,4713.0,2736.0,9949.0,7196.0,8570.0,4633.0,10063.0,23285.0,20941.0,49718.0,21976.0,20525.0,19363.0,6845.0,18746.0,22234.0,20209.0,13135.0,21290.0,12856.0,13501.0,10422.0
Kredyty i pożyczki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,610.0,952.0,1193.0,1452.0,1710.0,1704.0,3685.0,4952.0,3833.0,8659.0,3807.0,3735.0,3583.0,3297.0,3638.0
Inne zobowiązania długoterminowe,318.0,270.0,272.0,286.0,394.0,507.0,425.0,359.0,500.0,588.0,751.0,537.0,812.0,615.0,845.0,443.0,778.0,662.0,47360.0,56002.0,56446.0,50998.0,54075.0,62809.0,43449.0,43302.0,46245.0,28086.0
Zobowiązania krótkoterminowe,1116.0,2663.0,1780.0,2598.0,9289.0,6780.0,10032.0,12024.0,21094.0,13122.0,18409.0,13363.0,21456.0,30910.0,34080.0,78196.0,76865.0,141701.0,87438.0,104236.0,108425.0,106846.0,110188.0,110022.0,140298.0,135863.0,142086.0,137628.0
Inne zobowiązania krótkoterminowe,636.0,2166.0,1057.0,1634.0,7783.0,4079.0,5319.0,9288.0,11145.0,5926.0,9839.0,8730.0,10777.0,7015.0,12187.0,27285.0,53437.0,119466.0,66371.0,93706.0,84727.0,80779.0,81320.0,93080.0,115273.0,119424.0,125288.0,123568.0
Rozliczenia międzyokresowe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasywa razem,8461.0,8514.0,9880.0,14573.0,20122.0,25313.0,38776.0,54467.0,74132.0,52294.0,76197.0,106045.0,156173.0,170355.0,241498.0,323684.0,386650.0,422663.0,463049.0,520280.0,544694.0,483887.0,525143.0,520708.0,523207.0,460514.0,501497.0,458104.0
Przepływy pieniężne z działalności operacyjnej,1298.0,1446.0,1723.0,3207.0,3500.0,8350.0,11794.0,17596.0,12005.0,6232.0,14578.0,33624.0,29784.0,13910.0,65859.0,84161.0,49871.0,57852.0,46290.0,46391.0,53352.0,30583.0,31693.0,22319.0,29878.0,28642.0,32466.0,30519.0
Amortyzacja,151.0,140.0,147.0,140.0,179.0,114.0,208.0,196.0,186.0,270.0,320.0,374.0,694.0,737.0,781.0,874.0,941.0,979.0,3305.0,2762.0,2789.0,3968.0,3741.0,5977.0,5289.0,5143.0,4969.0,4809.0
Przepływy pieniężne z działalności inwestycyjnej,-17.0,0.0,-200.0,-231.0,-353.0,-498.0,-419.0,-496.0,-1002.0,-889.0,-1098.0,-554.0,-960.0,-848.0,-1755.0,-1035.0,-2909.0,-8569.0,-217604.0,7077.0,-23728.0,18580.0,-41990.0,-8366.0,-14687.0,-9541.0,-1998.0,-343.0
CAPEX (niematerialne i rzeczowe),17.0,0.0,200.0,231.0,353.0,498.0,420.0,495.0,1002.0,889.0,1018.0,554.0,960.0,868.0,930.0,1034.0,2909.0,4877.0,216965.0,-200365.0,9630.0,15586.0,8184.0,6226.0,5061.0,5200.0,341.0,131.0
Przepływy pieniężne z działalności finansowej,0.0,-1432.0,-1431.0,443.0,0.0,-5110.0,-1199.0,0.0,0.0,-27311.0,2.0,0.0,-174.0,-27588.0,-210.0,-271.0,-274.0,-274.0,-73242.0,-1280.0,-19553.0,-73536.0,-1006.0,-1123.0,-1471.0,-54273.0,-1293.0,-1403.0
Emisja akcji,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Dywidenda,0.0,1432.0,1431.0,0.0,0.0,5110.0,1200.0,-1.0,0.0,27311.0,0.0,0.0,0.0,27372.0,0.0,0.0,0.0,0.0,72673.0,0.0,0.0,72318.0,0.0,0.0,0.0,52307.0,0.0,0.0
Przepływy pieniężne razem,1281.0,14.0,92.0,3419.0,3147.0,2742.0,10176.0,17100.0,11003.0,-21968.0,13482.0,33070.0,28650.0,-14526.0,63894.0,82855.0,46688.0,49009.0,-244556.0,52188.0,10071.0,-24373.0,-11303.0,12830.0,13720.0,-35172.0,29175.0,28773.0
