,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Period,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,25.11,16.02,9.39,22.42,5.31,4.88,14.64,-3.86,13.89,15.42,15.77,19.17,14.89,28.09,19.23,20.83,11.92,2.73,5.02,-6.01,7.22,8.84,10.68,26.97,27.38,-1.84,23.09,5.02,5.26,37.96,12.54,17.67,16.33,19.34,22.25,41.54,43.04,33.09,24.78,18.61,14.04,17.8
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,28.76,19.24,13.18,23.08,0.37,-5.0,8.95,-10.1,14.46,23.09,21.58,25.58,17.35,33.9,22.83,23.81,7.41,-3.3,-0.29,-11.18,6.11,6.62,12.57,37.47,29.3,-3.2,26.21,-1.87,-6.74,26.11,-4.51,16.06,23.52,28.8,35.87,36.41,44.97,38.78,30.23,27.67,14.08,-14.21
Koszty sprzedaży,,,,,11.55,34.77,-4.17,24.54,16.55,16.34,59.28,19.7,-1.91,22.65,-5.1,3.29,36.08,6.92,9.85,9.21,-0.37,-5.47,4.34,2.93,30.27,18.76,-4.47,-1.33,-4.11,-3.98,7.56,4.31,13.8,13.53,28.49,23.81,15.75,16.38,20.27,27.98,27.53,35.41,45.03,20.49,39.06,170.07
Koszty ogólnego zarządu,,,,,18.11,49.92,20.05,29.73,14.71,32.56,-13.94,-22.64,-7.29,-20.06,17.9,22.73,20.19,29.6,24.12,19.69,41.81,37.93,47.77,39.4,12.76,0.59,0.44,6.76,27.72,27.34,9.99,0.1,-12.12,1.77,28.12,29.88,34.99,131.63,44.36,5.8,56.92,-30.35,37.48,18.7,24.75,179.5
Zysk ze sprzedaży,,,,,-7.1,-58.11,-15.97,-11.78,104.83,211.78,17.04,120.63,52.45,-50.25,-4.27,-29.61,-45.22,-8.0,-28.48,-4.59,142.33,204.43,152.79,72.02,-16.76,20.05,29.38,-53.21,72.33,1.59,19.53,386.39,126.59,200.11,216.02,20.51,-17.21,-34.81,-39.9,132.04,40.52,30.37,-63.28,-37.74,-9.84,47.07
Pozostałe przychody operacyjne,,,,,28.0,-31.81,-50.73,-46.25,-32.62,-37.25,695.24,-2.93,25.23,207.59,-84.69,6.21,6.22,-48.84,120.67,-7.18,-1.39,-24.54,16.88,51.26,1243.71,39.85,-54.22,75.86,-92.86,102.15,49.21,-22.45,370.5,21.14,23.89,9.33,-65.71,-1.65,127.13,14.59,37.84,832.31,161.04,637.02,105.84,-77.15
Pozostałe koszty operacyjne,,,,,732.88,-130.45,-70.65,-33.39,-75.99,1095.05,-15.7,-13.7,151.37,-98.48,-19.31,-32.06,-65.94,3698.28,-11.11,-39.25,420.8,-58.19,273.08,9137.69,-49.46,-159.28,176.29,-95.89,313.37,348.53,13.06,251.52,-41.54,30.36,-45.46,20.66,21.76,90.73,57.64,-31.28,149.79,1505.25,39.92,-6.61,64.06,-97.95
Zysk operacyjny (EBIT),,,,,-14.97,-42.02,-15.81,-18.33,104.82,53.02,80.66,113.46,48.34,-4.49,-36.62,-26.52,-41.19,-51.35,-14.24,-3.42,120.06,341.46,115.88,-175.56,50.21,33.12,12.36,224.23,-8.23,-4.91,21.78,267.11,147.57,197.82,225.75,19.72,-21.21,-38.0,-37.0,141.83,37.55,-82.32,-46.11,-18.46,-9.93,1087.52
Przychody finansowe,,,,,807.32,-550.0,461.9,8.25,-59.31,194.44,41.53,135.24,-30.51,-60.78,62.87,-62.35,-78.05,205.0,-45.96,145.16,950.0,69.67,-42.86,-50.88,-61.9,205.8,34.52,181.25,679.17,-21.01,119.47,67.3,-17.47,65.8,40.32,-16.13,36.29,-46.32,70.69,87.56,151.51,144.04,55.72,174.19,78.7,1878.82
Koszty finansowe,,,,,-20.14,-33.76,1.88,25.18,24.34,48.96,33.22,5.58,4.25,-2.8,-12.69,-13.33,-0.42,24.64,13.0,13.42,7.25,13.61,13.67,208.73,21.2,22.13,15.65,-57.53,9.9,239.61,147.09,34.86,21.18,-57.63,-12.04,38.37,-8.65,-16.16,31.55,112.11,305.25,-106.86,28.44,52.17,80.45,3654.84
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.54,35.4,-38.14,500.69,-196.24,8.43,-194.7,-143.3
Zysk z działalności gospodarczej,,,,,4.25,-46.87,-19.65,-45.31,136.01,63.64,100.47,274.4,61.64,-6.28,-41.27,-33.79,-50.51,-77.96,-28.41,-8.38,173.43,1012.43,178.85,-425.27,53.44,38.73,11.66,122.17,-7.97,-52.77,-13.79,522.92,162.68,543.44,420.31,17.2,-19.8,-41.37,-45.53,146.16,14.94,-66.74,-69.87,-32.95,-36.0,743.78
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,4.25,-46.87,-19.65,-45.31,136.01,63.64,100.47,274.4,61.64,-6.28,-41.27,-33.79,-50.51,-77.96,-28.41,-8.38,173.43,1012.43,178.85,-425.27,53.44,38.73,11.66,122.17,-7.97,-52.77,-13.79,522.92,162.68,543.44,420.31,17.2,-19.8,-41.37,-45.53,146.16,14.94,-66.74,-69.87,-32.95,-36.0,743.78
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,0.27,-49.3,-17.94,-61.74,138.69,80.64,102.34,380.0,57.03,1.07,-40.63,-25.97,-51.64,-88.05,-25.31,-20.89,182.02,1930.24,135.98,-466.56,47.42,55.96,28.75,115.98,-4.75,-55.26,-13.17,682.41,166.18,502.04,415.49,21.65,-19.85,-43.18,-45.64,143.08,13.51,-4.7,-67.03,-28.01,-43.49,305.48
Zysk netto akcjonariuszy jednostki dominującej,,,,,0.27,-49.3,-17.94,-61.74,138.69,80.64,102.34,380.0,57.03,1.07,-40.63,-25.97,-51.64,-88.05,-25.31,-20.89,182.02,1930.24,135.98,-466.56,47.42,55.96,28.75,115.98,-4.75,-55.26,-13.17,682.41,166.18,502.04,415.49,21.65,-19.85,-43.18,-45.64,143.08,13.51,-4.7,-67.03,-28.01,-43.49,305.48
Aktywa trwałe,,,,,18.04,35.8,,46.43,41.07,29.43,29.15,14.83,14.47,7.99,5.34,5.68,2.72,4.58,7.83,9.86,12.1,16.05,16.23,10.71,15.56,13.39,14.83,21.34,20.53,20.94,18.75,16.31,14.76,16.82,25.57,29.88,30.54,34.61,25.98,27.58,29.36,18.9,12.95,20.57,18.95,27.52
Wartości niematerialne i prawne,,,,,-1.59,1.97,,30.78,45.3,45.59,37.52,32.39,26.09,26.71,29.71,29.4,22.18,18.36,17.63,9.02,9.49,10.5,17.61,25.89,26.7,29.99,17.69,12.93,19.3,29.72,36.82,40.26,40.5,37.32,35.17,38.73,35.37,31.2,23.51,29.82,31.86,54.39,51.15,35.74,42.06,26.75
