,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Period,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,8780.0,6609.0,10547.0,6938.0,8042.0,12333.0,13268.0,9272.0,5566.0,5916.0,9689.0,7956.0,8852.0,9427.0,7771.0,8834.0,11953.0,5018.0,4058.0,12322.0,8512.0,17696.0,8186.0,10876.0,9199.0,8078.0,8877.0,5699.0,8834.0,7994.0,7117.0,7252.0,8804.0,9120.0,9813.0,8554.0,7990.0,12750.0,10418.0,9283.0,8330.0,12127.0,5554.0,14459.0,6549.0,14592.0,8624.0,14008.0,13449.0,14302.0,11997.0,18358.0,8104.0,20148.0
Techniczny koszt wytworzenia produkcji sprzedanej,8255.0,6816.0,8612.0,7333.0,9131.0,10083.0,12125.0,8932.0,7887.0,8638.0,8072.0,7342.0,7261.0,7299.0,7380.0,7665.0,12775.0,-10049.0,2696.0,7863.0,6965.0,17187.0,4368.0,6552.0,6582.0,5531.0,5726.0,4211.0,3112.0,4315.0,3557.0,2999.0,4943.0,4640.0,4483.0,3676.0,3478.0,6217.0,4595.0,5132.0,4849.0,5016.0,2342.0,6450.0,3470.0,6225.0,5222.0,5210.0,6088.0,5930.0,5967.0,7192.0,2988.0,7293.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3843.0,954.0,1939.0,1417.0,3053.0,1032.0,1441.0,1505.0,1389.0,1007.0,1594.0,1176.0,1273.0,691.0,907.0,1078.0,1424.0,1423.0,1001.0,476.0,1088.0,399.0,420.0,445.0,537.0,406.0,554.0,628.0,992.0,838.0,1019.0,1104.0,1424.0,1146.0,1592.0,1839.0,2203.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8274.0,2039.0,2240.0,1981.0,2945.0,2921.0,3335.0,3250.0,2332.0,2833.0,3216.0,4209.0,2627.0,2904.0,3080.0,2908.0,2998.0,2773.0,3072.0,2671.0,2871.0,3094.0,3541.0,3501.0,3732.0,3125.0,3003.0,2920.0,3250.0,3107.0,3626.0,3450.0,2547.0,3341.0,4914.0,5395.0,4512.0
Zysk ze sprzedaży,525.0,-207.0,1935.0,-395.0,-1089.0,2250.0,1143.0,340.0,-2321.0,-2722.0,1617.0,614.0,1591.0,2128.0,391.0,1169.0,-822.0,2950.0,-1631.0,280.0,-1851.0,-5489.0,-135.0,-452.0,-2138.0,-1174.0,-689.0,-3322.0,337.0,-221.0,-35.0,266.0,-125.0,58.0,1134.0,805.0,1365.0,2574.0,2330.0,190.0,-465.0,2842.0,-319.0,4452.0,-469.0,4125.0,-543.0,4153.0,2807.0,4401.0,1543.0,4660.0,-2118.0,6140.0
Pozostałe przychody operacyjne,-323.0,409.0,134.0,137.0,178.0,284.0,70.0,105.0,254.0,37.0,37.0,54.0,211.0,112.0,30.0,108.0,114.0,132.0,100.0,102.0,109.0,459.0,125.0,574.0,343.0,241.0,224.0,424.0,474.0,19239.0,336.0,242.0,182.0,226.0,267.0,337.0,265.0,335.0,154.0,234.0,1551.0,1002.0,184.0,717.0,868.0,2289.0,231.0,735.0,234.0,756.0,186.0,184.0,181.0,1085.0
Pozostałe koszty operacyjne,559.0,2257.0,105.0,173.0,195.0,223.0,296.0,7.0,341.0,2254.0,86.0,162.0,-38.0,1057.0,117.0,573.0,396.0,-44.0,222.0,163.0,-151.0,25094.0,53.0,8110.0,531.0,16480.0,97.0,10986.0,91.0,438.0,41.0,469.0,184.0,35894.0,409.0,151.0,185.0,620.0,207.0,460.0,463.0,782.0,682.0,1035.0,788.0,2150.0,181.0,983.0,979.0,790.0,425.0,762.0,1000.0,1026.0
Zysk operacyjny (EBIT),-357.0,-2055.0,1964.0,-431.0,-1106.0,2311.0,917.0,438.0,-2408.0,-4939.0,1568.0,506.0,1840.0,1183.0,304.0,704.0,-1104.0,3126.0,-1753.0,219.0,-1591.0,-30124.0,-63.0,-7988.0,-2326.0,-17413.0,-562.0,-13884.0,720.0,18580.0,260.0,39.0,-127.0,-35610.0,992.0,991.0,1445.0,2289.0,2277.0,-36.0,623.0,3062.0,-817.0,4134.0,-389.0,4264.0,-493.0,3905.0,2062.0,4367.0,1304.0,4082.0,-2937.0,6199.0
Przychody finansowe,416.0,367.0,339.0,271.0,392.0,519.0,5.0,55.0,1900.0,306.0,17.0,29.0,21.0,20.0,22.0,-17.0,0.0,70.0,9.0,142.0,10.0,114.0,1482.0,-349.0,37.0,213.0,665.0,24.0,-164.0,263.0,34.0,2.0,-4.0,21.0,22.0,-10.0,15.0,3.0,32.0,53.0,-37.0,17.0,1.0,18.0,157.0,-155.0,88.0,127.0,484.0,-264.0,341.0,122.0,100.0,-82.0
