,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Period,2012/Q3,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3
Przychody ze sprzedaży,,,-60.64,-269.52,,,-24.06,481.98,-15.51,542.52,-23.0,-89.29,168.19,-32.47,-489.77
Techniczny koszt wytworzenia produkcji sprzedanej,,,12.74,16.36,,,-89.07,-37.53,-15.41,1619.11,-35.39,-96.26,436.08,-6.62,-2416.85
Koszty sprzedaży,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,9.9,-103.9,,,-59.09,909.91,-17.4,6.76,-5.6,-6.31,-11.07,-70.77,80.18
Zysk ze sprzedaży,,,-359.9,-35.13,,,110.16,92.72,-13.24,-644.41,-19.23,117.89,-15.04,-101.95,1061.78
Pozostałe przychody operacyjne,,,-120.5,-95.25,,,6063.16,-755.31,1540.17,-191.93,-132.75,-981.24,-39.7,275.17,2080.4
Pozostałe koszty operacyjne,,,1339.73,1460.64,,,-40.6,177.4,-7.67,-100.62,-54.88,-90.55,-67.41,96.17,250.36
Zysk operacyjny (EBIT),,,-405.37,-45.72,,,106.38,79.75,156.18,86.26,-51.54,60.38,-18.38,-26.15,3122.47
Przychody finansowe,,,-412.68,-115.29,,,103.63,197.41,23050.71,1068.85,10256.01,-789.52,164.62,-153.93,-93.38
Koszty finansowe,,,271.77,-33.98,,,-83.41,-1.52,63.5,-25.89,155.34,-15.75,-36.89,-120.49,77.91
Pozostałe przychody (koszty),,,-4294.06,14723.28,,,100.49,-94.33,,-100.0,-100.0,-100.0,,,
Zysk z działalności gospodarczej,,,-1352.85,32.25,,,98.67,54.03,-44.47,78.74,852.08,10.69,55.87,37.07,-9.01
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,-1352.85,32.25,,,98.67,54.03,-44.47,78.74,852.08,10.69,55.87,37.07,-9.01
Zysk (strata) netto z działalności zaniechanej,,,159.87,-94.67,,,-96.07,-300.41,-100.0,100.0,-100.0,100.0,,,
Zysk netto,,,-1317.53,31.13,,,98.6,56.69,-42.53,78.62,855.44,1.95,54.9,38.49,-12.78
Zysk netto akcjonariuszy jednostki dominującej,,,-1317.53,31.37,,,98.6,56.69,-42.53,78.62,855.44,1.95,54.9,38.49,-12.78
Aktywa trwałe,,,,175.63,,,773.54,-14.44,-22.45,-20.32,-12.44,-11.88,-2.99,-4.84,-8.04
Wartości niematerialne i prawne,,,,,,,,,,,,,,,
Rzeczowe składniki majątku trwałego,,,,-10.39,,,-28.81,-36.49,-31.26,-25.67,-47.07,-38.46,-36.14,-29.15,-100.0
Należności długoterminowe,,,,,,,,,,,,,,184.5,7.38
