,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,30.93,86.67,26.12,40.71,37.68,30.32,39.39,33.39,31.2,-11.71,14.74,-21.4,-12.91,-16.46,-46.86,-51.5,-39.98,-22.13,30.75,157.13,103.29,75.79,68.5,15.86,11.95,40.85,19.42,38.2,18.53,13.73,32.73,29.78,13.14,-7.6,0.58,-11.66,-12.13,-6.26,-14.6,-19.98,-50.29,-39.4,-20.28,-15.11,53.92,57.23,49.4,9.01,13.75,19.23,28.44,60.56
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,84.48,74.79,82.88,28.51,50.16,66.57,40.99,51.8,43.2,-1.99,15.53,1.45,-13.84,-8.83,-11.74,2.66,-40.48,-16.98,-15.77,8.65,144.69,79.8,84.09,26.6,-2.73,16.09,3.65,19.47,18.95,7.6,30.31,27.57,26.07,17.3,17.78,4.83,2.28,3.52,-24.55,-41.28,-59.07,-59.56,-42.05,-24.97,18.58,28.33,48.98,6.47,12.33,20.11,-7.34,25.73
Koszty sprzedaży,,,,,25.0,23.86,14.93,46.07,15.29,66.06,201.3,32.31,70.41,-9.94,-10.34,12.79,5.39,26.99,-19.23,-3.09,25.57,57.0,352.38,267.55,105.43,151.38,36.32,-1.88,114.32,-8.32,-9.65,42.18,-19.22,20.43,-2.56,187.14,98.85,74.28,70.29,-35.08,-21.94,-26.53,-52.87,-20.09,-82.05,-67.53,-3.55,-55.78,57.08,2.93,-33.71,-31.18,134.01,71.76,93.59,217.39
Koszty ogólnego zarządu,,,,,29.69,18.79,-3.8,6.25,-0.67,12.24,20.83,14.8,15.42,12.92,26.86,-11.18,-17.33,-20.65,-35.34,29.37,-6.57,-6.37,15.93,4.73,78.9,110.4,118.13,27.74,-0.53,-4.47,-17.94,88.69,21.05,21.09,60.02,50.59,68.31,168.53,39.04,-6.15,-12.95,-55.94,-28.56,14.05,-33.37,-23.06,-4.76,-26.5,22.33,102.44,5.42,11.7,22.25,-24.21,6.88,43.08
Zysk ze sprzedaży,,,,,-15.54,124.98,-34.2,70.93,32.72,-1.88,28.96,13.19,8.29,-31.71,10.91,-64.0,-10.23,-35.72,-199.42,-355.8,-56.68,-55.91,95.47,158.23,-36.64,-14.26,-1131.48,-21.41,151.3,517.18,246.47,112.74,45.93,24.73,57.39,-21.79,-123.59,-127.57,-178.54,-80.15,-301.01,87.34,174.83,401.99,112.22,1551.7,131.74,54.1,974.87,101.27,108.33,18.12,-8.16,36.07,85.08,105.42
Pozostałe przychody operacyjne,,,,,,0.0,,-99.55,100.0,-125.0,100.0,3000.0,-6.25,900.0,-21.88,6254.84,803.33,3200.0,-92.0,-99.49,-98.52,-100.0,-300.0,880.0,750.0,,150.0,-71.43,-100.0,,950.0,457.14,,1750.0,100.0,-99.36,-61.4,-145.95,7.14,-1172900.0,-18.18,1017.65,1324.44,103.37,-33.33,309.62,289.39,-92.91,41.67,-98.44,-95.39,-471.43,-100.0,720.0,-33.04,-1570.19
Pozostałe koszty operacyjne,,,,,,,,-49.67,500.0,-94.68,7.69,-85.53,283.33,100.0,-42.86,418.18,-82.61,-70.0,-62.5,12768.42,2050.0,66.67,-300.0,-99.88,-100.0,-20.0,416.67,4022.22,,825.0,-94.74,-90.57,-88.98,548.65,4900.0,1337.14,64.29,-60.83,72.0,46.52,682.61,363.83,295.35,-11.94,-55.56,-90.14,-76.47,-81.36,-73.75,-79.07,500.0,104.13,1090.48,377.78,-81.04,129.15
Zysk operacyjny (EBIT),,,,,-14.56,118.37,-33.96,60.64,33.18,0.64,30.64,16.55,7.09,-31.64,10.64,-11.56,3.68,-24.06,-198.11,-431.46,-66.86,-62.94,95.64,119.03,-23.29,-14.22,-1211.54,-41.79,108.3,515.29,245.75,184.83,68.12,19.96,53.42,-39.54,-123.06,-131.74,-181.64,-688.68,-340.6,66.43,196.55,118.99,107.22,739.34,274.71,67.24,1547.24,57.36,-11.52,11.77,-19.93,36.94,101.68,68.15
Przychody finansowe,,,,,,,,,-42.95,-43.44,-81.14,-67.06,-32.94,-81.44,-116.28,-28.32,-40.35,211.11,728.57,23.46,-11.76,0.0,-20.45,-114.0,-93.33,-122.32,-140.0,121.43,-575.0,16.0,200.0,9700.0,-89.47,-1452.38,-1496.43,-124.83,-102.78,61.96,0.77,-586.3,597.26,3370.97,103.35,-714.37,-94.77,-94.82,-1346.15,117.87,89.47,-49.05,252.47,-61.45,925.0,552.34,-6.07,369.4
