,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
Period,2007/Q1,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,2522.0,3187.0,3454.0,3425.0,3295.0,2219.0,2129.0,1760.0,1661.0,1731.0,1691.0,1794.0,2051.0,1989.0,2143.0,2197.0,1952.0,2324.0,2237.0,2271.0,2504.0,2296.0,2126.0,1999.0,1934.0,2170.0,2406.0,2060.0,3103.0,2573.0,2592.0,2791.0,2658.0,3000.0,2991.0,3215.0,3516.0,3393.0,3823.0,3792.0,4193.0,4053.0,4387.0,4401.0,4563.0,5162.0,5208.0,5153.0,5588.0,5772.0,5930.0,6009.0,6486.0,6796.0,7910.0,9032.0,9723.0,9988.0,10634.0,10745.0,11679.0,11828.0,13936.0,12342.0,13168.0
Techniczny koszt wytworzenia produkcji sprzedanej,2106.0,2448.0,2382.0,2771.0,2685.0,2033.0,1841.0,1615.0,1536.0,1388.0,1477.0,1392.0,1511.0,1498.0,1581.0,1266.0,1448.0,1689.0,1770.0,1690.0,1880.0,1644.0,1512.0,1237.0,1232.0,1438.0,1593.0,1204.0,1974.0,1900.0,1694.0,1821.0,1818.0,1869.0,2010.0,1999.0,2129.0,2113.0,2438.0,2480.0,2852.0,2884.0,3065.0,3124.0,3185.0,3504.0,3732.0,3487.0,3832.0,3966.0,4363.0,4176.0,4470.0,4586.0,5198.0,5158.0,5551.0,5715.0,6819.0,6557.0,6580.0,7034.0,8535.0,8046.0,8409.0
Koszty sprzedaży,92.0,79.0,70.0,55.0,1217.0,1281.0,141.0,119.0,135.0,188.0,166.0,180.0,161.0,184.0,185.0,175.0,210.0,240.0,137.0,137.0,155.0,156.0,181.0,217.0,222.0,237.0,209.0,219.0,227.0,309.0,267.0,234.0,268.0,294.0,261.0,277.0,258.0,319.0,289.0,246.0,317.0,385.0,311.0,277.0,278.0,313.0,226.0,394.0,410.0,499.0,468.0,412.0,574.0,482.0,682.0,824.0,816.0,1012.0,1053.0,1164.0,1117.0,1198.0,1165.0,1511.0,1795.0
Koszty ogólnego zarządu,165.0,310.0,423.0,511.0,492.0,459.0,511.0,374.0,344.0,314.0,327.0,333.0,321.0,361.0,383.0,400.0,376.0,420.0,398.0,396.0,430.0,421.0,410.0,402.0,453.0,446.0,473.0,446.0,516.0,512.0,481.0,425.0,397.0,427.0,417.0,412.0,389.0,427.0,503.0,480.0,571.0,534.0,566.0,595.0,609.0,610.0,661.0,656.0,625.0,680.0,689.0,717.0,809.0,844.0,857.0,857.0,795.0,960.0,981.0,1005.0,992.0,1079.0,1107.0,1127.0,1173.0
Zysk ze sprzedaży,159.0,350.0,579.0,88.0,-1099.0,-1554.0,-364.0,-348.0,-354.0,-159.0,-279.0,-111.0,58.0,-54.0,-6.0,356.0,-82.0,-25.0,-68.0,48.0,39.0,75.0,23.0,143.0,27.0,49.0,131.0,191.0,386.0,-148.0,150.0,311.0,175.0,410.0,303.0,527.0,740.0,534.0,593.0,586.0,453.0,250.0,445.0,405.0,491.0,735.0,589.0,616.0,721.0,627.0,410.0,704.0,633.0,884.0,1173.0,2193.0,2561.0,2301.0,1781.0,2019.0,2990.0,2517.0,3129.0,1658.0,1791.0
Pozostałe przychody operacyjne,1.0,1.0,16.0,7.0,8.0,9.0,2.0,-2.0,10.0,1.0,8.0,120.0,6.0,175.0,26.0,4.0,211.0,180.0,45.0,12.0,36.0,320.0,13.0,10.0,23.0,21.0,7.0,13.0,6.0,18.0,7.0,7.0,9.0,2.0,31.0,6.0,26.0,1.0,52.0,1.0,87.0,1.0,0.0,0.0,14.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,42.0,0.0,20.0,1.0,75.0,0.0,1.0,0.0,8.0,11.0,6.0,0.0,29.0
Pozostałe koszty operacyjne,0.0,6.0,24.0,12.0,4.0,13.0,0.0,15.0,32.0,0.0,4.0,0.0,48.0,2.0,7.0,10.0,30.0,1.0,2.0,0.0,10.0,14.0,6.0,0.0,-6.0,7.0,10.0,2.0,3.0,8.0,17.0,7.0,138.0,1.0,2.0,32.0,49.0,6.0,10.0,19.0,195.0,11.0,4.0,2.0,19.0,3.0,23.0,5.0,24.0,12.0,33.0,9.0,59.0,6.0,71.0,11.0,64.0,1.0,138.0,15.0,45.0,4.0,54.0,26.0,42.0
Zysk operacyjny (EBIT),160.0,345.0,571.0,83.0,-1095.0,-1558.0,-362.0,-365.0,-376.0,-158.0,-275.0,9.0,16.0,119.0,13.0,350.0,99.0,154.0,-25.0,60.0,65.0,381.0,30.0,153.0,56.0,63.0,128.0,202.0,389.0,-138.0,140.0,311.0,46.0,411.0,332.0,501.0,717.0,529.0,635.0,568.0,345.0,240.0,441.0,403.0,486.0,732.0,567.0,611.0,703.0,615.0,377.0,695.0,616.0,878.0,1122.0,2183.0,2572.0,2300.0,1644.0,2004.0,2953.0,2524.0,3081.0,1632.0,1778.0
Przychody finansowe,7.0,3.0,112.0,98.0,179.0,142.0,57.0,15.0,52.0,38.0,38.0,27.0,28.0,24.0,25.0,31.0,30.0,36.0,33.0,34.0,40.0,41.0,51.0,6.0,23.0,24.0,20.0,23.0,36.0,17.0,16.0,14.0,20.0,20.0,34.0,6.0,33.0,24.0,22.0,25.0,27.0,26.0,41.0,13.0,30.0,28.0,30.0,22.0,27.0,51.0,6.0,3.0,12.0,3.0,-1.0,1.0,0.0,13.0,50.0,58.0,127.0,127.0,427.0,274.0,196.0
Koszty finansowe,8.0,12.0,21.0,-22.0,34.0,1.0,0.0,2.0,6.0,5.0,-9.0,14.0,11.0,1.0,6.0,-7.0,0.0,22.0,-5.0,20.0,8.0,0.0,4.0,1.0,15.0,0.0,0.0,0.0,1.0,37.0,-2.0,-1.0,-1.0,1.0,1.0,0.0,1.0,25.0,-1.0,-10.0,17.0,0.0,1.0,0.0,1.0,3.0,8.0,-8.0,14.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,12.0,0.0,1.0,0.0,17.0,2.0,5.0,9.0,23.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,159.0,336.0,662.0,203.0,-950.0,-1417.0,-305.0,-352.0,-330.0,-125.0,-228.0,22.0,33.0,142.0,32.0,388.0,129.0,168.0,13.0,74.0,97.0,422.0,77.0,158.0,64.0,87.0,148.0,225.0,424.0,-158.0,158.0,326.0,67.0,430.0,365.0,507.0,749.0,528.0,658.0,603.0,355.0,266.0,481.0,416.0,515.0,757.0,589.0,641.0,716.0,666.0,383.0,698.0,628.0,881.0,1109.0,2178.0,2560.0,2313.0,1693.0,2062.0,3063.0,2649.0,3503.0,1897.0,1951.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,159.0,336.0,662.0,203.0,-950.0,-1417.0,-305.0,-352.0,-330.0,-125.0,-228.0,22.0,33.0,142.0,32.0,388.0,129.0,168.0,13.0,74.0,97.0,422.0,77.0,158.0,64.0,87.0,148.0,225.0,424.0,-158.0,158.0,326.0,67.0,430.0,365.0,507.0,749.0,528.0,658.0,603.0,355.0,266.0,481.0,416.0,515.0,757.0,589.0,641.0,716.0,666.0,383.0,698.0,628.0,881.0,1109.0,2178.0,2560.0,2313.0,1693.0,2062.0,3063.0,2649.0,3503.0,1897.0,1951.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk netto,165.0,286.0,510.0,151.0,-776.0,-1417.0,-398.0,-356.0,-330.0,-125.0,-235.0,21.0,22.0,163.0,28.0,355.0,143.0,187.0,22.0,75.0,130.0,412.0,63.0,146.0,66.0,80.0,142.0,221.0,420.0,-145.0,144.0,267.0,36.0,331.0,297.0,413.0,604.0,437.0,516.0,484.0,284.0,216.0,344.0,376.0,413.0,604.0,459.0,537.0,541.0,531.0,287.0,547.0,494.0,701.0,906.0,1750.0,1924.0,1993.0,1352.0,1652.0,2464.0,2123.0,2809.0,1515.0,1558.0
Zysk netto akcjonariuszy jednostki dominującej,165.0,286.0,510.0,151.0,-776.0,-1417.0,-398.0,-356.0,-330.0,-125.0,-235.0,21.0,22.0,163.0,28.0,355.0,143.0,187.0,22.0,75.0,130.0,412.0,63.0,146.0,66.0,80.0,142.0,221.0,420.0,-145.0,144.0,267.0,36.0,331.0,297.0,413.0,604.0,437.0,516.0,484.0,284.0,216.0,344.0,376.0,413.0,604.0,459.0,537.0,541.0,531.0,287.0,547.0,494.0,701.0,906.0,1750.0,1924.0,1993.0,1352.0,1652.0,2464.0,2123.0,2809.0,1515.0,1558.0
Aktywa trwałe,360.0,399.0,552.0,628.0,690.0,560.0,512.0,457.0,464.0,408.0,361.0,348.0,621.0,630.0,772.0,754.0,862.0,898.0,896.0,895.0,880.0,811.0,880.0,971.0,1020.0,1089.0,1068.0,1194.0,1320.0,1251.0,1340.0,1210.0,1123.0,1020.0,1071.0,1133.0,1139.0,1092.0,1003.0,1096.0,1208.0,1262.0,1198.0,1335.0,1274.0,1221.0,1215.0,1146.0,1232.0,1444.0,1444.0,1567.0,1786.0,2016.0,2137.0,2059.0,1868.0,2189.0,3521.0,4459.0,9322.0,10456.0,9554.0,9576.0,10591.0
Wartości niematerialne i prawne,4.0,4.0,38.0,70.0,69.0,67.0,56.0,44.0,61.0,46.0,33.0,46.0,210.0,190.0,195.0,230.0,245.0,230.0,215.0,197.0,212.0,193.0,176.0,162.0,145.0,154.0,137.0,126.0,642.0,604.0,611.0,563.0,517.0,478.0,441.0,510.0,472.0,435.0,397.0,360.0,166.0,289.0,266.0,243.0,220.0,198.0,175.0,152.0,130.0,113.0,99.0,86.0,74.0,85.0,72.0,58.0,47.0,47.0,35.0,23.0,32.0,31.0,28.0,24.0,33.0
