,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Period,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,68.79,34.07,12.62,-8.92,-28.08,-11.04,-17.47,49.89,-9.71,-26.44,-16.27,-44.87,6.46,10.12,40.42,88.23,36.31,52.55,87.21,43.46,64.8,21.86,5.22,-12.72,-2.9,7.24,43.86,102.37,166.1,161.86
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,296.43,76.64,1.96,113.71,24.76,-31.05,-21.75,53.38,-16.39,-31.31,-13.83,-58.35,-19.72,2.96,23.62,33.64,9.39,13.22,15.33,-16.15,5.51,-9.44,-11.78,-2.04,-13.11,4.21,-5.34,-4.57,13.97,60.13
Koszty sprzedaży,,,,,,,,,,,,,,,,,,-76.67,-78.14,-84.48,-65.47,36.84,5368.52,8260.47,591.8,480.42,34.1,-6.56,126.62,68.13,105.68,211.61,355.56,248.41
Koszty ogólnego zarządu,,,,,-4.94,61.05,49.51,-15.1,-5.2,-40.88,-27.67,8.16,45.16,-57.14,4.22,-12.4,-18.67,192.8,-1.3,-17.54,-9.97,-6.47,6.88,93.66,95.75,98.48,103.15,67.15,7.75,34.7,-4.32,-33.66,18.35,22.35
Zysk ze sprzedaży,,,,,24.15,-43.3,16.04,-71.83,-84.21,121.04,-7.43,69.27,-39.81,-55.27,-38.57,-31.71,161.81,60.53,114.9,326.08,255.04,145.9,62.11,-5.15,74.12,-10.78,-21.46,-45.43,-39.99,-36.29,26.17,160.05,161.41,291.89
Pozostałe przychody operacyjne,,,,,1775.0,-636.36,-22.22,866.67,195.52,28.4,221.43,82.76,-94.44,-50.0,57.78,-49.06,209.09,80.46,-91.55,-70.37,-91.18,100.0,1050.0,0.0,266.67,,-94.2,8262.5,-272.73,-26700.0,2175.0,-85.8,336.84,81.16
Pozostałe koszty operacyjne,,,,,-16.0,267.52,68.42,-99.44,-105.24,5158.67,571.88,-2500.0,-927.27,70.99,228.84,87.5,112.39,2.25,6.93,2611.11,-500.0,-90.51,-95.5,-102.21,73.21,-92.69,350.0,8000.0,-133.33,-421.6,-33.99,-83.8,317.14,70.15
Zysk operacyjny (EBIT),,,,,33.23,-63.54,15.12,-64.83,-75.06,-1485.67,-14.76,78.42,-40.1,-100.18,-68.35,-34.83,81.22,1.2,224.07,289.99,253.28,110.45,130.42,0.32,70.95,69.7,-25.65,-38.8,-39.98,-38.09,31.85,132.39,158.48,321.67
Przychody finansowe,,,,,,-1147.62,23.75,219.59,-124.34,105.91,-82.04,15.09,-419.57,-392.31,81.03,-97.38,139.33,-92.11,-87.62,2928.57,-180.85,164.38,1338.46,-144.34,286.84,-227.66,-100.0,172.34,181.69,5015.0,,1586.76,-313.75,13.29
Koszty finansowe,,,,,0.0,-103.11,36.59,1300.0,-189.9,-1860.0,-47.02,745.83,-69.66,106.12,-55.06,-62.32,3.31,2583.33,185.0,-25.49,43.84,-187.58,179.82,-228.95,209.76,487.23,68.34,911.56,692.22,-402.56,-45.07,-80.3,-20.48,85.41
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,45.56,-74.3,14.92,-54.04,-74.27,-2217.35,-22.01,34.71,-56.97,-103.39,-64.08,-38.68,218.97,0.07,174.6,365.57,162.27,111.42,136.24,-0.78,72.67,21.69,-36.38,-67.17,-48.2,174.12,73.73,395.74,130.23,75.58
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,45.56,-74.3,14.92,-54.04,-74.27,-2217.35,-22.01,34.71,-56.97,-103.39,-64.08,-38.68,218.97,0.07,174.6,365.57,162.27,111.42,136.24,-0.78,72.67,21.69,-36.38,-67.17,-48.2,174.12,73.73,395.74,130.23,75.58
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,41.86,-85.65,44.14,-58.43,-75.3,-4529.68,-30.0,49.4,-38.15,-94.93,-63.29,-45.03,162.62,-17.44,183.67,400.44,135.47,109.21,133.76,-4.35,68.06,115.47,-30.43,-66.45,-48.92,123.78,74.69,434.34,161.68,52.22
Zysk netto akcjonariuszy jednostki dominującej,,,,,41.86,-85.65,44.14,-58.43,-75.3,-4529.68,-30.0,49.4,-38.15,-94.93,-63.29,-45.03,162.62,-17.44,183.67,400.44,135.47,109.21,133.76,-4.35,68.06,115.47,-30.43,-66.45,-48.92,123.78,74.69,434.34,161.68,52.22
Aktywa trwałe,,,,,,-2.85,51.74,46.19,62.91,113.17,46.27,67.58,51.49,79.82,194.72,169.72,176.26,74.29,3.82,-2.73,-8.84,-22.54,-26.71,-24.24,-21.69,-24.05,-24.53,-22.9,-23.38,-6.73,29.74,218.63,96.16,67.4
Wartości niematerialne i prawne,,,,,,-18.86,-14.1,-2.41,37.09,-4.43,-11.38,-10.63,-33.93,-21.04,-20.84,-27.18,-18.55,-27.38,-29.26,-30.61,-40.83,-36.7,-38.35,-41.18,-43.66,-44.68,-45.12,-45.0,-42.5,-35.58,-23.33,-16.88,-13.04,-16.42
Rzeczowe składniki majątku trwałego,,,,,,12.35,139.13,118.5,106.41,73.12,-21.19,-11.51,-11.84,-14.42,367.8,369.78,349.23,379.15,-15.12,-15.34,-13.09,-19.54,-25.28,-25.3,-27.42,-27.28,-26.74,-28.56,-22.5,-15.97,-13.98,-0.91,-12.69,-3.7
Należności długoterminowe,,,,,,3.49,3.45,3.41,4.55,4.49,3.33,4.4,3.26,3.23,4.3,3.16,4.21,4.17,4.12,4.08,4.04,36.0,70.3,45.1,71.84,1.47,-25.58,8.11,13.56,48.55,67.97,192.5,60.7,53.17
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,,4.76,47.58,30.74,47.92,405.15,404.78,389.6,375.0,171.51,163.69,130.54,146.94,27.77,26.42,11.29,-2.85,-24.94,-28.9,-24.06,-18.24,-21.52,-22.01,-19.23,-25.16,-1.64,-4.67,-14.84,-8.67,-29.33
Aktywa obrotowe,,,,,,67.16,66.84,56.03,45.03,-13.82,-14.08,-11.03,12.5,-7.42,-10.11,-13.13,-28.98,-46.57,-41.6,-29.99,-25.25,57.17,62.47,52.22,55.25,60.94,52.45,44.89,38.94,32.9,32.51,19.04,33.22,50.66
Zapasy,,,,,,29.28,35.3,33.03,31.41,-4.9,-3.2,-8.39,-3.02,-31.65,-27.22,-15.88,-16.4,-39.42,-45.33,-50.76,-49.37,29.65,36.21,44.65,46.04,67.2,63.68,61.42,52.94,58.03,57.86,59.12,57.16,51.87
Należności krótkoterminowe,,,,,,19.11,8.95,1.97,-15.23,34.38,20.55,51.45,405.33,-4.79,0.24,-21.07,-71.6,-32.58,-5.11,-2.17,-11.2,11.34,40.05,24.75,17.08,53.99,0.77,14.29,23.04,-13.96,33.04,52.6,119.3,139.31
Inwestycje krótkoterminowe,,,,,,461.49,447.12,349.53,187.5,-48.85,-51.19,-44.08,-69.58,72.32,50.76,5.25,94.73,-64.56,-55.97,16.32,74.49,180.48,170.2,89.78,91.75,56.77,72.44,40.53,28.87,21.45,1.3,-43.3,-19.41,24.69
Środki pieniężne i inne aktywa pieniężne,,,,,,471.83,448.0,338.46,182.46,-49.82,-51.14,-42.67,-68.92,75.67,51.72,5.25,94.73,-64.56,-55.97,12.94,71.82,177.62,170.2,95.28,91.71,58.39,72.44,40.66,-69.3,-81.9,-74.08,-88.47,-37.39,102.31
Pozostałe aktywa obrotowe,,,,,,14.86,63.28,86.76,744.94,62.94,50.72,50.79,-63.3,57.04,43.49,15.67,-11.02,-25.75,-36.5,-9.93,-14.91,-100.0,-100.0,-100.0,-100.0,,,,,,,,,
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
