,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,19.42,15.6,3.63,16.28,35.77,1.68,0.52,-17.26,-0.29,6.93,8.77,9.06,4.43,0.2,-4.26,3.18,-15.28,37.2,55.36,49.72,38.21,26.6,9.5,33.43,35.79,24.08,7.81,-11.62,-21.26,-31.43,-19.4,-13.56,-2.23,6.84,14.05,-4.41,1.48,7.79,-5.44,12.43,16.69,1.42,14.54,4.48,6.59,15.74,8.42,24.96,27.18,17.66,13.95,10.0,3.09,-4.87,2.26,9.49,6.86,20.95,14.09,1.18,-15.6,-11.65,-5.84,7.43,28.45,20.18,3.38,-5.33,21.29,-0.86,12.9,24.75,-15.19
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,15.48,16.7,4.62,15.59,42.65,4.01,-5.24,-18.01,-0.95,1.92,3.33,-10.62,-13.21,-11.13,6.08,16.53,-7.79,47.93,43.5,51.4,43.05,31.22,13.76,34.9,42.95,22.95,11.95,-14.22,-23.47,-31.07,-22.42,-11.25,-5.69,7.17,15.24,-5.67,5.49,5.79,-8.7,12.57,13.98,-2.47,12.34,-4.75,1.96,17.76,7.2,32.62,34.71,22.81,20.35,14.24,6.31,-2.91,3.21,9.66,7.06,15.75,8.59,-5.61,-15.84,-15.93,-3.76,13.58,27.77,24.34,1.68,-4.81,20.34,0.75,11.43,18.44,-17.94
Koszty sprzedaży,,,,,16.08,18.52,36.12,-15.47,3.54,-0.64,-14.58,-12.68,-8.13,-16.86,6.92,83.82,3.31,-6.66,-26.46,-47.79,-15.07,4.13,14.04,13.17,-2.43,1.14,6.23,11.18,5.08,1.71,-22.94,11.1,11.93,22.81,63.14,-10.52,-7.07,-10.7,3.15,3.41,20.42,8.93,-13.03,17.09,-0.85,13.35,21.19,7.17,8.63,12.29,0.76,-2.79,-3.44,-13.49,-12.2,-9.8,-7.67,-2.89,9.44,-0.83,1.57,-5.6,-8.93,21.19,-60.49,-65.74,-62.38,-61.71,14.63,36.05,15.79,3.07,-4.83,2.77,1.69,-0.12,1.71
Koszty ogólnego zarządu,,,,,2.39,-26.87,9.29,7.94,-0.48,-11.64,29.53,1.39,10.48,76.96,-22.09,40.45,0.38,2.32,7.83,-20.4,-11.17,-9.25,-10.95,10.08,16.57,29.29,23.9,-12.05,39.11,43.06,23.81,54.01,-12.75,-27.2,-6.9,-14.08,9.03,15.88,3.75,8.2,9.34,3.04,1.75,12.79,8.62,8.25,15.65,-10.18,6.17,-0.01,3.96,25.56,1.58,14.89,6.16,2.53,-1.7,-4.46,-60.86,9.13,11.7,18.61,174.27,34.88,2.2,-7.22,6.86,-9.02,11.65,31.03,13.6,16.25,14.84,12.14,9.42,27.87,8.31
Zysk ze sprzedaży,,,,,324.59,217.27,-4340.46,24.04,-103.16,-209.84,379.15,19.93,415.8,367.28,189.3,808.11,8580.84,442.84,-103.39,-60.03,-52.4,-16.42,4182.03,57.81,8.54,-25.04,-37.63,36.99,-50.95,38.0,-74.89,4.9,37.8,-43.39,186.5,-43.83,56.25,-4.56,-4.12,10.59,-53.83,60.24,79.03,9.1,108.31,58.7,44.22,184.86,76.11,2.23,23.68,-20.67,-22.75,-37.48,-42.67,-29.13,-41.36,-49.01,17.98,7.77,-3.28,248.61,81.11,93.61,-24.74,49.02,-28.91,-32.9,82.6,-15.89,22.59,-24.88,52.29,-25.42,31.54,133.49,16.58
Pozostałe przychody operacyjne,,,,,-54.78,486.96,-46.39,-23.15,324.63,26.33,-30.92,314.42,44.59,40.19,-504.5,-104.65,-57.67,-57.06,285.61,828.48,384.52,25.43,-57.27,42.88,-42.76,-4.14,64.63,13.77,-37.4,-75.84,52.58,37.1,-11.84,66.83,-65.48,676.63,-30.81,30.89,90.75,-91.65,194.62,-58.79,-82.27,37.5,-8.0,3.13,50.56,-42.64,-34.31,17.06,184.66,73.95,-17.21,100.67,225.69,35.87,-3.16,132.38,-58.26,11.63,103.73,9.48,27.49,51.37,52.0,-72.63,-40.73,-56.42,-66.6,16.13,-2.87,11.55,84.92,364.43,-131.17,136.92,1.97
Pozostałe koszty operacyjne,,,,,-39.67,27.57,56.0,-37.82,189.02,49.11,321.18,-85.32,-43.65,21.04,39.09,2986.41,1117.25,181.04,-174.97,-100.7,-73.04,-75.03,251.43,2599.04,-6.12,-80.84,-79.98,115.53,-80.52,2137.96,-9.86,30.65,94.01,-80.6,66.39,66.28,108.71,-66.81,-22.78,-87.4,-70.4,-31.1,207.53,-110.38,257.19,381.94,-55.62,1490.65,-62.0,-109.52,-20.45,27.18,10.13,575.83,14.21,118.34,11.18,15.86,122.7,61.77,341.11,473.48,-2.39,-75.76,-82.15,-78.05,1.01,-51.78,159.39,27.73,-34.74,-152.4,-16.13,-16.19,46.81,1010.54,25.06
Zysk operacyjny (EBIT),,,,,293.31,411.09,-243.87,33.6,-98.6,-86.28,182.35,152.74,7526.99,1500.17,295.07,30.04,207.59,29.05,54.32,169.66,76.8,94.25,72.28,25.83,-14.39,-8.11,-5.14,14.57,-35.68,-82.99,-49.53,1.97,14.43,209.16,19.27,125.43,23.28,24.86,20.39,-62.55,-11.12,42.84,5.77,31.39,34.75,40.53,86.35,110.21,75.45,20.31,35.48,-17.37,-23.95,-37.89,-20.07,-35.01,-40.46,-28.76,-20.79,-9.91,-33.29,100.72,89.62,183.9,88.45,73.25,-34.18,-36.61,-8.55,-17.0,30.04,-14.66,78.14,-3.92,14.86,105.51,12.36
Przychody finansowe,,,,,-8.16,-47.58,-38.44,1116.47,-20.23,287.17,-50.58,-37.49,127.03,33.75,119.19,207.26,34.79,-25.34,77.58,-60.09,-36.91,43.86,-31.98,56.67,30.53,36.23,59.09,24.84,35.9,-57.18,139.84,-26.75,-52.93,9.19,-80.18,-12.54,12.08,64.21,54.62,44.26,10.25,6.12,-17.76,-24.93,25.94,-10.89,2.1,17.06,-29.41,-8.33,1.18,-10.68,-0.56,-15.5,-31.72,-47.21,-42.38,-2.06,-3.78,677.32,37.67,91.5,-166.0,-59.82,-63.53,-82.56,166.55,-64.71,427.12,1317.29,1346.73,725.91,260.36,70.75,13.15,5.85,-1.54
Koszty finansowe,,,,,-16.32,177.66,-84.99,113.73,-45.12,447.01,-36.68,160.08,29.92,-44.61,25.8,-16.65,-28.46,-23.4,-26.7,-41.85,184.87,132.21,-4.54,0.23,14.16,-35.69,190.04,41.42,-38.52,67.22,-28.39,-6.49,-8.89,-46.59,-36.89,-21.45,-12.98,31.32,125.26,68.32,20.45,-50.6,-23.54,-29.33,22.08,78.76,-16.25,-9.53,12.06,9.3,17.26,33.62,-7.84,8.5,-4.71,-1.06,6.41,0.0,35.94,64.61,19.98,22.61,-7.82,-17.41,-16.14,-10.14,12.85,-22.09,-6.57,-1.49,-5.71,8.53,45.41,23.1,1.88,14.93,-1.7
Pozostałe przychody (koszty),,,,,-194.75,-1325.37,-50.4,120.06,102.17,101.1,-98.06,-96.63,301.08,267.97,55.59,25.32,-172.79,-68.37,120.9,-14.49,-48.8,-1050.34,-179.55,-111.9,16.21,-17.87,122.51,-182.31,101.62,312.94,3759.09,-4389.92,-8736.36,-115.95,-116.36,89.99,-83.58,-220.63,-20.7,42.45,-21.85,48.13,114.69,41.41,43.25,172.32,-230.46,-168.17,-105.8,-271.26,456.03,1.81,-14.22,28.25,168.42,60.52,116.16,613.37,-99.31,101.38,-95.63,-99.49,82.35,800.0,130.0,-4.55,-6.45,-140.28,-82.61,71.43,-144.83,458.62,75.0,436.11,346.15,-36.54,-78.57
Zysk z działalności gospodarczej,,,,,129.89,210.81,171.43,-63.32,-21.04,-177.96,238.47,178.81,1256.09,1119.63,383.73,239.72,151.91,25.49,72.55,107.59,28.74,80.2,54.15,30.23,-12.08,-0.07,-7.24,13.24,-16.24,-88.72,-18.15,-20.47,-10.9,332.4,-27.82,177.2,26.11,26.57,13.57,-62.85,-12.03,55.46,10.66,32.91,38.27,34.62,90.07,111.63,61.57,17.14,35.43,-19.19,-24.3,-39.73,-20.45,-37.86,-44.03,-24.01,-25.12,19.83,-37.69,98.48,87.85,128.07,94.01,64.71,-34.47,-39.16,14.34,-2.62,57.62,10.44,128.58,7.07,15.36,84.76,8.41
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,129.89,210.81,171.43,-63.32,-21.04,-177.96,238.47,178.81,1256.09,1119.63,383.73,239.72,151.91,25.49,72.55,107.59,28.74,80.2,54.15,30.23,-12.08,-0.07,-7.24,13.24,-16.24,-88.72,-18.15,-20.47,-10.9,332.4,-27.82,177.2,26.11,26.57,13.57,-62.85,-12.03,55.46,10.66,32.91,38.27,34.62,90.07,111.63,61.57,17.14,35.43,-19.19,-24.3,-39.73,-20.45,-37.86,-44.03,-24.01,-25.12,19.83,-37.69,98.48,87.85,128.07,94.01,64.71,-34.47,-39.16,14.34,-2.62,57.62,10.44,128.58,7.07,15.36,84.76,8.41
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,
Zysk netto,,,,,2026.83,467.31,-73.95,191.44,-283.83,-266.82,235.31,1981.08,1108.05,988.54,2323.0,16.49,148.3,25.54,88.52,113.17,32.95,107.18,48.95,36.65,-12.54,-0.1,-8.24,11.46,-20.55,-120.48,-26.38,63.24,-5.61,319.45,-19.95,73.56,23.2,34.91,11.26,-69.49,-12.57,56.47,12.48,29.17,37.77,36.35,92.25,112.41,64.21,15.78,35.55,-19.83,-2.24,-59.15,-27.87,-41.39,-65.43,-2.28,-35.26,20.29,-16.83,107.05,125.8,130.18,198.07,626.32,-30.42,-25.98,-16.76,-77.31,52.74,17.56,84.9,14.51,12.0,59.28,10.6
