,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Period,2020/Q1,2020/Q2,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,161.27,21.38,,,40.42,118.77,54.01,-10.78,-24.32,-23.13,-49.17,-39.34
Techniczny koszt wytworzenia produkcji sprzedanej,,,76.54,12.01,,,-2.74,285.88,-34.79,45.39,130.69,13.14,244.78,30.72
Koszty sprzedaży,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,207.04,25.39,,,53.83,54.85,79.55,-28.81,-54.76,-57.7,-79.87,-85.28
Pozostałe przychody operacyjne,,,71.5,156.1,,,-100.0,-100.0,100.0,,,,,
Pozostałe koszty operacyjne,,,380.0,46.15,,,-100.0,-100.0,262.7,-10.39,,,91.1,-75.14
Zysk operacyjny (EBIT),,,183.52,37.51,,,39.28,28.99,104.05,-32.53,-54.91,-67.48,-110.09,-88.0
Przychody finansowe,,,466.67,-160.61,,,13.07,840.0,345.0,-475.0,-80.35,-78.38,-99.5,107.87
Koszty finansowe,,,,-100.0,,,,,-73.27,150.68,4350.0,756.52,-233.33,840.54
Pozostałe przychody (koszty),,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,189.8,30.73,,,38.02,41.76,122.71,-45.5,-59.44,-79.77,-108.47,-99.49
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,189.8,30.73,,,38.02,41.76,122.71,-45.5,-59.44,-79.77,-108.47,-99.49
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,
Zysk netto,,,237.49,12.08,,,38.61,35.33,121.38,-37.11,-59.35,-77.22,-102.46,-99.71
Zysk netto akcjonariuszy jednostki dominującej,,,237.49,12.08,,,38.61,35.33,121.38,-37.11,-59.35,-77.22,-102.46,-99.71
Aktywa trwałe,,,,,,,,3407.69,707.67,-18.27,-30.44,-5.92,-47.46,14.45
Wartości niematerialne i prawne,,,,,,,,,,,,,,
Rzeczowe składniki majątku trwałego,,,,,,,,3217.95,226.72,-17.36,-13.25,-4.33,-7.77,-21.0
Należności długoterminowe,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,,,,,,-94.74,-96.92,-33.78,-74.42,46600.0
Aktywa obrotowe,,,,,,,,202.39,100.41,44.69,32.02,11.32,-19.77,-29.12
Zapasy,,,,,,,,122.41,75.98,67.61,124.83,141.52,111.14,71.31
Należności krótkoterminowe,,,,,,,,183.85,90.65,128.99,55.72,-6.67,-28.8,-72.39
Inwestycje krótkoterminowe,,,,,,,,238.59,113.68,8.62,9.54,-5.47,-49.02,-31.43
Środki pieniężne i inne aktywa pieniężne,,,,,,,,237.54,113.68,8.87,9.54,-5.17,-49.02,-31.59
Pozostałe aktywa obrotowe,,,,,,,,-100.0,21.43,-25.0,,,-100.0,-100.0
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,
Aktywa razem,,,,,,,,214.97,117.47,40.28,27.53,10.56,-22.66,-27.34
Kapitał własny akcjonariuszy jednostki dominującej,,,89.65,104.39,,,87.84,195.77,113.13,42.3,26.17,-24.26,-21.39,-31.08
Kapitał (fundusz) podstawowy,,,,,,,3.5,3.5,3.5,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,,,,42.95,166.94,0.0,1.81,0.0,-46.45,0.0
Udziały niekontrolujące,,,,,,,,,,,,,,
Zobowiązania długoterminowe,,,,,,,,1138.35,311.93,-10.79,-15.65,-53.19,-52.41,-47.2
Z tytułu dostaw i usług,,,,,,,,1660.0,250.0,174.38,697.92,841.52,48.16,56.85
Kredyty i pożyczki,,,,,,,,,,,,,,
Z tytułu emisji dłużnych papierów wartościowych,,,,,,,,,,,,,,
Zobowiązania z tytułu leasingu finansowego,,,,,,,,,39.41,216.47,200.0,24.05,51.9,33.09
Inne zobowiązania długoterminowe,,,,,,,,506.02,646.75,1030.77,-13.08,-89.58,-96.75,-93.2
Zobowiązania krótkoterminowe,,,,,,,,357.14,102.92,55.92,190.68,589.06,-17.79,53.33
Inne zobowiązania krótkoterminowe,,,,,,,,-25.98,74.19,-95.11,-100.0,-100.0,-100.0,86.96
Rozliczenia międzyokresowe,,,,,,,,,,,,,,
Pasywa razem,,,89.65,116.11,,,99.28,214.97,117.47,40.28,27.53,10.56,-22.66,-27.34
Przepływy pieniężne z działalności operacyjnej,,,,33.46,,,-2.55,-8.61,187.6,-139.93,14.39,-134.55,-73.31,401.91
Amortyzacja,,,,100.0,,,8400.0,3500.0,3950.0,36.36,11.76,166.67,22.22,-15.83
Przepływy pieniężne z działalności inwestycyjnej,,,,,,,58.33,63.16,-100.0,33.33,-1720.0,-471.43,100.0,100.0
CAPEX (niematerialne i rzeczowe),,,,,,,-58.33,-63.16,100.0,-33.33,1720.0,471.43,-100.0,-100.0
Przepływy pieniężne z działalności finansowej,,,,100.0,,,98.42,,-807700.0,-102.34,-12.63,19.57,-38.04,-7.92
Emisja akcji,,,,,,,,,,-100.0,,,,
Dywidenda,,,,-100.0,,,-100.0,,,,,,37.62,
Przepływy pieniężne razem,,,,175.75,,,259.53,-14.78,-301.52,-113.63,12.06,-145.95,-197.2,351.02
