,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2
Przychody ze sprzedaży,,,,,0.53,30.03,16.58,17.58,53.55,42.23,-108.85,-16.86,11.42,-12.4,124.91,7.27,-24.45,-25.3,4508.19,-6.31,3.28,2.4,-5.26,9.63,4.07,2.61,20.2,-1.14,-6.17,-0.79,-9.06,10.77,7.67,-7.39,4.54,-1.71,0.75,-5.52,-6.03,-9.18,0.03,2.17,15.43,16.97,11.88,10.49,7.87,2.62,7.15,4.25,11.74,11.25,8.32,10.27,10.49,17.42,11.06,12.17,7.52,-6.0,12.38,2.71,24.01,29.23,14.02,23.75,-1.76,17.28,17.45,10.21,21.99,6.88,5.22,2.99
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,13.6,34.78,11.75,18.28,47.7,50.33,-90.65,-4.38,6.31,-10.55,4.55,-8.36,-29.17,-31.45,880.52,-3.08,2.39,1.5,-1.2,5.36,7.31,7.83,16.42,-1.93,-7.94,-3.92,-8.27,11.74,5.81,-5.0,4.04,-1.6,2.68,-8.32,0.82,-9.07,2.44,2.93,8.33,13.66,-2.46,-2.28,-7.16,-9.12,6.43,3.99,11.34,11.01,10.21,11.21,10.57,15.32,9.84,12.83,9.25,-3.06,15.28,5.74,20.47,22.06,8.13,23.43,1.59,20.3,19.13,11.7,18.57,6.49,8.59,6.13
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.37,-6.91,-2.81
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.26,9.07,-3.39,26.34,18.73,-3.41,19.22,12.49,11.21,18.9,22.54,-19.23,-22.32,-16.34,-19.07,12.05,14.06,40.3,7.15,-321.2,-66.95,-70.57,-76.09,117.33,-30.89,-16.79
Zysk ze sprzedaży,,,,,-284.57,12.87,21.92,-36.64,24.91,7.21,-99.07,-280.8,123.42,-23.6,55.44,86.34,540.62,18.4,59.11,-123.6,15.05,6.1,-117.32,64.83,-34.16,-17.94,31.68,42.4,27.93,15.36,-9.44,-97.19,33.36,-17.65,5.23,-3.67,-20.53,8.37,-141.35,3.86,-34.16,-1.02,48.43,132.89,64.52,21.54,105.15,393.31,36.55,3.38,649.3,-25.76,-22.45,12.24,-30.73,132.47,28.48,7.61,-242.74,-36.85,27.61,-1.41,466.42,317.26,79.91,19.82,-82.22,-21.09,-1.02,5.04,450.19,19.06,-8.48,-6.91
Pozostałe przychody operacyjne,,,,,284.08,1.58,-73.49,71.42,-53.25,-46.64,-37.46,-41.06,32.57,3.57,138.8,-90.04,-78.44,89.65,224.54,227.99,9.82,-26.96,-66.06,-84.54,66.12,-51.8,-16.14,-4.66,-50.85,-9.25,-61.63,298.37,4.03,21.14,32.31,-47.68,421.05,747.28,12.33,67.93,-51.2,-77.45,1.45,-31.06,-64.16,-55.57,316.94,-18.47,678.42,-10.93,-47.04,313.54,-75.83,130.44,-62.11,-86.31,-43.78,-35.37,-49.27,759.02,40.8,17.03,237.98,-65.42,73.06,-23.0,-18.07,-284.24,-100.0,-100.0,100.0,185.87,,
Pozostałe koszty operacyjne,,,,,-49.19,-3.77,401.16,-28.33,223.28,-53.77,-35.5,158.13,-44.52,254.46,-37.77,1.88,-37.76,-26.13,-100.0,-71.34,18.01,40.15,,-69.29,59.84,-43.25,97.84,4.84,1.76,370.63,-114.55,295.6,22.96,-66.18,25.83,-13.5,164.86,-13.2,305.62,-28.97,-83.24,-2.79,54.1,-123.69,363.35,113.89,1433.33,594.66,-57.23,-80.3,-92.11,-47.38,64.38,103.79,-128.45,287.39,-42.78,-13.75,-53.61,14.95,-56.8,3.66,41.61,-47.35,117.42,180.87,742.53,-245.22,-100.0,-100.0,-100.0,100.0,,
Zysk operacyjny (EBIT),,,,,-173.03,12.71,-6.63,245.68,-32.81,5.93,-103.51,-269.79,178.36,-26.0,61.32,48.89,147.01,23.46,117.45,43.93,14.59,3.1,-617.9,52.51,-31.24,-18.21,22.43,38.81,17.94,3.96,3.68,-113.24,32.25,-10.16,8.38,-24.24,-11.02,30.33,-174.97,38.98,-28.95,-14.98,49.11,206.85,23.24,14.14,47.88,36.04,92.42,9.3,213.84,89.32,-38.97,12.85,-30.99,-36.49,29.5,6.77,-176.16,29.42,32.32,-1.15,636.17,252.27,79.01,15.56,-84.08,-18.18,-3.32,8.67,550.52,36.26,-8.09,-6.96
Przychody finansowe,,,,,247.66,-59.02,11.04,-17.12,-62.36,-23.31,-51.52,-54.19,126.06,1256.36,-60.96,-337.42,-70.25,-95.28,48.44,103.57,-39.29,-33.67,56.38,254.29,475.51,341.28,-458.68,1044.35,-69.35,-97.02,106.48,-88.21,-85.61,397.67,-73.33,-90.64,99.12,29.44,193.33,638.3,-70.67,25.27,778.41,42.65,712.12,-79.25,-96.57,-15.35,-96.83,-91.67,-100.0,88.54,170.59,2233.33,,-56.2,332.61,-180.71,-100.0,605.49,354.27,1001.77,,-29.25,-20.13,31.11,254.0,-57.85,-87.4,-89.52,-88.43,543.27,57.14,-12.14
Koszty finansowe,,,,,72.6,-3.49,25.38,994.57,79.19,106.79,193.53,75.72,-1.78,-28.86,-11.44,-42.81,-22.28,-34.03,-28.14,-3.16,-45.33,-35.39,-67.44,35.31,7.4,20.25,-149.52,113.27,-8.44,-23.04,480.13,-79.72,-40.88,-22.89,-26.9,-7.59,-17.61,-49.37,-22.97,-98.77,-38.13,-110.32,17.43,22400.0,-38.65,608.65,-27.31,-95.62,-39.31,-18.15,-62.69,560.94,23.48,22.17,-244.55,111.11,121.47,-26.09,212.62,114.33,20.91,284.4,2.77,-17.92,63.46,-17.56,92.78,22.09,-3.43,83.62,43.35,49.92,43.4,14.77
