,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
Period,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,1429.0,1084.0,2010.0,1927.0,2234.0,2294.0,1455.0,2318.0,2738.0,1448.0,2057.0,1826.0,2692.0,3664.0,1955.0,3007.0,2258.0,2669.0,1881.0,2592.0,2941.0,3985.0
Techniczny koszt wytworzenia produkcji sprzedanej,470.0,365.0,958.0,759.0,554.0,850.0,981.0,1340.0,2431.0,26.0,1490.0,1019.0,1519.0,3217.0,1033.0,2358.0,1638.0,2284.0,1617.0,2348.0,2346.0,3680.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,959.0,719.0,1052.0,1168.0,1680.0,1444.0,474.0,978.0,307.0,1422.0,567.0,807.0,1173.0,447.0,922.0,649.0,620.0,385.0,264.0,244.0,595.0,305.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,0.0,0.0,113.0,139.0,3.0,317.0,-511.0,23.0,14.0,236.0,-33.0,0.0,0.0,0.0,30.0,19.0,9.0,28.0,54.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,0.0,0.0,189.0,115.0,141.0,204.0,269.0,88.0,187.0,395.0,688.0,0.0,0.0,0.0,572.0,9.0,176.0,29.0,54.0
Zysk operacyjny (EBIT),959.0,719.0,1052.0,1168.0,1680.0,1368.0,498.0,840.0,420.0,642.0,502.0,634.0,1014.0,-274.0,922.0,649.0,620.0,-157.0,274.0,77.0,594.0,305.0
Przychody finansowe,-5.0,37.0,40.0,-27.0,156.0,-117.0,149.0,26.0,-51.0,-51.0,400.0,-298.0,488.0,166.0,445.0,912.0,1348.0,-1050.0,236.0,-42.0,20.0,105.0
