,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Period,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,1562.0,1604.0,1917.0,2060.0,1904.0,2424.0,2917.0,3214.0,3272.0,3606.0,4078.0,4269.0,3699.0,3232.0,3324.0,3304.0,3512.0,3539.0,3816.0,4010.0,4429.0,4950.0,5359.0,5805.0,6056.0,6387.0,6690.0,7020.0,7624.0
Techniczny koszt wytworzenia produkcji sprzedanej,420.0,889.0,956.0,1153.0,1098.0,1270.0,1463.0,1562.0,1742.0,1520.0,1698.0,1913.0,1926.0,1640.0,1595.0,1754.0,1669.0,1685.0,1654.0,1743.0,1826.0,1943.0,2050.0,2232.0,2415.0,2553.0,2657.0,3418.0,3813.0
Koszty sprzedaży,447.0,455.0,577.0,656.0,569.0,798.0,826.0,1198.0,836.0,1207.0,1408.0,1283.0,1561.0,962.0,931.0,955.0,894.0,920.0,1013.0,1077.0,1278.0,1289.0,1326.0,1410.0,1406.0,1469.0,1374.0,1464.0,1525.0
Koszty ogólnego zarządu,250.0,346.0,349.0,430.0,502.0,765.0,855.0,520.0,1205.0,843.0,936.0,1034.0,827.0,965.0,823.0,642.0,722.0,777.0,851.0,834.0,884.0,1049.0,1131.0,1171.0,1234.0,1129.0,1134.0,1177.0,1403.0
Zysk ze sprzedaży,445.0,-86.0,35.0,-179.0,-265.0,-409.0,-227.0,-66.0,-511.0,36.0,36.0,39.0,-615.0,-335.0,-25.0,-47.0,227.0,157.0,298.0,356.0,441.0,669.0,852.0,992.0,1001.0,1236.0,1525.0,961.0,883.0
Pozostałe przychody operacyjne,4.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,-551.0,0.0,0.0,8.0,6.0,0.0,4.0,60.0,-739.0,0.0,0.0,1.0,11.0,1.0,20.0,19.0,2.0,3.0,2.0,197.0,-282.0
Pozostałe koszty operacyjne,7.0,0.0,6.0,0.0,59.0,0.0,7.0,15.0,95.0,5.0,22.0,15.0,348.0,30.0,20.0,13.0,108.0,24.0,13.0,10.0,457.0,14.0,119.0,8.0,629.0,5.0,22.0,17.0,20.0
Zysk operacyjny (EBIT),442.0,-86.0,32.0,-179.0,-324.0,-407.0,-234.0,-79.0,-1157.0,31.0,14.0,32.0,-957.0,-365.0,-41.0,0.0,-620.0,133.0,285.0,347.0,-5.0,656.0,753.0,1003.0,374.0,1234.0,1505.0,1141.0,581.0
Przychody finansowe,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,13.0,31.0,19.0,20.0,45.0,394.0,192.0,235.0,70.0,240.0
Koszty finansowe,13.0,31.0,62.0,25.0,25.0,19.0,1.0,22.0,96.0,41.0,34.0,49.0,101.0,156.0,109.0,112.0,93.0,81.0,107.0,70.0,72.0,99.0,165.0,530.0,259.0,324.0,61.0,220.0,884.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
