,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Period,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,19.43,38.89,54.92,13.8,38.66,28.04,-5.47,2.58,-16.54,-18.25,8.89,-5.86,26.25,6.36,21.65,56.51,61.37,98.6,51.18,27.82,22.76,-18.43,-30.89,-31.22,-66.84,-48.1,-43.67,-47.86,-15.67,-3.96,-11.31,76.14,156.17,-298.22,-100.0,-96.59,-91.56,105.84,,110.95,-25.49,2.43,415.2,294.12,448.12,389.33,-8.46,-1.23
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,57.04,83.59,54.23,70.72,48.28,31.36,38.67,20.95,0.04,-8.18,-15.18,20.22,23.22,25.9,52.37,41.34,73.43,68.21,43.88,28.27,16.02,-9.69,-8.91,-17.31,-49.97,-36.11,-41.1,-44.72,-19.53,-30.87,6.63,51.64,99.44,-285.07,-93.87,-91.03,-87.94,110.76,137.31,13.59,-33.13,-4.37,-0.42,25.88,57.21,335.48,98.11,9.19
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,-57.96,-130.53,57.51,-57.19,-35.32,-103.67,-166.94,-88.75,-308.55,-129.73,173.46,-1400.0,-0.63,-121.18,-247.16,18.49,-186.21,3.01,15.0,-31.66,19.5,-32.27,-306.15,-84.97,-85.58,0.62,34.83,36.12,25.07,72.46,-44.44,3.03,-7.73,214.14,85.94,68.52,74.02,-156.86,-12.94,29.17,42.66,10.89,458.15,324.89,576.83,-275.98,-70.73,-14.69
Pozostałe przychody operacyjne,,,,,-24.44,100.0,-17.39,64.52,-20.59,-61.67,26.32,-21.57,-40.74,-43.48,-12.5,25.0,137.5,-7.69,-100.0,-114.0,55.26,808.33,,62542.86,-66.1,-15.6,608.33,-96.11,715.0,-65.22,2947.54,-1365.29,-97.55,-2168.75,-98.12,105.25,2150.0,90.63,-122.86,-81.42,-98.89,101.61,512.5,-95.24,700.0,2300.0,-96.97,200.0,-100.0,-95.83,-100.0,1000.0
Pozostałe koszty operacyjne,,,,,66.67,361.9,16.67,19757.14,-32.5,-75.26,-21.43,-98.42,-55.56,-95.83,1795.45,-29.22,175.0,567400.0,-91.37,719.27,-63.64,-96.49,-77.78,-22.17,725.0,-32.16,650.0,531.65,-13.13,2157.04,3511.67,-111.34,326.74,-99.9,-96.4,320.48,-95.37,1533.33,-97.44,-99.27,11.76,-100.0,-50.0,-25.0,-68.42,,1800.0,16.67,-33.33,,-100.0,85.71
Zysk operacyjny (EBIT),,,,,-60.52,-139.89,55.58,-819.31,-33.62,-52.74,-167.61,99.43,-305.92,-123.32,76.05,-1563.46,-0.32,-1263.65,-390.72,-80.0,-175.8,82.57,17.23,280.54,6.0,-25.84,-285.28,-307.04,-58.11,-198.86,14.49,54.04,-7.61,76.17,-13.48,26.13,25.78,132.14,85.68,84.87,70.43,-175.07,7.58,24.41,46.71,19.92,507.69,318.14,580.25,-319.51,-70.06,-9.94
Przychody finansowe,,,,,1350.0,4033.33,8333.33,728.57,220.69,-46.37,-59.29,-61.64,-69.35,-52.63,-84.47,-77.53,-59.65,-84.13,-25.0,0.0,152.17,380.0,325.0,180.0,-20.69,-16.67,-21.57,-25.0,-76.09,92.5,2.5,-2.38,272.73,9.09,-31.71,-14.63,195.12,-153.57,10.71,102.86,-100.0,100.0,451.61,-100.0,,,-97.66,,,,0.0,-33.33
Koszty finansowe,,,,,-12.5,-25.0,85.71,50.0,128.57,144.44,38.46,1275.0,-25.0,-45.45,-11.11,-82.42,108.33,858.33,-100.0,137.93,-24.0,-88.7,,-50.72,100.0,430.77,407.69,7047.06,-26.32,76.81,12.12,-97.65,146.43,737.7,36.49,-1277.19,365.22,-91.29,-49.5,106.41,-93.77,-79.78,-47.06,-9.3,100.0,133.33,29.63,-64.1,-87.5,-100.0,-97.14,-85.71
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,24.47,-317.86,-100.0,-100.0,-100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-51.39,-74.17,120.21,-791.08,15.0,-220.43,-138.14,98.56,-154.04,-324.11,106.25,-569.53,-14.37,-1376.42,-2420.0,-87.4,-315.58,83.62,23.28,276.4,2.54,-32.2,-333.71,-389.73,-61.79,-196.12,13.8,67.21,-8.36,55.56,-16.15,52.81,13.09,110.36,85.06,78.66,73.62,-232.37,77.92,2.21,37.65,9.85,1598.04,284.15,485.15,-245.75,-68.46,-8.2
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-51.39,-74.17,120.21,-791.08,15.0,-220.43,-138.14,98.56,-154.04,-324.11,106.25,-569.53,-14.37,-1376.42,-2420.0,-87.4,-315.58,83.62,23.28,276.4,2.54,-32.2,-333.71,-389.73,-61.79,-196.12,13.8,67.21,-8.36,55.56,-16.15,52.81,13.09,110.36,85.06,78.66,73.62,-232.37,77.92,2.21,37.65,9.85,1598.04,284.15,485.15,-245.75,-68.46,-8.2
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,-100.0,-100.0,,,,,,,100.0,100.0,,,,,,,,,
Zysk netto,,,,,-53.39,-75.56,120.97,-934.04,61.82,-286.36,-143.36,98.38,-147.47,-301.63,102.36,-422.7,-26.04,-1318.02,-6500.0,-99.05,-298.12,83.6,17.41,291.62,0.0,-29.42,-314.59,-400.89,-55.42,-201.88,61.28,59.21,-7.21,55.47,-160.27,63.19,13.09,34.62,-67.08,78.66,75.24,77.51,98.03,2.21,33.55,15.99,1598.04,284.15,485.15,-245.75,-68.06,-8.81
Zysk netto akcjonariuszy jednostki dominującej,,,,,-54.06,-79.78,118.51,-937.74,66.05,-325.45,-144.13,98.38,-147.34,-298.39,102.36,-422.7,-26.04,-1318.02,-6385.71,-103.26,-288.73,84.4,1.36,284.65,-2.05,-34.03,-259.22,-405.21,-55.62,-202.73,60.36,60.01,-5.4,55.42,-145.15,63.06,14.86,35.71,-76.04,78.27,74.24,76.87,98.09,2.21,33.55,15.99,1598.04,284.15,485.15,-245.75,-68.06,-8.81
Aktywa trwałe,,,,,47.21,49.65,70.68,-55.26,-35.11,-23.56,-29.6,156.21,201.09,123.72,94.36,80.18,-3.38,-27.77,-18.17,-8.91,-8.21,32.82,18.41,27.29,22.11,12.1,7.76,-40.36,-49.89,-69.05,-69.39,-69.19,-63.29,-46.66,-48.41,-23.69,-27.61,-95.53,-95.74,670.19,735.73,15404.95,17235.56,-0.5,-0.43,-0.37,0.0,0.0,0.0,0.0,0.0,0.0
Wartości niematerialne i prawne,,,,,58.64,58.89,72.45,-78.26,-61.48,-48.27,-43.75,371.98,336.4,71.86,31.75,4.59,-42.01,50.19,47.6,54.03,54.24,7.98,9.8,57.59,51.3,38.18,32.62,-40.59,-49.06,-70.64,-71.2,-72.02,-67.46,-66.83,-67.35,-50.52,-52.13,-100.0,-100.0,1317.08,1407.44,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rzeczowe składniki majątku trwałego,,,,,-5.35,9.67,110.29,126.51,150.22,137.12,16.62,2.12,-15.99,-44.53,-48.3,-51.99,-59.57,-63.27,-67.84,-54.7,-52.69,-34.74,8.57,113.28,148.65,143.01,89.04,-19.46,-14.78,-16.59,-16.24,-16.43,-15.56,145.89,135.18,170.23,153.78,-89.1,-89.4,-91.55,-91.9,-42.57,-100.0,-100.0,-100.0,-100.0,,,,,,
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,226.67,63.33,2273.33,2226.67,432.65,436.73,-26.69,-100.0,-63.22,-87.07,-62.84,,-2.08,185.29,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,
