,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Period,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-8.41,86.61,25.8,33.64,-30.79,-52.03,-26.97,-14.19,59.04,59.35,-19.8,11.04,35.03,-46.77,-47.78,39.48,-28.79,252.65,101.72,-11.74,8.07,-54.35,8.44,-47.6,-3.97,-1.04,-19.83,27.25,-0.34,14.09,37.88,17.95,-9.25,39.8,6.17,8.52,4.26,-4.89,-46.69,55.76,-21.38,20.33,55.28,-3.12,105.36,-1.99,39.11,31.05,-39.74,40.88
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,10.61,47.93,40.79,21.81,-13.62,-14.33,-33.43,-17.8,-7.94,-15.5,-8.57,4.4,75.94,-237.68,-63.47,2.58,-45.48,271.03,62.02,-16.67,-5.5,-67.82,31.09,-35.73,-52.72,-21.99,-37.88,-28.78,58.84,7.53,26.03,22.57,-29.64,33.99,2.5,39.61,39.42,-19.32,-49.03,25.68,-28.44,24.1,122.97,-19.22,75.45,-4.74,14.27,38.04,-50.92,22.98
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,-20.56,8.18,-25.68,6.21,-54.5,-2.42,10.62,-21.86,-8.35,-31.38,-43.1,-8.33,11.86,105.93,10.36,-55.84,-23.6,-71.96,-58.04,-6.51,-50.64,1.75,31.9,41.12,84.73,106.4,83.94,75.8,43.55,36.75,56.23,66.58,54.71
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,-64.41,43.26,48.88,64.06,-20.81,-3.01,-3.57,29.51,12.65,2.51,-4.23,-30.91,14.12,-4.51,-0.26,-8.15,-4.24,11.58,15.27,31.07,29.99,1.0,-15.19,-16.6,-12.92,-0.58,20.75,18.15,-21.63,7.53,35.52,56.38,77.15
Zysk ze sprzedaży,,,,,-307.43,1186.96,-40.93,186.08,-113.13,-220.98,41.47,80.59,168.55,178.18,-75.82,90.39,-151.67,38.63,-517.14,-76.05,-125.18,-286.07,91.72,-261.43,-15.51,78.61,-410.37,-634.96,115.76,81.18,94.92,108.01,-137.09,126.24,3340.0,202.63,1192.0,4337.93,105.47,-76.4,-134.07,10.41,-113.69,2243.16,-0.86,45.14,-70.22,-6.72,698.51,6.69,384.16,12.21,-175.45,39.51
Pozostałe przychody operacyjne,,,,,155.11,-30.56,-47.76,-23.36,42.7,-86.97,-47.14,-48.57,-16.93,202.7,-18.92,100.0,-45.97,17.86,233.33,-5.56,-4.39,247.73,25.0,462.75,214.68,-47.49,79.2,-26.13,38.19,7882.99,50.0,-42.92,-61.6,-98.83,-20.54,39.26,45.6,48.23,-42.32,-30.56,485.28,199.1,19.48,206.41,-44.04,128.44,25.54,2.51,-73.04,-66.97,-19.48,-74.97,-22.65,43.52
Pozostałe koszty operacyjne,,,,,-65.12,-90.12,181.9,-95.95,74.87,910.76,-70.95,2214.29,-111.14,-53.11,36.05,253.7,1142.11,-104.16,89.74,-71.55,-138.13,57131.82,-76.13,4875.46,451.66,-34.33,83.02,35.46,-82.86,-97.34,-57.73,-95.73,102.2,8094.98,897.56,-67.8,0.54,-98.27,-49.39,204.64,150.27,26.13,229.47,125.0,70.19,174.94,-73.46,-5.02,24.24,-63.26,134.81,-22.48,2.15,29.87
Zysk operacyjny (EBIT),,,,,-209.8,212.46,-53.31,201.62,-117.72,-313.72,70.99,15.53,176.41,123.95,-80.61,39.13,-160.0,164.24,-676.64,-68.89,-44.11,-1063.66,96.41,-3747.49,-46.2,42.2,-792.06,-73.81,130.95,206.7,146.26,100.28,-117.64,-291.66,281.54,2441.03,1237.8,106.43,129.54,-103.63,-56.89,33.77,-135.88,11583.33,-162.44,39.26,39.66,-5.54,630.08,2.42,364.5,4.53,-242.43,41.95
Przychody finansowe,,,,,-5.77,41.42,-98.53,-79.7,384.69,-41.04,240.0,-47.27,-98.89,-93.46,29.41,-158.62,-100.0,250.0,-59.09,935.29,,62.86,16366.67,-345.77,270.0,86.84,-55.13,106.88,-543.24,23.47,-94.89,-91.67,97.56,-92.02,-35.29,-600.0,475.0,-85.71,45.45,630.0,-346.67,466.67,-96.88,-66.04,524.32,-1011.76,8700.0,605.56,208.28,-70.32,287.5,-3.94,-79.34,68.94
