,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,3417.0,3825.0,3434.0,5659.0,4474.0,7140.0,4331.0,7963.0,6160.0,9305.0,6037.0,10622.0,8082.0,8215.0,6927.0,8349.0,7039.0,6863.0,3681.0,4049.0,4225.0,5344.0,4813.0,10411.0,8589.0,9394.0,8110.0,12062.0,9615.0,13231.0,9685.0,16670.0,11397.0,15047.0,12855.0,21635.0,12894.0,13904.0,12929.0,19113.0,11330.0,13033.0,11041.0,15295.0,5632.0,7898.0,8802.0,12984.0,8669.0,12418.0,13150.0,14154.0,9861.0,14806.0,16890.0,22725.0
Techniczny koszt wytworzenia produkcji sprzedanej,1353.0,1797.0,1618.0,3174.0,2496.0,3141.0,2959.0,4079.0,3748.0,5232.0,4172.0,6192.0,5367.0,5128.0,4820.0,6282.0,4624.0,4675.0,4254.0,6449.0,2752.0,3881.0,3583.0,7007.0,6734.0,6978.0,6596.0,8871.0,6550.0,8101.0,6837.0,10598.0,7791.0,8717.0,8909.0,13520.0,9822.0,10225.0,10493.0,14173.0,10046.0,10585.0,7917.0,8323.0,4112.0,4281.0,4588.0,6245.0,4876.0,5494.0,6835.0,6649.0,5477.0,6599.0,6333.0,8360.0
Koszty sprzedaży,68.0,88.0,67.0,89.0,85.0,109.0,77.0,130.0,98.0,181.0,232.0,172.0,167.0,163.0,208.0,194.0,176.0,207.0,168.0,188.0,221.0,325.0,760.0,691.0,454.0,817.0,1036.0,678.0,973.0,749.0,936.0,964.0,786.0,902.0,912.0,2768.0,1563.0,1572.0,1553.0,1797.0,1220.0,1155.0,732.0,1436.0,219.0,375.0,706.0,635.0,344.0,386.0,468.0,437.0,805.0,663.0,906.0,1387.0
Koszty ogólnego zarządu,458.0,447.0,474.0,528.0,594.0,531.0,456.0,561.0,590.0,596.0,551.0,644.0,681.0,673.0,699.0,572.0,563.0,534.0,452.0,740.0,526.0,500.0,524.0,775.0,941.0,1052.0,1143.0,990.0,936.0,1005.0,938.0,1868.0,1133.0,1217.0,1501.0,2813.0,1907.0,3268.0,2087.0,2640.0,1660.0,1440.0,1491.0,3011.0,1106.0,1108.0,1420.0,2213.0,1353.0,2243.0,1497.0,2472.0,1654.0,1700.0,1600.0,3537.0
Zysk ze sprzedaży,1538.0,1493.0,1275.0,1868.0,1299.0,3359.0,839.0,3193.0,1724.0,3296.0,1082.0,3614.0,1867.0,2251.0,1200.0,1301.0,1676.0,1447.0,-1193.0,-3328.0,726.0,638.0,-54.0,1938.0,460.0,547.0,-665.0,1523.0,1156.0,3376.0,974.0,3240.0,1687.0,4211.0,1533.0,2534.0,-398.0,-1161.0,-1204.0,503.0,-1596.0,-147.0,901.0,2525.0,195.0,2134.0,2088.0,3891.0,2096.0,4295.0,4350.0,4596.0,1925.0,5844.0,8051.0,9441.0
Pozostałe przychody operacyjne,0.0,4.0,0.0,224.0,16.0,4.0,16.0,1.0,32.0,-1.0,32.0,31.0,30.0,8.0,25.0,1970.0,271.0,264.0,2.0,10.0,4.0,0.0,-4.0,98.0,34.0,0.0,2.0,28.0,0.0,2.0,21.0,156.0,57.0,37.0,42.0,1.0,22.0,-17.0,45.0,-11728.0,18.0,156.0,641.0,395.0,12.0,639.0,2496.0,28.0,17.0,10.0,115.0,-104.0,0.0,82.0,77.0,-1737.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,151.0,1.0,94.0,13.0,76.0,6.0,5.0,14.0,11.0,23.0,10.0,8.0,57.0,4.0,3.0,3.0,7335.0,86.0,5.0,-6.0,9.0,0.0,4.0,19.0,371.0,127.0,37.0,1.0,35.0,14.0,240.0,50.0,503.0,23.0,94.0,86.0,737.0,180.0,436.0,340.0,649.0,80.0,43.0,80.0,121.0,21.0,9.0,480.0,247.0,250.0,43.0,91.0,566.0
Zysk operacyjny (EBIT),1538.0,1497.0,1275.0,1941.0,1314.0,3269.0,842.0,3118.0,1750.0,3290.0,1100.0,3634.0,1874.0,2249.0,1217.0,3214.0,1943.0,1708.0,-1194.0,-10653.0,644.0,633.0,-52.0,2027.0,494.0,543.0,-682.0,1180.0,1029.0,3341.0,994.0,3361.0,1730.0,4008.0,1525.0,2032.0,-399.0,-1272.0,-1245.0,-11962.0,-1758.0,-427.0,1202.0,2271.0,127.0,2730.0,4504.0,3798.0,2092.0,4296.0,3985.0,4245.0,1675.0,5883.0,8037.0,7138.0
Przychody finansowe,0.0,0.0,0.0,0.0,298.0,343.0,456.0,343.0,170.0,194.0,86.0,113.0,114.0,36.0,-14.0,81.0,68.0,112.0,88.0,100.0,60.0,112.0,70.0,-14.0,4.0,-25.0,-28.0,3.0,-19.0,-21.0,28.0,294.0,-36.0,-326.0,-391.0,-73.0,-73.0,-124.0,-388.0,-501.0,363.0,4056.0,13.0,-4080.0,19.0,210.0,-162.0,729.0,36.0,107.0,247.0,281.0,369.0,698.0,232.0,1319.0
