,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Period,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,210.0,144.0,958.0,918.0,1035.0,969.0,567.0,1058.0,2201.0,1004.0,1509.0,700.0,2496.0,620.0,1596.0,806.0,14657.0,6523.0,6541.0,2854.0,7252.0,7149.0,5134.0,5226.0,9507.0,2906.0,5798.0,2733.0,7749.0,2245.0,43480.0,13895.0,22494.0,14184.0,16555.0,18691.0,21791.0,30524.0,19645.0,17990.0,18943.0,14837.0,20941.0,13418.0,20927.0,17746.0,28024.0,13812.0,14624.0,14763.0,10012.0,9505.0,17993.0
Techniczny koszt wytworzenia produkcji sprzedanej,422.0,193.0,503.0,375.0,524.0,523.0,567.0,803.0,1114.0,944.0,1104.0,1101.0,1207.0,1199.0,2644.0,442.0,1980.0,1708.0,1583.0,1226.0,4220.0,1887.0,3027.0,2949.0,4113.0,2436.0,2657.0,2821.0,2283.0,2405.0,12647.0,8849.0,10604.0,8384.0,13127.0,14088.0,10298.0,12994.0,9609.0,9307.0,11732.0,11086.0,9353.0,9274.0,8811.0,10274.0,18114.0,10719.0,9872.0,12543.0,10372.0,10973.0,8351.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-212.0,-49.0,455.0,543.0,511.0,446.0,0.0,255.0,1087.0,60.0,405.0,-401.0,1289.0,-579.0,-1048.0,364.0,12677.0,4815.0,4958.0,1628.0,3032.0,5262.0,2107.0,2277.0,5394.0,470.0,3141.0,-88.0,5466.0,-160.0,30833.0,5046.0,11890.0,5800.0,3428.0,4603.0,11493.0,17530.0,10036.0,8683.0,7211.0,3751.0,11588.0,4144.0,12116.0,7472.0,9910.0,3093.0,4752.0,2220.0,-360.0,-1468.0,9642.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,10.0,0.0,31.0,42.0,47.0,-34.0,2.0,16.0,73.0,103.0,86.0,346.0,93.0,110.0,-63.0,152.0,32.0,101.0,27.0,145.0,319.0,133.0,74.0,87.0,67.0,194.0,114.0,65.0,86.0,105.0,69.0,48.0,16.0,163.0,29.0,54.0,-1.0,26.0,-26.0,54.0,-23.0,34.0,46.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,223.0,0.0,676.0,-192.0,465.0,52.0,421.0,153.0,766.0,252.0,618.0,685.0,222.0,782.0,172.0,138.0,239.0,142.0,560.0,217.0,996.0,353.0,988.0,55.0,1597.0,357.0,550.0,384.0,533.0,3777.0,241.0,539.0,740.0,389.0,873.0,868.0,423.0
Zysk operacyjny (EBIT),-212.0,-49.0,455.0,544.0,509.0,446.0,0.0,238.0,1111.0,60.0,415.0,-401.0,1320.0,-537.0,-1002.0,328.0,12456.0,4831.0,4355.0,1923.0,2653.0,5556.0,1779.0,2234.0,4565.0,370.0,2555.0,-672.0,5271.0,-797.0,30980.0,5041.0,11725.0,5745.0,2935.0,4580.0,10611.0,17242.0,9134.0,8733.0,5683.0,3442.0,11054.0,3923.0,11612.0,3749.0,9668.0,2580.0,3986.0,1885.0,-1256.0,-2302.0,9265.0
Przychody finansowe,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,184.0,253.0,87.0,112.0,474.0,33.0,475.0,-459.0,1556.0,24.0,20.0,68.0,65.0,87.0,1207.0,-141.0,-760.0,213.0,283.0,299.0,295.0,263.0,194.0,65.0,9.0,2.0,2.0,8.0,12.0,12.0,56.0,289.0,7696.0,1883.0,4702.0,-2281.0,-1179.0
