,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,0.0,83485.0,87384.0,53337.0,22533.0,91888.0,96816.0,75880.0,15336.0,69223.0,69016.0,55897.0,10093.0,63468.0,83688.0,62709.0,30060.0,87755.0,89779.0,62129.0,33045.0,94132.0,96296.0,63080.0,33142.0,97568.0,92117.0,61409.0,30737.0,98369.0,93749.0,65351.0,24196.0,55873.0,58163.0,39659.0,19149.0,63789.0,63759.0,53270.0,39560.0,75437.0,69296.0,65885.0,37137.0,85900.0,83825.0,77613.0,47882.0,85238.0,70342.0,53587.0,25430.0,47859.0,50027.0,28419.0,22763.0
Techniczny koszt wytworzenia produkcji sprzedanej,0.0,64463.0,54503.0,44489.0,24472.0,67359.0,69531.0,54208.0,17434.0,53090.0,52029.0,44066.0,10708.0,45711.0,64093.0,48942.0,26820.0,67455.0,71724.0,57094.0,27314.0,74171.0,77610.0,41391.0,32782.0,80408.0,73923.0,50404.0,29008.0,77299.0,78694.0,63262.0,18999.0,43550.0,48366.0,49573.0,13483.0,46663.0,50876.0,44659.0,29640.0,57965.0,56557.0,62568.0,27000.0,72265.0,74746.0,74438.0,34927.0,73394.0,63217.0,62353.0,26448.0,42650.0,49723.0,29494.0,24322.0
Koszty sprzedaży,0.0,1714.0,2068.0,1958.0,2447.0,7042.0,3707.0,6444.0,1757.0,6873.0,8970.0,6967.0,3698.0,4492.0,7763.0,8196.0,3755.0,5710.0,7374.0,9090.0,5287.0,4700.0,8761.0,18622.0,6450.0,9531.0,10723.0,9687.0,5223.0,9776.0,9386.0,12486.0,4816.0,5245.0,6158.0,7565.0,3084.0,4961.0,4669.0,4738.0,3757.0,5998.0,6294.0,5379.0,4379.0,8987.0,7216.0,6824.0,5179.0,6688.0,9250.0,900.0,3349.0,4956.0,3900.0,3199.0,2084.0
Koszty ogólnego zarządu,1850.0,2638.0,4488.0,4376.0,3977.0,2542.0,1493.0,3037.0,4009.0,3441.0,894.0,3136.0,2673.0,3214.0,1872.0,3362.0,2469.0,4676.0,1779.0,2566.0,3635.0,3800.0,1922.0,3840.0,4376.0,4662.0,3609.0,4570.0,3682.0,4749.0,3339.0,8495.0,3913.0,3913.0,4151.0,5270.0,3951.0,3881.0,3847.0,4732.0,3171.0,5360.0,3829.0,4692.0,3471.0,4460.0,3573.0,4323.0,3768.0,4615.0,3922.0,4035.0,3707.0,4924.0,3473.0,2626.0,3256.0
Zysk ze sprzedaży,-1850.0,14670.0,26325.0,2514.0,-8363.0,14945.0,22085.0,12191.0,-7864.0,5819.0,7123.0,1728.0,-6986.0,10051.0,9960.0,2209.0,-2984.0,9914.0,8902.0,-6621.0,-3191.0,11461.0,8003.0,-773.0,-10466.0,2967.0,3862.0,-3252.0,-7176.0,6545.0,2330.0,-18892.0,-3532.0,3165.0,-512.0,-22749.0,-1369.0,8284.0,4367.0,-859.0,2992.0,6114.0,2616.0,-6754.0,2287.0,188.0,-1710.0,-7972.0,4008.0,541.0,-6047.0,-13701.0,-8074.0,-4671.0,-7069.0,-6900.0,-6899.0
Pozostałe przychody operacyjne,143057.0,881.0,-550.0,7726.0,391.0,3216.0,2199.0,3515.0,274.0,347.0,443.0,2696.0,237.0,442.0,136.0,1286.0,342.0,158.0,120.0,7936.0,-306.0,-3459.0,268.0,6274.0,328.0,1125.0,136.0,4271.0,82.0,955.0,857.0,-56.0,322.0,4744.0,294.0,-2687.0,15489.0,-246.0,739.0,257.0,171.0,360.0,178.0,493.0,101.0,-97.0,309.0,709.0,714.0,-550.0,32825.0,-159.0,598.0,21130.0,8938.0,691.0,7522.0
Pozostałe koszty operacyjne,0.0,661.0,4531.0,2876.0,104.0,2625.0,210.0,32.0,193.0,103.0,133.0,1735.0,433.0,-260.0,823.0,743.0,135.0,88.0,-3.0,8291.0,0.0,0.0,0.0,9264.0,5.0,45.0,93.0,271.0,16.0,256.0,94.0,931.0,22.0,-126.0,394.0,202.0,116.0,618.0,478.0,217.0,175.0,662.0,264.0,-300.0,106.0,1352.0,69.0,2838.0,706.0,249.0,310.0,17750.0,184.0,2882.0,-2137.0,6858.0,111.0
Zysk operacyjny (EBIT),141207.0,14890.0,21244.0,7364.0,-8076.0,15536.0,24074.0,15674.0,-7783.0,6063.0,7433.0,2689.0,-7182.0,10753.0,9273.0,2752.0,-2777.0,9984.0,9025.0,-6976.0,-3497.0,8002.0,8271.0,-3763.0,-10143.0,4047.0,3905.0,748.0,-7110.0,7244.0,3093.0,-19879.0,-3232.0,8035.0,-612.0,-25638.0,14004.0,7420.0,4628.0,-819.0,2988.0,5812.0,2530.0,-5961.0,2282.0,-1261.0,-1470.0,-10101.0,4016.0,-258.0,26468.0,-31610.0,-7660.0,13577.0,4006.0,-13067.0,512.0
Przychody finansowe,0.0,496.0,993.0,424.0,790.0,493.0,-374.0,87.0,94.0,20.0,108.0,185.0,67.0,62.0,112.0,64.0,88.0,103.0,61.0,10.0,0.0,0.0,0.0,226.0,70.0,19.0,38.0,3.0,1.0,3.0,2.0,18.0,17.0,3579.0,2.0,-3507.0,14.0,39.0,22.0,11.0,5.0,11.0,56.0,3.0,0.0,62.0,47.0,1.0,0.0,17.0,19.0,-10.0,36.0,13.0,185.0,8881.0,649.0
Koszty finansowe,0.0,1973.0,3961.0,1114.0,2205.0,2723.0,2176.0,1494.0,1665.0,2055.0,1860.0,2200.0,1563.0,1919.0,2074.0,2007.0,1568.0,1961.0,3227.0,542.0,1497.0,1396.0,1499.0,1659.0,1525.0,1528.0,1477.0,1496.0,1275.0,1705.0,1516.0,1773.0,1348.0,6300.0,2480.0,-2011.0,1911.0,2633.0,2154.0,2509.0,1673.0,1588.0,1723.0,1724.0,1304.0,1544.0,1296.0,1172.0,1709.0,4129.0,1554.0,1372.0,1477.0,974.0,395.0,6877.0,442.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,141207.0,13413.0,18276.0,6674.0,-9491.0,13306.0,21524.0,14267.0,-9354.0,4028.0,5681.0,674.0,-8678.0,8896.0,7311.0,809.0,-4257.0,8126.0,5859.0,-7508.0,-4994.0,6606.0,6772.0,-5196.0,-11598.0,2538.0,2466.0,-745.0,-8384.0,5542.0,1579.0,-21634.0,-4563.0,5314.0,-3090.0,-27134.0,12107.0,4826.0,2496.0,-3317.0,1320.0,4235.0,863.0,-7682.0,978.0,-2743.0,-2719.0,-11272.0,2307.0,-4370.0,24933.0,-32992.0,-9101.0,12616.0,3796.0,-11063.0,719.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
