,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Period,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,21.9,51.12,52.16,56.02,71.85,48.76,39.8,32.83,13.05,-10.37,-18.49,-22.6,-5.06,9.5,14.8,21.37,26.11,39.87,40.44,44.76,36.74,29.03,24.84,20.93,25.89
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,161.43,42.86,53.03,35.47,58.65,19.69,16.06,22.47,10.56,7.89,-6.07,-8.31,-13.34,2.74,3.7,-0.63,9.41,15.31,23.94,28.06,32.26,31.39,29.61,53.14,57.89
Koszty sprzedaży,,,,,27.29,75.38,43.15,82.62,46.92,51.25,70.46,7.1,86.72,-20.3,-33.88,-25.57,-42.73,-4.37,8.81,12.77,42.95,40.11,30.9,30.92,10.02,13.96,3.62,3.83,8.46
Koszty ogólnego zarządu,,,,,100.8,121.1,144.99,20.93,140.04,10.2,9.47,98.85,-31.37,14.47,-12.07,-37.91,-12.7,-19.48,3.4,29.91,22.44,35.01,32.9,40.41,39.59,7.63,0.27,0.51,13.7
Zysk ze sprzedaży,,,,,-159.55,-375.58,-748.57,63.13,-92.83,108.8,115.86,159.09,-20.35,-1030.56,-169.44,-220.51,136.91,146.87,1292.0,857.45,94.27,326.11,185.91,178.65,126.98,84.75,78.99,-3.12,-11.79
Pozostałe przychody operacyjne,,,,,-100.0,,-100.0,,,-100.0,,300.0,101.09,,,650.0,-12416.67,,-100.0,-98.33,101.49,,,1800.0,-81.82,200.0,-90.0,936.84,-14200.0
Pozostałe koszty operacyjne,,,,,742.86,,16.67,,61.02,,214.29,0.0,266.32,500.0,-9.09,-13.33,-68.97,-20.0,-35.0,-23.08,323.15,-41.67,815.38,-20.0,37.64,-64.29,-81.51,112.5,-96.82
Zysk operacyjny (EBIT),,,,,-173.3,-373.26,-831.25,55.87,-257.1,107.62,105.98,140.51,17.29,-1277.42,-392.86,-100.0,35.21,136.44,795.12,,99.19,393.23,164.21,189.05,7580.0,88.11,99.87,13.76,55.35
Przychody finansowe,,,,,-100.0,,,,,,-100.0,,,,,,,,,,,,81.82,246.15,1170.97,910.53,1075.0,55.56,-39.09
Koszty finansowe,,,,,92.31,-38.71,-98.39,-12.0,284.0,115.79,3300.0,122.73,5.21,280.49,220.59,128.57,-7.92,-48.08,-1.83,-37.5,-22.58,22.22,54.21,657.14,259.72,227.27,-63.03,-58.49,241.31
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
