,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Period,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3
Przychody ze sprzedaży,,,,,63.17,59.15,97.27,83.81,62.33,85.65,51.15,67.28,48.05,47.54,44.42,46.74,37.97,30.17,22.61,13.17,6.73,18.21,20.66,21.68,28.03,18.27,21.59,16.48,22.4,37.95,33.38,42.85,33.43,17.49,29.11,21.44,28.65,36.54,33.87,53.04,43.21,25.0,6.29,4.04
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,9.2,46.75,143.0,88.45,47.99,64.72,58.44,112.15,55.48,68.85,56.2,12.95,22.64,65.17,-16.14,54.1,-0.48,-12.07,72.82,32.46,30.41,17.99,-4.37,1.31,-23.49,18.51,112.49,40.88,79.29,41.1,-42.23,22.41,65.94,26.69,81.88,44.89,38.31,51.41,44.22,47.55
Koszty sprzedaży,,,,,286.7,64.45,304.35,-30.77,5.33,163.66,12.02,513.99,101.05,57.21,34.38,17.43,-4.51,7.68,8.9,-5.19,8.45,3.51,43.47,50.81,82.64,100.72,90.07,80.6,88.5,98.98,57.31,81.79,23.93,21.83,39.2,36.11,59.93,44.86,61.73,43.26,7.77,5.74,-0.31,-5.6
Koszty ogólnego zarządu,,,,,380.4,17.78,127.08,-43.94,-48.88,115.57,57.32,135.53,82.57,-8.1,4.65,60.19,9.72,67.74,28.56,96.99,24.63,38.33,49.1,65.11,62.1,71.73,35.29,-7.19,-18.51,-27.94,-3.65,-2.54,88.1,45.77,54.25,43.66,21.37,23.95,35.36,47.12,38.33,25.84,14.78,28.89
Zysk ze sprzedaży,,,,,33.53,67.87,69.65,116.09,126.8,79.77,56.22,41.48,36.1,48.24,48.66,58.12,54.1,22.26,33.47,2.92,6.74,28.2,7.36,10.2,17.48,3.32,16.89,16.11,26.26,42.02,17.33,41.57,24.72,8.43,49.68,14.46,12.76,38.09,18.92,59.48,59.76,24.9,-0.88,-6.76
Pozostałe przychody operacyjne,,,,,7700.0,0.0,233.33,0.0,-98.68,-100.0,0.0,-166.67,266.67,,-25.0,250.0,-9.09,0.0,0.0,0.0,0.0,0.0,0.0,33.33,-60.0,33.33,0.0,-25.0,-25.0,200.0,0.0,0.0,300.0,333.33,-66.67,1333.33,108.33,-55.77,1700.0,53.49,180.0,178.26,550.0,-18.18
Pozostałe koszty operacyjne,,,,,-137.2,83.33,-232.93,-100.0,148.02,-100.0,101.83,,-97.94,,-100.0,100.0,-50.0,,,,100.0,-50.0,300.0,500.0,50.0,200.0,-25.0,8.33,1333.33,1033.33,1133.33,-15.38,-20.93,-94.12,-89.19,-72.73,3141.18,600.0,75.0,2066.67,-99.36,-50.0,71.43,32.31
Zysk operacyjny (EBIT),,,,,97.57,67.41,78.21,120.89,96.9,84.45,52.95,41.42,38.05,48.28,48.66,58.15,54.05,22.24,33.46,2.91,6.73,28.2,7.34,10.14,17.43,3.31,16.89,16.1,26.04,41.89,17.16,41.6,24.84,8.71,49.88,14.63,9.2,37.87,18.96,59.28,65.29,25.01,-0.66,-6.82
Przychody finansowe,,,,,-3.03,1333.33,211.11,2112.5,-1068.75,58.14,-14.29,-61.86,80.32,19.12,-16.67,-93.33,124.59,-66.67,65.0,288.89,146.67,81.48,9.09,14.29,129.73,-46.94,-58.33,-55.0,-88.24,-88.46,-93.33,422.22,-1030.0,13000.0,-39400.0,-100.0,101.08,-75.57,78.88,,100.0,-96.88,243.37,-33.33
Koszty finansowe,,,,,10.0,,1390.91,3172.73,-3163.64,,-288.41,79.88,-67.36,-99.35,100.0,-99.18,100.0,-100.0,,280.0,,,-100.0,-100.0,-100.0,,,,,,-17300.0,-616.67,-94.29,-98.56,101.74,1638.71,-6250.0,687.5,266.67,-74.63,157.99,22.22,163.64,-30.58
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,96.24,68.96,73.8,119.46,96.5,76.74,63.33,34.03,44.64,54.22,43.08,66.51,46.62,21.63,22.38,2.99,5.94,28.3,17.1,10.29,18.72,3.17,16.72,15.9,24.97,38.66,19.63,42.15,24.92,12.61,45.06,12.42,10.82,36.12,19.98,61.32,62.76,24.72,-0.31,-6.77
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,96.24,68.96,73.8,119.46,96.5,76.74,63.33,34.03,44.64,54.22,43.08,66.51,46.62,21.63,22.38,2.99,5.94,28.3,17.1,10.29,18.72,3.17,16.72,15.9,24.97,38.66,19.63,42.15,24.92,12.61,45.06,12.42,10.82,36.12,19.98,61.32,62.76,24.72,-0.31,-6.77
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,110.07,67.83,74.01,119.62,97.55,77.22,64.13,33.56,43.59,54.34,42.78,66.17,48.42,21.84,23.4,2.97,6.36,28.46,17.3,10.74,18.56,3.43,16.07,15.1,92.53,41.38,56.63,65.7,-5.84,27.93,27.48,12.28,10.14,34.87,21.39,60.36,63.69,25.84,-0.56,-6.99
Zysk netto akcjonariuszy jednostki dominującej,,,,,110.07,67.83,74.01,119.62,97.55,77.22,64.13,33.56,43.59,54.34,42.78,66.17,48.42,21.84,23.4,2.97,6.36,28.46,17.3,10.74,18.56,3.43,16.07,15.1,92.53,41.38,56.63,65.7,-5.84,27.93,27.48,12.28,10.14,34.87,21.39,60.36,63.69,25.84,-0.56,-6.99
Aktywa trwałe,,,,,162.8,39.45,32.29,99.15,26.77,16.03,28.27,31.25,41.24,50.74,52.65,53.48,45.21,42.76,33.08,35.82,41.89,40.22,63.78,65.3,62.33,64.26,65.03,59.08,78.1,71.69,39.87,34.41,12.39,10.92,13.46,12.72,13.62,15.1,16.32,40.41,42.96,43.59,51.95,26.79
Wartości niematerialne i prawne,,,,,66.02,62.58,647.68,111.57,153.27,22.07,14.94,20.65,23.59,52.12,51.52,28.19,60.38,54.2,47.5,69.44,39.68,34.83,37.05,68.96,63.17,70.92,72.1,40.28,92.11,79.49,64.52,66.88,24.71,24.61,31.33,24.81,16.24,17.22,17.83,44.77,48.2,49.56,49.11,23.41
Rzeczowe składniki majątku trwałego,,,,,2.42,6.54,-71.38,-2.54,-6.82,-10.81,23.76,36.81,60.0,61.98,21.1,10.69,0.7,5.61,14.11,30.17,115.21,105.8,87.48,101.19,24.29,17.61,313.19,246.21,182.42,170.79,-22.86,-29.25,-15.37,-15.04,-17.37,-13.44,-11.62,-8.7,-6.49,-10.31,-17.3,-29.74,-39.22,-49.5
Należności długoterminowe,,,,,,,,,,,,,12.77,,-24.53,,-24.53,0.0,0.0,0.0,370.0,320.0,320.0,285.0,-21.28,-11.9,-11.9,-3.9,22.97,22.97,22.97,22.97,0.0,0.0,0.0,3.85,6.59,8.79,12.64,6.35,3.61,1.52,-1.46,0.0
Inwestycje długoterminowe,,,,,,,,,,,,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozostałe aktywa trwałe,,,,,1767.9,9.74,-56.91,275.57,-68.8,11.92,106.65,88.62,144.28,36.57,78.62,167.13,20.64,20.45,-3.41,-22.11,11.93,28.63,172.09,32.57,97.94,71.42,-23.16,44.61,-33.81,-13.54,11.5,-30.06,-87.94,-90.45,-91.08,-87.06,41.87,58.5,81.09,66.87,45.85,44.14,772.21,753.85
Aktywa obrotowe,,,,,38.5,46.85,99.65,54.1,76.91,75.69,48.13,66.29,52.81,51.73,39.42,42.83,48.81,39.87,50.48,32.26,-5.74,4.18,13.44,14.92,15.45,7.1,15.47,9.3,27.02,35.12,54.6,64.4,56.08,53.61,59.83,28.75,12.18,14.92,8.77,26.37,43.38,33.51,11.77,9.36
Zapasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Należności krótkoterminowe,,,,,43.06,-35.67,52.51,75.04,48.54,48.67,48.0,36.05,52.71,46.46,44.34,52.65,37.88,49.88,55.04,48.36,53.26,57.75,39.48,31.16,48.63,40.21,17.11,-11.95,53.95,28.11,95.76,170.64,63.18,23.81,28.99,22.04,52.84,140.0,84.26,38.49,2.09,-10.9,-10.9,30.14
Inwestycje krótkoterminowe,,,,,66.71,77.57,119.12,83.28,81.88,77.51,45.52,71.93,53.15,54.05,40.26,41.74,49.69,38.53,46.35,28.27,-13.28,-1.97,6.94,12.5,8.26,0.89,14.74,14.39,18.57,36.96,37.02,44.47,53.13,60.58,78.42,30.84,-6.02,-8.62,-26.11,21.69,72.13,55.0,37.62,1.71
Środki pieniężne i inne aktywa pieniężne,,,,,507.16,82.71,119.12,80.01,84.25,79.85,45.52,75.06,53.15,54.05,40.26,41.74,49.69,38.53,46.35,28.27,-13.28,-1.97,6.94,12.5,8.26,0.89,14.74,14.39,18.57,36.96,37.02,44.47,53.13,60.58,78.42,30.84,-6.02,-8.62,-26.11,21.69,72.13,55.0,37.62,1.71
Pozostałe aktywa obrotowe,,,,,-96.75,160.0,,-99.15,62.86,1723.08,1416.67,830.0,-31.58,-99.16,-75.27,-60.22,441.03,4100.0,817.78,724.32,-24.64,-46.43,-75.79,-82.95,-65.41,13.33,22.0,73.08,9.09,21.57,4.92,45.56,83.33,338.71,184.38,144.27,273.64,27.94,174.73,191.56,110.95,141.09,-10.2,-1.5
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,56.24,45.25,72.71,62.89,64.87,63.28,42.05,57.93,50.68,51.58,43.08,44.94,48.19,40.29,45.35,33.01,2.34,9.57,27.04,25.73,26.47,18.04,32.74,23.33,42.44,44.86,48.22,53.49,39.59,40.13,40.87,23.64,12.62,14.96,11.26,30.45,43.25,36.03,25.6,14.81
Kapitał własny akcjonariuszy jednostki dominującej,,,,,52.69,55.98,61.04,79.53,84.29,82.65,63.36,52.68,49.58,50.55,45.37,51.64,51.22,44.13,52.46,34.06,1.31,6.78,25.19,21.48,20.14,16.34,25.1,21.88,44.78,43.56,55.49,58.43,36.46,34.37,23.05,20.3,15.96,20.2,23.48,32.08,40.64,37.15,-22.48,-21.15
Kapitał (fundusz) podstawowy,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udziały (akcje) własne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapitał (fundusz) zapasowy,,,,,186.63,186.63,25.96,25.96,25.96,25.96,26.89,26.89,26.89,26.89,13.45,13.45,13.45,13.45,717.79,717.79,717.79,717.79,34.14,34.14,34.14,34.14,69.05,69.04,69.04,69.04,72.19,72.2,72.2,72.2,16.67,16.67,16.67,16.67,15.83,15.83,15.83,15.83,47.98,47.98
Udziały niekontrolujące,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
