,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,13.94,-0.83,1.35,-0.65,8.71,11.58,38.32,17.74,29.67,56.77,25.21,40.49,28.54,11.36,14.28,16.89,9.78,10.27,1.37,-3.47,-1.41,4.3,5.16,10.25,8.64,0.48,-2.6,-6.69,-7.17,-9.93,-10.93,-9.21,-3.82,1.71,0.15,7.5,23.17,15.76,16.35,11.9,12.76,3.5,-0.92,4.59,9.23,4.15,12.9,5.68,4.29,-7.69,10.61,9.97,23.61,37.17,13.79,28.16,20.64,13.92,15.39,5.8,-2.23,-9.34,-13.6,-10.87
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,9.45,-14.29,-6.6,12.73,2.16,7.73,30.08,13.2,34.22,64.27,35.0,47.41,33.97,21.68,20.19,15.57,13.03,9.5,-0.26,-5.43,-1.8,2.13,2.51,6.64,5.53,0.75,-4.03,-6.64,-7.27,-12.29,-13.75,-13.28,-7.53,-2.7,-2.33,12.17,26.35,23.37,25.65,16.69,15.53,4.79,-1.32,1.35,5.57,-0.16,11.42,10.09,3.11,-12.14,1.98,2.21,27.7,51.58,28.04,39.22,16.74,13.95,8.07,3.13,2.25,-12.49,-18.63,-10.01
Koszty sprzedaży,,,,,21.3,111.93,77.97,2.37,56.75,6.56,57.95,26.63,49.02,50.65,15.71,58.19,20.23,7.12,10.3,9.31,4.67,6.06,-3.96,-7.37,-10.15,-1.86,4.72,-0.94,11.75,4.03,-0.51,-5.62,-1.43,-6.91,-0.62,3.27,-0.01,7.54,7.86,11.58,13.73,11.91,2.37,0.99,0.4,-3.06,5.0,-0.47,11.11,6.63,9.74,20.86,6.23,-3.74,7.67,11.29,11.41,29.29,17.73,15.03,18.47,19.03,13.53,6.52,14.66,-6.68,-9.52,2.1
Koszty ogólnego zarządu,,,,,30.79,11.39,31.9,24.56,10.12,44.42,26.81,151.65,26.86,61.13,11.99,8.87,27.6,-6.39,4.52,7.78,-0.15,-7.01,-2.18,-6.23,0.58,-1.95,2.55,-0.8,11.55,-5.64,-3.77,-4.99,-4.58,10.23,-5.42,-10.16,-4.44,-2.85,21.6,28.4,17.92,29.55,16.17,16.26,9.28,-0.36,-12.26,8.77,-2.01,13.71,18.91,5.8,12.93,2.02,9.31,-0.33,1.17,11.78,14.07,14.77,24.15,9.49,13.25,13.47,10.9,5.01,-3.4,11.16
Zysk ze sprzedaży,,,,,28.83,-4.15,-14.37,-70.87,-41.6,24.24,78.39,-101.83,-228.76,15.39,-5.58,-6578.7,-92.43,-50.14,-16.35,85.18,-11.76,90.88,31.98,594.86,50.71,56.87,28.54,272.78,61.56,-3.47,4.52,-11.24,-186.59,-9.76,-8.62,5.52,93.16,31.79,-5.84,-61.94,286.25,-34.79,-17.1,-50.88,412.97,11.09,2.26,241.41,336.65,35.18,26.24,-135.69,-3.45,12.08,79.43,476.64,66.98,-20.52,-49.35,-61.27,75.09,5.74,98.62,100.47,-93.87,5.8,4.67,-185.79
Pozostałe przychody operacyjne,,,,,-40.17,-13.06,70.3,5.48,143.86,139.01,1081.0,382.56,193.41,136.4,-95.42,8.42,-72.17,-55.71,114.02,-18.37,436.45,95.25,-55.25,124.41,-78.74,-18.77,320.11,-54.88,-17.89,6.16,30.69,78.98,51.6,-5.38,-30.45,-40.82,-27.08,4.56,-29.01,-17.42,16.73,53.47,-45.8,59.78,-86.27,-50.65,845.38,-494.35,-92.35,-111.43,-146.03,121.69,-6921.43,2657.14,218.32,19.77,402.72,-18.44,-19.31,-19.26,-263.99,-71.98,-79.49,690.61,93.61,2.34,97.89,4.39
Pozostałe koszty operacyjne,,,,,-61.15,230.96,418.58,663.47,273.14,454.04,18.42,-26.33,-32.65,-0.09,-66.5,-80.97,137.13,-2.2,220.74,62.61,5.37,0.75,-19.13,127.45,17.65,59.46,-4.46,18.22,-13.45,-40.0,-3.68,-44.08,7.83,-9.98,2.0,-31.78,-11.27,76.5,-7.94,260.21,-17.11,-75.26,-23.64,-71.07,-49.93,83.21,-46.26,-90.39,-47.37,-12.74,80.6,-192.87,-30.57,-68.5,26.35,502.14,66.17,-68.18,-86.33,-62.66,-5.81,77.44,-97.31,-33.41,6.25,2.97,5211.76,480.18
Zysk operacyjny (EBIT),,,,,79.54,-19.67,-36.63,-210.91,-76.24,-18.07,201.19,14.65,-238.63,40.97,-27.27,51.43,-623.64,-76.32,-33.79,42.04,37.6,287.21,46.81,37.49,-29.6,41.42,42.8,315.9,33.78,20.7,7.55,105.17,-44.81,-9.28,-11.86,16.11,49.21,15.15,-6.99,-184.68,45.01,-7.58,-17.48,103.44,133.78,-7.23,36.6,-482.95,1277.0,35.85,-15.42,48.19,-10.14,42.75,122.19,2066.9,116.1,-18.56,-44.82,-52.8,30.49,-4.44,85.13,313.54,-98.39,5.75,4.34,-74.48
Przychody finansowe,,,,,335.29,5044.44,-6.06,2124.19,21108.11,-403.76,-286.1,-88.7,-59.72,193.03,-23.77,-29.61,0.98,-65.27,247.61,2.42,-60.1,-77.68,-97.85,-82.33,73.89,77.32,-2130.81,-288.09,-67.28,11.57,168.49,335.7,497.58,-159.12,-145.18,262.13,-56.99,2314.33,-135.6,167.62,42.05,-113.53,119.72,-4.64,-86.18,407.71,-750.0,-68.21,358.96,-99.95,222.95,-173.61,78.48,-105500.0,-72.68,221.54,-16.82,184.47,-98.96,-24.72,27.36,419.88,62957.14,-730.45,-6.31,-86.37,-11.75,118.09
Koszty finansowe,,,,,391.66,135.61,-100.22,-55.89,30.01,-127.74,59457.14,-39.09,2.22,-88.24,-22.14,32.83,-12.52,240.09,32.49,-23.11,58.18,-66.24,70.95,49.69,-64.54,258.41,0.11,103.31,253.22,-111.11,-31.92,200.42,-48.02,484.05,134.98,-57.47,-14.73,-26.29,-67.12,-54.01,57.62,490.54,49.84,232.81,-47.62,-42.19,28.54,-84.37,-13.37,-46.42,-75.39,20.61,119.29,-76.87,361.62,574.91,-67.64,466.31,-88.78,-60.86,27.21,154.5,1674.02,-46.15,182.68,126.03,-32.76,356.89
Pozostałe przychody (koszty),,,,,-16.9,173.68,29.78,-146.08,-91.53,-109.62,-61.9,736.17,3140.0,1850.0,-101.14,-99.67,-100.0,-100.0,100.0,-100.0,,,,,,,,,,3.71,,,,16.71,,,,-1.64,,,,0.83,,,,-5.36,-100.0,100.0,,2.4,,,,2.98,,,,89.67,,-194.34,,-30.28,-74.66,218.11,15.62,7.19,315.94,-755.99
Zysk z działalności gospodarczej,,,,,-240.03,-36.17,-19.8,-178.35,618.35,-46.41,73.66,-254.97,-133.83,496.43,-39.03,39.25,-261.52,-97.16,43.33,41.75,-38.47,1550.39,-21.09,-16.54,48.4,14.98,34.56,56.24,-133.05,79.9,51.38,-304.81,64.09,-29.01,-43.06,166.28,-0.14,108.8,18.17,-172.23,-3.32,-76.74,-15.02,8.58,45.3,133.94,15.35,86.3,349.47,21.37,38.28,-816.28,-40.53,45.2,79.69,89.81,299.09,-11.8,-35.49,236.77,33.21,11.17,58.15,1412.43,-114.65,-77.8,15.63,-219.85
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
