,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Period,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,39023.0,11999.0,35844.0,69718.0,9820.0,47190.0,66110.0,159147.0,50854.0,67936.0,57187.0,154308.0,75304.0,77166.0,67131.0,264873.0,57096.0,238434.0,127494.0,85163.0,187404.0,84964.0,124239.0,273280.0,85281.0,76094.0,117672.0,317263.0,151782.0,73943.0,159612.0,114341.0,83150.0,136257.0,97039.0,784618.0
Techniczny koszt wytworzenia produkcji sprzedanej,26264.0,4728.0,27840.0,49552.0,5540.0,33146.0,48477.0,116633.0,39721.0,46123.0,34631.0,119358.0,53293.0,57963.0,53201.0,187700.0,40907.0,168012.0,82380.0,62056.0,133059.0,61690.0,83479.0,187874.0,57838.0,49776.0,74950.0,207967.0,95420.0,50982.0,95781.0,78319.0,45109.0,75276.0,52012.0,532562.0
Koszty sprzedaży,1505.0,948.0,821.0,1655.0,1424.0,1760.0,2242.0,3241.0,2061.0,3016.0,2880.0,3400.0,2434.0,3177.0,2835.0,4101.0,2395.0,2967.0,2989.0,3226.0,3318.0,2990.0,3109.0,3315.0,3667.0,2545.0,2300.0,4770.0,3751.0,3384.0,3648.0,4138.0,4886.0,5097.0,7112.0,11789.0
Koszty ogólnego zarządu,2576.0,2892.0,4650.0,1836.0,3380.0,4073.0,4232.0,6131.0,5034.0,5904.0,7010.0,9487.0,8037.0,7705.0,7360.0,10232.0,9071.0,10699.0,10660.0,12862.0,10722.0,10713.0,10679.0,19066.0,12807.0,10416.0,10347.0,15899.0,11586.0,13367.0,12827.0,11602.0,11658.0,11546.0,17860.0,23835.0
Zysk ze sprzedaży,8678.0,3431.0,2533.0,16675.0,-524.0,8211.0,11159.0,33142.0,4038.0,12893.0,12666.0,22063.0,11540.0,8321.0,3735.0,62840.0,4723.0,56756.0,31465.0,7019.0,40305.0,9571.0,26972.0,63025.0,10969.0,13357.0,30075.0,88627.0,41025.0,6210.0,47356.0,20282.0,21497.0,44338.0,20055.0,216432.0
Pozostałe przychody operacyjne,14521.0,179.0,1696.0,1286.0,1060.0,2831.0,579.0,800.0,4047.0,1131.0,19469.0,-3995.0,332.0,502.0,16528.0,3646.0,138.0,22742.0,1171.0,255.0,10024.0,54997.0,1450.0,1208.0,778.0,1202.0,255.0,9757.0,12959.0,3321.0,8028.0,-17333.0,2091.0,459.0,54.0,1039.0
Pozostałe koszty operacyjne,2281.0,1509.0,2013.0,109.0,482.0,3447.0,3147.0,5454.0,3429.0,1257.0,2593.0,-647.0,363.0,793.0,16911.0,5588.0,879.0,4252.0,307.0,1221.0,2389.0,5968.0,548.0,7935.0,2213.0,2430.0,413.0,2693.0,893.0,1975.0,2000.0,1643.0,4574.0,677.0,417.0,3717.0
Zysk operacyjny (EBIT),20918.0,2101.0,2216.0,17852.0,54.0,7595.0,8591.0,28488.0,4656.0,12767.0,29542.0,18715.0,11509.0,8030.0,3352.0,60898.0,3982.0,75246.0,32329.0,6053.0,47940.0,58600.0,27874.0,56298.0,9534.0,12129.0,29917.0,95691.0,53091.0,7556.0,53384.0,1306.0,19014.0,44120.0,19692.0,213754.0
Przychody finansowe,688.0,4288.0,1057.0,1196.0,237.0,386.0,204.0,383.0,263.0,327.0,4916.0,432.0,380.0,514.0,452.0,1046.0,611.0,595.0,242.0,1958.0,591.0,1897.0,655.0,203.0,211.0,2082.0,1799.0,2058.0,3795.0,6227.0,3370.0,791.0,4016.0,4632.0,3043.0,4871.0
Koszty finansowe,2027.0,1968.0,665.0,765.0,797.0,671.0,445.0,582.0,1001.0,529.0,1336.0,1583.0,1198.0,1733.0,1661.0,1910.0,1362.0,3027.0,3011.0,866.0,5424.0,3965.0,1886.0,4395.0,1920.0,634.0,1362.0,1568.0,3364.0,2474.0,4853.0,-1032.0,2996.0,3875.0,5459.0,7135.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,-65.0,-6.0,-8.0,-44.0,-88.0,-152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk z działalności gospodarczej,19579.0,4421.0,2608.0,18283.0,-506.0,7310.0,8350.0,28289.0,3918.0,12565.0,33122.0,17564.0,10691.0,6811.0,2143.0,60034.0,3231.0,72814.0,29547.0,7080.0,43101.0,56524.0,26599.0,52018.0,7673.0,13577.0,30354.0,96181.0,53522.0,11309.0,51901.0,3129.0,20034.0,44877.0,17276.0,211490.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk przed opodatkowaniem,19579.0,4421.0,2608.0,18283.0,-506.0,7310.0,8350.0,28289.0,3918.0,12565.0,33122.0,17564.0,10691.0,6811.0,2143.0,60034.0,3231.0,72814.0,29547.0,7080.0,43101.0,56524.0,26599.0,52018.0,7673.0,13577.0,30354.0,96181.0,53522.0,11309.0,51901.0,3129.0,20034.0,44877.0,17276.0,211490.0
Zysk (strata) netto z działalności zaniechanej,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14973.0,1229.0,2789.0,6682.0,-7765.0
Zysk netto,21131.0,3807.0,5571.0,12270.0,-628.0,16490.0,8519.0,12931.0,2946.0,11201.0,33040.0,10095.0,8492.0,5248.0,2111.0,40175.0,2786.0,58420.0,20622.0,16002.0,32450.0,40572.0,21828.0,40347.0,5554.0,2855.0,24764.0,79346.0,41449.0,8722.0,42824.0,17220.0,17237.0,38358.0,19900.0,169690.0
Zysk netto akcjonariuszy jednostki dominującej,7268.0,496.0,5570.0,12269.0,-627.0,16496.0,8519.0,12930.0,2946.0,11201.0,32210.0,10114.0,6133.0,4905.0,1983.0,39981.0,2858.0,56979.0,20221.0,15842.0,29804.0,40547.0,21889.0,40605.0,5090.0,2785.0,24764.0,79346.0,41449.0,8722.0,42824.0,17220.0,17237.0,38358.0,19900.0,169690.0
Aktywa trwałe,0.0,142218.0,0.0,138848.0,139939.0,180880.0,184548.0,183606.0,185659.0,177463.0,185729.0,186344.0,194635.0,203017.0,221887.0,230510.0,251593.0,276362.0,216213.0,278986.0,188155.0,233553.0,224366.0,216986.0,160084.0,257915.0,264776.0,273672.0,152146.0,82564.0,80255.0,96702.0,97664.0,107603.0,188910.0,200968.0
Wartości niematerialne i prawne,0.0,166.0,0.0,260.0,325.0,384.0,571.0,1039.0,1214.0,1413.0,1896.0,2207.0,2291.0,2505.0,2398.0,2224.0,2024.0,1817.0,1606.0,1621.0,1455.0,1358.0,1467.0,1795.0,1729.0,1604.0,1482.0,1611.0,1613.0,1675.0,1770.0,4698.0,4782.0,5467.0,6522.0,9847.0
Rzeczowe składniki majątku trwałego,0.0,15431.0,0.0,14473.0,14172.0,13155.0,13310.0,13293.0,13221.0,12905.0,15466.0,15955.0,15755.0,14896.0,15092.0,14839.0,15228.0,35637.0,35383.0,35676.0,26475.0,16383.0,16590.0,16167.0,13703.0,13328.0,12847.0,12310.0,12344.0,11924.0,11378.0,11010.0,11585.0,2692.0,20720.0,20704.0
Należności długoterminowe,0.0,129.0,0.0,84.0,85.0,593.0,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,295.0,244.0,7127.0,9328.0,9430.0,9198.0,10308.0,697.0,317.0,304.0,58516.0,59413.0,67042.0,60951.0,631.0,579.0,535.0,1314.0,130.0,642.0,695.0
Inwestycje długoterminowe,0.0,102776.0,0.0,102921.0,102921.0,135729.0,137297.0,146574.0,147784.0,141815.0,145937.0,150407.0,155189.0,162635.0,179536.0,189366.0,207296.0,207449.0,148680.0,205619.0,123450.0,174854.0,176178.0,167498.0,111684.0,152499.0,157856.0,163708.0,49579.0,48770.0,46960.0,47869.0,53676.0,71909.0,99317.0,112201.0
Pozostałe aktywa trwałe,0.0,23716.0,0.0,21110.0,22436.0,31019.0,33015.0,22700.0,23440.0,21330.0,22430.0,17775.0,21400.0,22981.0,24649.0,23786.0,26801.0,24332.0,21216.0,26640.0,27577.0,30650.0,29434.0,31209.0,32664.0,31968.0,33178.0,29001.0,27659.0,19564.0,19568.0,32590.0,26307.0,27405.0,61709.0,57521.0
Aktywa obrotowe,0.0,364186.0,0.0,402838.0,467761.0,550182.0,582311.0,531108.0,601476.0,641094.0,858049.0,845584.0,905386.0,944141.0,1042852.0,940929.0,1026070.0,1032183.0,1032859.0,1102457.0,1264415.0,1312636.0,1321098.0,1243041.0,1334862.0,1175314.0,1206326.0,1078850.0,1220052.0,1311116.0,1264070.0,1230241.0,1333279.0,1341477.0,2340582.0,2232467.0
Zapasy,0.0,307663.0,0.0,354027.0,393053.0,419329.0,465327.0,417481.0,425661.0,457946.0,699663.0,670686.0,697372.0,757133.0,795803.0,716135.0,831094.0,742987.0,793536.0,923965.0,920357.0,971044.0,998968.0,964915.0,805990.0,826584.0,811509.0,678193.0,615484.0,634770.0,602473.0,645784.0,678641.0,707806.0,1456796.0,1260614.0
Należności krótkoterminowe,0.0,19374.0,0.0,11511.0,11956.0,26922.0,18686.0,39493.0,32344.0,29655.0,40383.0,42935.0,38290.0,58061.0,45362.0,57133.0,36113.0,33300.0,76143.0,46420.0,37880.0,51710.0,41879.0,51328.0,52397.0,41823.0,26342.0,120506.0,109802.0,221391.0,218987.0,159081.0,141146.0,28759.0,262354.0,249759.0
Inwestycje krótkoterminowe,0.0,34830.0,0.0,35565.0,55948.0,102075.0,96523.0,72828.0,140527.0,150421.0,115536.0,130356.0,166779.0,125796.0,199189.0,165923.0,156376.0,252736.0,160597.0,130153.0,194754.0,277316.0,258993.0,212633.0,178613.0,304916.0,366310.0,280151.0,360423.0,316298.0,291277.0,275838.0,362383.0,452786.0,462047.0,573255.0
Środki pieniężne i inne aktywa pieniężne,0.0,33508.0,0.0,35565.0,46424.0,92429.0,96523.0,72824.0,139516.0,149397.0,114495.0,130022.0,166779.0,125796.0,199189.0,165792.0,156061.0,252461.0,160425.0,130153.0,194754.0,277316.0,253075.0,174310.0,31895.0,259703.0,344678.0,262431.0,349451.0,298993.0,230801.0,264432.0,343795.0,444544.0,375849.0,510962.0
Pozostałe aktywa obrotowe,0.0,2319.0,0.0,1735.0,6804.0,1856.0,1775.0,1306.0,2944.0,3072.0,2467.0,1607.0,2945.0,3151.0,2498.0,1738.0,2487.0,3160.0,2583.0,1919.0,1343.0,1111.0,4304.0,2711.0,2162.0,1991.0,2165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aktywa trwałe przeznaczone do sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110081.0,11455.0,16954.0,11454.0,295700.0,0.0,0.0,0.0,134343.0,138657.0,151333.0,149538.0,151109.0,152126.0,159385.0,148839.0
Aktywa razem,0.0,506404.0,0.0,541686.0,607700.0,731062.0,766859.0,714714.0,787135.0,818557.0,1043778.0,1031928.0,1100021.0,1147158.0,1264739.0,1171439.0,1277663.0,1308545.0,1249072.0,1381443.0,1452570.0,1546189.0,1545464.0,1460027.0,1494946.0,1433229.0,1471102.0,1352522.0,1372198.0,1393680.0,1344325.0,1326943.0,1430943.0,1449080.0,2529492.0,2433435.0
Kapitał własny akcjonariuszy jednostki dominującej,252250.0,271103.0,276673.0,290300.0,289517.0,352350.0,362130.0,374679.0,380449.0,373938.0,431656.0,447035.0,453111.0,419221.0,423136.0,461372.0,464473.0,493994.0,497745.0,513311.0,542712.0,583787.0,605665.0,581386.0,586476.0,558970.0,583734.0,631249.0,694506.0,699633.0,742458.0,731697.0,748934.0,733604.0,898582.0,1257549.0
Kapitał (fundusz) podstawowy,186225.0,186225.0,186225.0,186225.0,186225.0,232781.0,232781.0,232781.0,232781.0,232781.0,232781.0,256059.0,256059.0,256059.0,257423.0,257423.0,257423.0,257423.0,257423.0,257423.0,257423.0,257423.0,256703.0,256703.0,256703.0,256703.0,256703.0,256703.0,256703.0,256703.0,256703.0,256703.0,256703.0,256703.0,484960.0,584960.0
Udziały (akcje) własne,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.0,-352.0,0.0,0.0,0.0,-962.0,-962.0,-962.0,-962.0,-962.0,-962.0,-962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kapitał (fundusz) zapasowy,0.0,100325.0,0.0,100315.0,100315.0,122415.0,122415.0,122415.0,122415.0,122415.0,122415.0,134500.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,134497.0,735726.0,851911.0
Udziały niekontrolujące,66.0,66.0,66.0,68.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,26650.0,29009.0,29352.0,29480.0,29674.0,29602.0,29568.0,29969.0,30129.0,32775.0,32800.0,32739.0,32481.0,32945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zobowiązania długoterminowe,0.0,79033.0,0.0,81255.0,81561.0,89135.0,135056.0,128450.0,181650.0,171558.0,244293.0,211198.0,225848.0,227317.0,240636.0,216323.0,182474.0,251414.0,246080.0,267937.0,375614.0,388465.0,361752.0,383820.0,233716.0,205373.0,143848.0,144053.0,292309.0,170513.0,170922.0,175982.0,126578.0,145588.0,169078.0,405324.0
Z tytułu dostaw i usług,0.0,146079.0,0.0,159322.0,215411.0,282555.0,262897.0,196739.0,217461.0,221390.0,349798.0,328505.0,373562.0,441151.0,501418.0,359519.0,435541.0,382705.0,405937.0,484404.0,426082.0,432246.0,477189.0,382147.0,386400.0,523642.0,562706.0,417296.0,281293.0,364413.0,320189.0,304040.0,334946.0,417120.0,1026896.0,521237.0
Kredyty i pożyczki,0.0,6707.0,0.0,7135.0,17444.0,3741.0,3496.0,3630.0,3510.0,47606.0,12407.0,11666.0,11821.0,21480.0,54719.0,90134.0,148033.0,135723.0,55059.0,65338.0,50785.0,50117.0,22735.0,37820.0,91171.0,117672.0,155280.0,130454.0,72189.0,135161.0,84325.0,82885.0,20722.0,19698.0,278032.0,54122.0
Z tytułu emisji dłużnych papierów wartościowych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171474.0,110795.0,110459.0,148139.0
Zobowiązania z tytułu leasingu finansowego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,147.0,115.0,130.0,117.0,1194.0,1312.0,1787.0,2020.0,1429.0,2868.0,2928.0,2934.0,2105.0,2316.0,2743.0,2996.0,3423.0,3730.0,3853.0,3972.0,4443.0,5155.0,8516.0,11352.0
