,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,9.78,19.89,29.54,68.41,59.9,62.4,41.37,44.75,38.04,27.18,16.12,-4.76,-9.51,1.43,6.68,7.8,-7.19,-5.42,1.25,-9.99,13.98,18.54,16.16,-6.12,2.65,-0.54,-24.21,-13.9,-41.02,-50.26,-43.45,-33.05,-22.57,-8.28,-20.69,4.79,23.93,9.12,57.81,4.37,25.61,3.76,5.27,-10.37,-15.16,-6.45,-30.09,19.49,-36.05,-21.59,-27.96,-41.4,1.33,-14.0,24.54,-18.77,-0.44,-6.12,-21.27,43.28,16.45,51.91,61.27,40.02,110.27,84.2,58.11,27.38,-4.05,-20.62,-23.02,-32.64,-26.93
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,7.86,23.14,32.19,67.82,61.82,69.07,42.66,44.88,38.66,25.94,12.88,-5.92,-11.83,-0.97,6.51,5.26,-4.66,-4.05,3.25,-10.64,15.59,23.72,21.64,23.33,28.94,2.54,-4.89,2.03,-53.29,-43.84,-52.46,-53.25,-11.13,-12.73,-7.03,23.38,10.69,-0.55,20.24,-8.02,24.66,22.43,11.49,-11.36,-15.42,-23.45,-29.08,14.76,-35.59,-14.31,-27.45,-43.5,6.83,-18.18,19.66,-21.44,-4.58,-11.6,-24.96,39.2,15.68,46.69,65.82,52.28,114.22,90.21,63.01,28.37,-4.93,-17.5,-23.93,-5.05,-24.58
Koszty sprzedaży,,,,,-33.39,-35.07,483.92,3.84,30.66,-15.0,1.51,-4.19,14.55,31.97,-5.07,18.74,-36.4,11.9,-8.98,-34.15,24.61,-21.27,10.37,60.41,49.02,34.3,22.55,-19.97,-7.11,-22.27,-14.06,37.1,-22.56,-9.06,-16.54,-36.79,-25.19,-30.38,-24.66,-19.06,-10.38,11.9,7.1,14.24,30.47,-2.2,11.02,-9.02,4.42,23.82,7.23,22.55,16.86,-0.64,5.15,-22.27,-19.75,-22.84,-7.18,18.78,18.36,-7.49,-33.82,-7.79,-8.01,53.79,66.67,14.76,33.52,0.04,23.37,9.29,6.91,10.59,-11.3,-19.76,-9.54
Koszty ogólnego zarządu,,,,,-6.84,-4.21,15.85,188.12,30.76,46.4,31.1,13.94,41.82,31.68,35.08,33.91,31.59,20.69,11.07,2.42,0.24,1.5,1.41,-7.74,-2.24,-18.42,-21.09,-8.19,-15.22,-27.24,17.6,24.9,-24.98,-11.65,-39.3,-48.01,-28.07,-19.73,-44.01,-12.53,-16.06,-32.85,35.87,-69.37,-2.19,12.09,-56.93,137.75,-11.24,-10.75,80.57,-30.45,12.96,-13.01,2.78,21.74,2.95,7.49,-4.13,1.81,-0.36,5.42,0.21,9.91,2.19,18.35,2.56,-0.25,3.41,1.12,11.71,-0.41,5.87,12.83,6.07,8.12,11.77
Zysk ze sprzedaży,,,,,115.8,21.02,-19.39,-67.64,61.26,1.81,33.06,105.07,31.03,49.0,86.29,-13.45,0.44,27.26,8.02,92.47,-47.88,-28.83,-31.0,-7.32,-3.35,-40.21,-70.69,-420.31,-684.08,-73.29,-2030.98,-82.6,110.37,-1260.95,84.9,96.84,-323.23,47.33,-166.49,-791.61,146.07,132.74,144.93,89.02,77.78,-707.82,-53.2,-31.57,-16.09,134.86,-122.13,202.45,-85.3,-151.93,-178.75,-14.47,-413.35,114.44,164.57,15.22,105.92,779.88,135.99,166.18,934.15,158.59,33.99,-54.71,242.22,70.31,-3.64,26.27,12.11,-60.84,-16.63,-940.49,-121.5
Pozostałe przychody operacyjne,,,,,-67.69,-69.36,-54.55,109.9,135.2,268.84,46.21,716.87,-21.52,-36.67,-6.38,169.42,-4.49,37.6,-142.03,-48.65,-20.71,11.18,260.12,14.37,43.8,89.26,-1.19,-12.59,19.34,-45.78,48.14,-30.19,528.55,367.23,144.29,652.54,-41.66,-53.29,-100.0,-111.34,-72.2,112.69,,333.83,18.5,-51.42,-90.22,0.7,-82.51,-67.49,463.87,-1096.41,233.25,20.6,56.37,119.3,-40.73,21.77,-13.23,-12.5,224.55,-30.05,-75.92,-116.43,-62.52,25.66,-53.01,505.63,-198.39,-156.27,94.04,-65.42,193.66,162.54,-41.55,293.99,-81.87
Pozostałe koszty operacyjne,,,,,-16.98,-51.01,-50.87,256.34,96.99,-8.49,143.04,-20.39,-59.81,44.26,-62.53,10.58,119.4,-15.07,-216.93,109.24,-67.1,-50.14,187.86,-83.93,168.82,30.86,-23.22,202.0,-42.0,417.12,2204.07,3309.54,828.14,-5.83,-87.06,-48.95,-58.68,68.45,632.32,-88.29,-23.27,-90.53,-96.81,-74.39,-80.65,7.39,169.2,-58.4,7.61,-72.6,-80.15,127.02,132.09,13.05,11.16,-7.25,-53.5,55.67,30.6,-85.32,-16.56,24.8,353.81,242.15,139.0,-30.0,-81.42,243.68,-55.23,114.98,-59.91,-41.33,121.29,6.77,-249.01,-33.56,32.62
Zysk operacyjny (EBIT),,,,,60.91,33.93,-22.75,-77.59,64.4,18.6,20.41,220.87,34.15,34.73,107.97,13.68,-3.63,34.33,5.28,33.85,-44.61,-23.49,-31.15,13.37,-5.89,-28.74,-68.06,-377.51,-653.64,-118.93,-2191.04,-200.99,119.63,-1043.31,89.58,86.29,-183.2,16.09,-390.12,-50.76,164.46,163.3,139.46,98.72,114.78,-296.38,-69.67,-87.0,-28.58,144.11,-79.72,-4041.79,-81.94,-133.84,-87.1,129.27,-337.63,162.66,4018.55,4.06,160.97,215.05,-13.61,-6.66,8.58,148.01,58.27,-20.08,189.08,46.44,3.8,-10.26,31.59,-59.26,-15.46,-798.66,-132.58
Przychody finansowe,,,,,-12.53,-38.83,125.77,176.52,292.17,-93.16,-99.08,757.47,-23.28,8383.9,6588.64,109.52,906.59,-125.08,-94.53,-120.75,-54.28,146.14,280.75,129.7,-56.63,-127.15,5586.62,-299.21,-38.58,218.7,-85.4,224.82,76.65,1544.23,-66.96,343.51,51.75,-54.61,820.57,-85.82,-64.49,-123.57,-89.83,1.17,-75.14,111.4,236.98,146.05,623.24,333.66,-94.27,36.61,-46.17,479.53,-372.37,-44.81,-58.81,-65.47,462.56,237.79,468.02,-32.88,-39.91,-67.18,-96.73,-108.38,-84.2,-76.83,1020.21,6347.0,5722.46,-424.93,184.99,-33.52,-88.62,131.57,-75.16
Koszty finansowe,,,,,20.23,-14.66,-169.4,764.17,56.88,-50.47,174.35,91.05,187.2,916.64,445.65,186.97,131.12,-82.0,-14.89,-79.07,-31.22,80.44,19.82,39.94,-39.08,71.32,38.77,0.52,135.27,-6.21,40.6,200.95,41.68,45.84,-68.0,-30.8,-61.97,-70.34,39.6,25.31,-42.86,44.47,-65.5,-83.74,-20.49,-72.13,99.14,-29.54,13.52,184.12,-56.27,119.81,-4.13,-8.41,40.83,-39.57,-24.19,-8.34,-9.97,34.55,-12.34,-23.19,0.57,-7.24,-56.02,7.98,-79.78,20.71,53.27,-19.69,351.48,-40.29,116.2,166.98,-98.52,122.09,-178.11
