,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Period,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,271.0,0.0,105.0,679.0,371.0,378.0,482.0,171.0,65.0,318.0,224.0,-6.0,76.0,84.0,530.0,428.0,304.0,23.0,416.0,1004.0,204.0,530.0,407.0,606.0,336.0,694.0,149.0,552.0,180.0,581.0,1114.0,1637.0,1261.0,3855.0,3823.0,6783.0,3465.0,10623.0,5869.0,10823.0,4183.0,13979.0,7679.0,7509.0,3219.0,10339.0,4559.0,7647.0
Techniczny koszt wytworzenia produkcji sprzedanej,48.0,73.0,170.0,414.0,353.0,651.0,770.0,864.0,554.0,802.0,1138.0,1010.0,1464.0,1559.0,2219.0,2551.0,1542.0,2575.0,2118.0,3086.0,2332.0,2620.0,2774.0,3037.0,3497.0,3272.0,3372.0,2655.0,2935.0,3583.0,3716.0,4399.0,4889.0,5058.0,5408.0,6904.0,8796.0,7359.0,9199.0,12020.0,11654.0,120234.0,12165.0,13377.0,16385.0,2574.0,10030.0,8855.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,223.0,-73.0,-65.0,265.0,18.0,-273.0,-288.0,-693.0,-489.0,-484.0,-914.0,-1016.0,-1388.0,-1475.0,-1689.0,-2123.0,-1238.0,-2552.0,-1702.0,-2082.0,-2128.0,-2090.0,-2367.0,-2431.0,-3161.0,-2578.0,-3223.0,-2103.0,-2755.0,-3002.0,-2602.0,-2762.0,-3628.0,-1203.0,-1585.0,-121.0,-5331.0,3264.0,-3330.0,-1197.0,-7471.0,-106255.0,-4486.0,-5868.0,-13166.0,7765.0,-5471.0,-1208.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,0.0,2.0,109.0,33.0,6.0,24.0,32.0,1.0,23.0,0.0,0.0,25.0,12.0,23.0,36.0,32.0,16.0,82.0,124.0,99.0,70.0,172.0,88.0,2210.0,76.0,278.0,31.0,21.0,-51.0,729.0,115.0,138.0,69.0,111.0,97.0,-441.0,21592.0,-21232.0,648.0,182.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,25.0,6.0,7.0,6.0,55.0,6.0,8.0,58.0,101.0,13.0,29.0,38.0,7.0,28.0,10.0,9.0,360.0,19.0,39.0,44.0,32.0,22.0,23.0,2100.0,974.0,760.0,804.0,848.0,59.0,128.0,-83.0,29.0,22.0,1.0,0.0,0.0,1.0,3.0,36.0,0.0,5210.0,6.0,5184.0,1941.0,2142.0
Zysk operacyjny (EBIT),223.0,-73.0,-65.0,241.0,12.0,-280.0,-294.0,-699.0,-495.0,-490.0,-863.0,-1084.0,-1395.0,-1480.0,-1695.0,-2129.0,-1243.0,-2562.0,-1711.0,-2417.0,-2135.0,-2106.0,-2375.0,-2431.0,-3167.0,-2519.0,-5199.0,-2978.0,-3445.0,-3634.0,-3362.0,-611.0,-3680.0,-842.0,-1583.0,-122.0,-5383.0,3993.0,-3215.0,-1060.0,-7405.0,-106180.0,-4389.0,-11519.0,8420.0,-18651.0,-6764.0,-3168.0
Przychody finansowe,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,11.0,-2.0,2.0,135.0,75.0,114.0,71.0,105.0,55.0,50.0,42.0,34.0,101.0,42.0,29.0,5.0,16.0,27.0,6.0,40.0,237.0,-28.0,-97.0,-63.0,400.0,-318.0,315.0,116.0,286.0,-80.0,758.0,365.0,605.0,352.0,444.0,-159.0
