,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Period,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,282089.0,120180.0,186398.0,232250.0,243002.0,267260.0,258032.0,288594.0,289093.0,302455.0,262852.0,246788.0,263472.0,267934.0,287462.0,274075.0,253833.0,247121.0,277911.0,269884.0,281589.0,267448.0,265395.0,292762.0,303670.0,325332.0,312356.0,344534.0,362371.0,358789.0,379731.0,388912.0,384116.0,350325.0,389206.0,368264.0,374400.0,329483.0,341796.0,430171.0,495387.0,559352.0,541891.0,606676.0,697370.0,714172.0,802484.0,928686.0,779974.0,560876.0,512065.0,535276.0,491924.0
Techniczny koszt wytworzenia produkcji sprzedanej,236690.0,104329.0,163713.0,184412.0,202362.0,223832.0,224348.0,234045.0,233792.0,251277.0,219999.0,197701.0,218518.0,222407.0,239673.0,208796.0,209655.0,199325.0,217027.0,196491.0,208131.0,190924.0,203091.0,194007.0,221720.0,234156.0,240356.0,231180.0,245188.0,262881.0,259068.0,271392.0,268984.0,280469.0,291685.0,283904.0,307693.0,257358.0,266956.0,300242.0,334513.0,377368.0,383170.0,402482.0,463608.0,491537.0,524761.0,514558.0,520047.0,451313.0,409357.0,423223.0,390077.0
Koszty sprzedaży,16740.0,7965.0,10028.0,17560.0,13294.0,16623.0,13974.0,18555.0,16544.0,20441.0,21253.0,20825.0,18105.0,19605.0,19372.0,22552.0,16230.0,17664.0,20084.0,19256.0,19474.0,20380.0,18171.0,19418.0,42384.0,41771.0,39737.0,43537.0,49257.0,47877.0,55243.0,39412.0,55467.0,51316.0,51696.0,45080.0,56543.0,47166.0,52061.0,59770.0,71239.0,66543.0,71075.0,63418.0,85493.0,89220.0,118130.0,71629.0,94110.0,74944.0,73750.0,55109.0,70959.0
Koszty ogólnego zarządu,11945.0,4317.0,8768.0,10257.0,11171.0,10141.0,9129.0,8942.0,14904.0,10746.0,10441.0,8231.0,11038.0,10373.0,11492.0,14045.0,14986.0,12681.0,12836.0,14044.0,17391.0,18215.0,15602.0,17562.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,16714.0,3569.0,3889.0,20021.0,16175.0,16664.0,10581.0,27052.0,23853.0,19991.0,11159.0,20031.0,15811.0,15549.0,16925.0,28682.0,12962.0,17451.0,27964.0,40093.0,36593.0,37929.0,28531.0,61775.0,39566.0,49405.0,32263.0,69817.0,67926.0,48031.0,65420.0,78108.0,59665.0,18540.0,45825.0,39280.0,10164.0,24959.0,22779.0,70159.0,89635.0,115441.0,87646.0,140776.0,148269.0,133415.0,159593.0,342499.0,165817.0,34619.0,28958.0,56944.0,30888.0
Pozostałe przychody operacyjne,1327.0,3543.0,4149.0,17155.0,2790.0,1126.0,3406.0,2195.0,5079.0,1004.0,691.0,10320.0,2350.0,5990.0,4279.0,-4905.0,1501.0,1935.0,1671.0,4682.0,2034.0,3397.0,5351.0,58686.0,573.0,-195.0,1679.0,8035.0,2778.0,2265.0,-2504.0,1086.0,845.0,2540.0,12463.0,-5528.0,18504.0,-1069.0,21110.0,13066.0,3614.0,-8085.0,7401.0,46445.0,8130.0,4447.0,25118.0,10762.0,16557.0,-10723.0,13941.0,36761.0,-3988.0
Pozostałe koszty operacyjne,252.0,15.0,1024.0,-103.0,826.0,1564.0,1461.0,2269.0,2210.0,1412.0,1541.0,9742.0,677.0,4399.0,3380.0,-4797.0,3589.0,1466.0,1071.0,839.0,1154.0,1686.0,1142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk operacyjny (EBIT),17789.0,7097.0,7014.0,37279.0,18139.0,16226.0,12526.0,26978.0,26722.0,19583.0,10309.0,20609.0,17484.0,17140.0,17824.0,28574.0,10874.0,17920.0,28564.0,43936.0,37473.0,39640.0,32740.0,124443.0,40139.0,49210.0,33942.0,77852.0,70704.0,50296.0,62916.0,79194.0,60510.0,21080.0,58288.0,33752.0,28668.0,23890.0,43889.0,83225.0,93249.0,107356.0,95047.0,187221.0,156399.0,137862.0,184711.0,353261.0,182374.0,23896.0,42899.0,93705.0,26900.0
Przychody finansowe,936.0,200.0,4039.0,221.0,991.0,211124.0,666.0,1051.0,1948.0,2387.0,-1004.0,-313.0,544.0,71.0,1297.0,2387.0,1233.0,665.0,323.0,575.0,838.0,1528.0,3357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
