,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
Period,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,247.76,74.56,55.2,10.1,27.7,5.91,-43.24,6.37,22.87,134.83,735.03,186.94,17.11,70.97,-34.77,-37.8,-27.97,-71.96,-56.47,-14.63,723.77,54.76,-8.41,-56.36,-91.6,47.76,-77.37,1314.07,-40.73,-81.7,96.16,-83.39,95.3,8.34,52.1,-51.78,-57.52,1742.3,184.55,87.23,135.05,-92.18,-74.66,-64.46,-44.46,-47.3,-1.12,729.83,187.28,411.38,74.73,-68.71,-22.62,169.48,321.72,110.58,35.61,-55.8,-66.95,-34.71,-23.8,-29.33,241.67,1103.85
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,147.74,203.49,146.03,103.53,62.05,79.92,-0.38,59.78,1.02,15.16,205.03,54.63,63.7,144.24,-9.36,-24.79,-8.09,-57.81,-35.0,1.03,392.75,16.67,-25.85,2.43,-83.54,263.49,0.25,316.45,-47.13,-87.13,-30.84,-79.6,74.37,-10.26,-8.12,16.51,-91.46,1263.83,59.91,-39.16,792.76,-84.62,-53.53,-29.05,-6.19,-52.99,20.74,362.02,83.14,178.8,42.02,-63.74,-30.17,87.75,159.15,8.23,-6.45,-78.4,-66.85,-44.64,-26.81,58.59,380.3,1862.81
Koszty sprzedaży,,,,,472.78,322.16,-23.17,220.43,21.59,61.74,251.89,-37.03,-1.1,11.57,-24.15,21.27,153.95,-1.84,-3.16,-34.71,-43.17,-5.03,1.63,19.67,544.94,18.43,33.25,-58.31,-89.31,17.85,-40.7,948.82,-51.3,-21.91,20.68,-88.91,105.14,-59.25,32.54,155.28,516.59,1470.52,-49.17,-68.66,-88.34,-96.08,-7.69,-32.79,47.96,486.79,32.82,692.44,85.95,-72.26,-45.61,-79.02,-38.31,605.81,306.63,123.99,24.22,-72.84,63.26,68.78,75.43,129.21,61.87,1197.88
Koszty ogólnego zarządu,,,,,165.14,165.37,152.84,-140.36,143.34,-91.39,-94.13,116.04,-80.96,398.94,782.98,1972.34,37.92,80.28,1.69,-6.06,27.49,-6.92,18.56,-19.18,28.89,-5.91,13.59,7.98,-30.78,-5.47,-26.28,3.07,21.33,42.71,95.47,50.73,7.62,-37.19,-29.67,-44.7,-9.68,30.92,-26.45,24.64,22.44,-16.49,38.87,-46.14,-40.21,13.56,-19.15,87.62,40.35,-13.48,-15.7,-19.33,2.48,29.53,77.14,63.85,51.72,190.78,121.4,82.4,65.7,-3.88,1.44,-13.95
Zysk ze sprzedaży,,,,,1622.68,-72.83,-107.51,-188.14,-148.95,-149.33,-4622.54,-76.05,675.31,3210.94,663.2,328.1,-67.32,39.1,-58.53,-74.64,-139.4,-115.91,-118.16,-155.25,5301.98,181.85,6.47,-661.79,-104.9,-905.89,-403.76,474.8,21.81,61.36,31.87,-95.01,64.65,65.67,52.99,-751.57,-1258.78,770.51,526.7,141.23,116.91,-127.67,-114.97,-144.87,-289.6,-93.61,-53.54,660.21,179.95,173.14,145.65,-81.79,11.16,265.61,1412.07,590.76,154.26,-52.44,-132.58,-81.69,-112.73,-136.1,146.05,1624.55
Pozostałe przychody operacyjne,,,,,20.0,650.0,,186.15,66.67,59.17,9500.0,15.32,-50.0,182.72,48.96,-14.22,3040.0,-84.26,34.27,-36.14,-55.41,-18.82,-81.25,-34.47,12.86,379.71,186.11,329.87,205.06,-80.97,171.84,-89.12,177.18,1088.89,-94.64,265.28,-86.83,-78.77,80.0,33.84,664.77,88.05,562.96,40.91,-58.25,-156.86,-86.03,-93.95,-64.06,144.71,108.0,14900.0,-53.47,10.53,57.69,-75.13,1759.57,-80.95,-79.27,-70.69,-97.48,-218.75,364.71,-105.49,-22.73,-4394.74,193.67,394.44
Pozostałe koszty operacyjne,,,,,4.55,1060.0,121.29,171.61,2.17,19.73,52.77,680.44,14.89,100.48,20.8,-66.04,4.94,-83.64,-63.51,-63.42,49.41,298.54,829.0,1270.62,177.56,-65.12,-108.15,-32.01,-77.59,-16.49,480.57,-69.61,-57.59,79.41,-97.6,-58.26,1007.46,-78.69,1468.75,22.18,-48.25,1004.4,1486.45,-52.6,-92.71,420.5,-92.09,1659.97,675.0,-92.72,171.43,-89.02,271.43,-180.84,-95.91,-89.45,-97.27,108.77,1342.86,1501.42,54.55,692.59,-82.38,-81.8,108.82,-92.06,-2.25,167.4
Zysk operacyjny (EBIT),,,,,5230.0,-93.78,-152.21,-245.84,-161.66,-689.74,-815.5,-364.72,579.35,1150.87,586.49,137.99,-66.48,51.12,-57.63,-78.86,-151.8,-122.91,-145.32,-1829.62,4011.14,159.3,70.22,-6.71,-104.73,-892.75,-573.57,246.13,58.48,64.66,35.56,-98.49,-78.09,64.65,48.09,-2838.95,-409.99,753.56,325.91,134.3,122.38,-185.73,-131.02,-523.48,-260.13,29.24,-75.08,186.06,136.84,176.03,134.66,-78.38,244.09,233.13,1293.15,249.74,67.31,-53.97,-133.78,-82.54,-114.05,-150.11,149.01,2033.05
Przychody finansowe,,,,,129.91,644.34,-112.3,10154.17,67.48,-49.22,-3893.33,-94.7,-99.51,296.59,-93.32,-67.19,5950.0,-96.73,157.34,1621.43,-22.31,236.84,-92.77,-76.21,-27.66,-78.12,-97.92,-94.19,8.82,257.14,15900.0,380.0,1490.54,-135.0,-96.88,-237.5,-83.09,1551.43,-8040.0,756.06,-95.48,-100.2,835.52,-766.74,1933.33,48100.0,-108.12,113.65,-3.83,-130.83,151.48,-135.53,800.0,-372.3,-500.0,-82.86,-35.61,10.44,511.89,248.05,-15.29,391.85,-37.71,-82.06,-75.69,-24.25,-226.68,-111.76
