,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Period,2006/Q1,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,52.26,,,,73.53,51.66,9.57,-12.08,18.12,2.01,22.07,43.66,-1.9,11.8,5.93,22.64,19.86,21.49,19.89,-8.17,18.88,6.25,28.43,-4.13,2.11,24.7,3.03,37.39,-4.97,-0.3,-15.04,-27.97,9.08,0.61,-7.04,46.26,16.29,4.52,31.45,13.22,34.44,50.43,50.7,39.6,15.23,-11.04,2.61,-2.03,-5.59,0.23,13.27,22.24,7.4,-15.96,-15.16,-33.48,-42.93,71.72,-6.86,89.68,65.5,-10.05,38.31,-15.96,20.42,-13.87,-2.7,-1.14
Techniczny koszt wytworzenia produkcji sprzedanej,,19.16,,,,77.96,52.92,2.57,73.16,11.61,50.35,44.99,0.58,32.42,-5.44,21.23,8.84,26.75,27.55,20.2,13.48,16.13,12.23,39.42,-3.31,8.19,16.18,4.51,27.69,-16.49,-1.62,-21.4,-21.93,-1.75,-12.46,-7.13,8.13,31.04,23.04,16.67,23.83,22.44,48.79,51.14,49.18,26.24,-12.62,7.73,9.67,8.72,11.74,14.74,20.49,33.79,-17.41,3.68,-21.47,-13.07,1.23,-22.37,7.65,-27.68,34.78,58.33,13.27,15.47,-12.69,-32.14,-18.99
Koszty sprzedaży,,31.71,,,,105.56,179.1,31.86,11.74,50.45,-39.57,-14.77,-73.57,68.26,14.16,14.96,231.33,-29.54,117.83,45.21,0.0,13.64,-15.66,49.53,48.73,64.44,26.58,-5.99,-15.16,5.41,-17.67,0.34,-2.88,-12.31,33.2,4.35,33.53,10.82,24.32,91.67,65.56,41.42,287.78,119.4,64.43,51.31,-71.0,-70.35,-49.06,-62.52,-13.04,-28.79,-12.02,18.42,-51.75,-32.13,-57.01,53.89,551.81,2122.87,1530.51,397.47,163.99,-71.02,10.52,3.81,-18.31,121.55,-21.61
Koszty ogólnego zarządu,,62.59,,,,77.85,31.66,46.79,174.36,61.91,-60.74,7.83,-67.95,-59.75,76.96,-39.7,-1.06,11.5,1.04,-8.68,-4.67,1.0,-14.93,-0.61,8.11,-4.12,-1.38,-12.81,-4.14,7.9,58.81,38.41,-7.96,19.27,-30.55,-16.62,27.13,-2.4,17.09,39.11,12.0,114.64,-66.89,11.8,3.3,-53.28,300.0,15.19,10.67,13.1,-3.37,-9.42,3.15,-5.07,-27.46,-23.72,-34.93,31.39,314.26,-235.19,27.52,4.64,-61.6,211.92,29.05,-1.11,8.51,-5.0,30.91
Zysk ze sprzedaży,,665.31,,,,49.87,61.76,-30.96,-498.33,-28.83,-81.67,-68.68,112.94,-34.75,353.72,94.32,172.57,9.96,-16.21,111.11,-105.49,96.86,-9.35,-62.33,-456.67,-64.25,166.67,34.56,272.46,215.35,-18.88,12.57,-137.67,81.0,109.65,15.05,935.02,-20.82,-54.31,216.03,-31.68,35.82,50.69,39.79,0.0,29.68,15.05,42.41,-62.6,-57.03,-57.54,33.4,156.59,-316.79,44.97,-102.61,-158.08,-252.87,380.26,-1067.31,748.84,91.09,-105.42,0.16,-123.03,203.61,-78.33,375.74,271.97
Pozostałe przychody operacyjne,,-12.5,,,,28.57,-22.45,635.71,163.41,444.44,426.32,3.88,-26.85,132.65,-62.5,29.91,-40.51,61.4,110.67,-33.09,423.4,75.54,-30.38,53.76,39.43,-30.96,344.55,232.17,-8.45,-6.28,-42.94,-8.84,-2.87,-38.28,-53.41,-51.27,-6.23,48.84,366.15,383.41,92.66,30.73,-29.7,-56.18,-50.27,31.87,5.87,-38.03,243.07,224.17,15.96,1.44,-49.89,-68.78,348.37,436.65,-69.85,-50.75,37.36,-95.29,30.99,-24.85,-94.32,166.2,1907.53,0.81,-26.78,-14.81,-94.19
Pozostałe koszty operacyjne,,-58.14,,,,-33.33,-53.12,54.55,110.61,233.33,426.67,-58.82,-38.13,75.0,94.94,-471.43,302.33,-45.71,9.74,219.23,-69.36,397.37,-54.44,-16.13,-31.13,-79.37,759.74,326.92,247.95,310.26,-77.95,86.49,451.97,276.87,154.79,-50.72,-71.97,-87.73,-102.69,139.22,-41.98,-71.62,730.0,-85.66,66.23,357.14,-47.62,-97.14,-24.27,189.58,69.7,7700.0,-90.59,-80.22,1448.21,167.95,707.41,65.45,-67.13,-87.56,52.29,-13.19,-69.82,126.92,-82.53,-22.78,1.16,-88.14,198.28
Zysk operacyjny (EBIT),,2500.0,,,,53.57,60.71,-10.49,-515.67,-26.83,-64.57,-48.77,112.59,-25.43,94.21,78.72,101.52,41.97,-4.47,25.89,-89.92,61.43,0.22,-40.19,-180.0,-44.78,108.67,116.21,1093.75,77.72,10.22,-21.02,-306.6,-1.02,59.32,-19.91,229.76,51.84,-10.25,340.75,-8.45,42.58,12.5,-4.33,-27.42,25.37,15.08,21.11,-1.5,-19.37,-42.43,24.05,46.24,-181.97,117.59,-43.11,-146.94,-327.91,206.83,-145.07,665.4,91.83,-101.94,15.3,-38.93,229.58,-166.43,483.4,-31.3
Przychody finansowe,,,,,,-62.96,-24.14,553.66,-253.85,285.0,1813.64,47.39,-1025.0,37.66,-88.6,-65.57,-11.56,-86.79,-116.67,-86.76,178.09,307.14,-37.5,177.78,117.35,-94.74,1109.09,-52.0,-67.37,-33.33,-98.2,195.83,-0.72,6400.0,1750.0,-12.68,-27.54,-64.62,-181.08,-64.52,-75.0,-86.96,250.0,86.36,536.0,250.0,237.78,-321.95,-24.53,1819.05,-65.79,105.49,-43.33,-31.51,-309.62,7640.0,-105.88,-99.28,102.75,-95.09,2950.0,50.0,3533.33,-52.63,-121.05,366.67,-88.07,522.22,237.5
Koszty finansowe,,205.88,,,,61.54,-36.49,466.67,3057.78,601.19,610.64,48.24,-109.92,-84.72,-29.34,-41.27,27.66,3.33,-48.31,-53.38,200.98,3.23,-44.26,8.7,-33.01,-30.21,-25.0,-69.33,-47.83,-37.31,-47.06,256.52,5127.78,19.05,129.63,-139.02,-99.04,-70.0,-56.45,146.88,405.56,506.67,-225.93,93.33,-57.14,-40.66,108.82,17.24,-35.9,-29.63,1533.33,29.41,536.0,-5.26,-6.12,706.82,-81.13,-8.33,319.57,-126.48,523.33,63.64,-75.65,171.28,40.64,100.0,525.53,-383.58,174.14
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,12300.0,,,,35.25,73.16,10.45,-733.98,-120.81,-50.0,-28.82,106.78,411.65,-14.29,-2.11,108.06,10.28,13.12,14.81,-73.18,86.44,16.3,-38.71,69.36,-51.21,169.27,140.35,152.22,100.62,-29.53,-57.66,-513.8,17.49,130.68,89.66,158.44,39.92,-12.38,248.18,-16.34,30.41,22.56,-3.98,-16.19,30.69,18.41,11.62,-3.35,2.27,-46.44,31.12,27.25,-152.84,102.98,-40.59,-151.91,-436.09,219.55,-135.11,632.25,90.9,-101.13,-18.93,-44.62,196.02,-717.28,487.83,-52.12
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,12300.0,,,,35.25,73.16,10.45,-733.98,-120.81,-50.0,-28.82,106.78,411.65,-14.29,-2.11,108.06,10.28,13.12,14.81,-73.18,86.44,16.3,-38.71,69.36,-51.21,169.27,140.35,152.22,100.62,-29.53,-57.66,-513.8,17.49,130.68,89.66,158.44,39.92,-12.38,248.18,-16.34,30.41,22.56,-3.98,-16.19,30.69,18.41,11.62,-3.35,2.27,-46.44,31.12,27.25,-152.84,102.98,-40.59,-151.91,-436.09,219.55,-135.11,632.25,90.9,-101.13,-18.93,-44.62,196.02,-717.28,487.83,-52.12
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,921.88,,,,65.02,44.79,0.0,-873.7,-120.97,-33.99,-14.06,106.44,434.07,-18.48,-6.36,118.22,15.46,31.98,14.56,-81.43,78.06,2.15,-44.35,158.72,-50.56,189.19,170.56,-17.02,97.73,-32.09,-62.48,-1281.2,9.98,93.27,77.5,151.12,50.89,-20.65,318.31,-28.52,14.89,35.29,-15.35,24.75,37.51,28.08,14.08,2.62,12.8,-48.56,45.68,8.74,-162.2,169.24,-38.77,-111.38,-376.42,205.19,-143.86,3246.25,91.09,-103.7,-1.07,-19.09,193.29,-126.1,462.96,-68.06
Zysk netto akcjonariuszy jednostki dominującej,,921.88,,,,65.02,44.79,0.0,-873.7,-120.97,-33.99,-14.06,106.44,434.07,-18.48,-6.36,118.22,15.46,31.98,14.56,-81.43,78.06,2.15,-44.35,158.72,-50.56,189.19,170.56,-17.02,97.73,-32.09,-62.48,-1281.2,9.98,93.27,77.5,151.12,50.89,-20.65,318.31,-28.52,14.89,35.29,-15.35,24.75,37.51,28.08,14.08,2.62,12.8,-48.56,45.68,8.74,-162.2,169.24,-38.77,-111.38,-376.42,205.19,-143.86,3246.25,91.09,-103.7,-1.07,-19.09,193.29,-126.1,462.96,-68.06
Aktywa trwałe,,169.44,,,,50.7,64.34,17.19,21.19,18.28,2.26,0.74,-7.66,-9.89,-10.87,-10.78,-2.42,-0.84,2.55,6.8,0.37,1.04,0.41,7.15,8.55,10.61,10.34,4.99,4.15,6.35,5.94,4.96,-3.07,-5.58,0.65,-5.3,-0.16,9.69,3.02,14.99,20.58,35.01,30.38,24.4,23.17,0.64,-6.38,-7.21,-11.97,-10.53,12.08,12.63,18.69,17.07,6.31,2.78,2.92,0.21,0.61,2.41,10.6,13.63,27.1,30.01,27.04,25.98,9.74,8.57,4.63
Wartości niematerialne i prawne,,1754.12,,,,-16.02,1.69,-0.75,23.82,30.82,8.5,9.83,-11.06,-21.77,-17.63,-17.55,-9.44,0.0,1.37,7.71,5.32,7.42,5.74,7.15,6.58,9.4,8.74,7.39,20.93,21.59,-3.23,-1.03,-5.73,-6.22,29.76,16.34,0.8,15.13,1.91,15.86,24.05,48.2,42.28,38.18,40.05,-0.57,-14.44,-14.38,-19.64,-21.81,-1.41,-2.73,5.04,7.51,10.41,6.38,4.48,3.75,4.98,8.89,28.21,30.39,29.08,30.29,8.57,10.29,7.16,7.85,9.46
Rzeczowe składniki majątku trwałego,,-68.96,,,,599.9,337.16,5.62,-10.63,-22.46,-2.1,-7.68,-4.97,-0.62,-3.96,-3.97,4.57,3.89,3.51,7.01,-3.4,-5.02,-5.61,11.51,10.36,12.82,13.66,0.03,-14.02,-9.72,-2.23,-4.81,-5.55,-13.24,-21.25,-23.83,-6.77,-0.9,2.08,12.2,18.73,16.1,20.89,11.28,3.49,9.31,42.12,38.45,33.76,59.8,44.95,50.43,53.24,27.69,0.96,-2.3,-4.84,-10.07,-9.85,-10.64,-10.3,-5.83,1.18,28.59,44.82,38.0,25.37,-0.58,-2.05
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,12475.0,445.26,444.18,348.51,348.51,-18.23,-18.23,-0.04,0.0,0.0,0.0,5.32,5.32,0.0,1.33,-5.05,-5.05,0.0,-1.31,0.04,0.0,0.0,0.0,0.0,0.0,78.72,70.57,0.0,0.0,-44.05,-41.37,0.0,0.0,0.0,20.3,20.79,20.88,9.88,-8.66,-9.03,-9.09,-65.15,-65.15,-65.15,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,-71.06,0.0,0.0
Pozostałe aktywa trwałe,,-20.83,,,,265.79,83.33,25.0,258.42,205.04,261.62,277.89,-5.52,100.71,-4.47,-9.47,14.04,-55.35,31.58,20.0,-12.05,-3.42,-18.89,-6.41,83.38,71.39,64.11,64.11,-41.02,-41.02,-43.07,-44.74,92.18,93.53,134.31,141.39,32.4,30.08,33.29,4.13,-8.69,-7.71,-17.75,5.29,1.62,1.62,0.46,0.46,-7.08,-7.08,42.27,42.27,57.25,57.25,9.5,9.5,56.56,56.56,40.63,40.63,-10.78,-10.78,-13.07,-13.07,83.95,83.95,97.14,95.7,3.41
Aktywa obrotowe,,616.09,,,,21.38,-10.15,-6.17,-50.34,-40.08,-28.38,-31.34,4.46,-4.66,20.63,23.9,39.42,26.86,12.51,9.74,0.95,15.3,15.8,18.08,21.65,15.18,20.31,18.04,29.09,12.25,9.31,-6.17,-21.25,-12.21,-16.52,0.6,44.22,16.39,29.92,15.99,6.04,31.79,16.63,30.41,6.23,1.41,3.05,0.91,21.25,18.56,22.14,16.37,27.05,20.47,25.49,21.57,-5.03,-0.79,-3.09,2.53,14.51,1.94,-5.66,-3.93,-24.93,-18.69,-21.08,-20.68,14.07
Zapasy,,325.64,,,,322.59,-17.85,8.1,23.54,34.93,42.54,26.58,-30.43,-12.73,-17.93,-0.61,69.17,12.35,32.44,32.28,2.36,26.02,18.02,-16.01,-2.49,-2.61,-26.74,12.12,2.04,8.52,43.12,-15.78,-11.49,-12.3,-19.43,20.09,-0.67,-7.43,23.53,-8.44,25.83,50.67,34.28,76.57,17.32,-8.43,-12.54,-5.75,2.73,37.27,7.65,8.84,65.5,29.04,53.79,7.13,-33.88,-18.08,-51.89,-19.47,78.99,56.97,342.48,201.39,32.57,12.91,-45.36,-54.29,-48.83
Należności krótkoterminowe,,261.09,,,,15.47,59.06,5.04,16.82,24.15,21.05,7.49,11.18,-22.48,7.96,22.78,70.27,45.11,39.47,11.06,-1.7,24.54,4.15,39.93,4.37,6.57,32.05,20.4,42.37,6.57,11.15,1.32,-14.77,-7.97,-24.73,-23.02,0.63,-9.82,10.12,-2.75,10.12,36.97,19.2,57.58,24.26,21.42,15.08,2.93,4.32,-2.76,9.2,32.8,51.46,10.44,-18.25,-13.54,-50.13,-50.88,-15.78,-41.64,21.41,14.32,14.51,56.16,10.44,49.05,-11.42,-14.52,24.32
Inwestycje krótkoterminowe,,162566.67,,,,-84.02,-73.3,-73.3,-96.22,-82.44,-59.0,-43.53,507.27,237.96,131.01,79.85,-53.44,82.07,-35.68,12.46,23.79,-40.57,123.65,66.0,309.09,140.12,53.58,16.35,50.03,84.62,-27.19,-29.01,-50.4,-37.78,39.36,144.14,395.31,211.36,105.09,84.82,-7.91,-9.34,-14.72,-44.69,-28.02,-13.41,4.71,33.15,80.87,67.91,67.38,-22.93,-25.3,33.74,86.29,209.08,153.82,79.61,27.33,74.64,-3.87,-18.61,-71.61,-82.51,-78.23,-76.76,10.49,91.44,156.9
Środki pieniężne i inne aktywa pieniężne,,162566.67,,,,-84.12,-79.67,-87.75,-96.38,-82.84,-72.6,-66.15,534.29,159.4,122.84,33.94,-74.62,0.0,-67.65,58.9,-26.04,-47.54,675.35,417.67,729.6,448.62,50.32,6.41,127.87,95.27,-23.93,-34.19,-58.48,-38.83,42.97,196.79,475.64,242.33,128.28,99.04,-5.42,-3.94,-20.81,-49.76,-32.69,-13.38,3.29,35.7,87.07,62.67,80.15,-16.92,-22.69,38.05,89.0,209.74,153.82,79.61,27.33,74.52,-3.87,-18.61,-71.91,-82.49,-78.23,-76.76,11.68,91.44,156.9
Pozostałe aktywa obrotowe,,170.21,,,,494.21,28.17,33.34,-83.72,-96.58,-94.33,-86.35,-11.35,334.95,431.38,86.26,-83.38,-54.64,-85.39,-44.84,47.71,-39.51,16.44,-73.26,275.16,167.57,19.41,17.33,-59.11,-55.05,1.48,-15.91,-50.61,86.14,-23.3,-11.49,-43.44,-70.62,-17.72,31.3,197.1,771.23,526.15,545.35,66.83,-59.2,-67.44,-71.17,-4.97,8.09,40.75,34.69,25.23,1.78,56.57,53.13,42.75,20.67,-1.37,-3.33,-17.04,-7.11,-8.85,-4.23,-2.7,38.28,50.1,14.73,-32.62
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
