,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Period,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,2282.0,4555.0,2530.0,17551.0,4645.0,3285.0,6279.0,10331.0,1488.0,5045.0,8404.0,23733.0,5352.0,8789.0,6242.0,22571.0,14468.0,13208.0,10429.0,24525.0,9111.0,16195.0,12375.0,38766.0,13472.0,13266.0,11770.0,50837.0
Techniczny koszt wytworzenia produkcji sprzedanej,3031.0,3532.0,2703.0,14855.0,4437.0,4144.0,5598.0,9607.0,3567.0,5737.0,7964.0,19565.0,5161.0,8181.0,5887.0,20687.0,10319.0,10302.0,9893.0,25154.0,9848.0,15530.0,12099.0,34228.0,14252.0,14441.0,13481.0,42455.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,-749.0,1023.0,-173.0,2696.0,208.0,-859.0,681.0,724.0,-2079.0,-692.0,440.0,4168.0,191.0,608.0,355.0,1884.0,4149.0,2906.0,536.0,-629.0,-737.0,665.0,276.0,4538.0,-780.0,-1175.0,-1711.0,8382.0
Pozostałe przychody operacyjne,5.0,5.0,-10.0,217.0,6.0,40.0,33.0,174.0,9.0,272.0,32.0,133.0,106.0,113.0,217.0,749.0,620.0,710.0,1649.0,963.0,687.0,-116.0,-7.0,1107.0,273.0,245.0,129.0,134.0
Pozostałe koszty operacyjne,0.0,6.0,11.0,335.0,31.0,2.0,8.0,143.0,2.0,56.0,16.0,206.0,72.0,130.0,146.0,378.0,859.0,940.0,204.0,258.0,394.0,-134.0,10.0,227.0,55.0,129.0,308.0,199.0
Zysk operacyjny (EBIT),-744.0,1022.0,-194.0,2578.0,183.0,-821.0,706.0,755.0,-2072.0,-476.0,456.0,4095.0,225.0,591.0,426.0,2255.0,3910.0,2676.0,1981.0,76.0,-444.0,683.0,259.0,5418.0,-562.0,-1059.0,-1890.0,8317.0
Przychody finansowe,10.0,48.0,11.0,27.0,39.0,-7.0,-2.0,-8.0,19.0,2.0,9.0,70.0,3.0,14.0,0.0,11.0,0.0,18.0,0.0,33.0,107.0,-12.0,184.0,-201.0,7.0,10.0,111.0,-112.0
Koszty finansowe,2.0,5.0,21.0,190.0,14.0,2.0,6.0,106.0,72.0,90.0,72.0,84.0,83.0,177.0,178.0,75.0,65.0,77.0,12.0,57.0,34.0,58.0,40.0,72.0,89.0,391.0,-234.0,629.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-92.0,-93.0,-93.0,71.0,-58.0,-57.0,1.0,-114.0,-57.0,-57.0,-57.0,-57.0,0.0,0.0,0.0,-137.0,-2.0,13.0,6.0,-37.0
Zysk z działalności gospodarczej,-736.0,1065.0,-204.0,2415.0,208.0,-830.0,698.0,641.0,-2217.0,-657.0,300.0,4152.0,87.0,371.0,249.0,2077.0,3788.0,2560.0,1912.0,-5.0,-371.0,613.0,403.0,5008.0,-646.0,-1427.0,-1539.0,7539.0
Wynik zdarzeń nadzwyczajnych,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
