,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,9710.0,12549.0,12331.0,21752.0,5863.0,15448.0,19455.0,20286.0,19863.0,20143.0,22000.0,20552.0,21801.0,15659.0,16211.0,20597.0,5677.0,6786.0,6535.0,8836.0,9076.0,13744.0,16454.0,11043.0,10434.0,6979.0,11442.0,10132.0,3984.0,1135.0,76.0,42.0,50.0,47.0,123.0,143.0,69.0,118.0,66.0,84.0,99.0,106.0,78.0,67.0,55.0,51.0,46.0,46.0,41.0,50.0,49.0,63.0,41.0,43.0,437.0,13.0,918941.0,82078.0,42200.0,-36969.0,5319.0,31091.0
Techniczny koszt wytworzenia produkcji sprzedanej,9427.0,12497.0,12161.0,21384.0,5569.0,14102.0,18032.0,18788.0,19480.0,18816.0,20450.0,21108.0,19822.0,14825.0,14564.0,17569.0,6192.0,6989.0,5536.0,8351.0,8683.0,12522.0,15328.0,11436.0,10693.0,9461.0,11935.0,10560.0,3819.0,1552.0,126.0,962.0,76.0,92.0,41.0,49.0,32.0,13.0,30.0,817.0,39.0,29.0,52.0,240.0,27.0,36.0,44.0,71.0,58.0,-33.0,41.0,51.0,48.0,41.0,30.0,1.0,846225.0,79546.0,43067.0,-37196.0,4278.0,33182.0
Koszty sprzedaży,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.0,75.0,89.0,99.0,95.0,65.0,52.0,133.0,187.0,118.0,196.0,211.0,-525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Koszty ogólnego zarządu,0.0,0.0,0.0,0.0,832.0,1186.0,1021.0,1104.0,1040.0,1122.0,1238.0,1411.0,1155.0,1287.0,1229.0,1601.0,1096.0,638.0,1315.0,998.0,968.0,1004.0,847.0,-31.0,652.0,706.0,638.0,587.0,575.0,501.0,358.0,415.0,168.0,222.0,154.0,165.0,159.0,173.0,148.0,147.0,126.0,115.0,125.0,144.0,132.0,133.0,148.0,147.0,115.0,112.0,115.0,200.0,153.0,144.0,128.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0
Zysk ze sprzedaży,283.0,52.0,170.0,368.0,-538.0,160.0,402.0,394.0,-657.0,205.0,312.0,-2244.0,749.0,-542.0,319.0,1332.0,-1676.0,-893.0,-449.0,-700.0,-693.0,22.0,68.0,163.0,-911.0,-3188.0,-1131.0,-1015.0,-410.0,-918.0,-408.0,-1335.0,-194.0,-267.0,-72.0,-71.0,-122.0,-68.0,-112.0,-880.0,-66.0,-38.0,-99.0,-317.0,-104.0,-118.0,-146.0,-172.0,-132.0,-29.0,-107.0,-188.0,-160.0,-142.0,279.0,-89.0,72716.0,2532.0,-867.0,227.0,1041.0,-2091.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,2673.0,0.0,0.0,0.0,2802.0,94.0,339.0,822.0,1948.0,83.0,1101.0,166.0,2324.0,216.0,1574.0,138.0,1611.0,177.0,664.0,226.0,304.0,321.0,142.0,17.0,68.0,180.0,256.0,388.0,72.0,243.0,655.0,18.0,18.0,18.0,16.0,40.0,163.0,1.0,76.0,74.0,35.0,7.0,164.0,18.0,972.0,305.0,16.0,22.0,-274.0,14.0,20.0,3544.0,44.0,10782.0,593.0,1419.0,-1321.0,84.0,5049.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,1859.0,0.0,0.0,0.0,2231.0,59.0,450.0,245.0,1388.0,3298.0,633.0,27.0,1768.0,1596.0,206.0,103.0,515.0,203.0,499.0,490.0,303.0,110.0,134.0,21.0,388.0,90.0,2906.0,359.0,17.0,46.0,310.0,31.0,586.0,43.0,14.0,50.0,120.0,2.0,14.0,103.0,151.0,30.0,312.0,21.0,31.0,18.0,19.0,27.0,1.0,20.0,25.0,1757.0,439.0,43302.0,1417.0,983.0,39167.0,363.0,-39324.0
Zysk operacyjny (EBIT),484.0,707.0,858.0,-362.0,-174.0,586.0,1071.0,-494.0,-622.0,94.0,889.0,-1684.0,-2466.0,-74.0,458.0,1888.0,-3056.0,475.0,-414.0,396.0,-719.0,187.0,-196.0,164.0,-700.0,-3180.0,-1135.0,-1335.0,-320.0,-3568.0,-379.0,-1280.0,3.0,78.0,-85.0,-639.0,-147.0,-66.0,-122.0,-837.0,-67.0,24.0,-128.0,-433.0,-127.0,-266.0,-149.0,769.0,155.0,-32.0,-112.0,-463.0,-166.0,-147.0,2066.0,-483.0,40195.0,1708.0,-431.0,-40261.0,762.0,42282.0
Przychody finansowe,4.0,1.0,189.0,-444.0,32.0,77.0,-9.0,400.0,59.0,38.0,77.0,1589.0,96.0,282.0,409.0,-112.0,372.0,144.0,-14.0,63.0,70.0,322.0,-73.0,88.0,136.0,33.0,48.0,137.0,28.0,159.0,13.0,32.0,262.0,1111.0,29.0,1432.0,3215.0,3843.0,-1396.0,-3763.0,543.0,-523.0,1525.0,31.0,52.0,10.0,0.0,916.0,25.0,38.0,11.0,333.0,83.0,97.0,100.0,92.0,36382.0,-6633.0,451.0,1911.0,11.0,27278.0
