,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Period,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,44.59,22.96,22.65,6.06,21.26,32.4,79.71,48.59,4.27,-30.13,-57.0,3.84,19.15,-15.85,2.81,-45.59,-51.21,-14.88,-3.4,11.22,0.2,48.77,-12.24,14.4,0.36,-22.41,74.14,34.22,52.65,34.24,-43.48,-54.95,-62.46,-56.1,7.35,0.95,158.84,71.31,40.61,59.03,-6.45,20.48,-9.82,-24.06,-33.27,-39.36,-57.89,11.29,-10.5,9.87,129.51,-8.32,94.38,46.4,-21.5,-29.47,-41.65,-0.82,77.48,121.41
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,40.47,27.63,35.48,8.51,29.01,36.22,92.18,51.1,5.03,-26.84,-54.23,12.94,33.95,-2.35,12.95,-44.5,-54.38,-29.93,-13.82,6.42,-2.17,68.39,-11.78,20.47,20.8,-27.35,75.95,28.79,40.53,41.76,-42.16,-56.27,-63.56,-55.11,6.1,2.41,172.6,67.47,45.65,61.62,-2.69,24.31,-8.28,-19.33,-39.67,-50.6,-56.73,15.83,-4.7,14.64,119.64,-16.18,85.07,63.51,-28.42,-32.89,-39.42,-10.48,87.09,113.12
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.19,2.08,-5.2,-18.6,2.04,-0.63,13.48,-65.08,7.85,-50.24,-70.24,507.27,14.12,-27.62,95.41,-22.75,-35.5,89.91,-16.27,-21.51,-26.55,11.32,30.89,59.26,92.35,25.1,22.11
Koszty ogólnego zarządu,,,,,32.7,30.55,1.38,9.0,14.66,6.65,13.47,-7.69,2.94,-18.68,-3.41,-18.04,-7.27,8.45,-5.7,-5.38,-11.34,-15.0,-12.05,-11.19,5.25,2.63,6.81,13.54,-12.78,5.44,4.69,-6.33,12.09,-5.64,-8.99,-12.49,-15.33,-16.18,-10.34,-3.27,5.23,1.31,7.1,-8.1,4.34,-13.63,16.3,1.05,-13.11,-0.62,-89.05,-26.59,-33.85,-0.04,370.84,5.0,41.47,1.43,40.89,-21.26,18.03,27.7,-6.1,53.7
Zysk ze sprzedaży,,,,,89.14,-11.86,-15.13,-25.41,-13.8,36.16,56.57,173.93,-0.18,-71.06,-115.54,-51.08,-71.66,-383.67,-214.3,-132.54,-87.69,127.2,105.27,254.33,199.12,-156.46,-472.67,-121.53,-841.35,117.3,276.5,1245.15,90.51,-705.21,-268.37,-112.18,-642.5,-323.75,42.68,-27.34,50.95,58.49,-23.29,339.17,-128.03,1.17,-76.27,-184.09,57.2,237.82,91.49,-42.7,-14.07,3.52,50.26,162.14,213.26,-48.3,623.4,20.27,-275.86,213.56,206.91,425.2
Pozostałe przychody operacyjne,,,,,-80.48,78.21,28.36,-63.3,101.54,-15.11,-13.95,111.59,70.23,499.15,106.76,60.27,26.46,-64.92,-16.01,-67.31,84.75,51.21,68.87,448.37,19.77,454.67,276.96,-81.17,-68.59,-92.02,-94.56,81.65,-38.27,43.37,124.72,180.49,41.32,-44.12,42.0,-12.8,51.46,84.96,-25.0,-53.56,6.18,-400.0,77.0,-91.72,-100.0,107.86,-19.1,9803.7,,508.62,-65.9,81.45,76.11,-28.33,499.04,-91.1,-53.63,7.11,-84.27,73.84
Pozostałe koszty operacyjne,,,,,350.0,311.43,-45.86,59.43,-4.17,-45.14,-78.82,103.94,200.0,-21.52,850.0,-9.84,-66.18,2767.74,286.55,896.88,495.71,-24.97,-91.38,-92.55,-50.36,-68.52,238.6,59.84,-45.41,-57.38,-26.94,-65.02,-67.26,35.75,1412.77,51.17,167.57,3.29,-92.41,-9.01,1.01,-30.68,565.43,133.11,17.0,-95.98,-76.07,-11.13,-28.21,900.0,-59.69,-3.46,35.71,4.29,-69.23,-86.35,23.68,20.55,121.88,108.75,-55.32,104.55,-30.99,-78.44
Zysk operacyjny (EBIT),,,,,63.05,-13.02,-12.85,-35.21,-12.0,37.58,56.42,179.62,-1.56,-56.79,-113.11,-49.4,-65.35,-368.06,-313.26,-315.4,-80.84,100.47,115.55,131.51,247.71,4504.17,56.69,-140.61,-422.56,-92.49,19.45,566.4,93.62,-806.02,-469.02,-98.11,-996.15,-340.27,75.78,-284.85,58.19,63.18,-136.11,848.36,-156.64,-84.74,1.08,-280.5,48.94,178.63,100.57,134.22,3.2,24.71,-283.33,914.01,240.9,-47.12,4845.45,-75.45,-245.07,166.7,49.33,376.99
Przychody finansowe,,,,,4316.67,-42.25,-5.5,1007.58,15.47,-35.26,76.7,-65.66,-50.98,-39.84,-98.9,-90.04,-93.0,-81.08,1950.0,-24.0,371.43,1564.29,31.71,205.26,-29.29,-72.1,-44.44,-15.52,127.14,84.62,20.0,22.45,-41.51,-101.67,-97.22,55.0,-58.06,1500.0,4300.0,-117.2,-89.74,-7.14,-93.18,50.0,-50.0,-88.46,-66.67,437.5,-100.0,1400.0,2200.0,74.07,,188.89,230.43,619.15,,145.38,231.58,-46.15,33.33,54.23,28.97,204.4
