,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,11.2,63.14,71.41,623.78,-54.32,-28.39,-58.57,-93.56,110.24,-37.77,10.4,145.13,35.35,80.1,49.55,-16.81,12.32,4.75,4.76,42.93,5.76,5.39,50.94,-19.18,-4.68,-0.47,-44.5,98.28,-16.66,93.98,2.4,-26.42,-1.37,-62.12,364.38,-48.98,-10.64,-23.95,-48.44,390.62,-7.65,11.99,-20.43,-81.92,23.11,26.55,-42.39,36.49,31.39,47.75,-12.27,-0.11
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,23.33,46.38,148.32,644.37,75.86,46.19,-63.39,-93.52,-19.17,-34.01,8.24,225.38,18.15,34.51,17.4,-38.65,10.43,-1.09,12.01,56.98,7.18,5.48,-14.65,-36.02,-9.97,0.28,-4.29,7.65,-16.2,100.05,-3.57,2.36,-4.78,-60.99,373.46,-28.04,-1.25,-14.5,-56.41,540.3,0.52,1.33,20.53,-90.28,-4.11,18.17,-52.16,119.57,-0.36,40.22,-2.03,-2.49
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,-5.69,84.95,-141.02,540.23,-291.23,-105.23,139.09,-93.74,106.35,-70.37,44.19,-246.47,401.92,428.26,427.4,253.59,21.8,31.42,-14.21,-17.87,-0.71,5.1,275.03,120.24,21.26,-3.04,-75.75,316.17,-18.32,72.34,20.71,-44.31,11.37,-66.78,342.1,-72.92,-40.65,-69.96,-27.53,-63.98,-51.13,159.74,-85.13,369.37,320.81,71.83,82.66,-56.4,110.49,75.73,-46.63,13.3
Pozostałe przychody operacyjne,,,,,260.43,-72.29,262.7,8640.57,-188.29,-75.64,-42.54,-32.98,133.17,-33.08,-136.48,-21.85,-105.74,-703.18,75.26,-79.15,-4500.45,171.0,-78.12,-231.73,154.15,6.75,-244.25,551.72,-270.57,-71.38,155.14,-165.59,119.26,383.56,-233.48,126.04,-78.82,-110.47,250.94,-542.47,2229.23,-679.76,-47.4,507.26,-90.86,57.7,35.05,-112.01,400.86,120.48,67.28,67.54,-110.4,-1157.68,-7.03,-461.55
Pozostałe koszty operacyjne,,,,,184.87,-58.32,96.4,2239.92,-82.74,-65.32,-90.13,-80.09,1488.89,15.91,-31.73,9.43,-88.76,96.96,736.62,-3.97,1342.58,115.11,-50.56,-54.12,-92.87,-87.09,-90.47,-25.46,401.4,126.54,1372.62,26.25,-58.91,-41.69,-58.04,205.07,186.23,52.42,88.44,-44.03,-55.28,-28.88,-11.25,11.89,128.75,-16.6,112.44,13.21,-52.27,43.54,-64.8,163.9,76.41,-107.25,116.64,-94.94
Zysk operacyjny (EBIT),,,,,327.15,-65.3,192.67,729.8,-202.05,-85.17,-36.26,-46.46,123.0,-56.49,-134.25,-42.13,-77.9,-1381.07,97.06,-73.49,-1402.68,159.85,-582.01,-226.25,167.74,43.38,-40.23,760.55,-222.46,-67.41,483.97,-72.12,135.56,339.63,-178.06,62.86,-53.38,-107.61,503.44,-231.86,603.05,-829.01,-38.41,517.96,-91.76,61.4,-39.74,-108.45,608.82,136.96,89.17,-61.55,-49.69,-578.35,-16.07,-36.95
Przychody finansowe,,,,,-67.33,79.82,-89.66,-212.74,244.79,-91.02,984.24,220.85,-98.28,107.07,-95.87,-45.35,148.17,55.11,64.23,-10.95,1993.57,-1375.04,-662.87,-254.56,-97.88,151.43,111.76,117.71,5077.34,-94.02,-1158.6,3265.96,-92.36,700.0,121.91,-93.18,-48.55,89.79,-232.15,810.55,218.84,41.83,33.85,-57.82,-30.53,12.84,-620.3,-47.53,-9.91,-48.61,149.35,156.37,162.9,382.73,-325.19,588.49
