,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
Period,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2
Przychody ze sprzedaży,3864.0,20858.0,26933.0,5097.0,6530.0,33322.0,17418.0,5378.0,6621.0,36866.0,20769.0,7811.0,7988.0,42180.0,22013.0,8525.0,10029.0,44510.0,16262.0,14008.0,12577.0,48389.0,26039.0,11848.0,12213.0,45989.0,27566.0,12976.0,13255.0,51996.0,20850.0,18138.0,12618.0,40871.0,29430.0,15903.0,17698.0,52153.0,36968.0,30683.0,28602.0,73059.0,47376.0,29526.0,27047.0,73427.0,49399.0,27399.0,24565.0,67218.0,42584.0,32768.0,34358.0,84646.0,64357.0,51283.0,45986.0,97729.0,74276.0,54937.0,58216.0,115154.0,79377.0,59130.0,61150.0,123150.0,100926.0,83931.0,83948.0,153000.0
Techniczny koszt wytworzenia produkcji sprzedanej,2683.0,14507.0,18588.0,3529.0,4764.0,22640.0,12262.0,3307.0,4198.0,23988.0,13306.0,4960.0,5375.0,26755.0,14223.0,5370.0,6610.0,30364.0,11168.0,9926.0,8955.0,35051.0,19500.0,8810.0,8559.0,32378.0,19229.0,9093.0,9215.0,37688.0,14688.0,12531.0,8868.0,29202.0,21484.0,11690.0,13267.0,38682.0,27829.0,23807.0,20553.0,53352.0,35099.0,22471.0,19393.0,53326.0,34748.0,18490.0,17269.0,50105.0,32383.0,25046.0,26579.0,67568.0,50983.0,41847.0,35792.0,75608.0,57246.0,42540.0,43862.0,89396.0,61936.0,46895.0,47519.0,97316.0,80249.0,64597.0,63161.0,113621.0
Koszty sprzedaży,918.0,3130.0,4269.0,1665.0,1527.0,5121.0,2737.0,3610.0,1968.0,6041.0,3715.0,2384.0,2087.0,5926.0,3490.0,2702.0,2805.0,8666.0,3649.0,4133.0,2862.0,7756.0,4307.0,3311.0,2772.0,7066.0,4270.0,3009.0,2877.0,7075.0,4219.0,4470.0,2970.0,6547.0,4783.0,3884.0,3652.0,7487.0,5155.0,3855.0,4215.0,8432.0,6371.0,2951.0,4236.0,8984.0,7278.0,4601.0,4410.0,8817.0,6193.0,5364.0,5117.0,10484.0,7623.0,6380.0,5856.0,9928.0,9009.0,6991.0,5416.0,7854.0,6596.0,5226.0,5612.0,9517.0,8140.0,7141.0,7413.0,12252.0
Koszty ogólnego zarządu,239.0,421.0,1297.0,327.0,370.0,541.0,476.0,827.0,541.0,807.0,1065.0,852.0,615.0,1265.0,923.0,1163.0,700.0,1163.0,993.0,849.0,1029.0,1249.0,1097.0,1190.0,1036.0,1380.0,1260.0,1253.0,1076.0,1850.0,1232.0,1302.0,1118.0,1465.0,1384.0,1103.0,1313.0,1673.0,1572.0,1673.0,1609.0,2671.0,2141.0,2149.0,1834.0,2834.0,2441.0,1931.0,1963.0,2788.0,2254.0,2251.0,2060.0,2922.0,2792.0,2851.0,2574.0,3537.0,3220.0,3307.0,4858.0,7233.0,5473.0,4953.0,5065.0,6609.0,6119.0,6582.0,6549.0,8900.0
Zysk ze sprzedaży,24.0,2800.0,2779.0,-424.0,-131.0,5020.0,1943.0,-2366.0,-86.0,6030.0,2683.0,-385.0,-89.0,8234.0,3377.0,-710.0,-86.0,4317.0,452.0,-900.0,-269.0,4333.0,1135.0,-1463.0,-154.0,5165.0,2807.0,-379.0,87.0,5383.0,711.0,-165.0,-338.0,3657.0,1779.0,-774.0,-534.0,4311.0,2412.0,1348.0,2225.0,8604.0,3765.0,1955.0,1584.0,8283.0,4932.0,2377.0,923.0,5508.0,1754.0,107.0,602.0,3672.0,2959.0,205.0,1764.0,8656.0,4801.0,2099.0,4080.0,10671.0,5372.0,2056.0,2954.0,9708.0,6418.0,5611.0,6825.0,18227.0
Pozostałe przychody operacyjne,94.0,14.0,1.0,24.0,3.0,12.0,16.0,30.0,0.0,17.0,8.0,25.0,11.0,0.0,32.0,17.0,0.0,0.0,7.0,7.0,3.0,70.0,11.0,16.0,4.0,27.0,32.0,67.0,0.0,16.0,2.0,41.0,1.0,7.0,-2.0,26.0,11.0,92.0,246.0,226.0,14.0,22.0,17.0,152.0,46.0,83.0,21.0,79.0,30.0,41.0,5.0,39.0,14.0,22.0,103.0,84.0,51.0,42.0,65.0,446.0,82.0,166.0,106.0,255.0,159.0,173.0,227.0,219.0,129.0,523.0
Pozostałe koszty operacyjne,38.0,115.0,17.0,58.0,0.0,632.0,50.0,251.0,69.0,40.0,110.0,588.0,6.0,211.0,132.0,88.0,108.0,157.0,106.0,89.0,30.0,288.0,275.0,313.0,74.0,761.0,195.0,353.0,180.0,231.0,102.0,337.0,62.0,426.0,431.0,933.0,103.0,381.0,396.0,1374.0,386.0,432.0,56.0,846.0,44.0,145.0,103.0,2103.0,93.0,337.0,257.0,686.0,78.0,295.0,359.0,586.0,130.0,548.0,330.0,495.0,82.0,183.0,211.0,650.0,89.0,265.0,154.0,499.0,62.0,273.0
Zysk operacyjny (EBIT),80.0,2699.0,2763.0,-458.0,-128.0,4400.0,1909.0,-2587.0,-155.0,6007.0,2581.0,-948.0,-84.0,8023.0,3277.0,-781.0,-194.0,4160.0,353.0,-982.0,-296.0,4115.0,871.0,-1760.0,-224.0,4431.0,2644.0,-665.0,-93.0,5168.0,611.0,-461.0,-399.0,3238.0,1346.0,-1681.0,-626.0,4022.0,2262.0,200.0,1853.0,8194.0,3726.0,1261.0,1586.0,8221.0,4850.0,353.0,860.0,5212.0,1502.0,-540.0,538.0,3399.0,2703.0,-297.0,1685.0,8150.0,4536.0,2050.0,4080.0,10654.0,5267.0,1661.0,3024.0,9616.0,6491.0,5331.0,6892.0,18477.0
Przychody finansowe,0.0,0.0,0.0,103.0,44.0,12.0,25.0,260.0,51.0,-49.0,43.0,239.0,3.0,60.0,7.0,238.0,1.0,211.0,145.0,0.0,132.0,33.0,58.0,208.0,31.0,35.0,25.0,345.0,0.0,80.0,98.0,301.0,6.0,51.0,191.0,-2.0,7.0,42.0,16.0,172.0,52.0,51.0,65.0,17.0,12.0,237.0,-174.0,-75.0,126.0,-42.0,1.0,106.0,24.0,88.0,-88.0,0.0,117.0,396.0,184.0,8.0,0.0,0.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
