,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Period,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-83.23,583.98,,6581.39,2729.62,96.71,17.28,24.12,412.96,180.85,166.41,51.9,42.19,94.44,92.91,142.36,169.68,110.53,94.75,107.3,2.32,-4.52
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-100.0,100.0,,,,,6.45,5.53,22.57,19.22,31.99,33.28,30.59,32.15,10.84,16.12,16.05,11.43,12.87,10.76,17.27,16.32
Koszty sprzedaży,,,,,-69.19,56.79,132.51,-42.24,98.32,-1.11,59.42,16.64,30.82,-81.97,-34.59,-71.63,23.75,177.48,14.93,340.39,-28.17,84.56,5.82,16.78,58.1,-49.49
Koszty ogólnego zarządu,,,,,137.49,-58.27,-40.84,-27.96,-31.95,120.93,21.63,-55.48,-33.71,70.1,-27.29,43.67,22.56,-57.13,28.35,-3.45,10.21,-21.11,-26.13,-30.48,-46.31,21.98
Zysk ze sprzedaży,,,,,-75.16,27.36,4.33,18.86,6.34,-83.11,-24.38,38.83,29.58,-2.81,26.75,-10.22,-20.79,40.24,-0.42,2.93,46.24,27.11,56.7,65.58,32.48,2.17
Pozostałe przychody operacyjne,,,,,157.2,-82.0,293.33,-44.06,-0.63,-66969.1,13.23,85.42,318.79,101.05,17.43,-73.72,-79.57,1258.02,-2.45,-89.29,-37.97,-39.63,52.01,-283.23,-80.4,-3.31
Pozostałe koszty operacyjne,,,,,-49.68,-78.81,686.65,747.64,825.07,-45.8,-22.8,-74.91,-94.32,-59.51,148.78,67.21,-616.39,224.07,-91.9,34.69,199.25,1871.61,4419.26,186.29,120.54,-90.35
Zysk operacyjny (EBIT),,,,,-72.5,39.24,5.82,16.48,4.41,-208.14,-24.23,42.67,41.6,43.72,26.89,-17.62,-40.88,48.07,1.65,0.9,45.17,-100.0,53.22,61.13,28.39,59.07
Przychody finansowe,,,,,,,-96.1,113.26,,-377.78,-27.94,29.79,-185.91,484.61,-76.08,-103.41,100.0,-100.0,-100.0,100.0,,,,,,
Koszty finansowe,,,,,-221.73,489.99,,-88.86,62.29,111.35,523.56,-590.43,-86.7,-65.8,79.37,-372.56,624.89,178.11,-36.76,219.41,301.49,-1736.14,-84.18,-90.06,-95.96,100.64
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-18.3,31.81,-34.97,37.26,-0.71,-213.82,-72.77,56.71,42.32,57.0,-10.23,62.56,-181.64,21.45,21.43,-693.65,-103.25,316.84,67.31,74.98,85.54,-130.27
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,-18.3,31.81,-34.97,37.26,-0.71,-213.82,-72.77,56.71,42.32,57.0,-10.23,62.56,-181.64,21.45,21.43,-693.65,-103.25,316.84,67.31,74.98,85.54,-130.27
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,0.67,27.73,-25.78,18.73,-32.4,-224.62,-81.11,64.99,52.58,45.52,-11.3,-9.99,-233.94,45.7,22.32,-213.06,-100.68,412.93,68.07,77.94,83.67,-128.91
Zysk netto akcjonariuszy jednostki dominującej,,,,,0.1,30.48,-25.38,19.98,-30.64,-234.5,-81.69,64.35,52.21,45.03,-11.3,-9.99,-233.94,45.7,22.32,-213.06,-100.68,412.93,68.07,77.94,83.67,-128.91
Aktywa trwałe,,,,,21.69,25.97,31.66,27.96,27.72,13.84,11.83,7.75,3.48,5.96,3.36,0.86,0.83,3.4,2.94,5.61,6.61,3.66,4.11,4.63,4.36,5.45
Wartości niematerialne i prawne,,,,,15.21,20.7,25.62,24.45,25.95,13.07,11.67,9.7,5.17,8.24,5.12,4.39,4.76,4.52,4.13,4.26,4.94,0.25,1.19,1.63,1.54,7.33
Rzeczowe składniki majątku trwałego,,,,,36.16,-0.71,-11.18,-21.65,258.04,263.28,83.08,-41.85,-84.25,-58.0,-20.46,107.03,-10.68,19.2,17.57,13.32,-10.83,7.29,5.38,125.37,321.91,0.69
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,0.64,-5.5,-1.67,-0.28,8.83,1.01,8.08,6.62,-3.36,-1.03,-4.32,-4.45,3.28,-7.41,-9.69,1.02,-11.38,8.42,2.71,6.88,5.86,-10.6
Pozostałe aktywa trwałe,,,,,445.69,261.94,314.89,95.46,25.96,2.15,8.87,-11.35,8.94,-9.08,-17.95,-50.86,-51.78,-19.92,-19.64,44.04,57.49,86.37,70.5,54.67,43.62,-18.64
Aktywa obrotowe,,,,,198.73,210.3,257.57,-2.75,-67.79,-53.25,-50.41,-40.04,43.69,83.0,89.55,111.0,-49.57,-42.12,-47.54,5.72,44.03,-38.71,-19.37,-8.58,-27.07,-22.99
