,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Period,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,13415.0,22458.0,27786.0,65517.0,36311.0,34649.0,35675.0,82692.0,6539.0,4139.0,54294.0,156261.0,9351.0,4175.0,211048.0,97860.0,71162.0,122067.0,17684.0,74946.0,97741.0,10337.0,26942.0,55973.0,12968.0,145713.0,39457.0,111709.0,39707.0,16816.0,86646.0,223569.0,57720.0,78069.0,79939.0,235580.0
Techniczny koszt wytworzenia produkcji sprzedanej,9580.0,17137.0,17453.0,41005.0,25011.0,24490.0,24587.0,54796.0,4280.0,2645.0,32796.0,93298.0,6019.0,2984.0,132912.0,65305.0,40236.0,81969.0,12401.0,52277.0,63387.0,8037.0,20058.0,45473.0,9664.0,89764.0,25829.0,71747.0,26067.0,12750.0,50027.0,142556.0,36070.0,49149.0,50720.0,145670.0
Koszty sprzedaży,945.0,-625.0,3555.0,1816.0,1835.0,1724.0,1661.0,2577.0,2093.0,3002.0,2596.0,3723.0,3019.0,2787.0,1524.0,2186.0,2117.0,2244.0,1548.0,2236.0,2416.0,1359.0,1873.0,3043.0,2557.0,3933.0,2720.0,4426.0,2183.0,2122.0,3023.0,5128.0,2999.0,3560.0,3663.0,6248.0
Koszty ogólnego zarządu,891.0,756.0,622.0,1252.0,1058.0,1063.0,1626.0,4095.0,2146.0,1680.0,1834.0,3388.0,2581.0,1472.0,1901.0,3181.0,2351.0,2025.0,2674.0,2669.0,2365.0,2279.0,2075.0,3045.0,2872.0,2699.0,2573.0,3389.0,2780.0,4148.0,2625.0,4012.0,3579.0,3325.0,3112.0,5288.0
Zysk ze sprzedaży,1999.0,5190.0,6156.0,21444.0,8407.0,7372.0,7801.0,21224.0,-1980.0,-3188.0,17068.0,55852.0,-2268.0,-3068.0,74711.0,27188.0,26458.0,35829.0,1061.0,17764.0,29573.0,-1338.0,2936.0,4412.0,-2125.0,49317.0,8335.0,32147.0,8677.0,-2204.0,30971.0,71873.0,15072.0,22035.0,22444.0,78374.0
Pozostałe przychody operacyjne,1363.0,3447.0,106.0,-650.0,66.0,858.0,96.0,2643.0,903.0,761.0,727.0,800.0,593.0,424.0,321.0,-949.0,184.0,147.0,215.0,-24.0,48.0,64.0,41.0,97.0,29.0,98.0,74.0,191.0,373.0,189.0,85.0,50.0,79.0,55.0,74.0,34493.0
Pozostałe koszty operacyjne,76.0,1243.0,140.0,-834.0,71.0,189.0,104.0,13850.0,254.0,1076.0,269.0,-85.0,200.0,306.0,191.0,87.0,216.0,158.0,240.0,68.0,101.0,215.0,80.0,123.0,76.0,145.0,28.0,141.0,54.0,108.0,16.0,32.0,66.0,47.0,111.0,880.0
Zysk operacyjny (EBIT),3286.0,7394.0,6122.0,21628.0,8402.0,8041.0,7793.0,10017.0,-1331.0,-3503.0,17526.0,56737.0,-1875.0,-2950.0,74841.0,26152.0,26426.0,35818.0,1036.0,17672.0,29520.0,-1489.0,2897.0,4386.0,-2172.0,49270.0,8381.0,32197.0,8996.0,-2123.0,31040.0,71891.0,15085.0,22043.0,22407.0,111987.0
Przychody finansowe,243.0,240.0,72.0,61.0,407.0,63.0,468.0,-2.0,211.0,312.0,193.0,525.0,389.0,349.0,416.0,571.0,601.0,508.0,317.0,440.0,244.0,85.0,8.0,39.0,256.0,151.0,-3.0,-212.0,7.0,24.0,1.0,974.0,200.0,100.0,432.0,2054.0
