,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Period,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,18.18,-21.96,45.12,-21.19,52.85,72.71,-29.24,52.01,-6.95,-7.35,98.94,-19.64,12.44,-11.29,-36.25,-68.98,-35.21,65.84,-16.44,79.47,-68.57,-95.15,-96.5,-95.95,-91.89,-70.56,-31.02,-14.14,-21.67,-28.82,2700.9,119.44,204.93,1313.73,38.24,-30.38,-75.29,-76.46,-95.26,-116.1,-83.45,-88.34,-97.25,2056.45,22321.98,12247.2,78257.14,-56.47,-71.56,-96.95,-98.28,-41.57,-99.97
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,5.65,-22.13,54.43,5.08,19.63,89.13,-26.77,62.13,11.05,-3.77,85.26,-9.39,9.89,-3.98,-22.39,-20.46,-33.04,41.37,-20.46,-41.71,-69.88,-96.09,-100.15,-96.34,-98.19,-97.2,129.41,-99.35,-100.0,113.16,127760.0,20133.33,,6900.0,32.48,-15.49,-890.8,-73.23,-94.82,-92.2,72.99,-91.11,-96.58,5700.0,3198.5,14072.59,59066.67,-50.95,-95.0,-97.89,-98.78,-74.69,-77.87
Koszty sprzedaży,,,,,,14.08,28.38,-33.33,1026.92,59.26,-235.79,-100.0,169.28,-100.0,325.58,,-53.74,,502.41,850.52,428.77,-19.89,-0.17,-20.61,-20.16,-98.69,-96.34,-99.52,-103.24,5.26,-26.56,542.86,8398.0,245.0,919.15,346.67,-95.28,1488.41,208.14,470.65,617.35,11.41,-19.38,-28.6,-11.59,-88.45,-88.74,-87.55,-123.01,-98.58,-100.0,-100.0,100.0,-100.0,,,
Koszty ogólnego zarządu,,,,,,17.57,-15.21,-79.83,140.27,35.99,81.17,26.62,17.73,31.16,1.77,15.98,41.67,-90.96,-87.27,-91.63,-93.83,37.2,3.3,-83.33,148.52,347.11,668.04,2092.0,57.14,-0.8,-34.42,48.18,-520.76,27.56,-31.28,8.25,190.24,-98.66,-98.81,-100.0,-100.0,-11.76,855.56,,,4940.0,718.6,963.93,2250.6,64.15,85.09,58.86,-56.19,-40.05,-36.91,-2.33,-5.75
Zysk ze sprzedaży,,,,,261.1,-32.35,3.97,-53.87,124.66,-14.86,-88.42,-47.79,-86.23,-80.35,1406.25,-503.42,89.97,-620.98,-170.65,-388.45,-78.26,331.9,43.3,102.4,-211.15,-109.02,47.87,-214.97,120.51,-18.25,33.33,17.21,-568.61,-113.11,356.62,-63.2,-13.08,9.13,100.26,-53.18,254.41,-49.89,-136.5,-17.3,-147.73,36.56,25.86,38.22,540.93,42.94,443.69,-72.56,77.79,-9.05,-122.9,39.08,-122.37
Pozostałe przychody operacyjne,,,,,439.23,-31.52,12059.32,-59.52,89.9,1235.99,-137.82,-136.39,-102.77,-95.26,164.87,1912.93,671.8,98.36,-20.74,967.35,-113.68,114.33,709.68,-98.3,1841.83,228.15,-56.24,131.61,-69.75,57.93,-94.32,-46.83,-175.73,-92.71,-77.94,-100.34,195.06,-93.2,5795.16,79200.0,230.29,12850.0,-45.91,-82.49,-89.37,-24.79,-158.02,665.7,592.42,-85.88,103.23,-99.86,-52.66,-32.73,-94.59,312700.0,-13.99
Pozostałe koszty operacyjne,,,,,773.34,28.85,7566.25,-74.35,135.98,1392.91,-144.35,-313.2,-93.71,-86.63,175.63,211.67,-28.18,-59.44,14.54,4312.15,1133.76,58.99,-96.99,-96.06,-23.16,-35.36,40588.73,-49.51,-52.57,527.35,-99.36,-39.56,-69.36,-87.92,-142.39,-74.7,22.65,386.98,316.67,-244.44,34.13,-51.03,1008.28,123.08,-14.9,-81.39,-98.67,-23.81,72.37,929.33,2328.0,37.5,-68.33,-97.41,-91.6,1713.64,-46.27
Zysk operacyjny (EBIT),,,,,279.62,-35.93,48.8,-51.0,73.97,-21.99,-91.64,-38.2,-94.7,-99.13,1269.83,-193.23,777.23,-11873.33,-199.63,-688.6,-270.4,375.59,335.62,100.54,64.82,-60.35,-361.99,564.29,45.04,11.92,97.96,-103.23,-80.91,-140.88,433.33,-7077.78,61.25,-94.68,289.94,221.21,387.95,147.35,-115.61,-200.64,-152.92,23.1,-95.53,285.28,286.69,-199.2,215.16,-177.53,84.32,62.07,-130.64,833.83,-110.32
Przychody finansowe,,,,,178.85,-58.62,183.33,2685.71,-4.88,591.67,182.35,-95.38,87.18,-92.77,135.42,-1211.11,-94.52,-83.33,-99.12,104.0,1725.0,200.0,19600.0,6850.0,-15.07,500.0,-52.79,-92.81,-101.61,-77.78,-100.0,120.0,-2800.0,0.0,,-95.45,106.9,200.0,133.33,4250.0,-1100.0,33.33,5307.14,-85.06,195.0,18.75,-99.41,100.0,-10.53,10342.11,922.22,353.85,458.82,-96.88,-59.78,7067.8,-601.05
Koszty finansowe,,,,,501.89,666.67,584.67,465.15,107.37,48.79,45.52,39.23,5.74,25.24,10.26,-22.91,5.72,-31.82,1.13,287.93,-251.72,-31.46,-62.35,-89.07,209.49,-14.42,140.84,159.72,-44.93,88.98,-29.2,-30.48,-78.86,-84.99,223.13,-4.35,793.01,562.86,-59.11,63.48,-75.14,-59.91,-85.44,-92.0,-77.64,-73.33,-37.77,-5.22,-13.38,225.81,-47.01,-40.37,-77.24,-92.57,-64.52,-66.15,17.86
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,100.0,,-100.0,,,,,,,,,,,,,,,,,,,,,100.0,100.0,-200.0,0.0,,,100.0,100.0,,,,,,,,
Zysk z działalności gospodarczej,,,,,247.34,-58.58,16.38,-76.02,67.87,-58.61,-139.2,-161.06,-113.33,-362.87,312.62,-371.6,404.22,-85.09,-355.27,-444.07,-247.95,247.28,264.23,98.48,-14.42,-67.92,-386.93,-441.27,44.23,-25.02,94.32,13.59,1.66,-205.61,1.95,-72.29,-34.34,-177.23,462.34,59.16,151.98,112.49,-94.37,-69.61,-184.11,145.75,-813.8,230.52,257.33,-34.67,210.71,-178.36,95.49,-158.87,-129.61,1651.71,-121.25
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,247.34,-58.58,16.38,-76.02,67.87,-58.61,-139.2,-161.06,-113.33,-362.87,312.62,-371.6,404.22,-85.09,-355.27,-444.07,-247.95,247.28,264.23,98.48,-14.42,-67.92,-386.93,-441.27,44.23,-25.02,94.32,13.59,1.66,-205.61,1.95,-72.29,-34.34,-177.23,462.34,59.16,151.98,112.49,-94.37,-69.61,-184.11,145.75,-813.8,230.52,257.33,-34.67,210.71,-178.36,95.49,-158.87,-129.61,1651.71,-121.25
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,340.56,-58.59,33.46,-86.38,-28.64,-60.46,-140.69,-182.15,-117.96,-351.12,284.86,-502.68,276.98,-152.18,-391.43,-502.52,-334.53,239.09,220.52,99.92,12.52,-69.26,-518.71,-9330.0,-57.02,-11.29,93.61,7.0,55.54,-199.54,-20.88,-81.07,-51.94,-173.3,373.67,59.01,161.82,109.16,-93.24,-52.07,-160.83,234.7,-668.88,245.86,301.39,-24.19,191.4,-177.42,38.7,-152.5,-142.94,1595.62,-124.2
Zysk netto akcjonariuszy jednostki dominującej,,,,,340.56,-58.59,33.46,-86.38,-28.64,-60.46,-140.69,-182.15,-117.96,-351.12,284.86,-502.68,276.98,-152.18,-391.43,-502.52,-334.53,239.09,220.52,99.92,12.52,-69.26,-518.71,-9330.0,-57.02,-11.29,93.61,7.0,55.54,-199.54,-20.88,-81.07,-51.94,-173.3,373.67,59.01,161.82,109.16,-93.24,-52.07,-160.83,234.7,-668.88,245.86,301.39,-24.19,191.4,-177.42,38.7,-152.5,-142.94,1595.62,-124.2
Aktywa trwałe,,,,,1302.41,1448.62,1451.91,1286.3,16.74,8.47,19.01,20.27,3.98,14.43,0.69,1.16,-0.15,-2.71,-6.69,-28.97,-43.46,-42.23,-22.26,8.96,50.63,45.11,57.7,47.45,21.9,24.32,-8.55,-10.14,-6.02,-7.15,-8.72,-8.31,-30.28,-30.03,-27.68,-30.84,-23.18,-29.31,-35.07,-32.47,-17.12,-9.71,-29.39,-28.29,-91.84,-91.62,-87.42,-88.15,-10.47,23.28,9.29,10.35,7.37
Wartości niematerialne i prawne,,,,,-19.78,-21.18,-22.31,-1.75,1.4,8.96,944.15,766.07,779.36,721.0,-32.04,-31.75,-33.07,-28.92,-5.55,-4.15,0.47,-9.78,-8.89,-9.93,-13.89,-4.94,-4.01,-3.67,-20.72,-4.65,-25.14,-25.07,-25.0,-36.84,-33.33,-40.0,-33.33,-41.67,-40.0,-44.44,-50.0,-57.14,-66.67,-80.0,-100.0,-100.0,-100.0,-100.0,,,,,-54.55,-55.56,-75.0,-83.33,-100.0
Rzeczowe składniki majątku trwałego,,,,,-6.85,-1.36,0.42,2.12,7.81,3.77,220.56,224.74,193.28,196.81,-2.22,-8.32,-9.95,-11.44,-7.38,-8.28,-9.8,-10.99,-17.41,-21.01,-27.65,-28.59,-31.15,-30.58,-24.6,-24.65,-16.17,-17.04,-17.98,-19.01,-27.06,-26.51,-25.46,-27.57,-21.4,-4.55,-9.78,-4.79,-17.25,-36.13,-43.58,-49.34,-44.09,-32.62,-20.05,-12.55,-15.71,-24.48,-25.96,-27.76,-29.83,-42.86,-45.62
Należności długoterminowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,20447.64,20351.17,13817.25,13769.65,10.21,10.21,9.91,10.29,1.65,2.36,2.5,4.29,2.95,2.2,-7.42,-34.09,-52.34,-52.26,-22.46,17.93,79.86,79.86,60.98,47.66,29.19,29.02,-1.89,-4.89,-6.13,-7.23,-7.48,-5.83,-29.7,-29.09,-27.78,-33.0,-24.26,-32.16,-36.37,-31.28,-15.1,-5.01,-29.38,-29.35,-98.98,-98.98,-96.13,-96.13,169.17,500.42,125.39,127.71,72.29
Pozostałe aktywa trwałe,,,,,72.12,132.02,155.31,34.63,241.38,-40.74,-89.47,-79.52,-93.96,81.07,-27.39,-100.0,-100.0,-100.0,329.82,,,,-92.86,-100.0,-60.27,-98.85,10377.14,,-100.0,-100.0,827.82,-80.86,,,-100.0,-100.0,-100.0,-100.0,,,,,,-62.89,-10.03,-67.22,53.02,98.11,318.08,358.98,108.71,76.76,-40.02,-46.04,-41.65,-39.44,-15.34
Aktywa obrotowe,,,,,71.36,87.84,58.87,29.82,3.4,12.43,36.46,29.26,31.55,21.93,-2.16,-8.89,-15.23,-13.07,-2.67,-25.68,-15.28,-26.31,-26.78,-22.81,-42.56,-27.67,-67.61,-60.54,-46.84,-48.13,15.09,26.84,36.34,51.71,27.31,27.98,23.35,-13.96,-35.74,-41.63,-42.92,-29.27,5.06,18.1,21.36,31.55,64.42,46.2,67.37,12.18,-48.44,-57.0,-62.32,-55.3,-23.16,-21.5,-23.75
Zapasy,,,,,61.22,100.17,83.63,77.21,21.63,3.49,41.8,34.15,42.04,46.09,-14.87,-21.67,-29.59,-26.66,-4.23,-7.78,18.98,-10.56,-20.9,-20.67,-37.39,-15.27,-60.7,-58.26,-47.34,-47.56,18.39,32.19,40.7,53.93,16.7,12.15,2.57,-20.83,-43.61,-49.26,-46.83,-40.94,12.29,29.47,35.81,60.83,67.02,60.76,57.62,-6.47,-64.62,-71.09,-66.47,-50.14,16.26,27.29,9.62
Należności krótkoterminowe,,,,,123.38,83.35,47.86,-5.35,-8.25,43.31,32.2,11.48,-11.64,-16.2,29.38,3.66,50.21,19.12,-28.9,-40.66,-57.03,-52.56,-10.08,-28.08,-59.48,-43.3,-82.55,-68.12,-40.77,-53.22,2.57,-29.88,-0.84,9.39,20.33,33.34,-24.99,-40.14,-45.53,9.87,32.06,56.87,-27.95,-60.13,-69.61,-68.52,300.0,169.55,599.7,142.29,-68.94,-70.45,-89.38,-77.12,-65.82,-48.95,-59.94
Inwestycje krótkoterminowe,,,,,1.77,143.77,11.3,-67.69,-37.71,-20.69,-71.83,-54.73,98.48,-51.49,-17.68,15.43,-79.17,-97.27,569.02,18.11,-75.02,7913.11,-12.06,-16.59,29.72,-83.49,-76.76,-84.17,-73.23,-15.24,-16.67,808.93,275.96,283.33,512.81,356.91,1310.1,153.24,38.88,-33.52,-51.93,-14.5,-1.99,53.0,39.56,20.05,-33.48,-36.68,8.04,70.3,148.24,80.46,-7.98,-60.92,-64.76,-85.66,-85.96
