,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,,,,,79.8,58.9,99.1,66.17,17.41,39.4,16.2,23.04,13.73,12.83,0.48,-4.0,-8.16,-18.73,-5.8,4.67,13.97,18.76,20.24,-27.29,-1.39,-0.34,-7.41,43.73,6.12,4.26,12.7,10.0,6.8,11.27,26.33,36.61,35.44,42.31,14.46,46.55,20.02,1.74,23.13,-13.08,14.87,26.32,18.97,25.06,15.78,18.38,2.28,7.81,6.47,1.6,7.62,-1.28,6.74
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,132.63,128.67,188.66,116.26,22.39,22.0,13.58,14.22,8.86,10.77,2.96,-6.83,-22.79,-17.29,-14.39,-25.95,1.74,56.98,29.49,15.6,42.58,-16.48,3.8,52.57,11.66,5.57,6.66,-0.29,2.92,12.0,35.33,41.55,38.82,45.38,16.7,54.14,18.87,7.67,17.68,-24.17,5.77,5.72,9.21,16.73,10.56,31.22,2.52,14.75,8.33,-1.52,12.35,-2.07,-4.04
Koszty sprzedaży,,,,,38.65,-69.33,49.67,1.34,-66.67,16.67,25.33,-16.5,102.34,218.75,5.23,84.58,109.25,50.7,143.71,801.93,146.27,-431.41,-100.0,-100.0,-100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,-9.79,5.34,-14.06,-73.48,-20.38,-42.3,-30.32,264.89,29.87,56.72,8.12,14.43,82.65,20.63,-34.61,30.7,17.82,-217.95,-100.0,-100.0,-100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,9.46,-71.43,-3.49,18.07,25.68,729.94,57.25,37.47,29.35,4.9,-12.31,-3.22,17.0,-42.47,34.79,50.26,29.18,77.49,25.38,-47.24,-29.59,-7.85,-44.24,0.35,-19.25,-1.07,49.65,86.79,31.4,8.11,-12.94,16.94,18.72,28.53,-0.72,9.98,26.69,-28.51,66.51,61.85,64.35,184.43,73.99,51.39,34.03,-18.2,1.43,-9.13,1.09,15.87,-9.28,1.15,40.06
Pozostałe przychody operacyjne,,,,,80.0,-99.6,-70.0,-46.93,-33.33,0.0,15400.0,-516.84,400.0,-500.0,-88.17,945.96,121593.33,1825.0,452.73,-1191.1,-99.95,315.94,-55.59,99.55,-400.0,-81.53,753.33,490.3,-355.0,-109.43,-142.36,81.06,230.4,548700.0,125.41,-927.02,5.06,-99.89,-45.97,112.42,-31.02,-240.0,-301.49,-77.8,-93.41,130.95,120.74,-92.11,76.47,384.62,1457.14,333.33,3410.0,-1714.29,-99.08,1927.47,-78.82
Pozostałe koszty operacyjne,,,,,,33.33,2600.0,-37.01,-96.43,970.0,2624.0,431.96,3800.0,154.21,-57.86,140.5,1420.51,59.01,335.19,113.38,172.85,-47.4,23.22,-122.17,-91.9,0.0,-88.37,212.1,284.73,22.64,46.37,-112.46,54.76,-78.67,-86.26,56.1,31.92,-626.05,4252.78,3644.44,104.96,-56.23,-82.07,-131.97,92.79,113.29,341.64,-82.11,-49.78,1219.23,249.72,-453.43,-41.48,-56.33,-86.41,54.16,23.93
Zysk operacyjny (EBIT),,,,,8.51,-74.67,-4.58,17.01,26.72,721.8,50.89,11.35,28.91,-0.91,-13.3,73.97,804.67,-51.17,17.86,-578.08,-87.13,123.59,20.4,112.71,-12.0,-11.94,-11.11,-10.33,-32.58,-4.18,2.82,121.48,50.35,556.2,2.35,-119.09,15.52,-74.52,-32.73,665.36,8.02,-23.02,128.94,70.97,47.31,142.04,67.58,49.68,73.26,-28.01,-19.46,6.48,13.63,17.17,19.41,-1.03,33.89
Przychody finansowe,,,,,700.0,18300.0,8300.0,-78.44,1031.25,-33.15,-92.46,-84.72,41.44,-9.76,-1573.68,184.78,-80.08,-41.44,135.71,-77.86,19.61,29.23,-54.0,-62.07,-13.11,-35.71,-65.22,63.64,-67.92,-81.48,-50.0,-55.56,-58.82,-10.0,-100.0,-100.0,-100.0,-100.0,,,,,,4.55,320.0,200.0,173.77,578.26,35.71,17.01,-122.16,26.6,-39.47,-13.95,1597.3,-83.29,487.68
Koszty finansowe,,,,,161.9,86.27,404.76,-70.99,247.27,-158.42,453.12,197.87,-80.37,71.17,-33.05,574.29,706.67,331.25,501.69,-259.96,-95.04,-63.51,-96.84,99.14,-86.67,77.78,431.11,2169.23,5850.0,366.67,8.79,83.64,13.45,170.98,158.08,72.87,179.63,15.16,6.41,-17.33,17.48,-20.17,-69.33,-18.27,-58.06,-37.46,31.51,-49.57,-10.22,-12.61,8.68,21.99,9.28,68.2,-19.81,83.66,-4.11
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,6.51,-73.91,0.9,-11.26,23.68,763.89,30.56,1.26,42.1,-2.44,-19.0,56.8,749.7,-45.24,-4.41,-617.67,-86.75,96.2,72.33,113.42,-11.59,-12.67,-15.34,-16.94,-37.96,-8.31,2.32,123.52,52.71,572.73,-6.64,-131.47,5.43,-76.19,-38.86,437.27,7.36,-22.65,185.27,78.37,67.92,159.07,69.51,55.32,76.17,-27.93,-21.45,6.56,12.92,15.31,26.65,-3.64,38.41
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,6.51,-73.91,0.9,-11.26,23.68,763.89,30.56,1.26,42.1,-2.44,-19.0,56.8,749.7,-45.24,-4.41,-617.67,-86.75,96.2,72.33,113.42,-11.59,-12.67,-15.34,-16.94,-37.96,-8.31,2.32,123.52,52.71,572.73,-6.64,-131.47,5.43,-76.19,-38.86,437.27,7.36,-22.65,185.27,78.37,67.92,159.07,69.51,55.32,76.17,-27.93,-21.45,6.56,12.92,15.31,26.65,-3.64,38.41
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,100.0,-100.0,-195.31,,,,100.68,-100.0,,100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,8.45,-70.51,-2.31,-22.3,17.85,734.04,34.57,-12.73,52.65,11.99,-9.1,120.6,833.47,-51.42,-74.16,-640.19,-88.6,95.3,497.47,105.76,14.99,-17.37,-27.5,43.51,-57.98,-3.13,9.56,135.32,43.89,704.33,-18.59,-143.64,20.24,-80.24,-42.07,354.4,10.0,-19.49,243.16,79.66,51.31,152.29,80.65,55.05,99.89,-32.72,-38.99,6.51,5.96,17.97,30.58,-0.86,39.05
Zysk netto akcjonariuszy jednostki dominującej,,,,,12.04,-66.82,-1.06,-25.05,18.49,640.91,28.64,-4.33,53.83,15.7,-1.04,122.38,774.39,-43.57,-80.91,-614.24,-88.31,64.52,680.33,106.5,13.56,-18.24,-28.69,29.1,-57.68,-3.11,9.56,135.32,43.89,704.33,-10.78,-143.68,20.68,-81.65,-33.87,353.28,9.57,-13.22,174.41,80.17,51.34,152.0,80.56,55.18,99.89,-32.72,-38.99,6.51,5.96,17.97,30.58,-0.86,39.05
Aktywa trwałe,,,,,46.94,63.31,52.35,105.32,94.37,54.91,50.46,-0.66,-2.28,-5.68,-5.93,104.64,150.41,160.25,158.64,-41.2,-49.51,-51.08,-50.77,0.43,35.02,83.83,85.02,87.82,42.16,3.35,3.78,2.02,0.67,80.51,81.74,88.54,90.84,3.62,1.55,-4.18,-7.83,-5.48,-3.85,-1.92,-2.06,-4.75,-6.4,-1.68,-1.99,0.0,4.92,-0.94,2.9,16.84,15.12,17.43,14.82
Wartości niematerialne i prawne,,,,,38.78,16.59,9.85,90.88,84.21,96.41,91.49,-1.89,-2.48,-9.63,-7.74,120.57,51.49,52.24,48.68,-46.41,-17.86,-15.7,-13.63,3.59,32.69,101.9,99.17,119.79,73.68,12.44,5.16,-4.5,-6.1,86.45,101.74,109.53,106.4,0.13,-0.66,-8.01,-8.0,-5.39,-3.59,0.02,-0.61,-2.74,-5.79,-2.28,-41.88,-0.76,-10.39,-0.54,73.47,16.18,30.49,14.15,11.12
