,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3
Przychody ze sprzedaży,,,,,-31.35,-41.06,-3.14,-33.83,127.47,74.88,9.38,111.07,140.35,-29.81,-19.01,-55.31,-88.23,-36.77,9.51,-19.78,59.3,20.73,44.76,17.55,-11.16,5.17,-29.08,1.33,-10.46,-21.42,-35.11,80.49,2.51,228.69,50.69,-45.64,28.93,-42.02,-8.03,24.79,19.11,-14.78,51.55,-12.58,46.77,67.17,-7.42,-24.28,8.78,13.4,15.6,150.24,-20.73,-18.01,-44.79,-46.53,-20.45,-25.15,12.25,2.94,8.53,-24.18,28.82,5.54,9.65,73.4,-6.67,70.01,13.9,-14.91,72.18,-16.58,55.18,21.73,8.27
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-34.41,-43.15,-1.91,-43.57,139.47,85.66,11.33,124.61,146.25,-31.56,-16.83,-60.19,-88.91,-44.35,5.15,-8.15,58.45,40.4,56.65,15.65,-18.35,-6.18,-33.74,0.54,-15.11,-17.62,-36.78,75.65,10.26,249.43,56.99,-48.96,35.82,-43.79,-9.15,41.75,19.35,-15.61,59.79,-17.4,52.47,70.43,-8.24,-27.48,4.61,15.04,14.12,165.36,-22.22,-18.57,-47.06,-55.47,-21.49,-25.87,17.51,1.6,7.63,-25.33,28.98,42.69,19.4,73.75,-6.34,55.66,8.33,-12.49,71.97,-24.67,57.96,13.99,9.27
Koszty sprzedaży,,,,,101.62,-40.6,-29.07,14.54,-29.45,57.18,74.28,0.82,22.93,15.22,-16.76,-1.29,-4.33,0.32,2.77,-25.85,-21.39,-20.96,-5.66,25.57,-9.11,-11.48,-25.9,-9.53,6.76,-16.35,-9.19,-24.58,-12.03,29.97,-3.04,22.67,-14.59,-19.79,2.12,0.25,18.08,-6.18,9.08,-14.96,32.97,46.91,41.09,101.75,27.04,11.12,-9.61,-14.44,-16.87,6.53,17.93,-1.48,14.23,4.88,1.7,-0.09,-13.43,-21.3,3.6,-1.55,15.93,27.45,5.25,32.77,19.19,23.04,52.97,47.39,39.43,7.29,-8.17
Koszty ogólnego zarządu,,,,,31.97,2.89,-2.06,-12.07,8.65,-2.92,22.66,21.98,30.94,40.16,13.21,6.88,-9.64,-10.32,-6.36,7.7,-7.12,14.27,12.26,0.18,-15.11,-18.37,-13.0,-18.25,28.54,-8.39,16.18,64.42,-23.81,9.48,6.07,7.59,15.69,-24.7,-20.45,-32.85,-0.54,10.72,12.28,2.98,-3.68,26.56,-15.55,-15.81,57.19,9.14,100.45,-5.9,35.6,-2.39,-50.33,36.6,-54.77,-1.75,18.05,2.42,-2.56,-19.52,-3.61,13.04,36.96,17.28,50.64,39.37,62.97,115.68,38.98,-17.54,-39.92,-15.63,-14.16
Zysk ze sprzedaży,,,,,-765.85,383.05,5.2,108.48,127.99,-403.59,-51.3,625.84,438.48,-177.91,-97.41,-59.06,-200.53,58.69,4178.79,-349.72,66.92,-214.6,-68.77,5.75,172.95,127.69,339.68,42.01,-13.63,-177.12,-58.48,290.17,-66.13,378.01,75.4,-106.55,3.42,-26.59,13.46,-1027.78,123.18,-30.2,-11.67,87.98,-73.89,60.86,-31.59,-1066.39,469.32,-39.73,47.0,153.83,-108.18,-116.48,-59.38,63.05,373.17,-847.19,-148.1,23.14,727.68,42.23,291.73,-311.9,-239.59,211.09,-190.43,53.02,35.16,-594.09,148.13,47.22,126.46,107.18,264.66
Pozostałe przychody operacyjne,,,,,-23.98,-49.38,-11.59,-65.74,-42.25,58.54,50.49,141.89,70.37,23.08,23.55,-284.92,27.17,-141.25,-90.86,120.09,-60.68,143.94,1420.0,-375.94,48.91,-96.55,-78.38,105.99,-82.48,4200.0,-72.17,54.55,-4.17,-40.7,137.5,167.65,65.22,-31.37,-42.11,326.37,-44.74,17.14,-2.27,-92.53,71.43,-26.83,4.65,20.69,-11.11,103.33,-13.33,-11.43,-6.25,-31.15,-251.28,722.58,-46.67,-23.81,132.2,-57.65,0.0,28.12,15.79,16.67,11337.5,363.41,3936.36,975.4,-50.22,425.26,7.09,-21.55,-2.74,-59.02,-55.42
Pozostałe koszty operacyjne,,,,,-53.76,38.46,20.0,-49.32,-72.09,25.93,-94.44,189.19,3991.67,-413.24,1300.0,-131.78,-100.0,271.6,-1312.5,379.41,,-98.5,107.95,-122.11,69.23,372.73,218.52,-980.95,-98.86,65.38,-99.42,178.41,200.0,-76.74,100.0,-101.12,-100.0,370.0,650.0,450.0,,-68.09,-100.0,1400.0,100.0,30.0,,-68.57,2300.0,-97.44,366.67,-15.15,-100.0,18700.0,285.71,139.29,,-81.91,-50.0,-14.93,-96.15,-38.24,-29.63,1277.19,0.0,166.67,52.63,-96.05,1500.0,-71.43,468.97,238.71,-93.75,100.0,-74.55
Zysk operacyjny (EBIT),,,,,-441.06,19.25,3.39,116.62,139.15,-271.75,-42.53,433.91,266.11,-73.11,-77.19,-106.42,-204.8,-117.95,490.56,-1195.96,64.89,-23.46,-56.77,-24.01,185.09,125.62,104.79,70.27,-17.15,-185.56,-55.58,359.83,-63.44,385.93,77.75,-99.76,13.86,-33.9,9.76,-21233.33,88.36,-23.14,-10.61,68.77,-66.29,56.16,-30.73,-617.68,264.17,-32.36,43.37,154.12,-102.52,-139.17,-67.89,86.87,1027.27,-259.57,-161.51,10.58,823.53,44.73,287.41,-346.57,-43.21,244.54,-29.66,94.72,-89.53,-350.52,170.03,172.46,1876.79,133.65,20.63
Przychody finansowe,,,,,-24.21,10.53,-19.72,-56.25,-47.22,-41.67,-8.77,16.33,31.58,-10.2,23.08,71.93,-30.0,2.27,-78.12,-56.12,17.14,162.22,-314.29,100.0,-95.12,-32.2,213.33,48.84,2500.0,92.5,-2.94,-56.25,44.23,10.39,245.45,132.14,81.33,-44.71,-6.14,-40.0,-30.88,97.87,-145.79,52.56,-39.36,-31.72,185.71,-78.15,-78.95,-27.56,111.9,-69.23,-16.67,-96.74,-100.0,25.0,-50.0,733.33,,1270.0,100.0,-88.0,-83.33,-73.72,-100.0,-100.0,2700.0,1233.33,,,-771.43,-77.08,5.77,-98.25,110.64
Koszty finansowe,,,,,107.5,-24.73,29.17,-14.17,22.89,20.0,-6.45,-1.83,114.71,107.14,-25.86,33.64,-14.61,-193.1,926.74,67.13,-60.43,166.67,-78.6,-34.73,22.97,169.44,-51.85,-34.62,-43.96,-74.57,-42.86,-46.08,7.84,2.7,25.0,20.0,-9.09,-22.37,-44.62,-36.36,-10.0,-28.81,136.11,-9.52,26.67,569.05,-291.76,105.26,-1.75,-86.12,122.7,37.18,-64.29,269.23,-16.22,-67.29,90.0,-88.19,9.68,-134.29,142.11,-152.94,-152.94,4966.67,8.7,522.22,377.78,-87.67,18.0,447.37,-10.0,94.44,153.39,-116.35,420.0
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk z działalności gospodarczej,,,,,-398.31,39.41,1.82,113.06,133.6,-276.37,-43.49,551.97,281.88,-89.71,-77.68,-109.65,-225.62,-56.12,271.89,-927.08,65.91,-43.3,-44.31,-12.31,167.8,113.87,160.71,73.09,-0.87,-226.42,-55.23,375.17,-59.12,489.71,87.88,-94.55,47.85,-36.14,10.88,-992.54,47.27,-8.01,-22.21,80.43,-70.37,2.95,-8.23,-1158.97,227.5,-10.91,23.46,145.49,-105.34,-157.58,-71.07,110.75,428.57,-122.61,-172.35,23.09,1146.38,45.64,276.75,-356.96,-49.42,240.0,-36.04,104.5,-102.3,-353.22,121.13,-40.3,8730.0,137.69,29.17
