,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,-17.45,-44.65,82.97,-14.45,-58.99,-30.15,-76.79,-65.1,-4.8,-39.14,49.27,-53.07,-3.45,-12.74,-16.39,167.35,18.43,33.6,27.18,20.0,1.16,13.83,2.48,10.42,10.85,2.29,-2.72,-10.96,43.04,-1.34,-6.97,-6.08,-84.88,75.82,678.98,-52.38,332.74,-46.79,-86.9,105.26,-1.57,3.94,-1.56,10.98,9.7,11.5,6.7,-54.22,-51.93,-99.54,350.47,-100.0
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,-23.91,-69.82,580.87,-63.01,-72.65,113.14,-86.27,813.32,130.79,-48.18,4.28,-113.86,-85.26,-85.6,-84.9,182.69,-2.46,-31.88,39.83,-5.26,3.24,32.77,2.3,-89.84,65.51,-6.09,-15.72,128.65,233.37,7.0,-6.75,-28.61,-97.06,103.03,429.9,-30.79,1140.86,-12.8,-79.87,46.89,-58.58,-29.19,25.54,243.65,-17.36,-145.04,-47.65,109.19,592.91,864.69,117.39,-80.24
Koszty sprzedaży,,,,,107.03,157.41,169.16,41.52,-22.45,19.24,-66.15,-52.07,-85.52,-98.64,-48.21,-114.66,-44.19,1111.11,0.0,1061.76,133.33,-22.02,-24.75,-64.22,91.07,24.71,31.58,-2.56,13.08,95.28,12.0,59.65,-39.67,-40.1,244.64,135.16,-80.82,-17.74,-89.38,-55.61,164.29,-13.73,-36.59,-37.37,-83.78,-95.45,-61.54,137.82,-100.0,1875.0,130.0,-93.29,,-100.0,-113.04,-57.89
Koszty ogólnego zarządu,,,,,48.69,-37.17,12.64,-22.71,-31.57,2.84,-37.92,-136.32,-36.44,-54.5,-10.11,312.77,-8.92,-18.13,85.54,-101.84,15.04,31.42,-59.1,2992.0,-37.72,-28.21,-19.29,-14.01,27.91,-23.32,-1.31,-12.04,-34.46,49.9,-4.43,19.49,-68.98,-36.57,154.39,8.22,373.72,55.12,-46.33,0.77,-11.9,15.23,-14.8,-12.99,-9.23,38.41,-28.09,-141.11,9.74,-74.64,-289.58,100.0
Zysk ze sprzedaży,,,,,-105.68,59.6,-228.77,71.34,27.51,-143.26,65.19,-723.69,17.68,59.36,30.55,39.51,64.91,78.92,-70.24,135.55,-4.8,17.56,92.16,-205.96,110.07,186.36,151.6,135.04,-448.82,103.28,2.66,-50.34,241.3,-79.92,-116.14,-316.03,-97.21,1376.79,40694.64,-302.77,-3586.21,-107.5,-104.21,68.55,117.9,0.81,55.44,21.85,519.89,-23.85,422.3,328.34,-489.84,-829.76,1825.27,-124.71
Pozostałe przychody operacyjne,,,,,15.13,-97.54,1655.2,-168.29,-92.0,662.16,-92.25,107.28,21428.57,110.82,-503.98,-1713.15,-128.96,-258.37,1764.51,531.57,-623.83,518.64,-98.48,7.6,110.33,-68.72,-651.95,-82.49,-819.91,102.19,261.86,35.71,366.54,30.55,-161.19,-268.19,-89.84,360.55,381.29,79.69,591.28,-88.77,-59.57,513.6,161.27,-182.98,12.24,-54.1,-67.11,-1240.21,177.84,170.06,-26.94,106.41,-144.21,-100.0
Pozostałe koszty operacyjne,,,,,-98.94,126.03,-114.34,1338.36,2806.17,3017.85,138.8,-83.88,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk operacyjny (EBIT),,,,,51.6,-3933.18,79.81,-897.72,-21.79,-1122.18,-30.11,81.39,76.88,95.78,-16.76,60.94,-6.96,29.23,712.35,413.66,-192.9,328.04,-99.49,0.4,110.27,-52.54,-1870.26,-80.62,-729.28,102.46,280.64,30.17,349.59,2.79,-159.37,-269.37,-90.41,410.43,823.34,67.71,498.23,-91.43,-87.04,339.71,197.51,-205.61,25.75,-55.75,-62.53,-1098.26,220.29,215.19,-90.82,95.02,-2.0,-101.81
Przychody finansowe,,,,,-99.4,101.59,-78.42,-94.1,6325.33,-260.1,-89.32,-367.46,-98.38,115.97,-85.21,228.76,-47.44,-26.0,322.54,1494.16,47593.9,-43670.27,555.33,-102.23,-92.33,106.12,-85.55,1495.65,92.8,-92.2,-670.07,26.31,-93.67,135.71,112.97,-83.2,-72.68,271.35,-500.0,65.25,227.0,-83.61,108.93,-24.58,-41.59,790.95,-2274.67,-65.31,-42.41,-83.8,153.4,-212.45,725.45,-61.13,-149.48,100.0
