,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,67.65,209.8,298.57,18.76,14.73,21.9,13.02,90.68,195.39,-22.84,87.16,-18.4,-48.0,93.08,24.4,71.85,130.67,15.62,-3.56,-31.25,-22.26,-2.47,-33.22,45.21,58.65,-5.97,44.31,-1.29,-17.26,31.23,7.87,23.42,-22.49,3.81,28.85,-2.57,53.93,16.62,48.98,22.38,13.1,39.03,4.07,46.83,43.29,52.51,29.49,23.08,48.63,3.57,21.52,-4.6,-8.31,-2.41,-21.91,-17.41
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,49.87,91.83,105.21,4.3,42.84,42.76,22.64,94.0,132.47,9.13,91.66,-35.74,-27.23,57.04,25.68,115.23,78.56,15.2,-2.6,-15.2,-13.85,0.46,13.11,74.83,25.74,-15.4,-17.79,-6.0,-16.75,43.96,10.09,-0.53,-18.3,-0.97,24.68,9.74,52.44,-3.59,28.28,23.11,20.78,39.38,7.5,0.94,17.64,63.63,32.25,50.95,55.96,6.07,30.34,20.0,6.41,7.61,-3.3,19.48
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,406.9,628.57,194.46,57.72,-351.69,-31.93,-40.23,84.76,270.09,-195.78,35.95,14.03,-258.01,129.02,3.85,26.14,111.96,29.46,-22.22,-60.11,-606.94,-89.66,-1158.33,-68.0,330.14,2713.33,116.87,97.05,-20.6,-79.15,-20.33,262.06,-50.82,289.77,101.67,-36.26,70.73,323.91,272.61,18.96,-63.93,37.83,-8.69,220.67,905.45,13.62,17.44,-0.55,19.79,-9.05,-22.01,-61.92,-83.68,-61.23,-175.3,-288.17
Pozostałe przychody operacyjne,,,,,,,,1000.0,,,,3272.73,,,,-97.98,,,-85.88,146.67,0.0,0.0,-63.01,-2.7,0.0,60.0,-25.93,80.56,35.71,-25.0,-100.0,-93.85,-94.74,27.78,,325.0,-100.0,-86.96,,1129.41,,1700.0,337.5,-61.24,667.31,111.11,482.86,30.86,-73.68,14.04,7.35,468.87,98.1,172.31,64.84,-54.06,-97.6,-105.65,57.06,8.66
Pozostałe koszty operacyjne,,,,,,,,,,,,,,,,-96.91,,,184.16,2916.67,-50.0,300.0,-95.47,-99.45,-100.0,-75.0,-92.31,2300.0,,-100.0,-100.0,-87.5,-100.0,,,28266.67,,,-100.0,-92.13,,,,-192.54,,75.0,-98.96,433.87,,-100.0,440.0,10.63,1778.95,,-74.07,-86.46,-99.72,118.47,500.0,119.35
Zysk operacyjny (EBIT),,,,,417.24,628.57,197.78,59.37,-331.52,4.9,14.39,101.21,367.61,-160.71,41.06,3.93,-203.51,133.42,-99.53,17.97,114.41,23.81,9000.0,-55.99,-512.94,-75.64,-1066.48,-64.98,343.3,1057.89,117.06,73.99,-21.78,-74.77,-23.0,122.92,-50.9,211.71,112.12,13.93,86.59,334.68,175.31,17.27,-1.8,40.36,36.32,189.46,252.25,14.02,15.17,8.59,7.89,15.37,-12.37,-60.08,-82.44,-74.14,-132.65,-257.24
Przychody finansowe,,,,,,,,29.27,,,,213.21,,,,-92.77,,,-96.53,-41.67,-100.0,-14.29,-100.0,-85.71,,-83.33,,-100.0,,1500.0,-1000.0,,71.74,18.75,-988.89,-100.0,-62.03,815.79,-36.73,,-86.67,-101.72,118.66,-182.76,12275.0,-14233.33,-356.0,100.0,-62.83,57.21,103.12,,44.02,206.52,27550.0,-1282.5,-98.11,-95.41,-96.75,101.69
Koszty finansowe,,,,,,,,110.0,,,,21.43,,,,-90.2,,,-42.31,160.0,-33.33,0.0,-93.33,253.85,650.0,1380.0,-1000.0,-6.52,13.33,-71.62,155.56,-60.47,452.94,-28.57,-2740.0,400.0,-86.7,233.33,72.73,-83.53,-28.0,98.0,-97.22,921.43,-22.22,-84.85,367.61,-50.35,50.0,333.33,-94.74,-70.42,123.81,-10.77,460.0,142.86,270.21,1044.83,-630.36,2515.69
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
