,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Period,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,1513.0,1381.0,1824.0,1661.0,1773.0,1803.0,2160.0,1968.0,2133.0,2066.0,2566.0,2013.0,2063.0,2801.0,2909.0,1357.0,3133.0,3826.0,3794.0,3385.0,3961.0,2581.0,3471.0,4116.0,4029.0,3809.0,4715.0,4920.0,2475.0,4146.0,4473.0,4830.0,2687.0,3522.0,2883.0,3419.0,3696.0,2967.0,3149.0,3228.0,3214.0,2113.0,3377.0,2395.0,2534.0,1837.0,3013.0,2549.0,3297.0,3485.0,3997.0,4434.0,3626.0,4690.0,4555.0,6151.0,4738.0,4883.0,897.0,-981.0
Techniczny koszt wytworzenia produkcji sprzedanej,1166.0,1402.0,1644.0,-2195.0,1673.0,1753.0,2156.0,-3004.0,1877.0,1930.0,2291.0,-3153.0,2544.0,1379.0,2407.0,5803.0,862.0,1122.0,1136.0,988.0,1126.0,731.0,1010.0,1196.0,1124.0,1014.0,1408.0,1306.0,671.0,1159.0,1155.0,1435.0,765.0,966.0,852.0,990.0,1057.0,938.0,1021.0,1211.0,982.0,828.0,1017.0,872.0,740.0,1088.0,1293.0,1727.0,1332.0,1589.0,1745.0,2715.0,1389.0,2231.0,1783.0,3284.0,1676.0,2101.0,206.0,1643.0
Koszty sprzedaży,0.0,0.0,0.0,1253.0,0.0,0.0,0.0,2451.0,0.0,0.0,0.0,2365.0,0.0,0.0,0.0,0.0,860.0,1723.0,1590.0,-120.0,1641.0,1480.0,1639.0,1802.0,1581.0,2213.0,2522.0,1835.0,1305.0,2179.0,2094.0,2202.0,1704.0,1769.0,1601.0,2128.0,1037.0,1419.0,1073.0,2384.0,1745.0,6206.0,2192.0,2617.0,1479.0,1640.0,1317.0,2731.0,1248.0,1743.0,1466.0,2287.0,1316.0,1960.0,1797.0,2244.0,1970.0,2190.0,1.0,126.0
Koszty ogólnego zarządu,0.0,0.0,0.0,2579.0,0.0,0.0,0.0,2730.0,0.0,0.0,0.0,2759.0,0.0,0.0,0.0,0.0,1546.0,1591.0,932.0,3200.0,2552.0,1229.0,1189.0,2249.0,1848.0,1047.0,648.0,3684.0,1731.0,952.0,922.0,1156.0,730.0,1502.0,650.0,765.0,640.0,664.0,833.0,589.0,812.0,1387.0,1334.0,1246.0,1286.0,1123.0,943.0,632.0,907.0,1929.0,986.0,849.0,736.0,742.0,713.0,1034.0,907.0,973.0,1080.0,627.0
Zysk ze sprzedaży,347.0,-21.0,180.0,24.0,100.0,50.0,4.0,-209.0,256.0,136.0,275.0,42.0,-481.0,1422.0,502.0,-4446.0,-135.0,-610.0,136.0,-683.0,-1358.0,-859.0,-367.0,-1131.0,-524.0,-465.0,137.0,-1905.0,-1232.0,-144.0,302.0,37.0,-512.0,-715.0,-220.0,-464.0,962.0,-54.0,222.0,-956.0,-325.0,-6308.0,-1166.0,-2340.0,-971.0,-2014.0,-540.0,-2541.0,-190.0,-1776.0,-200.0,-1417.0,185.0,-243.0,262.0,-411.0,185.0,-381.0,-390.0,-3377.0
Pozostałe przychody operacyjne,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,29.0,2.0,0.0,12.0,4.0,0.0,17.0,1.0,3.0,2.0,7.0,3.0,4.0,0.0,0.0,12.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,2.0,8.0,128.0,133.0,-6.0,30.0,2.0,0.0,39.0,0.0,2.0,11.0,0.0,21.0,34.0,37116.0,78.0
Pozostałe koszty operacyjne,0.0,0.0,0.0,7.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,39.0,10.0,4.0,0.0,56.0,13.0,1.0,34.0,43.0,46.0,4.0,3.0,47.0,35.0,17.0,37.0,50.0,17.0,31.0,18.0,56.0,19.0,40.0,13.0,22.0,1.0,45.0,60.0,32.0,16.0,23.0,11.0,155.0,159.0,37.0,232.0,37.0,61.0,76.0,128.0,49.0,49.0,92.0,-2.0,208.0
Zysk operacyjny (EBIT),345.0,-30.0,186.0,24.0,98.0,42.0,4.0,-211.0,262.0,108.0,281.0,44.0,-482.0,1415.0,511.0,-4457.0,-143.0,-614.0,148.0,-735.0,-1371.0,-843.0,-400.0,-1171.0,-568.0,-462.0,137.0,-1948.0,-1267.0,-161.0,277.0,9.0,-529.0,-746.0,-238.0,-519.0,943.0,-94.0,212.0,-978.0,-325.0,-6349.0,-1226.0,-2370.0,-979.0,-1909.0,-418.0,-2702.0,-319.0,-1811.0,-432.0,-1415.0,124.0,-317.0,145.0,-460.0,157.0,-439.0,36728.0,-3507.0
Przychody finansowe,0.0,0.0,0.0,481.0,0.0,0.0,0.0,262.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,26.0,77.0,28.0,-71.0,3.0,169.0,23.0,465.0,215.0,294.0,-42.0,-23.0,85.0,0.0,50.0,-50.0,51.0,0.0,0.0,0.0,0.0,0.0,60.0,-17.0,-37.0,4.0,22.0,78.0,-78.0,324.0,-323.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,261.0,229.0
