,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Period,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2
Przychody ze sprzedaży,29557.0,23849.0,30726.0,46336.0,32966.0,23940.0,28383.0,53717.0,41909.0,27475.0,33175.0,54076.0,39632.0,28689.0,33199.0,47432.0,34375.0,32268.0,26542.0,49531.0,39922.0,33293.0,36813.0,63240.0,49448.0,43125.0,49817.0,76241.0,55692.0,42384.0,44359.0,168753.0,49678.0,72793.0,58385.0,53139.0,56179.0,84105.0,67544.0,54653.0,63309.0,86918.0,68902.0,43461.0,45374.0,55424.0,49520.0,49151.0,50310.0,74513.0,61619.0,46278.0,55233.0,75072.0,67380.0,55858.0,67028.0,84130.0,84296.0,60472.0,69946.0,86931.0,80665.0,76739.0,80423.0,113748.0,94870.0,101564.0,100152.0,127261.0,127813.0,92133.0,108678.0,140389.0
Techniczny koszt wytworzenia produkcji sprzedanej,24122.0,18987.0,26976.0,39250.0,28153.0,20655.0,24516.0,44448.0,34388.0,23947.0,27376.0,42578.0,31146.0,23096.0,26416.0,38297.0,27661.0,25664.0,21835.0,40722.0,31817.0,27038.0,30545.0,50300.0,39373.0,35244.0,39173.0,62257.0,48998.0,37361.0,39112.0,142360.0,41789.0,61146.0,49036.0,46334.0,46416.0,68590.0,56548.0,48025.0,54562.0,74548.0,59556.0,38198.0,37626.0,46025.0,42817.0,43358.0,43910.0,63035.0,51631.0,38194.0,45545.0,63910.0,56818.0,48283.0,57176.0,73092.0,71821.0,50448.0,59407.0,73973.0,67851.0,65974.0,68229.0,98823.0,82328.0,87859.0,86554.0,110021.0,108205.0,76754.0,87468.0,112160.0
Koszty sprzedaży,3038.0,2669.0,2470.0,3696.0,2448.0,2782.0,3851.0,6429.0,4327.0,4300.0,4237.0,7203.0,3847.0,3978.0,4076.0,5895.0,2390.0,5346.0,1355.0,4150.0,4551.0,3726.0,3797.0,6169.0,4111.0,3984.0,4005.0,6803.0,4060.0,4012.0,3950.0,11189.0,3808.0,5506.0,4724.0,4327.0,4525.0,5523.0,4762.0,4648.0,4580.0,6125.0,5178.0,5324.0,4704.0,5328.0,5105.0,5502.0,5426.0,6848.0,6125.0,6047.0,6143.0,7153.0,6204.0,6224.0,6158.0,6942.0,6872.0,6293.0,6310.0,7166.0,6738.0,7112.0,6968.0,8799.0,7645.0,8191.0,7885.0,9252.0,8536.0,8169.0,8320.0,9897.0
Koszty ogólnego zarządu,382.0,675.0,318.0,920.0,628.0,864.0,1340.0,1424.0,1027.0,1368.0,1455.0,1925.0,1715.0,1722.0,2165.0,2222.0,1002.0,3019.0,173.0,1750.0,1338.0,1441.0,1483.0,2292.0,1484.0,2024.0,1950.0,1650.0,1770.0,1565.0,1758.0,5930.0,2008.0,2022.0,1963.0,1895.0,2004.0,2544.0,2420.0,1802.0,1991.0,2662.0,2288.0,1401.0,2071.0,2588.0,1616.0,2356.0,1944.0,1949.0,2233.0,2535.0,1996.0,2308.0,2316.0,2042.0,2015.0,2349.0,2552.0,2555.0,2379.0,2773.0,2552.0,2429.0,2506.0,2761.0,2740.0,2791.0,2763.0,2974.0,3486.0,3379.0,3518.0,4307.0
Zysk ze sprzedaży,2015.0,1518.0,962.0,2470.0,1737.0,-361.0,-1324.0,1416.0,2167.0,-2140.0,107.0,2370.0,2924.0,-107.0,542.0,1018.0,3322.0,-1761.0,3179.0,2909.0,2216.0,1088.0,988.0,4479.0,4480.0,1873.0,4689.0,5531.0,864.0,-554.0,-461.0,9274.0,2073.0,4119.0,2662.0,583.0,3234.0,7448.0,3814.0,178.0,2176.0,3583.0,1880.0,-1462.0,973.0,1483.0,-18.0,-2065.0,-970.0,2681.0,1630.0,-498.0,1549.0,1701.0,2042.0,-691.0,1679.0,1747.0,3051.0,1176.0,1850.0,3019.0,3524.0,1224.0,2720.0,3365.0,2157.0,2723.0,2950.0,5014.0,7586.0,3831.0,9372.0,14025.0
Pozostałe przychody operacyjne,61.0,170.0,235.0,1898.0,5.0,511.0,279.0,1002.0,43.0,442.0,73.0,1622.0,413.0,1166.0,1652.0,-745.0,700.0,327.0,-301.0,-230.0,347.0,190.0,185.0,1917.0,93.0,39.0,184.0,462.0,1573.0,574.0,92.0,1178.0,96.0,678.0,267.0,955.0,70.0,811.0,101.0,718.0,99.0,890.0,207.0,614.0,22.0,920.0,946.0,1663.0,631.0,42.0,105.0,8905.0,103.0,54.0,136.0,825.0,133.0,1008.0,81.0,609.0,1539.0,71.0,73.0,794.0,88.0,221.0,457.0,724.0,198.0,758.0,148.0,966.0,35.0,401.0
Pozostałe koszty operacyjne,17.0,113.0,16.0,882.0,21.0,56.0,412.0,1262.0,121.0,682.0,109.0,2007.0,495.0,1190.0,1663.0,-1294.0,327.0,586.0,87.0,-620.0,846.0,607.0,108.0,408.0,424.0,106.0,108.0,2703.0,24.0,319.0,5.0,3236.0,361.0,826.0,200.0,931.0,1029.0,1270.0,255.0,674.0,119.0,817.0,70.0,799.0,116.0,672.0,23.0,394.0,21.0,341.0,297.0,1318.0,42.0,65.0,35.0,667.0,30.0,93.0,109.0,870.0,119.0,60.0,-13.0,268.0,12.0,115.0,213.0,578.0,22.0,64.0,100.0,955.0,54.0,293.0
Zysk operacyjny (EBIT),2059.0,1575.0,1181.0,3486.0,1721.0,94.0,-1457.0,1156.0,2089.0,-2380.0,71.0,1985.0,2842.0,-131.0,531.0,1567.0,3695.0,-2020.0,2791.0,3299.0,1717.0,671.0,1065.0,5988.0,4149.0,1806.0,4765.0,3290.0,2413.0,-299.0,-374.0,7216.0,1808.0,3971.0,2729.0,607.0,2275.0,6989.0,3660.0,222.0,2156.0,3656.0,2017.0,-1647.0,879.0,1731.0,905.0,-796.0,-360.0,2382.0,1438.0,7089.0,1610.0,1690.0,2143.0,-533.0,1782.0,2662.0,3023.0,915.0,3270.0,3030.0,3610.0,1750.0,2796.0,3471.0,2401.0,2869.0,3126.0,5708.0,7634.0,3842.0,9353.0,14133.0
Przychody finansowe,545.0,80.0,185.0,416.0,129.0,588.0,108.0,611.0,102.0,242.0,47.0,952.0,324.0,75.0,121.0,138.0,1012.0,180.0,260.0,-823.0,1204.0,-768.0,34.0,142.0,1257.0,-284.0,179.0,628.0,166.0,29.0,72.0,583.0,142.0,140.0,257.0,262.0,372.0,124.0,98.0,187.0,140.0,435.0,122.0,337.0,11.0,363.0,-357.0,32.0,31.0,50.0,75.0,555.0,66.0,74.0,196.0,39.0,596.0,-377.0,419.0,-159.0,1.0,1.0,1.0,2.0,510.0,-150.0,697.0,424.0,422.0,-417.0,1.0,1.0,435.0,-431.0
