,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Period,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,31.62,56.4,-4.99,42.12,8.1,-16.19,113.8,-3.68,22.61,46.6,-33.37,4.65,3.2,19.99,18.16,-9.64,1.87,-39.67,-8.97,-19.28,-25.48,37.41,-15.0,-4.46,-10.57,-45.78,-24.22,26.92,16.58,19.42,9.06,-20.6,-18.28,-17.54,-6.43,-7.46,-16.32,3.55,13.01,-17.39,89.26,37.46,-4.94,42.87,-26.94,5.04,45.34,25.66,35.55,44.96,-5.59,-15.74
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,36.33,55.74,-1.63,49.82,13.93,-45.71,79.58,-16.61,-3.89,97.44,-34.73,3.37,8.37,25.36,20.51,-8.12,2.34,-42.15,-7.38,-19.49,-27.45,39.75,-12.44,10.45,-3.65,-42.48,-22.41,18.27,12.85,6.37,1.2,-24.44,-10.03,-13.79,-8.76,-15.32,-26.52,-10.12,2.59,-27.98,56.61,53.95,-3.9,58.49,-10.1,-0.31,50.45,30.78,42.45,42.01,-4.06,-27.61
Koszty sprzedaży,,,,,,,,,,,,,,-34.9,10.35,-8.11,-39.49,-31.61,-45.67,-25.46,3.55,-20.61,-3.92,-22.49,42.14,28.8,33.3,43.63,-27.5,-2.07,-14.84,-18.29,20.44,-16.42,7.43,-7.46,-17.67,-9.53,-11.98,-27.05,102.71,42.4,72.87,235.62,4.28,58.18,23.96,13.82,9.22,26.85,17.24,-31.29,16.2,22.05,32.2,39.49
Koszty ogólnego zarządu,,,,,,,,,,,,,,-50.86,4.39,8.65,2.45,11.15,2.1,1.45,-5.27,-5.17,10.86,-2.99,29.19,9.11,-9.65,108.86,-15.27,1.04,12.41,-54.39,6.98,-2.95,5.92,4.25,0.3,-3.57,-8.56,-18.42,-1.85,-29.73,-10.49,6.18,-12.43,108.08,39.88,23.28,47.68,6.31,17.78,53.69,19.46,8.37,18.53,78.61
Zysk ze sprzedaży,,,,,-39.61,91.67,-89.93,-51.46,-190.96,-146.04,2927.78,52.16,193.91,57.78,-90.95,49.9,23.89,226.32,808.78,-21.71,3.31,-193.75,-53.53,-27.79,-307.73,111.11,-183.2,-480.02,-39.79,-18790.0,-141.15,96.03,24.7,98.61,70.41,321.74,-126.1,-2692.31,110.24,536.52,-7.55,181.68,1976.32,-58.34,192.43,-366.95,-162.1,-30.87,-224.53,5.94,80.41,134.49,-34.03,77.43,-1913.54,-51.71
Pozostałe przychody operacyjne,,,,,-27.35,18.28,156.56,64.79,44.71,3.64,-46.38,41.03,13.41,26.32,-24.67,89.09,-31.54,5.9,15.72,92.31,60.21,-14.43,22.64,-59.5,-14.38,24.52,-14.46,-40.12,21.76,-33.54,7.55,-25.09,-25.71,12.96,20.4,5.96,53.16,-34.02,-23.61,-18.61,-57.85,-12.42,199.27,190.96,2.61,1229.79,-91.62,-82.08,-5.1,-92.75,37.68,39.8,-2.68,-30.15,165.26,24.82
Pozostałe koszty operacyjne,,,,,-62.41,39.39,-71.28,-86.87,-17.92,20.65,-1.79,205.36,-55.17,15.32,-9.09,42.69,-66.67,66.41,-22.0,164.96,1000.0,-80.28,582.05,-88.86,-86.01,1014.29,-78.57,1200.69,160.0,-75.85,270.18,-76.56,15.38,93.81,-98.58,-59.91,113.33,-31.96,533.33,-35.23,-47.66,-70.47,147.37,48.25,-38.81,277.27,-112.77,-47.34,170.73,243.37,-6833.33,71.91,288.29,-119.82,88.22,-43.79
Zysk operacyjny (EBIT),,,,,-21.73,60.19,0.53,-13.79,-137.59,-112.14,233.45,33.68,448.37,233.33,-82.64,60.67,1.5,123.81,380.43,-30.4,-0.55,-31.38,-56.46,-2.19,-199.81,-203.1,-143.71,-498.08,-53.07,-1227.82,-289.97,93.49,21.78,99.94,98.8,214.32,-151.79,-71300.0,2200.0,476.89,-17.85,196.64,432.31,-45.34,202.67,-81.74,-126.52,-48.15,-215.21,-1626.19,200.0,129.59,-48.96,93.34,-493.25,-46.38
Przychody finansowe,,,,,400.0,540.0,-411.11,22.86,31.43,-6.25,-3.57,-13.95,-34.78,13.33,-72.41,27.03,-76.67,29.41,110.0,-80.85,157.14,-95.45,120.0,433.33,-44.44,792750.0,490.91,1189.58,330.0,-99.94,-4.62,-98.87,-53.49,10978.95,-70.97,57.14,-90.0,-99.95,94.44,281.82,6000.0,-3100.0,-142.86,691500.0,63.11,-123.33,740.0,-99.98,-62.81,467.16,240.62,228.3,168.92,-39.02,-59.94,-47.7
