,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
Period,2006/Q1,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,6480.0,107094.0,146595.0,116603.0,185140.0,139994.0,209974.0,119072.0,174632.0,125201.0,109624.0,115044.0,142615.0,126695.0,129546.0,118333.0,166108.0,118327.0,122198.0,137064.0,262981.0,152621.0,122748.0,161422.0,220237.0,143039.0,166752.0,170355.0,217445.0,170140.0,168812.0,169779.0,216825.0,169492.0,166060.0,167127.0,228258.0,125163.0,149485.0,134653.0,186090.0,122920.0,88314.0,105944.0,146651.0,66272.0,74315.0,105717.0,139243.0,96892.0,137853.0,128624.0,175715.0,122019.0,167419.0,212383.0,289164.0,235588.0,225619.0,281537.0,409530.0,301300.0,293738.0,303726.0,346943.0,322301.0,357202.0,456247.0,521657.0
Techniczny koszt wytworzenia produkcji sprzedanej,6463.0,99795.0,132936.0,108818.0,169912.0,130818.0,184463.0,114662.0,150947.0,115164.0,102630.0,100989.0,129837.0,120067.0,122426.0,111528.0,158004.0,111180.0,115476.0,127834.0,246420.0,143298.0,113958.0,154169.0,203138.0,133551.0,158617.0,162672.0,204340.0,160635.0,161386.0,161005.0,201442.0,163353.0,161007.0,153183.0,215358.0,120624.0,141893.0,129295.0,178147.0,119864.0,84194.0,99846.0,138182.0,62369.0,70007.0,99659.0,128806.0,91681.0,130402.0,120822.0,164723.0,114620.0,159675.0,198713.0,274961.0,215729.0,215632.0,268219.0,389732.0,278181.0,282800.0,283951.0,330942.0,302419.0,340336.0,430446.0,486760.0
Koszty sprzedaży,21.0,5955.0,8164.0,7653.0,13316.0,7537.0,17790.0,9503.0,16003.0,6963.0,12871.0,10030.0,11423.0,7270.0,8114.0,6455.0,10573.0,4668.0,5886.0,6330.0,10833.0,6307.0,6619.0,6590.0,9454.0,5333.0,5119.0,5325.0,8756.0,5251.0,5855.0,5799.0,7916.0,4037.0,4635.0,5120.0,7334.0,3940.0,4751.0,4268.0,6004.0,3287.0,3948.0,3715.0,6511.0,3265.0,3545.0,4487.0,4896.0,1923.0,6438.0,4710.0,7117.0,4645.0,4134.0,9087.0,9346.0,12911.0,4198.0,6287.0,13717.0,11466.0,3932.0,10871.0,9321.0,8607.0,13005.0,12666.0,24770.0
Koszty ogólnego zarządu,0.0,1075.0,925.0,1654.0,1729.0,1548.0,1335.0,1336.0,1276.0,1266.0,1286.0,1529.0,1272.0,1330.0,1214.0,1003.0,754.0,978.0,1125.0,1050.0,1110.0,1017.0,1163.0,1074.0,1076.0,1134.0,1161.0,1117.0,1125.0,1148.0,1147.0,1140.0,976.0,1185.0,1178.0,1085.0,1026.0,1070.0,1507.0,1047.0,1049.0,1122.0,1072.0,1048.0,1150.0,1066.0,1520.0,1068.0,1305.0,1245.0,1284.0,1200.0,1451.0,1267.0,1559.0,1428.0,1485.0,1537.0,1875.0,1529.0,1791.0,1645.0,2157.0,2247.0,1517.0,1913.0,1850.0,2056.0,2620.0
Zysk ze sprzedaży,-4.0,269.0,4570.0,-1522.0,183.0,91.0,6386.0,-6429.0,6406.0,1808.0,-7163.0,2496.0,83.0,-1972.0,-2208.0,-653.0,-3223.0,1501.0,-289.0,1850.0,4618.0,1999.0,1008.0,-411.0,6569.0,3021.0,1855.0,1241.0,3224.0,3106.0,424.0,1835.0,6491.0,917.0,-760.0,7739.0,4540.0,-471.0,1334.0,43.0,890.0,-1353.0,-900.0,1335.0,808.0,-428.0,-757.0,503.0,4236.0,2043.0,-271.0,1892.0,2424.0,1487.0,2051.0,3155.0,3372.0,5411.0,3914.0,5502.0,4290.0,10008.0,4849.0,6657.0,5163.0,9362.0,2011.0,11079.0,7507.0
Pozostałe przychody operacyjne,0.0,1238.0,987.0,1181.0,2719.0,932.0,4004.0,2316.0,7096.0,2102.0,5112.0,-1084.0,1151.0,2032.0,4953.0,1003.0,2797.0,1032.0,677.0,325.0,444.0,1016.0,1027.0,503.0,5506.0,3137.0,661.0,1574.0,3548.0,6895.0,-157.0,2805.0,3729.0,1105.0,4454.0,2101.0,1885.0,3682.0,4522.0,1115.0,3162.0,2015.0,3657.0,1489.0,1940.0,2343.0,6073.0,466.0,6431.0,263.0,6370.0,379.0,-3337.0,1385.0,1802.0,1348.0,2200.0,1217.0,855.0,924.0,4897.0,1027.0,814.0,4386.0,-623.0,2085.0,1242.0,5518.0,-1331.0
Pozostałe koszty operacyjne,0.0,123.0,1690.0,281.0,6905.0,674.0,5734.0,-1014.0,5197.0,535.0,4889.0,489.0,863.0,1938.0,5423.0,1953.0,-664.0,1920.0,243.0,1099.0,1042.0,3286.0,940.0,47.0,8756.0,3641.0,521.0,2605.0,5102.0,8258.0,-223.0,3394.0,6149.0,3041.0,1645.0,6538.0,2112.0,1804.0,2869.0,1292.0,1174.0,1872.0,1985.0,1882.0,2204.0,1315.0,2015.0,-68.0,10090.0,289.0,4529.0,975.0,-2127.0,258.0,501.0,397.0,2056.0,401.0,423.0,472.0,2413.0,584.0,443.0,266.0,2008.0,1516.0,600.0,650.0,4427.0
Zysk operacyjny (EBIT),-4.0,1384.0,3867.0,-622.0,-4003.0,349.0,4656.0,-3099.0,8305.0,3375.0,-6940.0,923.0,371.0,-1878.0,-2678.0,-1603.0,238.0,613.0,145.0,1076.0,4020.0,-271.0,1095.0,45.0,3319.0,2517.0,1995.0,210.0,1670.0,1743.0,490.0,1246.0,4071.0,-1019.0,2049.0,3302.0,4313.0,1407.0,2987.0,-134.0,2878.0,-1210.0,772.0,942.0,544.0,600.0,3301.0,1037.0,577.0,2017.0,1570.0,1296.0,1214.0,2614.0,3352.0,4106.0,3516.0,6227.0,4346.0,5954.0,6774.0,10451.0,5220.0,10777.0,2532.0,9931.0,2653.0,15947.0,1749.0
Przychody finansowe,14.0,-815.0,831.0,475.0,7312.0,993.0,1529.0,-1196.0,325.0,84.0,510.0,-128.0,10.0,273.0,29.0,207.0,-136.0,460.0,436.0,-660.0,4.0,1172.0,-717.0,333.0,478.0,271.0,179.0,-71.0,14.0,210.0,109.0,166.0,433.0,3572.0,-1586.0,-963.0,339.0,446.0,-248.0,287.0,-308.0,2175.0,58.0,-299.0,136.0,197.0,604.0,-205.0,1145.0,11.0,604.0,105.0,70.0,4.0,146.0,1.0,-56.0,12.0,1047.0,-533.0,325.0,169.0,962.0,4.0,13.0,243.0,7173.0,-5366.0,10639.0
