,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Period,2007/Q1,2007/Q2,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1
Przychody ze sprzedaży,22677.0,15714.0,28691.0,20353.0,25295.0,37378.0,28685.0,23091.0,24826.0,37888.0,30166.0,24144.0,27912.0,38391.0,27874.0,24800.0,23000.0,32978.0,29694.0,26393.0,26916.0,42351.0,33097.0,23994.0,27615.0,42887.0,30943.0,27495.0,29567.0,42279.0,35216.0,26413.0,32355.0,47319.0,36544.0,27346.0,34259.0,54078.0,42583.0,37500.0,41358.0,63233.0,47327.0,33787.0,38997.0,63651.0,46520.0,40347.0,43569.0,61852.0,47852.0,35780.0,41722.0,60948.0,49996.0,40131.0,44565.0,60863.0,46168.0,47232.0,54030.0,82730.0,70834.0,52284.0,54599.0,83376.0,61512.0
Techniczny koszt wytworzenia produkcji sprzedanej,17290.0,12334.0,23241.0,15278.0,20626.0,29339.0,22590.0,18651.0,20133.0,29577.0,23295.0,20232.0,23918.0,32390.0,23930.0,23411.0,19797.0,28341.0,24875.0,23251.0,23380.0,34054.0,26856.0,20872.0,22646.0,34629.0,24674.0,23411.0,24867.0,34521.0,29101.0,22718.0,27452.0,37889.0,29825.0,23484.0,29276.0,43687.0,34776.0,31339.0,34366.0,50171.0,36682.0,28033.0,32551.0,50384.0,37288.0,33371.0,36152.0,49895.0,39572.0,30671.0,35562.0,50359.0,41672.0,35193.0,39839.0,51386.0,40585.0,42879.0,47032.0,64616.0,57571.0,44783.0,46366.0,65809.0,49584.0
Koszty sprzedaży,3238.0,2349.0,3608.0,4002.0,3509.0,6264.0,4047.0,3615.0,3661.0,5469.0,4421.0,3857.0,3853.0,5469.0,3870.0,3657.0,2954.0,4674.0,3283.0,2802.0,3158.0,4822.0,2952.0,2288.0,2436.0,3981.0,2966.0,2727.0,2848.0,4274.0,3461.0,3239.0,3185.0,4181.0,3527.0,3308.0,3308.0,4916.0,3702.0,4070.0,3743.0,6051.0,4427.0,4358.0,4128.0,6275.0,4497.0,4688.0,4350.0,5991.0,4687.0,4495.0,4112.0,5895.0,4737.0,4849.0,4627.0,5638.0,4439.0,4986.0,4813.0,6685.0,5330.0,5073.0,4607.0,6887.0,5128.0
Koszty ogólnego zarządu,535.0,600.0,525.0,786.0,674.0,604.0,502.0,539.0,547.0,578.0,675.0,656.0,416.0,682.0,588.0,752.0,743.0,846.0,793.0,803.0,890.0,1295.0,1000.0,1041.0,1050.0,1415.0,1056.0,1022.0,1079.0,1350.0,1223.0,1188.0,1212.0,1041.0,1328.0,1303.0,1301.0,1472.0,1336.0,1548.0,1533.0,1744.0,1552.0,1564.0,1712.0,1842.0,1684.0,1820.0,1761.0,1797.0,1838.0,1592.0,1759.0,1832.0,1810.0,1916.0,1739.0,1707.0,1928.0,1858.0,1908.0,1916.0,2046.0,2143.0,2182.0,2376.0,2145.0
Zysk ze sprzedaży,1614.0,431.0,1317.0,287.0,486.0,1171.0,1546.0,286.0,485.0,2264.0,1775.0,-601.0,-275.0,-150.0,-514.0,-3020.0,-494.0,-883.0,743.0,-463.0,-512.0,2180.0,2289.0,-207.0,1483.0,2862.0,2247.0,335.0,773.0,2134.0,1431.0,-732.0,506.0,4208.0,1864.0,-749.0,374.0,4003.0,2769.0,543.0,1716.0,5267.0,4666.0,-168.0,606.0,5150.0,3051.0,468.0,1306.0,4169.0,1755.0,-978.0,289.0,2862.0,1777.0,-1827.0,-1640.0,2132.0,-784.0,-2491.0,277.0,9513.0,5887.0,285.0,1444.0,8304.0,4655.0
Pozostałe przychody operacyjne,116.0,504.0,157.0,203.0,147.0,247.0,195.0,189.0,214.0,177.0,204.0,206.0,195.0,206.0,208.0,331.0,415.0,540.0,408.0,647.0,399.0,874.0,543.0,333.0,485.0,444.0,422.0,365.0,625.0,166.0,455.0,643.0,305.0,135.0,354.0,679.0,270.0,419.0,309.0,316.0,273.0,360.0,406.0,377.0,350.0,406.0,252.0,302.0,279.0,-178.0,232.0,1227.0,1910.0,89.0,270.0,322.0,334.0,248.0,220.0,244.0,174.0,157.0,1483.0,246.0,242.0,689.0,121.0
Pozostałe koszty operacyjne,55.0,412.0,40.0,33.0,38.0,83.0,155.0,178.0,260.0,195.0,152.0,228.0,95.0,396.0,163.0,648.0,140.0,220.0,157.0,300.0,148.0,569.0,178.0,443.0,263.0,266.0,375.0,294.0,138.0,420.0,146.0,226.0,63.0,227.0,223.0,651.0,160.0,29.0,175.0,67.0,83.0,352.0,132.0,126.0,136.0,237.0,335.0,173.0,201.0,252.0,448.0,29.0,182.0,271.0,539.0,152.0,442.0,255.0,397.0,146.0,277.0,349.0,378.0,137.0,380.0,108.0,323.0
Zysk operacyjny (EBIT),1675.0,523.0,1434.0,457.0,595.0,1335.0,1586.0,297.0,439.0,2246.0,1827.0,-623.0,-175.0,-340.0,-469.0,-3337.0,-219.0,-563.0,994.0,-116.0,-261.0,2485.0,2654.0,-317.0,1705.0,3040.0,2294.0,406.0,1260.0,1880.0,1740.0,-315.0,748.0,4116.0,1995.0,-721.0,484.0,4393.0,2903.0,792.0,1906.0,5275.0,4940.0,83.0,820.0,5319.0,2968.0,597.0,1384.0,3739.0,1539.0,220.0,2017.0,2680.0,1508.0,-1657.0,-1748.0,2125.0,-961.0,-2393.0,174.0,9321.0,6992.0,394.0,1306.0,8885.0,4453.0
Przychody finansowe,6.0,259.0,241.0,387.0,292.0,-21.0,9.0,245.0,193.0,176.0,74.0,199.0,189.0,394.0,151.0,8.0,-109.0,50.0,101.0,-43.0,93.0,120.0,54.0,62.0,79.0,150.0,114.0,212.0,119.0,138.0,349.0,-35.0,82.0,118.0,96.0,54.0,127.0,9.0,561.0,55.0,89.0,182.0,80.0,114.0,238.0,86.0,143.0,190.0,245.0,162.0,62.0,22.0,6.0,6.0,121.0,476.0,-133.0,121.0,186.0,166.0,43.0,515.0,399.0,617.0,184.0,967.0,597.0
Koszty finansowe,151.0,67.0,138.0,108.0,158.0,1003.0,433.0,-41.0,-53.0,-104.0,14.0,50.0,-35.0,30.0,55.0,140.0,226.0,804.0,170.0,272.0,206.0,295.0,268.0,174.0,123.0,350.0,205.0,176.0,221.0,128.0,152.0,141.0,143.0,146.0,140.0,229.0,62.0,424.0,154.0,141.0,140.0,144.0,137.0,292.0,37.0,179.0,185.0,187.0,182.0,180.0,408.0,26.0,55.0,473.0,308.0,-82.0,99.0,231.0,226.0,383.0,455.0,465.0,405.0,361.0,363.0,302.0,521.0
Pozostałe przychody (koszty),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
