,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Period,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4
Przychody ze sprzedaży,,,,,392.86,572.92,-40.81,15.25,112.66,3.61,166.14,-33.84,13.4,-38.25,5.77,15.14,487.22,952.1,309.84,254.09,-50.52,9.6,-21.51,83.11,31.09,-59.35,12.93,-47.7,-18.49,-22.75,649.91,408.42,190.28,531.8,-61.93,34.52,-3.13,115.2,18.67,-3.75,-13.07,-51.39,6.6,-25.41,10.47,19.61,33.82,2.94,-30.12,-16.81,-64.27,-31.18,23.04
Techniczny koszt wytworzenia produkcji sprzedanej,,,,,24.17,170.98,12.72,114.13,112.6,80.5,94.71,37.11,8.35,27.01,139.49,-59.85,64.04,42.45,-40.13,177.38,113.13,10.48,91.22,140.54,-2.54,29.09,-12.22,-4.34,-44.49,-1.27,375.99,213.68,364.48,248.61,3.8,59.2,-2.89,54.99,-26.8,-33.94,13.93,-14.68,-2.66,-0.35,-24.9,-7.32,93.67,15.58,12.04,22.08,-42.74,2.37,-15.41
Koszty sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koszty ogólnego zarządu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk ze sprzedaży,,,,,341.04,1010.2,-100.0,-53.04,112.72,-86.55,,-257.25,18.58,-1065.0,-358.77,190.77,883.48,931.61,573.09,347.25,-76.08,9.28,-57.5,39.86,77.9,-91.07,49.07,-103.86,1.33,-134.04,881.63,5834.09,117.53,3725.0,-88.88,-8.78,-3.34,202.24,192.77,88.64,-37.26,-78.6,15.46,-52.27,68.02,99.2,-14.48,-25.36,-60.78,-70.29,-103.63,-147.46,102.9
Pozostałe przychody operacyjne,,,,,,,,,,,,,287.5,,370.0,,-93.55,-61.9,55.32,402.94,4200.0,2062.5,27.4,6.8,-173.26,-56.07,-65.59,-8.18,142.86,-4.61,896.88,31.68,174.07,-40.0,-79.0,45.86,54.05,-25.29,28.36,-45.88,-39.47,-26.15,-81.4,55.24,-57.97,12.5,-106.25,-84.05,-189.66,0.0,-2200.0,30.77,276.92
Pozostałe koszty operacyjne,,,,,,,,,0.0,,,,-100.0,,,,,,67500.0,-9700.0,108.52,,-37.72,179.69,64.73,384.62,46.79,347.71,-71.02,210.32,-72.17,-79.85,7.66,-81.84,225.58,57.25,316.74,148.59,76.43,-74.65,60.34,1.13,-44.33,598.18,-66.62,957.98,-56.18,40.36,38.84,-89.7,262.24,61.04,-42.84
Zysk operacyjny (EBIT),,,,,340.09,1010.2,-100.0,-56.25,118.27,-86.55,,-268.49,18.81,-995.0,-341.45,181.8,843.64,999.63,534.63,486.28,-78.7,15.01,-59.15,16.17,72.07,-93.34,43.62,-130.08,15.47,-315.41,1112.52,850.15,122.44,820.83,-90.53,-9.15,-9.5,200.12,211.21,90.68,-46.44,-80.04,21.02,-55.08,104.33,8.92,-12.54,-34.23,-65.67,-49.72,-112.99,-189.22,132.44
Przychody finansowe,,,,,,,,,-100.0,,,,,,,,9100.0,,,,157.61,-86.96,445.98,-509.82,228.27,-27.27,-95.79,114.81,-95.82,262.5,5935.0,-307.35,-1269.23,144.83,-76.55,312.06,138.82,23.47,-31.45,-78.26,-96.95,-99.24,-98.97,-87.69,33.33,500.0,2700.0,3512.5,64033.33,15591.67,8296.43,-889.27,-115.32
Koszty finansowe,,,,,-100.0,,,,,,,,40.91,240.0,146.67,-117.39,-76.13,-100.0,-100.0,100.0,-78.38,,,,-987.5,125000.0,33325.0,429.33,697.18,-83.61,-115.26,-100.0,-54.48,-39.02,138.73,,-72.02,532.8,-334.18,2515.09,-2325.93,-88.24,148.11,-89.3,115.31,-9.68,47.19,18.98,-21.74,1094.05,1064.89,-1079.75,6781.25
Pozostałe przychody (koszty),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,,,,,,-71.43,744.44,-407.41,,-536.13,-17.72,62.04,20.05,158.66,78.57,1200.38,211.62,-1189.87,-94.57,-100.42,-104.19,98.27
Zysk z działalności gospodarczej,,,,,385.45,973.47,-99.34,-55.85,64.64,-84.81,14233.33,-249.41,16.58,-936.92,-334.65,200.0,979.95,1034.56,540.24,438.36,-75.25,9.91,-49.35,-16.46,98.53,-115.34,-34.4,-158.88,-20.67,-6.77,2094.51,589.51,138.82,752.24,-90.73,0.65,-5.16,199.16,193.87,67.7,-48.78,-75.98,21.28,-43.2,113.04,24.78,16.32,17.56,-67.89,-46.64,-84.68,-156.2,-150.15
Wynik zdarzeń nadzwyczajnych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk przed opodatkowaniem,,,,,385.45,973.47,-99.34,-55.85,64.64,-84.81,14233.33,-249.41,16.58,-936.92,-334.65,200.0,979.95,1034.56,540.24,438.36,-75.25,9.91,-49.35,-16.46,98.53,-115.34,-34.4,-158.88,-20.67,-6.77,2094.51,589.51,138.82,752.24,-90.73,0.65,-5.16,199.16,193.87,67.7,-48.78,-75.98,21.28,-43.2,113.04,24.78,16.32,17.56,-67.89,-46.64,-84.68,-156.2,-150.15
Zysk (strata) netto z działalności zaniechanej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zysk netto,,,,,415.09,878.0,-110.9,-55.58,57.68,-85.35,931.71,-246.86,15.7,-1029.82,-391.5,212.5,1039.82,894.72,442.96,465.5,-80.7,8.95,-54.97,-30.97,172.0,-122.95,-4.63,-162.17,-27.29,7.03,1668.78,533.98,127.11,553.32,-92.37,0.17,29.42,226.9,431.75,97.06,-55.15,-75.47,-7.17,-42.48,115.3,6.04,16.01,19.34,-74.09,-34.66,-86.32,-154.54,-128.17
Zysk netto akcjonariuszy jednostki dominującej,,,,,415.09,878.0,-110.9,-55.58,57.68,-85.35,931.71,-246.86,15.7,-1029.82,-391.5,212.5,1039.82,894.72,442.96,465.5,-80.7,8.95,-54.97,-30.97,172.0,-122.95,-4.63,-162.17,-27.29,7.03,1668.78,533.98,127.11,553.32,-92.37,0.17,29.42,226.9,431.75,97.06,-55.15,-75.47,-7.17,-42.48,115.3,6.04,16.01,19.34,-74.09,-34.66,-86.32,-154.54,-128.17
Aktywa trwałe,,,,,55.36,-40.7,-52.43,0.0,10.34,60.78,1057.14,509.41,514.58,552.44,45.5,85.14,195.76,216.64,78.18,650.78,305.04,331.11,407.76,19.01,34.27,46.86,54.37,72.65,80.97,70.88,83.06,60.84,140.58,135.27,85.64,78.8,20.57,37.93,57.57,53.43,41.32,27.13,26.27,26.49,28.81,36.28,46.23,53.03,57.2,50.48,50.06,44.31,34.27
Wartości niematerialne i prawne,,,,,,,,,-44.44,-50.0,,,1456.67,1637.5,40.43,70.52,209.21,238.85,70.51,800.77,342.38,360.16,456.26,7.78,24.0,41.34,49.49,55.55,64.98,55.72,57.43,41.04,31.14,26.63,21.27,26.03,45.12,51.73,53.49,55.96,52.23,55.55,55.59,56.4,56.2,57.31,68.46,74.99,69.06,65.49,60.87,55.98,55.4
Rzeczowe składniki majątku trwałego,,,,,-100.0,-100.0,-90.24,,,,25.0,-62.5,800.0,866.67,960.0,4000.0,65.08,70.69,60.38,-12.2,321.15,514.14,617.65,539.81,78.08,35.36,30.82,17.08,4.36,-6.93,-10.4,-14.96,2201.47,2342.04,2570.77,2735.47,30.18,61.49,35.54,36.91,26.67,2.5,17.8,13.62,-2.16,-3.87,-3.41,-3.09,-3.66,-1.79,-2.12,-1.63,-2.57
Należności długoterminowe,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.92,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inwestycje długoterminowe,,,,,,,,,,,,,,,,,,,-100.0,,-100.0,,,,,,,,,,,149.63,66.8,76.86,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,4848.45,173.91,266.73,148.94,-56.69
Pozostałe aktywa trwałe,,,,,-38.89,,,,-78.79,-100.0,,-93.51,14.29,,0.0,-40.0,1650.0,1525.0,3833.33,1800.0,72.86,48.46,-14.41,419.3,226.03,268.91,522.77,-48.65,-69.84,-75.0,124.17,809.21,47.48,381.46,-44.26,49.93,58.4,106.18,692.88,183.3,195.86,6.17,-77.71,-81.53,-35.74,-44.72,60.12,94.0,-35.38,-12.63,-94.42,-76.46,210.83
Aktywa obrotowe,,,,,123.69,172.45,117.16,208.27,149.78,114.14,112.31,9.44,12.18,2.95,-3.19,-1.86,143.38,244.58,281.04,214.68,30.25,13.26,13.5,41.29,40.42,9.59,11.64,-1.87,-12.95,-11.61,82.54,111.83,115.87,153.67,42.9,53.01,55.79,54.49,31.13,27.12,9.53,4.56,7.49,-0.15,11.12,5.75,4.31,-2.15,-21.1,-24.76,-26.05,-31.54,-34.15
Zapasy,,,,,142.67,,,,130.66,117.91,,,34.56,30.59,54.98,69.56,24.78,51.4,11.09,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,
Należności krótkoterminowe,,,,,523.94,453.92,-14.44,8.56,174.27,-30.44,142.86,-14.71,-24.53,-0.51,-4.63,99.5,690.84,1329.16,789.35,179.7,-62.53,-23.85,10.91,35.48,100.7,-39.11,-10.67,-31.51,-44.87,-20.34,168.63,190.58,445.51,283.09,31.21,84.96,41.43,108.84,13.53,4.27,-17.11,21.42,0.79,-12.63,7.27,-27.53,-4.26,47.58,-39.62,-5.57,40.06,-52.46,-7.28
Inwestycje krótkoterminowe,,,,,77.46,333.9,274.77,431.98,166.82,164.87,137.91,-7.72,7.93,-17.18,-46.25,-71.13,104.33,338.58,694.25,1731.64,200.51,69.87,51.0,41.59,26.74,17.29,15.7,1.04,-3.22,-10.4,69.54,106.42,81.9,144.53,45.95,46.79,60.41,48.27,35.42,32.66,16.93,1.39,8.72,1.09,11.78,12.24,5.63,-7.45,-18.66,-28.41,-38.0,-29.0,-37.71
Środki pieniężne i inne aktywa pieniężne,,,,,77.46,333.9,274.77,431.98,166.82,164.87,137.91,-7.72,7.93,-17.18,-46.25,-71.13,104.33,338.58,694.25,1731.64,200.51,69.87,51.0,41.59,26.74,17.29,7.57,1.04,-3.22,-10.4,21.88,7.92,-13.93,-12.22,-31.25,-53.18,-38.63,63.94,31.03,479.38,62.16,-45.75,-2.93,-52.53,10.84,146.84,36.8,-40.42,14.34,-46.94,0.96,90.04,22.79
Pozostałe aktywa obrotowe,,,,,33.33,,,,-95.83,0.0,,,1050.0,500.0,540.0,500.0,2417.39,-6.67,1800.0,-44.44,-89.29,960.71,-73.68,400.0,433.87,-46.13,123.75,105.0,-11.18,87.5,-17.6,39.51,1.02,60.67,46.44,604.2,47.47,-13.28,5.32,-73.93,33.33,59.81,30.55,15.24,28.77,69.61,48.65,139.5,137.5,77.14,92.53,4.14,-47.42
Aktywa trwałe przeznaczone do sprzedaży,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,
Aktywa razem,,,,,120.86,158.79,106.63,200.0,145.71,113.36,125.82,16.06,18.75,9.03,0.37,4.19,146.93,242.73,259.5,268.56,52.54,32.71,34.25,35.69,39.1,17.0,20.14,14.58,6.57,8.97,82.67,94.87,124.59,146.47,53.86,60.09,42.47,48.31,39.3,35.18,19.7,12.4,14.06,9.12,17.8,17.74,20.54,20.11,11.24,9.45,9.7,7.44,5.79
Kapitał własny akcjonariuszy jednostki dominującej,,,,,101.97,166.91,101.69,197.91,169.97,113.9,127.29,14.19,14.58,6.04,-5.24,-3.82,114.66,191.02,284.51,294.27,68.63,54.63,31.13,36.83,46.9,23.44,23.3,16.19,9.73,10.19,70.26,86.6,94.52,113.06,36.92,34.55,33.17,41.37,44.15,50.15,37.5,24.27,24.51,16.45,19.85,19.31,19.44,19.09,13.79,12.75,8.61,4.91,1.12
Kapitał (fundusz) podstawowy,,,,,0.0,2.14,2.14,18.72,18.72,16.23,16.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,3.15,3.15,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.06,3.06,3.06,3.06,0.0,0.42,0.42,0.85,0.85,0.42,0.42,1.68,1.68,1.68
